,0,1,2
0,버스타고 가는 길에 찍은 오늘의 워치  갱얼쥐,로골에 실버 메탈 스트랩 차봤어요 ㅋㅋㅋ여름이 끝나기 전에 ㅋㅋㅋㅋ버스타고 가는데 귀여운 강아지갘ㅋㅋ ㅠ 넘 귀여웠어욬ㅋㅋ,2021.08.12. 09:54
1,재탕이 절대로 아닌 오워,아침의 왓치 아워입니당씁씁후후 달리기언뜻보면 재탕같지만 미묘하게 다른 페이스에 주목을,2021.08.12. 09:38
2,반응하지 않는 저의 애플워치,아침에 일어나보니 워치가 반응을 안하더군요혹시나 해서 재충전도 해보고 리셋도 해봤지만간혹 화면이 켜지는듯 하더니 이제는 반응 자체를 안하네요일단 다음주에 센터 예약은 해뒀는데 사용한지 개월차에이런상황에 놓이니 좀 어이가 없네요 ㅠㅠ,2021.08.12. 09:16
3,오늘은 가죽링크다아,날이 선선해져서 가죽을 착용해봅니다ㅎ,2021.08.12. 08:33
4,오널은 나이키,오늘은 흰흰흰 나이키너무 맘에들어서다시 클락콜로지 찰떡 콩떡 좋아요,2021.08.11. 21:31
5,오랜만에 오늘의 왓취,오늘의 워치 자주 올리고 싶어도 예쁘게 찍는것도 일이네여ㅋㅋㅋㅋ보라색 스트랩 보라색 케이스 보라색 페이스보라보라하게 맞춰봤습니다오늘의 주제  보라돌이,2021.08.11. 19:26
6,요즘 최애 기본 페이스 ㅎㅎ 실버 스댕 다크 티타늄,아직까지 애플워치 보면서 좋아하는거보면 신상 버프가 안빠진듯 합니다 ㅋㅋ 길가면서 찍고 식당와서 찍고,2021.08.11. 18:47
7,스포츠루프 써본 후기,어제 나이키 스포츠루프 구매 인증 글 올렷습니다오늘 하루 동안 출퇴근 하면서 사용해봤는데습해서 그런건지 몰라도 밀레니즈 찰때보다땀이 더 차는거 같은 느낌이 들엇네요 ㅠㅠ가벼운건 정말 마음에 드는데 이상하게 마스크 쓰고 잠금해제도 오류 빈도가 높아졋고이게 약간 헐렁하게 착용하면 그런 증상이 발생하는거 같았어요 애플워치를 더 가까히 갖다대라는 문구가 나왔습니다잠금해제 관련은 다시 줄을 바꿔보고 사용하면서 확인해봐야겠지만 아직까진 밀레니즈보단 아쉬움이 많은거 같습니다,2021.08.11. 18:25
8,명품을 버린 후,애플 사포명품 페이스 이제 안해요ㅠ,2021.08.11. 17:58
9,애플워치로 셀카 어플유라이크 스노우 등등 리모트 컨트롤하기,다들 아실 수도 있지만ㅋㅋㅋ혹시나 도움될 수 있을까 싶어 글을 남겨봅니다 보통 애플워치에서 아이폰 카메라 제어는 기본 어플만 가능하다고 많이 알고 계시는데 사실상 더 많이 사용하는 셀카어플에서 지원이 안되는게 저는 좀 답답하더라고요비록 애플워치 상 현재 렌즈에 담기는 화면까지는 나오지 않지만 셀카봉에 딸린 리모컨의 기능만 돼도 만족하시는 분들을 위한 글입니다워치에 보시면 지금 재생 중 이라는 세모꼴의 어플이 있어요 이나 컴플리케이션에 추가해두시고 실행하신 후 을 선택해둡니다 그 다음 핸드폰 셀카 어플을 아무거나 켜신 후 크라운을 위나 아래로 돌려주시면아이폰 상에서 볼륨 버튼을 눌러 촬영을 하는 것과 동일한 제어가 가능합니다이미 다들 아실 수도 있고 뭔가 쓰고 보니 발톱 때같이 사소한 팁 같지만ㅋㅋㅋㅋㅋㅋㅋㅋ필요하셨던 분들 유용하게 사용하시면 좋을 것 같아요,2021.08.11. 17:30
10,스뎅실버와 찰떡인 스트랩 고민,애플워치 스뎅실버 차고있습니당링크브레이슬릿 정품에르메스 가죽줄 블랙화이트스티치두 개 가지고 있는데 스포츠루프나 가죽 링크쪽도 눈에 들어오네요편하게 풀렀다 찰 수 있는 스트랩평소 그냥 캐주얼하게 입는데 스뎅실버랑 찰떡으로 어울리고 어떤 옷에도 자연스럽게 녹아들 수 있는 스트랩 뭐가 있을지 고민이에요 ㅠㅠ,2021.08.11. 16:53
11,핑크보라,밴드에 맞춰서 핑크보라 배경으로 바꿔봤어요,2021.08.11. 16:34
12,클라콜로지 너이자식,몇번이나 지웠다가 깔아도안됩니다 하 힘드네요 번 지웠나  저만 안되는 것 같은 불안한 예감,2021.08.11. 16:21
