,0,1,2
0,많이 늦었네요 99% 배터리 진입!!,​어짜피 배터리는 소모품이니까 맘 편히 하려고요 ㅎ,2021.08.12. 02:16
1,12프로맥스 애케플 들었어요 ㅎㅎ,"애플케어플러스를 들까말까 엄청 고민했는데요.아이폰은 리퍼비용이 너무 높아서 심리적 안정을 위해 들었어요 ㅎㅎ비용은 12프로맥스 기준 242,000원 청구 되었습니다.​애케플 들면서 쌩폰은 폰 크기가 커서 그런지..그립감이 별로라 못쓰겠고,그동안 테두리 기스때문에 부드러운 정품실케 화이트 써왔는데,딱딱한 pc소재로 된 투명케이스도 써보고, 0.5mm슬림한 케이스도 써볼 예정입니다 ㅎㅎ​​",2021.08.11. 21:38
2,14.7도 발열이 꽤 있네요..,장시간 사용하면 성능저하는 없는데..발열이 또 뜨겁네요..이제 아이폰도 발열잡는부품이 들어갈지 기대됩니다!!12프로 전반적으로 뜨겁네요..,2021.08.11. 20:49
3,12미니 대기전력에서 배터리가 은근 많이 닳네요...ㅠ,작년 11월에 아이폰 12미니를 구매하여 지금까지 쓰고있는데 이상하게 어느 시점부터 자고 일어나면 배터리가 6~7퍼센트정도 닳아있네요. 14.7.1 소프트웨어 문제인지 아니면 미니 배터리가 원래 이런건지... 정 안되면 차기 아이폰 나오고나서 기변이라도 생각해봐야겠습니다ㅠㅠ,2021.08.11. 16:00
4,아이폰12 시리즈는 정말 예쁘네요,"얼마전 정말 우연히 아이폰 11을쓰다가 12프로 실버로 선물받아 바꾸게되었는데, 이번 아이폰은 정말로 예쁘다는 생각이 볼때마다 드는것 같습니다. ​3GS나 4,5이때 유저가 아니라 6+, 8+, 11 이렇게 쓰다가 이번에 넘어왔는데 항상 예전 아이폰들보면서 그 특유의 각진 디자인과 평평한 디스플레이가 정말 매력적이라 생각해오다가 이번에 12보고 너무 부러웠었거든요. ​기계덩이 보고 “예쁘다”는 생각을 하게 만들기가 참 어려운데 개인적인 취향이라 그런지 이번엔 12나 프로 라인업 할거없이 정말 예쁜거 같습니다 ㅠㅠㅠ ​유선형 디자인, 각진 디자인 개개인 별로 선호도가 있는것이니 혹시나 다투지 않으셨음 좋겠어용.. ​애플 라이트 유저의 넉두리같은 감탄? 이었네요 ㅋㅋㅋ 🙂🙂",2021.08.11. 15:55
5,2080 습관,배터리 사용을 20% ~ 80%에 맞춰서 사용하는 것이 성능이나 배터리 수명에 도움이 많이 되는건가 싶네요ㅠ,2021.08.11. 11:08
6,확실히 세라믹 실드가 좋네요.,xs맥스 쓸때 화장실에서 무릎높이에서 떨어뜨려서 깨진적이 있었는데..​어제밤에 가슴높이 정도에서 타일바닥에 떨어뜨렸는데 모서리에 약간의 흠집 제외하곤 아무런 이상이 없네요.​떨어지는 소리에 약간 흠칫했는데 다행히도 아무런 데미지가 없었어요ㅎㅎ​세라믹 실드가 빛을 발한거 같아요~~,2021.08.11. 10:47
7,맥세이프 충전기 자국 ㅠㅜ,"맥세이프 충전 자국 ㅠㅠㅠ





























이게뭐람?ㅠㅜ 엊그저께만해도 클라우드 블루 이쁘다고 혼자씐나 했었는데 ㅠㅜ 케이스 처음 끼우고 자기전 맥세이프 충전기에 충전만 해놓고 어제 아침에 일어나니 저렇게자국이....(뚜둥! @_@ ) ㅠㅠㅠ 피스타치오 색상도 밝은 색이긴해도 괜찮아서 애플이니깐! 당연히 괜찮을줄 알았던게 제 차각이였어요 ㅠㅠ 혹시나...해서 구매했던 ㅋㅍ에 문의 했더니 초기 불량으로 교환반품 가능하다해서 정말타이밍이 딱 맞는건지 마침 재고도 풀려서 교환 하루만에 새벽에 수령 했네요 ㅠㅜ 반품 하려다가 색상이 너무 이뻐서 차마 포기 할수가 없엇;;; 밝은색 사용할땐 맥세이프 충전 하지 말아야겠어요 ㅠㅠ  아사모회원분들도 꼭꼭!!! 참고하셔요~~​​(참고로 쿠팡로켓배송은 정말 로켓이네요?ㅋ)​​​오늘도 코시국시대 다들 힘내시고 건강하세요~~^^* ​",2021.08.11. 06:47
8,맥세이프 케이스와 지갑이 왔습니다,"색상은 발틱블루입니다.(기기 색상은 퍼시픽 블루)​색상이 여러가지 있었지만, 깔맞춤을 해봤습니다.​​​​​​



 







착용샷 앞면











착용샷 후면







(사진 화질이 조금 안좋은점 양해 부탁드립니다.)(촬영기기 : G7)​맥세이프 지갑을 끼워봤는데, 이게 맥세이프 자력이 그렇게 쎄지는 않나봅니다….​끼워보니 예쁘긴 하네요 ㅎㅎ",2021.08.11. 06:04
9,근 3년?만에 사진정리를 하니까 용량이 엄청 늘어났어요 ㅋㅋㅋ,평소에는 소소하게 한두장만 찍다가 친구들이랑 여행가기라도하면 몇백장은 찍고 게임할때 스크린샷을 하도 많이 찍어서 전부 백업하고 지웠더니 남은공간이 엄청 늘어났어요 ㅋㅋㅋ 귀찮아서 방치하다가 날잡고 정리했더니 기분은 좋네요​,2021.08.10. 23:49
10,맥세이프 보조배터리,애플껀 화이트인데다가 너무 비싼건 같아서 포기하고 그냥 이거 구입 했어요,2021.08.10. 22:03
11,오늘 날씨 좋네요~,,2021.08.10. 19:38
