,0,1,2
0,이번 워치4 구매 포인트,"질문/추천 금지 X​예쁜 디자인, 빠릿해진 성능, 얇아진 두께, 저렴한 가격 다 좋지만​운동시작한 입장에서 체성분 측정이 최고네요. ㅎㅎ",2021.08.13. 08:25
1,워치4 후기,"질문/추천 금지 X



 




































워치4
 
드디어 액티브 시리즈 지자인이 완성됐습니다. 무광처리를 매우 잘해서 스테인레스보다 고급져보입니다. 작아서 그런지 밴드가 조금 붕뜨긴한데 크게 불편하진 않아요. 특히 두께 얇아진건 크게 체감 됩니다.
 
그린 사세요. 시그니처 컬러인 이유가 있습니다.
 
그런데 평판이되더니 터치 휠이 액티브2 대비 불편합니다. 저만 그런진 몰라도 전 못쓰겠네요.
 
44mm는 성인 남성 기준 무난하게 소화 가능할 것 같고 40은 좀 작습니다. 
 
성능은 전작대비 좋아져서 빠릿빠릿하고 UI도 이것저것 신경 쓴게 눈에 띕니다. 다만 그 체감이 크진 못해요. 옆에 있던 워치3도 업뎃 후에 상당히 빨라진 것 같네요. 성능보단 디자인에 중점 두고 업그레이드하세요.
 

워치4 클래식
 
전 단순히 디자인만 보면 용두가 동그란 워치3를 선호합니다. 그런데 용두에 포인트컬러는 선넘네요. 제 취향저격입니다. 46mm는 일반적인 분들한텐 좀 커요. 저한테도 크고요.
 그래도 얇아지고 완성도가 높아져서 좋습니다.
 
얘도 밴드가 사진처럼 좀 뜨는데 크기도 크니까 더 체감됩니다. 줄 바로 바꿔야겠어요.
 
나머지는 위와 동일합니다.
 
​",2021.08.12. 17:32
2,폴드 색상 실물보고 그린결정  (워치실착),"위-블랙  ,   아래-그린​블랙인줄알고 만지작 거리던게  그린이엇네요실물 그린 압승입니다실물?과 가장 비슷하게 찍은 사진입니다.​​폴드2 케이스 씌워봣는데 폴드3에도 맞네요??



 







폴드2녹색케이스 끠워본 폴드3







​워치는 처음인데  손목이 얇아서 어렵네요  클래식42vs워치44



 

























​",2021.08.12. 13:23
3,버즈2입니다,"​



 




































​색상 총3가지이며 착용감 환상적이었습니다....버즈프로때 느낀 걸거적 거리는 느낌 전혀없네요...질문X, 후기X, 체험단글 게시글작성X(기업홍보단X)질문/추천 금지 X",2021.08.12. 12:19
4,언팩 모든 제품 간단 후기 + 버즈2 청음,"​



 














버즈2 착용감은 진짜 괜찮네요버즈, 버즈플러스, N400, 버즈프로 써온 유저로써 착용감은 귀에 쏙 들어가서 진짜 좋습니다.​추가로 청음이 가능해서 청음해보았습니다,​노이즈캔슬링은 버스같은 환경에서 테스트하지 못하여 정확하진 않지만 디프 내에서 제가 사용중인 버즈프로와 비교하였는데, 큰 차이가 없었습니다.정확하게는 측정해봐야겠지만 버즈프로와 거의 비슷한 수준이네요노캔을 켜면 저음이 쎄지는 느낌은 버즈2, 버즈프로 비슷하네요.​저음은 버즈프로보다 쎈 느낌이 있습니다. 저음은 버즈 라이브 느낌이 좀 나네요 어떻게 보면 장점이 될 수도 있고, 플렛한 성향을 좋아하는 저에겐 지나치게 저음이 쎄다는 느낌도 조금 받았습니다.​중고음영역은 버즈플러스 느낌이 납니다. 버즈플러스 특유의 그 약간 쏘는 느낌 아실 분들은 아실겁니다.​오래 들어보진 않았지만 전체적인 톤이나 밸런스도 버즈프로 사운드가 더 좋다고 생각합니다.버즈2가 가격 대비 잘 나왔지만 버즈프로 사운드는 못 이기는 것 같아요버즈라이브 같은 저음을 좋아하시는 분들께는 괜찮아보입니다.​저는 버즈프로를 사용중인데, 굳이 갈아탈 필요는 없어보이네요​



 
















































































워치4는 진짜 빠릿빠릿 해졌습니다. 버벅거림 없고 확실히 잘 나왔네요​그린, 실버, 블랙 모두 잘 나와서 호불호가 갈릴 정도는 아니고 고르기 힘들어 보입니다.​실버, 블랙중에 고민하던 저는 블랙을 선택했습니다.​​​



 

























플립3는 그냥 이쁩니다. ​



 

























폴드3 UDC 괜찮긴 한데 위 사진과 같이 보이는건 은근 거슬립니다.전면카메라는 좋지는 않고 무난한 정도네요​휴대폰은 셋팅이 덜 되었다고 하여 자세히 보진 못 했습니다.​​",2021.08.12. 11:15
5,버즈 프로 주절주절 글...ㅠㅅㅠ,"질문/추천 금지 X​



 














​이번년도 4월달에 구매해서 지금까지 문제없이 잘 사용중입니다. (올 순정으로 사용중)외출시에만 사용중입니다.외출시 기본 2시간은 사용하는것 같네요.​카페에 버즈 프로 관련글 대부분은 외이도염 관련 글들이여서 저처럼 외이도염없이 잘 사용하고 계신분이 있나 궁금할정도네요.확실히 이번 버즈 프로 문제가 있어보이지만, 버즈 프로 쓰면 무조건 외이도염 걸린다 그런거는 없다봅니다.​간간히 버즈 프로 구매를 고려하시는분들 글에 외이도염 걱정이 있으시던데 제 생각은 써봐야 아는것 같습니다.제가 구매할 시기인 4월달에 슬슬 외이도염 글들이 올라올때 였는데 저는 ""아 내 귀에는 잘 맞겠지"" 하고 구매를 했었는데 다행이 제 귀에는 이상이 없네요.사용중 뭔가 귀에 이상이 있다 하시면 빨리 병원가시구 외이도염 확정이시면 보상 받으시면 됩니다.​버즈 프로.... 음질도 좋고 노캔도 빵빵하고 디자인도 기깔나고 하지만 외이도염 이슈로 상당히 안타깝네요.​차기 버즈에는 글에는 없지만 좀더 신경쓴 이어팁과 외이도염 이슈가 없었슴 합니다!​​​​",2021.08.10. 20:50
6,버즈라이브에서 프로로 바꾼 4일차,"질문/추천 금지 X​안녕하세요. 저번에 후기로 하루쓰고 귀 간지럽고 진물나왔다고 투덜투덜했었는데요. 3일 정도 다시 리뷰 써보려고합니다.​먼저 여러 리뷰들을 참고하고 실제로 두제품다 써봤는데 느낀건 귀 생긴 모양에따라서 확 다르겠다라는 생각을 하게되었습니다.​통화품질은 버즈라이브보다 버즈프로가 많이 좋게 느껴졌습니다. 확실히 밖에서 걸어다닐때 라이브로 통화하면 짜증나서 블루투스 끄고 그냥 통화했는데 버즈프로로 통화하면서 그런일 지금까지 한번도 없네요.  개인적으로 통화품질은 매우 만족입니다. 저는 버즈라이브 마이크가 귀 안쪽으로 들어가서 그런거 같아요 이건 정말 케바케 인거 같습니다.​음질은 개인적으로 버즈라이브는 소리들이 더 크게 들리는 느낌 이였고 전체적으로 봤을때 버즈프로가 확실히 좋습니다. 제 생각에는 버즈프로 음질은 진짜 너무 좋다고 생각해서 음질때문에 오래쓸꺼같네요​착용감은 처음에는 버즈라이브가 너무 편하고 버즈프로는 귀가 간지럽고 아파서 환불할까 생각하고 있었는데요. 근데 버즈프로 쓰는 친구들이랑도 말해보고 여러가지 찾아보면서 제 나름대로 결론을 내려봤는데요. 버즈프로 착용할때 안으로 꾹꾹 넣고 돌리는게 귀에 자극을 심하게 줄 수 있겠다라는 생각을 하게 됬습니다. 실제로 어제 부터 그냥 귀에 넣고 쓰니까(고정안시키고 넣는다는 느낌??) 잘빠지지도 않고 ANC, 음질도 큰차이가 없는거 같아서 좋네요. 귀도 안간지럽고 안아픈거 같아요. 약간 빠질꺼같은 느낌도 처음에는 신경쓰여서 어떻게든 빼보려고 막 움지였는데 안빠지더라구요? 확인하고나니까  지금은 편한느낌이에요 ​진짜 첫날이랑 둘쨋 날에 써보고 아즈라이어팁을 사거나 환불해야겠다고 생각했는데 그런 생각들이 점점 사라지고 있네요 디자인도 저는 실버 샀는데 너무 이쁘고요 여러모로 현재 만족중입니다. 음질이 진짜 좋네요. 혹시 뭐 궁금하거나 공유하실 얘기 있으시면 댓글남겨주세요~ 그럼안녕!",2021.08.10. 15:03
7,"아이폰, 애플워치 -> 갤럭시, 갤럭시워치 변경 후기","질문/추천 금지 X​최근 아이폰XS-애플워치5에서 S21-액티브2로 변경했고 혹시 비슷한 고민을 하는 분들을 위해 경험을 공유합니다.​어쩌다 생긴 엘지 지패드로 그룹웨어 앱을 실행해보고 IOS 보다 안드로이드가 호환성이 좋다는것을 알고 안드로이드로 가자고 생각했습니다.​삼성폰은 애니콜 이후에는 사용해본 적이 없었습니다. 스마트폰이 나온 뒤에는 주로 아이폰을 사용했고  안드로이드를 사용해도 개인적으로 엘지폰을 더 선호해 엘지만 써왔는데 엘지가 스마트폰 사업을 접어 이번에 처음으로 갤럭시를 써보게 되었고 선택한 기종은 S21 기본모델.​발열에 S20보다 성능면에서도 큰 메리트가 없다고하여 고민했지만 자급제 미개봉품을 구하기도 어렵지 않고 사용 패턴도 라이트해서 선택했고, 사용한지 한달 정도 주로 절전모드로 사용해서 그런지 배터리도 오래가고 발열도 느낌으로는 아이폰XS이랑 비슷한 수준으로 보입니다.​1. UI기본적으로 IOS는 애플에서 만들어놓은 틀에 유저가 적응해야한다면 갤럭시는 유저 입맛에 맞춰 변경이 가능합니다. 이미 IOS에 길들여져있어서 굿락을이용해 가능한 IOS 스럽게 바꿔 사용중이라 UI 측면에서는 크게 불편한점이 없었습니다.​2. 음성비서한글 인식 측면에서 빅스비가 시리에 비해 매우 우수합니다. 할 수 있는 기능도 시리에 비해 빅스비가 좀 더 디테일한 느낌예를 들어 셀카 찍어줘 혹은 5초 타이머로 셀카 찍어줘 하면 시리는 단순히 카메라만 켜준다면 빅스비는 그대로 찍어주거나 요청에 따라 촬영 타이머를 바로 실행해줌다만 아쉬운 점은 ~로 안내해줘 할때는 티맵이나 네이버지도를 사용할 수 있는데 리마인더에서 ~에 도착할때 ~알려줘 하면 지도정보를 foursquare에서 가져와 최신 정보가 반영되지 않는다는 점에서는 애플지도와 마찬가지로 실망스러운 부분​3. 워치1) 연동성아무래도 유저가 많은 애플워치의 경우 연동되는 앱의 종류가 많음. 다른건 몰라도 카톡은 지원해줬으면 좋겠는데 답장만 가능하게 되어있어서 불편함 (특히 갤럭시 워치 글자입력시 드로잉 인식 기능이 매우 뛰어나서 카톡 설치가 안된다는 점이 매우 아쉬운 부분)추가로 아기를 키우면서 애플워치에서 지원해주는 베이비타임을 아주 유용하게 썼는데 역시 아쉬움​2) 진동아기가 있어 폰은 무음으로 두고 워치 진동으로 일어나는데 애플워치가 톡톡 손목을 두드리는 느낌이면 액티브2는 손목에 닿아있는 폰이 약하게 진동하는 느낌이라 아쉬움​3) 워치 음성비서애플워치에 비해 부르면 나타나는 속도도 매우 느리고 이어서 말하는것도 잘 인식하지 못해 답답함 (애플워치5 gps 모델과 갤럭시 액티브2 비교시)​갤럭시워치가 전체적으로 빨라지고, 연동되는 앱의 종류가 다양해지고 진동기능만 좀 개선된다면 배터리나 필기 인식 기능이 있어 애플워치보다 사용하기 좋을 것 같습니다.​​4. 기타1) 쿼티 키패드가 터치 인식 영역이 다른건지 오타가 너무 심함 (모아키로 변경 후 신세계 경험 중)​2) 삼성페이는 최고, 최근 들어서 신분증도 카카오지갑 같은거로 대체할수있어서 정말 지갑이 필요 없음​3) 덱스도 매우 유용하게 사용 중, 특히 빔프로젝터, 블루투스 키보드와 함께 사용하면 어디서든지 서류작업, 엑셀, 메일확인 등 다양한 작업을 쉽게 할 수 있다는 점이 좋음​4) 클라우드는 원드라이브를 메인으로 사용하려는 것 같은데 타 기기와 연동성을 생각하면 어느정도는 이해할 수 있지만 그래도 아이클라우드 대비 가격적으로 비싸 아쉽습니다. (사진, 동영상 같이 용량을 많이 차지하는 것들은 네이버 클라우드를 이용할 계획)​카페 가입 후 글은 처음 써보는 것 같습니다. 긴 글을 읽어주셔서 감사합니다.​​​​​​​​​​​​​​​​​​​​질문/추천 금지 X",2021.08.10. 12:11
8,버즈라이브 잘쓰다가 버즈프로로 넘어왔습니다.,"버즈라이브 쓰다가 버즈프로로 넘어왔습니다. 버즈라이브 1년동안 쓰다가 이번에 버즈프로 썼습니다.​그전에 써본 TWS 는 버즈1, 엘리트75t , 에어팟1세대, 에어팟2세대, 에어팟프로 . 버즈라이브, 버즈프로 이렇게 써봤네요​지금은 삼성폰 쓰고 있고요​음질 : 버즈라이브는 버즈프로에 비해서 음이 선명하게 나오는 느낌이였고 버즈프로는 좀 더 풍성하게 작게 들리던 소리들이 더 잘 들리는 느낌이였어요통품 : 버즈프로가 더 좋았던거 같아요 라이브는 통화하다보면 머라고? 응?? 이런소리 많이 들었는데 프로는 없었네요ANC : 버즈프로가 넘사였습니다. 라이브는 확실히 부족하더라구요​착용감은 버즈라이브가 더좋았는데요. 버즈프로 기본 이어팁 바꿔가면서 써보고 있는데 이게 빠질락말락한 상태로 냅두면 편하긴하더라구요 그래서 s로 해놓고 쓰고있습니다. 근데 외이도염이슈를 알고 샀는데 정말 귀가 간지럽고 오늘 차타고 오는도중에 왼쪽귀에서 진물나와서 현재 너무 걱정되네요 ㅎㅎㅎㅎ 아즈라 사면 걱정없다고 하긴하는데 다들어떠셨는지 모르겠네요 혹시 궁금한거 있으면 댓글 남겨주세요 답변해드릴게요~!",2021.08.08. 20:41
9,버즈프로 7개월간의 최종 여정 (feat. 외이도염),"버즈프로 7개월간의 최종 여정 (feat. 외이도염)​저는 이전에 QCY Q1, Q5 사용, 버즈라이브(나오자말자 예판구매), 에어팟프로 사용하였습니다.QCY시리즈는 무선이어폰 처음사용하는 저로써는 저렴이로 구매하여 한번 느껴보자 무선이어폰 세계의발을 들이게 되었습니다. 편리함이 좋더라구요.그래서 이후, 좀 좋은걸 사용하고자 버즈라이브 출시되자말자 바로 구매하였습니다.하지만 버즈라이브는 제 귀랑 안맞았어요. 귀 홀자체가 저랑 안맞더라구요 (글내용있음)그래서 결국 구매후 2주만에 직거래로 판매. 이후 에어팟 프로 구매하였습니다.정말 마음에 들었습니다. 하지만.. 연결성 문제로 연결끊김이 번번히 일어나서 스트레스를 받앗습니다.결국 버즈 프로가 나온다는 소식을 듣고 나오자말자 구매를 하였습니다.(현재 노트10+ 사용중)​2021년 1월 15일 삼성 공홈에서 버즈프로 바로 구매.정말 모든면에서 마음에 들었고 정말 좋았습니다. 대부분 리뷰를 보면 이부분은 비슷하였습니다.이어팁이 좀 작은듯한 느낌이 들었다. 원래 전 중간꺼(M)끼면 웬만하면 다 맞는데이건 좀 헐겁다는 느낌이 들어서 L사이즈로 끼웠습니다.(기본제공 이어팁)이때까지만 해도 뭐 외이도니 뭐니 이런건 몰랐어요. 한 2주 정도 사용하다가 슬슬 버즈프로 리뷰 많이 올라오고 그중 보니깐 디오핏 이어팁이차음성도 좋고 음질도 조금이나마 좋아진다. 솔직히 여기서 전 차음성부분을 좀 더 생각을하여디오핏 메모리폼을 구매하엿습니다.이전에 에어팟 프로를 쓰다보니 그 느낌이 100% 똑같지는 않겠지만 그 느낌이 너무 좋아차음성을 좀더 높이고자, 디오핏 메모리폼을 1월 30일 구매하였습니다.​저의 외이도염 시작은 딱 저기서 부터 시작입니다.디오핏 메모리폼 오자말자 착용하니 굉장히 뻑뻑하다는 느낌이 들더라구요이거 사용하자말자 2일째 되는날 바로 귀에 각질 비슷한것들이 생기기 시작했습니다.​* 참고로 저는 한번도 귀 때문에 병원자체를 가본적이 없습니다. ** 또한, 개인적으로 면봉으로 귀를 자주 파는 사람입니다. (이거 굉장히 안좋은겁니다.)* 이런 상태인데도 이어폰 잘끼고 다녔고, 간지러워서나, 각질이 생겨서나 병원 가본적이 없습니다.* 하루 평균 2~3시간 정도 사용합니다. ​각질이 생기길래, 아 그냥 귀에 먼지가 많이 들어갔나? 그냥 귓밥인가 생각하고 대수롭지않게 생각하고 그냥 생활하였습니다. 이후 약 1주일 부터 시작이 되더군요어느 순간 이어폰을 사용하니 따끔하기 시작했습니다. 메모리폼 사용하니깐 더 귓속이 따끔따끔하다는 느낌이 들엇습니다.저는 그냥 아 이게 실리콘 같은게 아니라, 약간 스펀지(?) 같은 느낌이 들어서제 귀랑 안맞아서 이렇게 되었구나 하고 생각하고 사용을 안하였습니다.​결국 다시 원래 순정 버즈프로 이어팁으로 돌아왔습니다.확실히 따끔거림은 별로 못느끼고 괜찮은듯한 느낌이 들더라구요.​하지만 이미 이때부터 외이도염에 걸렸다는걸 저는 아예 인지조차도 못하였습니다.그 이후로 이제 외이도염이 시작된듯 합니다. 조금씩 매일 간지럽기 시작하고딱지같은 약간 상처도 생기고 그러더라구요. 전 그냥 대수롭지 않게 그 안에 그냥후시딘 조금 면봉에 발라 이렇게 대처하였습니다.하지만 전혀 효과가 없더라구요. 이후 귀에서 물(?) 같은게 흘러 내리고그 물이 굳으면 딱지가 생기고 이걸 2주가까이 계속 반복 되었습니다.피가 나도록 면봉으로 귀를 후벼도 2~3일이면 거의 원래대로 돌아오는데이번건 2주 넘께 계속 지나니깐 이건 아니다. 싶어서 병원을 방문하였습니다.​약 2월 중순쯤 병원에 방문을 하였습니다. 의사선생님이 심한 외이도염에 걸렸다고 하더라구요꾸준히 치료를 받아야 한다고 하였습니다.(약도 향생제 약첨부해줌..)​전 한번도 그런거 안걸려봤는데 딱 버즈프로 사용하자말자 걸려서 인터넷 뒤져봤어요카페도 물론 찾아봤죠. 저같은 사람 1명인가? 2명인가 본듯했습니다. 똑같이 질문으로 적으셨더라구요혹시 귀 가렵거나 그렇지 않냐고? 동일 증상있더라구요. 하지만 일부이다 보니이건 이전 버즈라이브처럼 제품과 본인의 귀가 안맞아서 그런가.. 이런식으로 넘어갈수밖에 없었습니다.​치료를 받으면서 2~3일 정도 지나니 조금 괜찮아져서 그냥 다시 버즈프로 착용하고 다녔어요와 근데 이게 진짜 무한 반복이었습니다. 병원가서 치료 받으면 몇일있으면 괜찮아지고그대 다시 버즈프로 끼면 한 1주일이내 길면 2주 정도 안에 다시 재발됩니다...하지만 도저히 버즈프로를 버릴수가 없어서 제 자신의 귀를 무시하고 사용을 반복하였죠.그러다 보니 기사에 버즈프로 외이도염 나오고 여러군데 계속 저랑 동일 증상 많이 나타나시더라구요계속 눈팅하다가 환불까지 되고, 받으신분들 계속 나오자 저도 환불을 받기로 하였습니다.​그래도 버즈프로 성능이 너무 맘에 들어서... 아파도 쓰고.. 많이 아프면 병원가고;;;일단 치료비까지 환불해준다는 말에 최대한 쓰다가 환불받아야지 하는 마음에6월 초쯤 환불 을 진행하였습니다.물론 치료비 + 기기금액 다 환불 잘 받았습니다. ​하지만 저의 무모한 욕심은 여기에 끝나질 않았죠..(진짜 무모함...)6월달에 아즈라 이어팁나온다고 하더라구요.. ㅋㅋ;;;; 외이도염 발생 현저히 줄어들었다이러한 사전리뷰를 많이 본탓일까요? 현혹된걸까요? 제가 진짜 무지성으로다가다시 또 6월 중순쯤에 버즈프로 구매하였습니다.이유는 간단했습니다. 전 1월달에 나오자말자 사서, 공홈에서 이벤트 케이스랑 같이 정가를 주고샀기 때문에 물론 환불도 정가 그대로 받았습니다.하지만 6월 중순에 쿠팡에 보니 약 16만원정도 팔더라구요 그래서 이리저리 계산하니뭐 나쁘지 않네 혹시 좀 개선되지 않았을까? 하는 말도 안되는 저의 생각에6월 버즈프로 + 아즈라 이어팁 이렇게 사용하면 아 이제 외이도염 안걸리겠다이러한 말도 안되는 상상을 하면서 바로 구매하였습니다.​하지만 그것도 진짜 2~3일 말그대로 아주 잠시나마 효과엿던가 봅니다.결국엔 또 무한 반복입니다... 이때까지만 해도 진짜 전 희망을 놓치질 않았어요아 아직 귀가 덜 나아서 그런거 아닐까? 완치하고 사용하면 아무 문제 없을꺼야?이렇게 무지성으로다가.. 완치거의 다되엇을때 다시 또 사용을 하였죠약 1주일 정도 잘 가더라구요 2주째 바로 슬슬 가렵기 시작합니다. (큰일났다...)아 설마..? 설마? 이랫는데 결국엔 다시 맨 처음 반복되더라구요​결국 7월 말 버즈프로를 친구놈한테 저렴하게 넘겼습니다...대신 친구놈 버즈플러스를 받아왔습니다.. 버즈프로 넘기고 바로 병원가서 다시 치료 받고 조금 나아질때쯤 버즈플러스사용했습니다... 아무런 문제가 없었습니다. 따갑고 간지럽고 이런것도 못느겼습니다..제가 어느정도 무지성으로 사용했냐면, 병원에서는 1주일에 1번씩 꾸준히 치료를 받아야한다고했어요이미 외이도염이 다시 재발되어 심한 상태인데 병원에서 치료를 받고2일 정도 지나니깐 별로 안간지럽더라구요, (딱지같은건 조금씩 있었음)바로 버즈플러스 끼고 다녓습니다. 그리고 몇일있다가 다시 병원가서 치료받고이렇게 반복을 하였습니다. 진짜 그런데 귀가 지금도 100% 나은건 아닙니다.하지만 누가봐도 많이 호전되었고, 거의 다 나아가는듯한 느낌이 듭니다.이 사이에 버즈플러스는 계속 사용중인데도 말이죠...제일 최근에 병원에 간게 8월 6일 금요일이네요.의사선생님도 귀가 많이 좋아졌다. 다음주 한번더 와보세요 했어요(참고로 이 사이 기간에도 계속 버즈플러스 사용중)참 아이러니 하죠? ​결국 7개월동안 외이도염과 나의 무지성 버즈프로 2번 구매 디오핏, 아즈라 이어팁별의 별짓을 다해봣네요. 그만큼 전 삼성제품을 사용하고 싶다는 엄청난 의지를 가졌지만...도저히 아프고 불편해서 안되겠습니다... 이번에 버즈2는 괜찮을런지... ㅠㅠ......결국 버즈플러스로 떼우다가 신제품 나오면 그때 잘 보고 구매를 해야 하겠습니다...​[ 지금까지 있었던 일을 토대로 저의 개인적인 생각입니다. ]​Q. 버즈프로가 무조건 외이도염에 걸린다? - 이건 아닌거 같습니다. 친구놈 지금 2주가까이 써가는데 전혀 간지럽거나 그렇다는걸못 느끼겟답니다. 아마 전부다 걸리면 난리낫겟죠?​Q. 어쩌다가 외이도염이 정말 심해졌는가? - 버즈프로 구조가 제 귀랑 잘 안맞은듯? 특히 디오핏 메모리폼이 더 심하듯 했습니다.기존 순정팁일때는 말그대로 뭔가 조금이나마 여유가느껴져서(귓구멍) 좀더 차음성을 높이고자이어팁을 바꾼게 화근인듯 합니다. 제 귀랑 버즈프로가 너무 밀폐되어서, 공기자체가 많이통하질않아 외이도염이 발생한듯합니다. 아즈라 폼 팁도 순정보다는 조금 크고 귀에 딱 붙는듯한느낌이니 더 그런듯 했습니다.​Q. 다른사람에게 버즈프로를 추천할수 있나? - 갤럭시를 쓰시는분들에겐 성능이 좋으니.. 일단 추천을 해보자고합니다.어차피 이건 써봐야 외이도염 걸리는지 안걸리는지 모르니깐 쓰다가 어라? 나 걸렸네하시면 병원치료 다 받으시고 바로 환불 하시면 될듯합니다. ​Q. 이어팁 변경후 외이도염이 걸렸는데 순정쓰면 괜찮을까?-  이어팁 바꾸기 전에도 조금씩 귀가 간지럽긴 하였습니다. ( 이건 그냥 원래 가끔 귀가 간지러운듯한 느낌일수도 있음.)하지만 1차 환불후, 새롭게 2차로 구매햇을당시 귀가 어느정도 낫고난뒤 사용했습니다.아즈라 이어팁 오기 한 4~5일 남았었거든요. 어라 조금 괜찮은거 같은데? 이런 느낌은 들었습니다.(참고로 메모리 이어팁 고통이 너무 쎄서... 착각일수도 있습니다.)어차피 순정을 써도 제 생각엔 이미 L 사이즈 착용을 하여 어차피 동일 증상 느꼇을꺼라 예상됩니다.​Q. 지금 8월 8일자 상태는? - 아주 많이 좋아졌습니다. 딱지는 거의 없어지고 손가락으로 귀를 만져봐도매끈하다고 느껴집니다. 간지러운 건 거의 없어졌고, 느낌상으로는 거의 완치 된듯한 느낌입니다.버즈플러스를 끼울대 살짝 가려운? 느낌은 드는건 아마 완벽히 낫질 않아서 그런거 같고지금은 고통 없이 잘 보내고 있습니다.​ 버즈프로 7개월간의 여정을 여기서 끝내도록 하겠습니다.긴글 읽어주시느라 감사합니다.​",2021.08.08. 15:08
