,review,star
0,나머지하나 받아서 선물했습니다처음엔 먼저올 상품이 안오고 있어 너무 당황스럽고품절까지 되어있어 망했나 싶었지만 다행이도받아볼수있었네요 제품은 문제없이 잘받았습니다다만 주문처리가 늦어져서 못받았었다면별점테러할 뻔했네요. 이런점만 아니면 좋은것같아4점드립니다,4
1,너무 안전하게 잘와서 깜짝놀랐어요!! 사자마자  아이패드로 바로 공부하고 있는데 너무 편하고 좋아요!! 딱 한가지 아쉬웠던건  토요일에 주문해서 화요일까지 기다리는 점이 좀 힘들었네요ㅠ 다들 주문 시 주말은 피하면 더 빨리 받을 수 있을것같아요~,4
2,구매후 잘 쓰고 있는데요.테블렛 자체를 처음 싸보는데 좀 이해가 안되서 문의 드립니다정말 다 괜찬은데충전할때 터치 아이디 인식이 안 되는거 같습니다다 정품 충전기에 케이블인데 왜 이러는걸 까요..충전 해제 하면 또 정상 작동 잘합니다,4
3,택배사 문의하고 우려했던 것처럼 배송요청사항에 분실주의 도착 전 문자 요망 부탁드린다고 적었음에도 불구하고 문 앞에 그냥 놓고 가셨고 상자도 좀 찌그러지고 벌어져있었지만 다행히 집에있었어서 수시로 확인 끝에 문제없이 받았습니다. 상품은 생각만큼 너무 맘에 들어요. 택배사 땜 별 하나 뺍니다.,4
4,기기 이상없고 좋습니다 배송도 빠르고 근데 옵션이 아예 다 추가 안하는 옵션은 없어서 13000원정 정도 주고 필름을 추가했는데 퀄리티가 너무 떨어지네요.. 붙였다가 바로 띠어서 버렸습니다.. 13000원 쓰레기?.. 그거빼곰 만족스러워요!,4
5,"배송도 이틀만에 오고 좋았어요.. 근데 제가 꼼꼼히 못보고 개봉을 해서, 계정등록까지 다 마치고 나서야 하단 스피커 옆부분에 작은 흠집이 있는걸 발견했네요ㅠ. 미개봉 새상품인걸 알지만 그래도 새제품인데 조금 그랬어요.. 보다보니 계속 보이는데 그냥 케이스 끼고 지낼라고요. 기능엔 문제 아직 없고 아주 잘 쓰고 있습니다",4
6,"사골패드지만 프로3까진 필요 없어서 에어3로 결정.애플코리아 제품 맞고, 공홈보다 좀 저렴하길래 인터넷으로 구입 해 봤습니다. 배송은 휴일 빼고 하루정도 걸렸으니 꽤 빠른편.6세대 쓰다 넘어오니 속도, 선명도 전부 확실히 체감할 만큼 차이 나고 좋습니다.근데 이 업체는 (아이패드 박스에 비해 2.5~3배는 되는) 큰 박스에 완충재 하나없이, 고정도 안시키고 아이패드만 덜렁 넣어 보낸거 보고 너무 놀람. 덜그럭 거리면서 왔지만 다행히 이상은 없길래 그냥 씁니다만....? Fragile 스티커가 민망할 정도로 찌그러진 상자가 오길래 벙쪘음아이패드 박스에는 스티커똥도 묻어있고,여태까지 애플제품 10개 넘게 사면서 제품 보호 비닐이 이렇게 얼룩덜룩한건 첨봤지만제품 이상없고 내가 바쁘고 귀찮아서 그냥 씀ㅎㅎ다만 포장/배송박스는 개선을 하셔야 할듯",4
7,2월달 애플 공식사이트에서 학생이거나 교사면 할인+무선해드폰 주는 이벤트가 있었는데 그냥 지마켓에서 구매했습니다. 무선해드폰 쓰지 않을 것 같고 되팔기도 힘들 것 같고... ^^지마켓에서 2/17 주문해서 2/19일 배송 완료 받았습니다.동생 생일 선물로 준지 1달 지났는데 하자 없고 문제 없이 잘 쓰고 있는 것 같습니다.그런데 계속 상품이 품절이네요. 그래서 제 상품평이 별 소용이 없을 것 같네요 ^^,4
8,"좋아요 이쁘구요 근데 화면 눌렀을때 깔짝깔짝? 소리가 나면 교환받아야 된다구 하더라구요 한 세군데에서 나긴 하는데 딱히 신경은 안써서 괜찮을 거 같아요 이건 뽑기운이 좋아야하니까,, 휘어짐도 없었구요 불량화소도 없었어요 감사합니다",4
9,조금 무거워요 하지만 동생이 너무 좋아해서 ㅎㅎ펜까지 샀지 뭐에요 애플만세,4
