,review,star
0,일단 배송이 이틀밖에 안걸려서 너무 좋았습니다근데 역시 32기가라 그런지 용량 안 큰 앱 5~6개만 깔았는데도 게임 하는데 렉걸리네요... 안 쓰는 기본 앱들 지우니 좀 나아요... 이럴줄 알았으면 그냥 에어 살걸 그랬네요 ㅠ 살짝 후회되네요 ㅠ하지만 디자인은 이뻐요,4
1,"첫 아이패드입니다,,, 두근,,,, 하필 택배가 도착하기 전에 불량테스트 관련 영상들을 봤는데 불안하더라구요,,,, 다행히 다른 이상은 없었지만 뒷부분에 참깨보다 큰 흉이 있더라구요 흡 ㅠㅠ 너무 슬펐지만 화면에 이상이 있는 것은 아니라서 그냥 쓰려고 합니다,,, 스마트폰만 보다가 아이패드로 이것 저것 하니까 화면이 겁나 커서 아주 만족스러워요! 아직은 어색하기도 하고요, 어제 저녁에 도착했는데 아직은 신줏단지 모시듯이 하고 있습니다,,, 생각했던 것보다 컸고 구매하길 잘했다는 생각했어요! 후회없는 지름입니다",4
2,배송도 빠르고 다 좋았지만 오늘만 오매불망 기다렸는데 딱 10분 행복했습니다... 여러가지 점검 후에 필름 붙일려고 본체에 둘러진 비닐을 떼어냈는데 홈버튼 위쪽으로처음엔 먼지인줄 알고 지워봤는데 안지워지더라구요...알고보니 겉액정과 화면틈으로 먼지인지 이물질인지 끼어있던건데 당연히 안지워짐 ㅋㅋ 문의해보니 서비스센터 번호만 알려주시고 다른 조치는 안해주셨습니당... 서비스 센터 방문하여 교환신청했는데 재고있으면 금욜날 오전에 오겠지만 없으면 그냥 2주 기다리랍니다 하하... 왜 제돈을 내고도 물건을 못쓰고있는지 화가 납니다 스토어 잘못은 아니지만 다들 사고나서 무작정 뜯지마시고 하나하나 점검해보시고 이상없으면 사용하세요 100대중에 2~3대만 가지고 확인한다하니 분명 이상있는 기기있을수밖에 없을겁니다 확률적으로.... 암튼 배송은 빠르고 좋아요 제가 뽑기를 잘못한 탓에 1점 깍았습니다.,4
3,조카 선물로 사줬어요 그림 그리기 좋다고 만족스러워하네요그런데 처음에 젤리케이스가 아이패드 보다 작은 것으로 왔었고문의했더니 그 다음 날 바로 보내주시기는 했어요아이패드를 처음 구매해본 터라 문의로 이것저것 여쭤봤는데답변해주신 직원이 좀더 상세하게 설명해줬으면 하는 아쉬움은 있네요,4
4,펜도 넣을 수 있는 케이스가 몇개없어요ㅠㅠ 네이버보다 쿠팡에서 좀 더 싸게 파는데 원하는 색이 품절이라 네이버에서 구매했어요 소재 때문인지 케이스가 꽤 무거워요 그거 빼면 다 좋네욤,4
5,오래 기다렸는데 필요한 날에 받아서 다행이에요그런데 앨범에 작년 7월에 찍힌 스크린샷 사진들이 있는건 왜 일까요 .. ㅜㅜ,4
6,가격은 후덜덜 하지만 좋겠죠머.,4
7,배송 하루만에 왔어요~!,4
8,인강용으로 샀는데 쓸만하고 상태 좋아요 유튜브 보기도 편해요 가성비 갑입니다,4
9,좋아요. 근데 좀 무겁네요ㅜㅜ 그럭저럭잘쓰겠습니다,4
10,빠른배송좋아요~! 배송시 뽁뽁이 이외에도 다른 보호장치 있으면 좋을거 같아요,4
11,찍힘 하나 있는데 귀찮아서 그냥 씁니다.,4
12,배송 빨라서 좋아요. 그런데 택배기사님이 던지고 갔네요ㅡㅡ 던지는 소리에 나가보니 택배 와있었어요. 필름도 안왔구요. ,4
13,아직까지 불편한 거 없이 잘 사용 중이에요. 제품에 문제 없고 주로 영상볼 때 사용하게 되는 거 같아요.,4
14,색상이 스페이스 그레이 뿐이였지만 스페이스그레이가 제일 ㅇㅖ쁜거같아요ㅠㅠ 애플공식브랜드스토어니깐 정품맞겠죠??,4
15,지금 잘 사용 중이에요~티빙 넷플 볼 때 써요,4
16,오래 품절이여서 기다렸는데 구매 할 수 있어서 넘 좋았어요! 네이버포인트 사용도되고 적립도 많이 해줘서 저렴하게 구입했네요근데 뒷판에 기스가 있어서 그건 아쉽습니다  넘 오래 기다렸다 받은거라 걍 써요,4
17,크기도크고 좋아용 배송도빨랐습니다 ㅎㅎ근데 뒷면에 기스가있어여 ㅜㅜ 새건데 마음아프지만 쓰는덴 지장없으니깐 그냥쓸려구용,4
18,아이패드는 역시  이름값을 하네요.,4
19,32gb라 다소 아쉽지만 좋네요,4
20,32gb라 다소 아쉽지만 좋네요,4
21,주로 게임 유튭이나 보네요.,4
22,가로일때 스피커가 한쪽에 쏠려있는게 역시 영상시청시 거슬리네요..그외는 아주 좋아요,4
23,잘 사용 중이에요~~~이전부터 사고 싶었는데잘 산 것 같아요~~,4
24,공홈보단 싸게 산거 겠죠.. 잘 받았습니다 감사합니다,4
25,온라인수업 하는 도움되요 좋아요,4
26,두번째 구매  줌 수업용으로,4
27,기대해 보겠습니다~,4
28,갤럭시탭하고 고민 많이했는데 오히려 이제품이 더빠른걸체감합니다 다만 냇플릭스 시청할때 위아래 공간남은건 조금 불편한정도 ㅎㅎ,4
29,아들이 아주 좋아합니다. 편하게 공부할수 있어 좋아요,4
30,도착하자마자 만지작 했어요아패는 처음이라 낯설구 어렵네요128기가를 살까하다가 32기가로 샀어요제가 하는 작업이 그리 용량 많이 필요한 게 아니라서요 잘 쓸게요,4
31,포장상태가좀부실한것같아요 그래도 다행히 문제는없어 보여요,4
32,생각보다 일찍 배송되어서 너무 기뻤어요~ 맘에 쏘옥 듭니다,4
33,옆면에 긇혀있긴했지만 상태 나쁘지 않았어요 ~ 잘쓸게요 ~,4
34,배송이 빠르게 도착했네요 오래걸리는줄알았는데,4
35,잘 사용하고 있어요. 감사합니다.,4
36,배송돛빠르고 양품 좋게받았어요,4
37,커서 쓰기 좋네요 ㅎ,4
38,오프라인상에서 구매할수없어 이사이트에서 구매하게되었는데 깨진곳없이 잘배송되었습니다~,4
39,빠른배송 배송상태 모두 만족합니다,4
40,1. 배송이빠름2. 제품에 이상없엇음3. 용량을 큰걸살꺼에 대한 아쉬움/제품은 좋아용,4
41,그림그리는 용도로 아주 요긴하게 잘 사용하고 있어요,4
42,디자인도 이쁘고 아이가 좋아하네요^^~,4
43,남편이 잘 쓰고 있어요 만족해요 굿굿,4
44,배송이 빠르고 제품 만족합니다.,4
45,배송 빠르고 제품 조아요,4
46,인강용으로 딱이네요,4
47,정말 배송 빠르네요.작동 잘되요.,4
48,배송 빨리 해줘서 좋았어요!! 포장도 잘 돼고 왓챠쿠폰이랑 리브엠 유심도 줘서 만족스러웠습니다,4
49,맘에 들고 쓸만한거 같아 좋아용 ㅎㅎ 기대한정도 네요,4
50,주말에 주문해서 목요일에 받았어요. 뽁뽁이에 잘 싸여 왔습니다. 만족합니다.,4
51,저가제품 이지만 괜찬네요,4
52,잘받았어요!근대 배송이 조금늦었어 별한개 뺐어요!,4
53,다른곳보다 저렴한 가격으로 구매했어요 . 근데 찜을 안눌르서 포인트 적립이 안되서 아쉬워요 ㅠ,4
54,공홈보다 싸게 잘삿네요,4
55,화질도 좋고가볍고빠르고 좋다고  하네요가성비도 좋다하고요,4
56,빠른 배송 만족합니다! 급하게 사야했는데 예상 배송일과 비슷했어요,4
57,친절하게 답변 빨리 해주시고 상품도 무사히 잘 왔어요 감사합니다,4
58,만족합니다  택배상자가 튼튼하네요..👍,4
59,잘 쓰고 있어요~~~,4
60,화면크고 가볍네요 아이 게임하는데 잘된다고하네요,4
61,좋습니다. 빠른배송감사합니다^^,4
62,누님이 선물해줘서 처음 아이패드를 받았습니다. 잘사용하겠습니다.,4
63,"다른 구매 후기들처럼 배송이 빠르고, 잘 전달받아서 기분이 좋습니다!",4
64,기능이 좋아 잘 사용하고 있습니다.,4
65,아주 잘 사용하였습니다,4
66,"좋아요.... 좋습니다,..",4
67,아이가 맘에 들어해요,4
68,좋습니다~ 잘사용하겠습니다,4
69,예전에 아이패드를 쓰고 괜찮아서 샀는데 음...지인이 갤탭쓰는데 갤탭이 더 좋아보여요ㅠ 갤탭은 펜도 기본으로 주고 충전도 따로 안해도 되더라구요...일단 샀으니...쓰긴씁니다,4
70,아이패드 최고 ~! 쓸수록 용량 큰거 살걸 후회돼지만 좋아용,4
71,좋아요 사용하는데 전혀 문제 없어요,4
72,가성비 좋네요 깔끔하고 좋아요,4
73,아이가 잘 사용하고있어요,4
74,지난 금요일 주문하고 화요일 받았습니다.배송은 빠르게 진행된 것 같습니다.아이패드는 성능은 사용해 봐야 알 수 있을것 같습니다.아이가 좋아는 합니다,4
75,페이퍼리스 삶을 이룩하게 해준 아이패드에 감사 드립니다.스그 색이 다 떨어져 실버를 받게 되었지만왜인지 실버가 ㄷㅓ 이뻐 보이네요. 감사합니다,4
76,넷플릭스용으로 삿어요 너무 좋아요,4
77,가볍고 그림그리는데 유용해요,4
78,잘 사용하고 있습니다.,4
79,동영상 및 학습용도로 좋습니다,4
80,7세대랑 별 차이는 없네요~~~!!^^,4
81,스페이스 그레이 너무 예뻐요,4
82,아이패드 잘 받았습니다.,4
83,이쁘네요 잘쓰겠습니다,4
84,아이가 너무 좋아해요,4
85,감사합니다. 앞으로도 자주 이용하겠습니다,4
86,예약구매 상품이라 배송은 좀 걸렸지만제품은 정상적으로 절 받았네요.좋아하는 아이를 보니 다행이네요~^^화면 배젤만 더 얇아졌으면 좋겠네요 ㅎ,4
87,배송이 빨랐어요 감사합니다,4
88,배터리가 좀 빨리 닳긴하는데 드라마 볼 때 좋아요,4
89,상품 받고 완전 만족합니다 ㅎㅎ,4
90,잘받았어요 포장이 약간 아쉬움,4
91,쓰기편리합니다배송 빨라요,4
92,동영상 재생용으로 좋아요,4
93,나름 괜찮습니다...,4
94,깔끔하고 좋네요~~,4
95,"아이가 인강용으로 원해서 기본사양으로 사줬는데, 괘안은듯요~",4
96,용량은 자지만 학습용으로 구입.음량도 좋고 화면이 커서 보기좋네요.설정하느라 좀 헤맸는데 배송 빨라서 다행입니다,4
97,배송 잘됐는데 금요일 저녁에 시켜서 그런지 거의 5일을 기다렸네요 ㅠㅠ 배송부분이 좀 아쉬웠어요,4
98,"배송도 빠르게 왔고, 포장도 꼼꼼하게 와서 좋았어요",4
99,아이패드로 찍은서진인데 화질 좋은지는 잘 모르겠고 일단 만족은 하는디 뭐 쏘쏘네요 저는 살땐 스그품절이라 실버샀는데 스그살껄 ㅠㅠㅠ배송은 무진장 빨라요 굿굿,4
100,배송도빠르고 포장도 좋아요,4
101,배송이 빨라서 좋았다,4
102,배송도 빠르고 안전하게 포장되서 왔네요 골드 생각보다 이쁘네요,4
103,불량화소 제품이 와서교환받느라 시간이 좀 걸렸지만이건 애플의 문제이니ㅠㅠㅠ제품 잘 받았습니다!:)감사합니다~,4
104,아주아주 만족스럽습니다,4
105,월욜날 시켜서 오늘 받았습니다.. 목빠지게 기다렸는데 기대중입니다 ㅎㅎ 잘쓸게요~~!!,4
106,빠른배송과 안전한 포장이 마음에 들었습니다,4
107,배송이 조금 걸렸지만 그 외에는 다 좋아요!,4
108,택배포장도 꼼꼼히 잘 해주셔서 감사합니다 근ㄷㅔ 본체에 끈끈이 같은게 조금 뭍어있네요 ㅜㅜ 뽑기운이겠죠..흑흑,4
109,배송은 옥천허브로 가는 바람에(?) 일주일만에 받았어요. 아이패드 자주 품절돼서 보이자마자 바로 겟했네요(:,4
110,화질도 선명하고 기본 색감도 너무 좋습니다. 단지 삼성을 쓰다가 아이패드를 쓰니 첨엔 조금 헷갈렸네요..ㅎ  가격대비 만족합니다.. ,4
111,배송은 일주일 걸렸지만 상품은 좋네요!서비스로 필름 준다고 적혀있었는데 필름이 오지 않았네요.... 왓챠 이용권 문자는 언제올까요?,4
112,받자마자 노트가 액정두 크고 사용하기에도편리하고 만족합니다 ~~^^,4
113,필름도 구매가능하면 좋겠습니다그래서 별하나 뺐어요,4
114,배송도 이틀만에 빨리오고 양품입니다 좋아요,4
115,우리딸이 갖고싶어해서 구매요 만족,4
116,잘받았습니다 사용하기좋네요,4
117,안전하고 빠른배송 감사요,4
118,아이가 좋아해서요 ♥♥♥,4
119,속도가 향상 되었지요...,4
120,왕 이제 드라마 봐야지,4
121,빠른 배송 감사해요 즐거운 설 명절 보내세요,4
122,생각보다 가볍네요~딸아이가 좋아합니다,4
123,베송도 빠르고 좋아요 ㅎㅎ,4
124,좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,4
125,아주좋아요아주좋아요,4
126,아이패드야 믿고쓰는 거죠ㅎㅎ,4
127,좋아요 너무좋습니다,4
128,좋아요 좋아요 좋아요 😆,4
129,"아이가 인강에 사용하는데, 너무 좋아합니다",4
130,늘 삼성쓰다가애플 쪽은 처음이라서적응이 좀걸릴것같은데일단화면이랑 사운드는좋네ㅛ 공부하기에도좋을거같고 잘쓰겠습니다,4
131,좋아요여러모로 잘 사용하고 있습니다,4
132,불편한거없이 잘쓰고있습니다.~^^,4
133,빠른배송 꼼꼼한 포장 좋앗어요,4
134,색깔도 예쁘고 배송도 빨라요~,4
135,배송도 빠르고 좋네요.,4
136,잘받았어요.,4
137,충전하는 쪽에..왜 기스가 있죠ㅠ?오자마자 이러는데... 설명가능할까요ㅠㅠ 비닐 씌워져있는 부분이고 비닐에 묻는건가싶어서 벗겨봐도 자국이 있네요 사진첨부가 안되는데 어디에 문의해야할까요ㅠ,4
138,가격이 해외보다 좀 비싸긴하지만 그나마 싸고 귀찮아서 샀습니다.,4
139,빠른배송.단단한포장 좋아요,4
140,Apple 아이패드 8세대 WIFI 32GB,4
141,무엇보다 배송이빠릅니다,4
142,조카가 사달라고 하도 졸라서 구매햇어요 사용은 전 안해봤지만 아이폰쓰는 저로서는 좋을거같다는생각이들어요~,4
143,배송도 넘 빠르고 써보니 넘 좋아요^^라미네이팅처리 안되어있어도 필기감 좋네요~~,4
144,동생 사줬는데 만족하면서 잘 쓸고 있네요! 포장도 깔끔하고 감사합니다!!,4
145,배송이 생각보다 늦었지만 물품이 잘 도착했습니다.,4
146,사이즈도좋ㄱ느색상도에ㅣ쁘고다좋아요,4
147,배송빠르고 안전하게 잘 포장되있네요,4
148,딸아이 인강용으로 구입했는데만족스러워하네요.저렴한가격으로 잘구매한듯하네요^^배송도 빠른편이에요,4
149,빠른배송 정확한날짜 좋습니다,4
150,배송빠르고 정품인것같음,4
151,배송도빨라넘좋았어용,4
152,배송 빨르고 좋아요,4
153,배송이3일걸렸네요  그래서 별점하나 뺏어요 다만족스럽스니다,4
154,배송 빠르고 재품도 좋아요,4
155,아이가 좋아하네요 ㅎㅎ,4
156,배송 빠르고 좋습니다,4
157,감사합니다~~~~~,4
158,부속품 암것도 없네여 ㅋㅋㅋ 펜이라도잇을줄....혹은필림지 있는줄 ㅋㅋ암것두없습니다 참고하세요^^,4
159,배송이 빠르기 왔네요. 상품도 문제없이 잘 왔습니다 ㅎ,4
160,배송 빠르고 좋습니다 많이 파세요,4
161,잘쓰고있습니당 ㅇㅇ,4
162,빠른배송 잘받았어요,4
163,빠른 배송이 좋아요,4
164,너무 좋앗습니다 ㅎㅎㅎ,4
165,솔찍히 아이패드OS를 빼고 보면 무슨 의미가 있는지 모르겠습니다.저가형 태블릿은 진짜 많이 사용해봤지만 20만원 미만 태블릿에도 이정도로 화면 간격이 넓은 태블릿은 본적이 없어요.. 2015년에 산 레노버탭도 이정도는 아니였는데...근데 아이패드 OS와 성능덕에 어느정도는 먹고 들어가는게 있는듯 합니다공부용으로 사려면 갤탭이 좀 더 괜찮은 선택이였다 생각합니다.,3
166,제품 자체가 나쁜건 없어요 잘 사용 중입니다~ 예전보다 화면도 더 크게 나와서 좋아요~ 다만...용량 선택을 잘못했어요 시스템이랑 아이패드 전용 앱이 절반이나 차지하네요ㅜ원래 16기가를 썼어서 괜찮을 줄 알았는데... 더 큰 용량으로 살 걸 잘못했어요ㅜ,3
167,제품에 하자는 없는것 같으나박스가 너무 충격으 많이 받아서 구겨진 느낌이 많이 납니다.전자기기이다 보니 충격에 영향을 받지는 않았는지 많이 불안하고 걱정이 되네요..쫌더 견고한 포장을 요하는 부분입니다.,3
168,왜왕대로 매우 만족합니다.,3
169,배송도 빠르고 좋았는데 포장곽이 좀 더러워진 상태로 왔어요 배송과정 중 그런건지 흠 ㅠㅠ이부분은 아쉽네요,3
170,선물용으로 삿어요 아직 안줬는데 문제없겠죠.,3
171,생각보다 빠르고 이뻐요 ,3
172,인강용으로 애들이 잘  쓰고있어요,3
173,선물 잘 했는데요 네이버에 들어가니 검색하지 않았던 기록이 있어서 조금 당황했지만 삭제하고 다시깔았습니다 잘 사용중입니다 그런데 혹시 중고나 그런건 아니겠죠.?.?,3
174,아이패스 빠른 배송해주서 좋아요,3
175,새 기기인데 앱 다운 속도가 느린 편 게임용이나 영화 다운로드해서 보는 용도로 살 거면 용량 큰 걸로 사야 할 듯. 디자인 앱이 많은 점은 좋음.,3
176,아들 인강때문에 구매했는데 오늘 받고 넘 좋아하네요~^^ 많이 파세요~~,3
177,잘쓰고있어요 애들은 좋아하네요 노트정리도 거기에하고 좋아요,3
178,잘사네요 배송도 빨라요,3
179,아이패드 첫 사용한지 한달이 지났네요잘 쓰고 있습니다만한국os에 길들여져서 그런가 불편한 점도 여럿이네요그래도 나쁘진 않아요,3
180,그럭저럭 괜찮은것 같아요,3
181,배송빠르고 잘쓰고있어요,3
182,안전하고 빠른 배송 감사합니다,3
183,겉 포장지가 조금 찢어져서왔네요 ㅡ.ㅡ 별거아니겠지만 별로 유쾌하지는 않네요,3
184,케이스같은거 아무것도 안넣어주셨네여 ㅠㅠ 아쉽네여,3
