,review,star
0,말그래도 최고입니다당일배송 맞구요! 택배 파업으로 늦어질 줄 알았는데 구매한 다음날 바로 받아봤습니다정성스럽게 된 포장을 뜯자 영롱함이👍🏻 아버지 건강체크 겸 사용하려고 구매했는데저렴한 가격에 완전 만족하는 구매입니다,5
1,삼성전자 갤럭시워치3 사고는 싶지만 가격대가 높아서 망설이던중 특가하라를 통해서 사고 포인트를 30%  돌려받으니까 정말 저령하게 사거됐고 돌려 받은 포인트로 다른 상품을 살수있어서 일석이조의 혜택을 받았다. 배송도 빠르고 작동도 쉬웠으며 언제어디서나 혈압과 심전도도 체크하고 무엇보다도 워치를 통해 운동도 관리받을수 있어서 좋았고 코로나로 인해 야외 활동이 줄어든 지금 운동과 건강을 함께 챙기기엔 삼성갤럭시워치3가 딱이예요.,5
2,"실구매가 331000원에 구매했습니다.친구 선물로 사줬는데 엄청 좋아하네요ㅋㅋㅋ손목얇은 남자라 41이랑 45 사이에서 엄청고민했는데유튜브,인스타,블로그 엄청 찾아보고 심지어 직접 차보니 확실히 45가 손목이 얇아도 남자한텐 딱인것 같아요. 좀 큰게 싫다. 작은게 좋다!하시면 41도 괜찮을듯싶어요. 성능은 뭐 알려진 그대로고 블랙이랑 고민하시는 분 있으실텐데제 개인적인 생각으로는 블랙은 약간 장난감 같았어요. 저도 처음엔 블랙으로 구매를 했고 매장가서 직접 보니 아무래도 실버가 어울릴것같아 교환했습니다. 지금은 매우 만족하고요.블랙은 약간 스포티하고 20대초의 흰티에 청바지 자주입으시는 분들한테 찰떡일것같아요. 20대 후반~직장인이신분들은 아무래도 정장이나 세미정장 많이들 입으시니 실버가 깔끔한 이미지를 만들어주는것같아요. 오프라인 매장직원분도 실버를 차고 계셨는데 커스텀하기는 확실이 실버가 이쁘다고 했습니다.실제로 그분 커스텀한거 보고 실버로 확실히 마음굳혔구요ㅋㅋ색상 고민하시는분들에게 조금이나마 도움되길 바랍니다!",5
3,"제 생일을 기념해서 부모님께 각각 왓치 하나씩 사드렸어요. 아빠는 45mm 검은색, 엄마는 41mm 분홍색으로요. 처음 받으셨을 때는 에이 뭐 이런 걸 했어~ 반품해~ 하셨는데 “일단 받고 불편하면 쓰지 말라”고 하고 전화 걸고 받는 법, 문자 보내고 받는 법, 시리 사용하는 법 알려드리니까 한 분은 안방으로, 한 분은 부엌으로 가셔서 서로 왓치로 전화 걸고 받으면서 좋아하시더라구요. 보는 저도 좋았어요! 근데 하나 아쉬운 건 제가 무선 듀얼 충전기? 라고 휴대폰이랑 시계를 동시에 충전할 수 있는 기기를 구입했는데 이게 진짜 무선은 아니라는 거예요 ㅜㅜ 휴대폰이랑 시계를 무선으로 충전할 수는 있지만 그 기기는 유선으로 충전하고 있어야 해서 좀 아쉬웠어요. 그래도 부모님께서는 신기해 하시고 기기도 열심히 활용하셔서 저는 그런대로 만족해요. 물론 시계는 백퍼센트 만족하구요!! 감사합니다 :)",5
4,"화면 큰걸로하고싶어서 45mm 실버로 구매했는데, 손목대비 살짝 큰 감은 있지만 그대로의 멋도있고  깔끔해서 마음에 들어요. 교체용 스텐레스 줄까지 2개 구매했는데, 너무 남성남성해서 모셔둬야할듯합니다. 제 손목 굵기를 간과했네요...그래도 좋은 가격에 카카오프렌즈 무선충전기까지 득템했어요.",5
5,"제가 쓰는 기능은요.1) 시계 겸 만보계, 날씨확인2) 수면기록, 운동기록 (+칼로리기록)3) 전화 메세지 카톡 확인 및 가벼운 답장4) 네비게이션 (네이버앱 이용)5) 마신 물 양 기록6) 스톱워치, 음성녹음, 계산기, 등등... - 잘 안 씀7) 스타벅스앱, 큐알코드8) 추가로 가능 : 혈중산소, 혈압, 심전도, 추락알림(sos), 등등저는 주로 1~5번까지는 매일 쓰는거 같습니다.6,7번은 가능하지만 굳이 안 쓰는거 같고 8번은 가능하다고만 알고 있고 제가 젊어서 굳이 써야하는지까지는 모르겠네요.개인적으로 8시간 수면, 8천보 걷기, 물8잔 마시기 위해 노력하는 중이고... 이렇게 감시장치(?)가 있으니 참 좋네요. 제대로 안 한 날은 반성도 하게 되구요.",5
6,주말에 결제했는데 대체휴무때문에 화욜출고되서 수욜에도착했네요~ 하루가 어찌나길던지ㅎ 학수고대하며 기다렸다가 받았지만 광복절기념 밴드도 같이받고사은품 살균기도 받고 너무너무 좋아요기존에 기어사용하다 바꿨는데 가격은 좀있지만 그만큼 가볍고 착용감도 그렇고 만족도가 높네요. 아직 기능들 다 써보진 않았지만 좋을 것 같아요.,5
7,빨리 배송되었습니다.배터리가 충분히 충전되어있어 바로 연결했는데 특별히 설명서를 읽지않아도 사용에 문제없었습니다.수면측정은 특히 센싱을 예민하게 하는것 같아요.악세사리 별로 안하는편인데 워치3은 이뻐서 매일 끼고다닙니다ㅎㅎ,5
8,내가사고 떨어진가격누구에게 하소연해야하나요?반품하고 재구매하기엔 자존심이 허락않고인생은 타이밍이다 생각합니다그리고 코로나 시대에 그거 한번 안걸린 소외감을보상삼아 댓글 한땀한땀 적어봅니다저도 알고보면 전자시계 있는데이거 반짝 거려 샀습니다언제부턴가 반짝이가 좋아집니다전 45mm구매했는데 딱 좋아요충전기는 한개라 회사 집 들고 다니기에도 그렇고적금타신분들 충전기도 추가구매하세요,5
9,"진짜 고민많았던 워치에요,상품좋네요!설정도 잘했어요, 남편이 쓰려고 구입했는데 남성용치곤 작아요, 여성이 쓰기 적당한 사이즈네요그리고 친절히 상담해주신 사장님 감사합니다ㅎ브론즈보다 블랙실버가 이쁘네요ㅋㅋ반품안하길 잘했어요^^",5
