,review,star
0,"1. 배송 : 배송 빠르고 안전하게 왔습니다. 꼼꼼하게 포장해주셔서 먼곳 안전하게 받았네요2. 제품 : 색상-블랙 / 무게감-가벼운 편(아이폰 비교기준)그립감 좋고 가격대비 성능 만족해요~^^부모님 사용하려 구입했는데 기능은 간편하고 카메라 화소는 좋아서 가격대비 만족하신다고 좋아하세요. 같이 배송 온 사은품도 너무 좋아요.생각보다 좋은 투명 케이스와 튼튼한 보호 필름에 감동입니다❤️삼성이라 믿고 구입한 것도 있지만, 인터넷에서 구입하는게 사실 처음엔 망설였습니다.하지만 제품도 안전하게 오고 빠르게 도착해서 정말 좋았습니다. 급하게 필요했는데 덕분에 효도했어요!",5
1,배송짱요ㅎ오전에 구매결정했는데 오후7시쯤 배송~ㅎ미개봉 상품 인증샷 첨부합니다앱 다운받아 배경화면 벨소리까지 내려받기 폰대리점에서만 해야할 일을 직접하니 기분좋았어요.유심칩은 두번정도 반복해서 끼웠다 뺏다하니 되더라고요 참고하세요. 첨 로딩은 조금 느리지만 로딩후에 느리다는 건 못 느끼겠어요. 글구 투명 케이스랑.보호필름도 맘에 들어요.다 좋은데 단점이라면 무선충전기는 지원하지 않는다는 점 아쉬워요. 👍~~,5
2,보급폰이지만 사양이 잘 나왔다고 해서 구매했어요. 어제 점심때쯤 구매했는데 아침 10시쯤에 도착했어요. 총알배송이네요^^ 유심꽂고 폰을 켰는데 인식 안되었다가 재부팅하니 인식 되더라구요. 삼성 스위치앱이 있어서 기존 앱과 데이터도 편하게 잘 옮겼어요. 폰이 기능이 적어서 그런지 크기에 비해 많이 가볍네요 ^^; 같이 보내주신 사은품도 좋은데.. 다만 액정필름은 지문에 너무 많이 묻네요 마그네틱 데이터케이블은 c타입 단자가 자석인 줄 알았는데.. 줄이 자석이네요 ㅋ,5
3,고성능 휴대폰을 사봤자 비싼 유튜브플레이어 혹은 비싼 카톡메신저가 될게 뻔해서 보급형 기기를 알아 보다가 이 제품을 구매하게 되었습니다.일단 외관부터 보면 어썸바이올렛 색상 엄청 잘 빠졌습니다. 과거 보급형 기기와 다르게 후면 처리도 매끄럽습니다. 카메라 성능도 이 등급에 괜찮게 나왔그요. 플래그십 휴대폰과 비교하자면 당연히 비교 불가지만 가격을 생각하면 약간의 버벅거림을 감수할 수 있을 정도로 동작성 또한 만족스럽습니다. 고사양 게임을 주로 할게 아니라면 넘쳐나는 성능인 휴대폰인 듯. 강추!,5
4,부모님 선물로 자급제폰 해드렸어요!배송은 거의 2일만에 오는거 같고 처음에 택배 상자를 열었을때 핸드폰상자와 폰케이스 필름이 들어있어요.상자 안에는 유심핀 설명서 핸드폰 충전기가 들어있었고 핸드폰을 켜보니 잘 켜지더라구요! 천천히 하라는대로 눌러가면 어렵지않게 사용할 수 있을거 같아요. 전화번호 데이터 등의 이동은 스마트스위치 앱을 다운받아서 보냈는데 저는 전화번호만 보내는거라 쉽게 된거 같아요 필름은 매장에서 붙여본 경험 뿐이라 많이 긴장했는데 생각보다 잘 붙인거 같아요 ㅎㅎ 똥손도 할 수 있으니깐 어렵게 생각하지 않으셔도 될거 같습니다! 앱 다운도 쉽고 핸드폰도 바이올렛을 선택해서 엄청 예쁘고 귀여워요 화면도 넓어서 좋구요 곧 퇴근하고 오실 부모님이 좋아하셨으면 좋겠습니다좋은 제품 잘 사게 된거 같아서 기분이 좋네요감사합니다 :),5
5,"엄마 핸드폰 바꿔 드리면서 구매했습니다.바이올렛 색상이 좋네요. 사은품으로 케이스와 액정필름을 주셨는데, 저는 개인적으로 구매한 케이스와 액정 글라스를 사용했습니다.몇 십년 동안 SK텔레콤 유저였는데 비교 끝에 SK 통신망을 같이 사용한다는 세븐모바일로 결정하고 자급제 단말기를 구입해 알뜰폰을 개통했습니다. 알뜰폰은 고객센터 연결이 아주 많이 힘들다는 평들이 많아 긴장할 수 밖에 없더군요. 저는 먼저 유심을 받은 후 세븐모바일 홈페이지 가서 셀프개통을 진행했습니다. 신청서를 작성하고 유심개통을 했는데 엄마 명의의 범용공인인증서를 usb에 저장해놓고 체크카드를 준비하니 수월히 됐습니다. 자급제 새 기기에 알뜰폰 개통도 엄마 명의로는 처음이라서 혹시 안될까 싶었는데 유심을 장착하고 리부팅을 3회만에 통화가능으로 되었고요. 수동으로 입력하지 않아도 가능했습니다.기존 사용한 기기도 갤럭시라 데이터 옮기기도 비교적 수월했습니다.안드로이드폰을 사용해서 그런지 구글을 통해 주소록이나 카톡도 기존 사용하던 그대로 가능했습니다. 혹시 몰라 주말 아닌 평일 낮 시간대에 했는데 고객센터와 통화 없이 잘 되었네요.처음이라 아주 빠른 시간안에 사사삭~ 된 것은 아닙니다. 제가 기기다루는 걸 잘하지 못해서요. 개통 자체는 30분 동안 천천히 했고 기존 기기에서 데이터 이동해 기존 핸드폰처럼 셋팅하는데 2시간여 걸린 것 같네요. 액정보호 글라스 부착  전에 먼저 지문등록을 하고, 액정 부착 후 민감도 올리고 지문 재등록을 했습니다. 확실히 붙인 후에는 지문인식 오류가 빈번합니다. 이건 이 기기의 문제만이 아니라 노트20울트라도 마찬가지네요. 전에 쓰던 기기가 노트8 자급제였는데 삼성패스,페이,카톡,음성녹음 다 되니 엄마가 마음에 들어하세요. 배터리가 오래 가기만 바랍니다.초등 4학년 아이 핸드폰이 없는데, 앞으로 쓰게 된다면 아이것도 재구매 할 생각이 있어요. 다만 알뜰폰으로 개통했더니 기존과 비교해 속도가 좀 느린 것은 사실입니다.",5
6,"오후 2시 직전에 결제했는데도 바로 발송해주셔서 다음달 빠르게 수령했습니다. 보내주신 케이스랑 필름 붙이고, 기존 유심 장착해서 세팅하는데 총 한시간 정도 걸린 것 같습니다. 가족이 현재 S20+쓰고있어서 카메라 화질을 비교해봤는데, 줌인의 가능범위가 A32가 폭은 더 좁아도, 화질은 더 선명하고 빛번짐도 잘 잡는 것 같네요. 화면 크기나 폰 자체 크기는 약간 차이나지만 둘다 큰 편이라 부모님께서 보시기 편해하시네요. 단점이라면 켤 때 부팅속도는 좀 느리긴 합니다. 근데 꺼지는건 금방 꺼져서 장단점이 있는 것 같아요.자급제폰이지만 전체적으로 만족합니다. 추천!",5
7,입고되는 날 맞춰 주문해서 그런지 다음날 바로 받았구요...에어캡포장 딴딴하게되어서 잘 도착했습니다.  핸드폰바꾸고싶은데 비싼건 엄두도안나고 굳이 필요도없어서 보급형라인중에 A32기종이 평이괜찮길래 주문했어요. 자급형은 처음인데 예전폰에 스마트스위치 앱깔아서 새폰으로 자료랑 앱 전부 잘 옮겼고(시간은 좀 걸리지만) 대리점 방문안하고 pc로 T월드 들어가서 SKT확정기변 처리도 했어요. 새폰이라 좋네요. 약간의 단점은 예전폰보다 지문인식이 좀 안된다는것ㅎ 같이보내주신 사은품4가지는 모두 필요한것들이라 만족합니다. 케이스 바로 씌우고 액정필름도 바로 붙였어요. 거치대도 좋아요~,5
8,예전 핸드폰 용량이 너무 작아서 우연히 알아보다가 A32가 괜찮게 나왔다 해서 구입하게 되었는데 깔끔하게 이쁘게 잘 나왔네요.  카메라도 괜찮구요.보내주신 사은품 정말 맘에들어요.핸드폰 사면 항상 케이스랑 액정필름 없어서 바로 못 썼었는데 같이 보내 주셔서 바로  쓸수 있습니다.감사합니다. 쿠폰 덕분에 다른곳보다 저렴히 샀어요.ㅎㅎ번창하세요.,5
9,"휴대폰 받고 삼성서비스센타가서 제품 이상 유무를  점검 받고  사용한지 한달쯤 되어갑니다 전에 사용하던것보다  사이즈가 커져서 손에 딱 잡히지 않아 떨어뜨릴까봐  신경이 좀 쓰입니다 속도등은 조금 느린편이고 ..아쉬운점은  카메라 색감이 신형임에도 불구하고 안 예뻐요, 많이요.. 그래서 앱을 따로 깔아서 사용하고 있습니다",5
