,review,star
0,"폰 잘받았습니다고등학생 아들에게 갤21을 사주려니 부담스럽고갤20은 구모델인데 이번에 갤20FE 정말 잘 나온것 같네요 화면도 크고 속도야뭐 말해뭐하겠습니까ㅎ배송 하루만에왔네요케이스도 씌우고, 필름도 씌우고 아이가 만족하고 군대 군대갔다올때까지 쓴다고합니다ㅎㅎ성능도 프리미업급이고 가격도 할인 많이해주셔서아주만족합니다사업 번창하세요^^",5
1,"기존 사용하던 폰이 망가져 구매하게 되었습니다. 일요일 오후 주문하였는데 월요일 일찍 발송해주셔서 화요일에 받아 볼 수 있었습니다. 카메라 보호필름과 무선충전패드 사은품으로 동봉해주셨구요 기본 구성품으로는 충전기와 이어폰, 케이블, 그리고 젤리케이스가 포함되어 있습니다. 액정 보호필름도 기본으로 부착되어있어서 일단 보호필름을 따로 구매할 필요는 없겠네요. 좋은 상품 빠르게 보내주셔서 감사합니다.",5
2,"5G 상품이지만 자급제폰이라 쓰던 유심 그대로 꽂아서 쓰던 요금제로 이용 할 수 있어서 좋아요.(혹시 신호를 못잡으면 비행기 모드 켰다 꺼보세용)취급주의 테이프로 안전하게 배송되었구요.6.5인치로 화면이 큰만큼 189g 무게지만 비슷한 사이즈의 다른 폰들과 큰 차이 없고 손에 잡히는 그립감이 좋았어요.베젤이 두껍다는 평이 있던데 노치 없이 디스플레이가 탁 트여서 큰 불편 없이 사용할 것 같아요!!초광각, 광각, 망원의 트리플 카메라는 테스트 해봤는데 화질과 기능 모두 만족스러웠어요. 퀄리티 높은 사진을 찍을 수 있어요. 뒷판이 플라스틱이고 무광 재질인데 빛을 받으면 홀로그램처럼 보라빛이 돌아서 예쁘구요. 플라스틱이라 가볍고 as비용도 비교적 저렴하지 않을까 생각해요.충전기, 이어폰, 분리핀 + 부착돼서 나온 필름, 젤리 케이스가 기본 구성이고이어폰 단자는 따로 없어서 c타입 이어폰이나 블루투스 이어폰 사용해야해요.스마트 스위치로 기존에 쓰던 어플, 메시지, 사진 등 기본적인 것은 모두 옮기니 편하네요.s시리즈 이름을 달고 나온만큼 완성도 있고 충분히 만족스러운 폰이에요. 배터리 용량도 크고 반응도 빨라서 좋아요:)",5
3,배송서비스도 빠르고 상품포장도 안전하게 잘 포장되어 배송됐어요. 할인쿠폰 적용하여 타사이트에비해 좀 저렴하게 자급제폰을 구매했어요. 갤럭시 S6 휴대폰 사용하다가 갤럭시 S20 FE 5G 자급제폰으로 갈아탔는데 날라가는 기분이네요. 넘 넘 좋아요. 잘 사용할께요. 모든 롯데ON 회원분들께 (주)케이원정보에서 갤럭시 S20 FE 5G 자급제폰 구매를 강력추합니다.,5
4,"3년전부터 서브 폰으로 사용하고 있던 A9(2018)이 작년 말부터 유독 느려지기 시작하여 원래는 A52 5G를 살생각으로 계속 기다려왔었습니다.하지만, 반도체 부족사태로 판매가 밀려버렸고, 타이밍 좋게 위메프에서 삼성 파트너사 코잇이 조금 더 저렴하게 판매하는 것을 발견하여 2~3일 정도 고민 끝에 바로 구매하였습니다.노트와 A 라인만 쓰다보니 괜한짓한건가 하는 고민도 조금 했었으나, 물건 받고 셋팅을 진행하면서 그 마음이 확 바뀌었습니다.물론 새제품이라 쌩쌩한 것일 수 있으나, 기대 이상으로 서브 폰에 돌리던앱들이 매우 부드럽게 돌아갈 뿐만아니라, A라인이어서 어느정도 포기하였던 높은 등급의 방진방수나무선충전 등 여러 면에서 만족하고 있습니다.",5
5,부모님 효도폰으로 사 드렸습니다만족 하시네요아들은 시진핑노트 7 프로 쓰는뎅..아참 박스열었더니 톱밥같은게ㅡ나와서 놀라긴 했는데개통이력도 없었고 새폰 맞았어요근데 살때 79만원 주고 샀는데 지금 왜 69만원이에요?억울하다...내 10만원..돌리도,5
6,"이것저것 구매 전에 문의드렸는데 판매자분께서 정말 친절하게 답변 주시고, 배송도 꼼꼼하게 파손된 곳 없이 다음날 왔어요! 핸드폰도 미개봉 정품 맞고, 부모님께서 정말 좋아하셨습니다^^ 사은품도 설명에 나와있는 것들 모두 챙겨주셨어요ㅎㅎ감사합니다! 화이트랑 네이비 넘 예쁨!!!",5
7,이번 네이버 라이브쇼핑으로 구매했습니다. 신한카드 캐시백 감안하면 저렴하게 구매했구요.엘지 3년쓰다 다시 삼성으로 오니 쾌적하네요. 최신기종은 아니지만 이정도도 평소 사용하기엔 충분합니다. 화면도 크고 깔끔해서 편할듯 하네요~,5
8,어떤 휴대폰 모델을 선택할까 고민하다 결국에는 갤럭시 S20 FE 5G 자급제폰을 선택하여 구매했어요. 할인쿠폰 적용하여 좋은가격에 자급제폰을 구매했어요. 갤럭시 S7 휴대폰 사용하다가 갤럭시 S20 FE 5G 자급제폰으로 갈아탔는데 여러모로 상당히 좋네요. 지금도 자급제폰 구매를 망설이는 회원들께 갤럭시 S20 FE 5G 자급제폰을 강추합니다.,5
9,이번에 아빠 생신선물 알아보다가 지금사용 하는핸드폰이 너무 느려서자제폰 구매해 보았어요! 갤럭시 시리즈라 폰도 금방 옮겨지고 부모님사용하시는거에 큰불편함 없었어요! 폰도 네이비색깔로 은은하게 이쁘고핸드폰도.너무 가볍고 아** 폰 빠르다고 좋아하세요! 진작에 바꿔드릴껄 그래도 싸게 잘구매서서 이상없이 잘사용하고 있습니다 나중에 폰바꾸면 여기서 저도 자제폰으로 바꾸어싶어요! 카메라 화질도 좋고 쓰시던 요금제 그대로 쓸수 있어서좋은거 같아요!,5
