,review,star
0,"와  레드색이 너무 예뻐요무난한 색상이랑 고민 많이했는데정말 탁월한 선택이였어요.진짜 너무 이뻐요 레드강낭콩♡♡촌스러운, 싼티나는 레드가 아니라 세련미 넘치고 고굽져요 와 진짜이게 머선129다들 제 귀만 볼 듯ㅋㅋㅋ잃어버려도 금방 찾을 수 있겠어요.바로 개봉해서 음악도 들어봤는데음질도 미쳤....음질 너무 좋아요 진짜 깜놀 대만족!!음질, 디자인, 가격모든 면에서 정말 강추합니다!!배송도 정말 빨랐어요 판매자분 부지런 하십니다~^^잃어버리지 않고  오래오래 잘쓸게요~^^믿고삽니다 정품~~ 번창하세요~♡",5
1,"갤럭서 버즈의 첫 ANC 기능이 있는 제품을 기다렸는데, 타사 ANC 적용 블루투스 이어폰보다 가격이 저렴하게 나와 바로 구매했습니다. 배송은 하루 걸려서 완전 대만족~!!! 하루 사용 후 간단하게 후기를 적어봅니다.1. 충전케이스는 아담한 정사각형이라 휴대하기 편합니다. 무선과 유선충전이 가능하며, 갤럭시의 무선배터리공유 기능을 이용할 수 있어 좋네요.2. 음질은 저음기능이 강화되어 입체감 있는 음향이 너무 맘에 들어요. 개인적으로는 Galaxy wearable앱으로 이퀄라이저기능에서 풍성한을 선택하니 더 맘에 드네요.3. ANC기능은 오픈형이라 소음이 완전히 없어지진 않지만, 통화나 음악듣는데는 문제 없고, 주위가 차분해지는 느낌이 드네요. 무엇보다 오픈형이라 커널형보다 답답하지 않고 착용감도 좋아서 오래 껴도 아프지 않아 좋아요.4. 귀 밖으로 돌출되는 부분이 다른 이어폰보다 적어서 튀지 않아 좋고, 너무 작아서 빠지지 않을까 걱정했는데, 운동시에도 잘 고정되고 머리를 흔들어도 빠지지 않습니다. ANC 기능이 있는 블루투스 이어폰 중 타사 대비 경쟁력 있는 가격으로 출시한 거 같습니다. 주위 사람들도 실제 보더니 사고 싶어 하네요.",5
2,"발송은 빨랐는데, 연초라 택배 물량이 많아서 그런지 배송은 3일?정도 걸린것 같아요.. 판매자님 잘못이 아니니 그러려니 합니다. 물건은 그럭저럭 괜찮습니다.  에어팟 프로에 비교했을때 딱 가격만큼 하는 정도...  노캔 기능은 거의 없다고 봐도 무방할 정도로 별 소용이 없는것 같고..   지금껏 커널형만 써본지라, 오픈형은 처음 사용하려니 뭔가 제대로 안끼워진것 같고, 달리기 하면 빠질것 같은 느낌이 들어서..   이것저것 검색해보니 , 삼성 서비스 센터 가면 골무 준다길래 골무 받아 끼우고 나니 착용감은 훨씬 좋아졌습니다.  전 손에 땀도 많이 나고 기름이 많은 체질인데, 광택이 나는 제품이다 보니 만지고 나면 제품에 지문? 같은 흔적이 많이 남네요.. ""오~~  좋다!! "" 이런 느낌까진 없고, 그냥 가격만큼 하는구나 싶네요.  무선 이어폰은 안써봐서 그런지, 이제품 중저음이 좋다고 하던데 그것도 크게 모르겠습니다...  나쁘지 않지만 대단히 좋지도 않은 느낌..  그러나 뭔가 기존에 쓰던것과 모양과 착용방법같은게 다르다보니 새로움은 있네요..",5
3,"블랙 색상이다 보니 모든 구성품 검은색으로 깔맞춤 되어있어 더 보기가 좋네요. 구입 전 색상 고민을 많이 했는데 화이트는 너무 무난하고, 브론즈는 너무 튀어서 그 중간에 있는 블랙을 선택했는데 실물이 너무 예쁩니다. 대신 유광 부위에 벌써 지문이 많이 보이네요ㅎㅎ호불호가 강하게 드는 착용감 때문에 구매 전부터 걱정이 많았는데요, 오픈형 특유의 개방감 덕분에 커널형에서 느꼈던 답답함이 없었고 귓바퀴에 정확히 안착되어 첫 착용감은 만족스러웠습니다. 대신 오랫동안 착용했을 때 윙팁이 귓바퀴를 누르면서 생기는 통증이 조금은 거슬렸습니다. >음질은 저음이 강조되어 고막을 치는 느낌이 다소 강하게 드는 편입니다. 음의 분리가 좋아 공간감이 잘 표현되고, 전체적으로 매우 훌륭한 해상력을 보여줘 아주 만족감이 높았습니다. ANC도 생각보다 소음을 잘 잡아주는 느낌입니다.코드리스 이어폰 구입하고 싶으신 분들께 버즈 라이브 적극 추천합니다!",5
4,무선 이어폰을 처음 사용해봤습니다. 유선만 이용해서 무선은 음질이 떨어지지 않을까 걱정했는데 그걸 바로 해소시켜준 제품입니다. 우선 귀에 딱 맞게 착용했을 경우 대부분의 사람들이 감탄할 만한 사운드가 뿜어져 나왔고 저음의 울림이 마치 공연장을 연상케했습니다. 라이브란 이름이 이런 특색을 두고 네이밍된 것이 아닐까 생각합니다. 노이즈캔슬링의 경우 집에선 이게 잘 되는걸까 의심했는데 고속버스 엔진음이 주변에 들릴 때 마치 창문을 하나 닫은 것처럼 외부 소음이 차단됐습니다. 엄청 극적인 효과는 없지만 이 정도면 일상생활에선 충분하다고 생각합니다. 착용감은 제 귀에는 실리콘 팁이나 이어팁 교체가 필요 없을만큼 딱 맞았습니다. 다만 가끔씩 오래 착용하면 귀가 불편해질 때도 있었습니다. 디자인 면에서는 콩 같아서 고민하시는 분들이 있을텐데 그러지 않으셔도 될 것 같습니다. 저도 디자인과 색이 독특해서 망설였는데 실제 착용을 해보니 개성을 살리면서도 지나치게 튀지 않는 고급스러운 디자인이었습니다. (미스틱 블랙 구매했습니다.) 단점이 있다면 역시 유광 제품은 유분과 지문이 너무 잘 보인다는 점이지만 구매 전에 예상한터라 큰 단점은 아니었습니다. 오히려 블랙이 때가 덜 타지 않을까요ㅎㅎ 케이스는 보석함마냥 심플하면서 빛나는데 혹시나 긁힐까봐 케이스 구매하여 바로 씌웠습니다. 죠르디 케이스....너무 귀엽네요. 근본 케이스 인정합니다. 연결성도 만족스러운 수준입니다. 아이폰인데도 크게 불편함이 없고 대부분의 기능을 문제 없이 사용할 수 있으며 아이폰의 음성비서 기능도 사용할 수 있었습니다.결론만 얘기하자면 무선 이어폰이 없는 분은 무조건 구매 추천드립니다. 이 정도 가격에 이 정도 품질이면 가성비지 않을까요? 아이폰이시면 에어팟 사실 수도 있겠지만 음질만 놓고 보면 이 제품이 더 훌륭하지 않을까 생각합니다. 잘 고민해보시고 합리적 구매 하세요~!,5
5,무선 이어폰을 처음 사용해봤습니다. 유선만 이용해서 무선은 음질이 떨어지지 않을까 걱정했는데 그걸 바로 해소시켜준 제품입니다. 우선 귀에 딱 맞게 착용했을 경우 대부분의 사람들이 감탄할 만한 사운드가 뿜어져 나왔고 저음의 울림이 마치 공연장을 연상케했습니다. 라이브란 이름이 이런 특색을 두고 네이밍된 것이 아닐까 생각합니다. 노이즈캔슬링의 경우 집에선 이게 잘 되는걸까 의심했는데 고속버스 엔진음이 주변에 들릴 때 마치 창문을 하나 닫은 것처럼 외부 소음이 차단됐습니다. 엄청 극적인 효과는 없지만 이 정도면 일상생활에선 충분하다고 생각합니다. 착용감은 제 귀에는 실리콘 팁이나 이어팁 교체가 필요 없을만큼 딱 맞았습니다. 다만 가끔씩 오래 착용하면 귀가 불편해질 때도 있었습니다. 디자인 면에서는 콩 같아서 고민하시는 분들이 있을텐데 그러지 않으셔도 될 것 같습니다. 저도 디자인과 색이 독특해서 망설였는데 실제 착용을 해보니 개성을 살리면서도 지나치게 튀지 않는 고급스러운 디자인이었습니다. (미스틱 블랙 구매했습니다.) 단점이 있다면 역시 유광 제품은 유분과 지문이 너무 잘 보인다는 점이지만 구매 전에 예상한터라 큰 단점은 아니었습니다. 오히려 블랙이 때가 덜 타지 않을까요ㅎㅎ 케이스는 보석함마냥 심플하면서 빛나는데 혹시나 긁힐까봐 케이스 구매하여 바로 씌웠습니다. 죠르디 케이스....너무 귀엽네요. 근본 케이스 인정합니다. 연결성도 만족스러운 수준입니다. 아이폰인데도 크게 불편함이 없고 대부분의 기능을 문제 없이 사용할 수 있으며 아이폰의 음성비서 기능도 사용할 수 있었습니다.결론만 얘기하자면 무선 이어폰이 없는 분은 무조건 구매 추천드립니다. 이 정도 가격에 이 정도 품질이면 가성비지 않을까요? 아이폰이시면 에어팟 사실 수도 있겠지만 음질만 놓고 보면 이 제품이 더 훌륭하지 않을까 생각합니다. 잘 고민해보시고 합리적 구매 하세요~!,5
6,"무선이어폰중에 가장 디자인도 마음에 들고 케이스가 예뻐서 구매했습니다.깔끔한 하얀색에 때가 타거나 하는 일도 없어 걱정없이 여기저기 넣고다닐수있어 좋고, 귀어 넣고 러닝머신을 타거나 헬스를 해도 빠지지않아 편리하더라고요.노이즈 캔슬링이 막 완벽해서 주변소음이 완전히 안들리지 않지만 노래를 감상하거나 할때 방해가 되지 않을 정도로는 차단해줍니다. 딱 적당하게 차단해주는 게 저는 오히려 좋더라고요.한달 넘게 사용하면서 화장실에 가지고갔다 물바다에 빠트리거나 떨어뜨린 적도 많았는데 고장도 안나고 언제나 튼튼하게 잘 작동하더라고요.다른 제품들은 진짜 다 고장내서 제가 마이너스의 손이었는데 그런 내구성도 만족스러웠습니다. 다만 운동하면서 귀에 터치가 되거나 할 때 너무 잘 반응해서 노래가 끊기거나 하는 경우가 있어서 좀 불편했어요. 이것도 그만큼 터치를 잘 감지한다는 걸 의미한다고 생각할 수 있겠네요.배터리도 하루 충전하고 4일까지 썼어요. 저는 출퇴근길에 끼고 운동할때 한 두어시간 끼고 산책하거나 할때 두어시간정도 해서 하루에 한 대여섯 시간정도 사용하고 충전안하고 놔두는 편이거든요.. 근데도 풀충전에 그냥 굴리다보면 방전됐으려나..? 싶어 확인하죠?? 그럼 거의 케이스만 29%이정도로 떨어져있고 이어폰은 거의 100%가득 차있더라고요ㅎㅎ일단 너무 잘쓰고 있고 이거 쓰다 잃어버리거나 불편하면 새로나온 버즈프로나 에어팟으로 넘어가려했는데 사용해보고나니 재구매도 라이브로 할 예정입니다.아 현재 폰은 갤럭시 s10+사용중입니다.주변 분들에게 강력추천드려요.",5
7,"무선이어폰중에 가장 디자인도 마음에 들고 케이스가 예뻐서 구매했습니다.깔끔한 하얀색에 때가 타거나 하는 일도 없어 걱정없이 여기저기 넣고다닐수있어 좋고, 귀어 넣고 러닝머신을 타거나 헬스를 해도 빠지지않아 편리하더라고요.노이즈 캔슬링이 막 완벽해서 주변소음이 완전히 안들리지 않지만 노래를 감상하거나 할때 방해가 되지 않을 정도로는 차단해줍니다. 딱 적당하게 차단해주는 게 저는 오히려 좋더라고요.한달 넘게 사용하면서 화장실에 가지고갔다 물바다에 빠트리거나 떨어뜨린 적도 많았는데 고장도 안나고 언제나 튼튼하게 잘 작동하더라고요.다른 제품들은 진짜 다 고장내서 제가 마이너스의 손이었는데 그런 내구성도 만족스러웠습니다. 다만 운동하면서 귀에 터치가 되거나 할 때 너무 잘 반응해서 노래가 끊기거나 하는 경우가 있어서 좀 불편했어요. 이것도 그만큼 터치를 잘 감지한다는 걸 의미한다고 생각할 수 있겠네요.배터리도 하루 충전하고 4일까지 썼어요. 저는 출퇴근길에 끼고 운동할때 한 두어시간 끼고 산책하거나 할때 두어시간정도 해서 하루에 한 대여섯 시간정도 사용하고 충전안하고 놔두는 편이거든요.. 근데도 풀충전에 그냥 굴리다보면 방전됐으려나..? 싶어 확인하죠?? 그럼 거의 케이스만 29%이정도로 떨어져있고 이어폰은 거의 100%가득 차있더라고요ㅎㅎ일단 너무 잘쓰고 있고 이거 쓰다 잃어버리거나 불편하면 새로나온 버즈프로나 에어팟으로 넘어가려했는데 사용해보고나니 재구매도 라이브로 할 예정입니다.아 현재 폰은 갤럭시 s10+사용중입니다.주변 분들에게 강력추천드려요.",5
8,"오픈형을 찾으시는 분드에겐 좋은 선택일거 같네요.12mm 드라이버에서 나오는 음량, 음질은 만족스럽습니다.노캔기능은 아무래도 오픈형인점에서 크게 기대는 안하셔야 실망안하실겁니다.착용감은 귀의 크기에 따라 호불호가 확실히 갈리기 때문에 정확히 뭐라 하긴 그렇지만, 개인적으로 귀가 큰편인데 착용감은 편한쪽이였습니다. 장시간 끼고 있어도 불편함도 없었구요.기존에 인이어 타입에 익숙하신 분들이라면 살짝씩 들려오는 주변소음에 적응을 많이 못하실수도 있겠네요.(저도포함)하지만 너무 주변소리가 안들리면 불안하다, 뒤에 차가오는지 안오는지 궁금해미치겠다, 하시는 분들이라면 매우 만족할 만한 선택이겠네요.디자인도 유니크하면서 귀엽고, 음질또한 만족스러운 소리를 들려주니까 오픈형 찾으신다면 좋은 선택지 중에 하나가 될 수 있을거 같습니다.",5
9,"오픈형을 찾으시는 분드에겐 좋은 선택일거 같네요.12mm 드라이버에서 나오는 음량, 음질은 만족스럽습니다.노캔기능은 아무래도 오픈형인점에서 크게 기대는 안하셔야 실망안하실겁니다.착용감은 귀의 크기에 따라 호불호가 확실히 갈리기 때문에 정확히 뭐라 하긴 그렇지만, 개인적으로 귀가 큰편인데 착용감은 편한쪽이였습니다. 장시간 끼고 있어도 불편함도 없었구요.기존에 인이어 타입에 익숙하신 분들이라면 살짝씩 들려오는 주변소음에 적응을 많이 못하실수도 있겠네요.(저도포함)하지만 너무 주변소리가 안들리면 불안하다, 뒤에 차가오는지 안오는지 궁금해미치겠다, 하시는 분들이라면 매우 만족할 만한 선택이겠네요.디자인도 유니크하면서 귀엽고, 음질또한 만족스러운 소리를 들려주니까 오픈형 찾으신다면 좋은 선택지 중에 하나가 될 수 있을거 같습니다.",5
