,review,star
0,한지현상 은 제가 판단하기에 없었구요녹조 이슈가 한참있어서 불안했는데 마찬가지로 녹조현상이 아주 약간 있을뿐 만족스러웠습니다.배송은 바로 당일에 받아볼수있을정도로 빨랐고제품퀄리티야 삼성제품이니 부족한곳없었구요확실히 인터넷으로 구매하는게 오프라인 정가보다는 훨씬 싸서야무지게 구매했습니다 아주 만족스러워요s7보다는 s7+를 사는게 여러모로 활용하기에 이점이 많을거라 생각합니다,5
1,"아이패드 프로랑 고민하다가 갤럭시탭 S7+ LTE 구매했어요.  같은 급의 패드 프로랑 40만원 정도 차이가 나기도 하고, 스펙상으로 상당히 잘 나온 제품이라 생각해서 갤럭시탭으로 기울었는데 받고 보니 상당히 잘 나온 제품인 것은 사실입니다.다만 노트 앱(삼성노트, 노트쉘프 등) 쓰면 포고핀 주위에 갑자기 발열이 생겨요. 뜨거워서 못 쓸 정도는 아니고 따뜻한 정도인데 좀 신경이 쓰입니다. 인터넷에 보니 유증상자분들이 많아, 그냥 S7+ 전반적인 문제인것 같아요. 혹시나 서비스센터 가 봤는데 기계 이상은 아니라고 해서 그냥 사용해요. 소프트웨어 업뎃으로 해결되길 바랄 뿐입니당. 같은 증상이신 분들은 삼성에 오류 로그 많이 보내시길..그게 직빵이래요 오류 해결하는데는. 그래도 그것만  빼면 상당히 만족하고 있어요. 고가의 제품 답게 별별 기능이 다 있는데, S펜 번역기능 븐할화면 등 되게 유용합니다 ㅎㅎㅎ 그래도 100만원 넘는 지출, 생각보다 크니 아이패드랑 고민하시는 분들은 요모조모 잘 따져보시고 선택하세요. 특히 필기 해보고 고르는거 추천드리는데, (두 제품이 상당히 달라요.) 저는 가격도 가격이지만 갤럭시탭 S6 필기 해보고 그게 더 제 취향이어서 갤럭시탭 골랐어요. 모두 좋은 구매 하시길 바랍니다 !!!! * 아 배송왔는데 박스가 좀 찌그러져 왔는데 아무래도 택배가 그럴 수 밖에 없다는 것은 알지만, 아쉬워서 배송 8점 드려요. 전자제품 배송이라는게 항상 그런 아쉬움이 있네요.",5
2,"8일날 받아서 세팅하고 써봤는데 너무 좋네요 넷플릭스, 트위치, 동영상이나 책, 등 컨텐츠 소모에만 탭s6를 사용해서 고민 많이 했는데 그 고민이 무색하게 잘 산거 같습니다.  현재 알려진 문제들 중에서도 휨 현상이 한면이 a4 5장정도 들어가는데 다른면은 3장 이하라 그냥 쓰기로 했습니다. 녹조 현상은 약하게 있지만 전에쓰던 탭s6 와 비교해보니 전에 사용하던 탭s6가 더 심했는데 모르고 사용한걸로 봐서 녹조현상은 저한테 문제가 안 될것같습니다. 소리도 업데이트하고 나니까 시원하게 들립니다.  브론즈 색상이라서 배송이 2주차에 출발한거 말고는 배송도 빠르게 와서 만족스럽습니다. 15인치 노트북 옆에있어도 듬직합니다. 펜은 탭 s6 보다 길고 더 편안하고 필기감이 좋았습니다. 가격은 너무 비싼거 같습니다.",5
3,"구매하기 전 톡톡으로 문의들을 했었는데, 가능한 답변 자세하고 요청사항도 기억해주시고 잘해주셔서 너무 좋았어요.배송이나, 제조년월에 대해서도 신뢰 주셔서 믿고 구매하게 되었습니다. 사진으로 보시다시피 꼼꼼한 배송으로 너무 좋았고, 녹조현상이 조금 있지만 이건 공정상 불가피한 문제라서 크게 여기지 않았습니다. 사용한지 얼마 되지 않아 모르지만, 일단은 큰 하자없고 최신 제조년월로 양품 받은 것 같아서 너무 기분 좋네요 !배송도 당일택배로 받을 수 있는지 지역도 다시한번 체크해서 도와주셔서 너무 좋았구요.주변에서 탭 구매한다고 하면 여기 적극 추천하고 싶어요 : ) 미스틱블랙 S7+LTE 로 구매한 후기 입니다 !",5
4,설 연휴에 코로나에 배송기간이 정체되어 오래 기다렸지만기다린 보람이 있습니다 제품 정말 좋네요네이버페이로 싸게 구매한것 같습니다.판매자님 톡톡 대응도 매우 빠르며 제품도 제품제조년일도 2021년 1월 최신이네요 많이 파시고 사업 번창하시길 바랍니다.,5
5,"초등학생 둘째가 원격수업을 e학습터 영상에서 화상수업으로 본격적으로 전환되면서 고심중에 노트북과 탭 중 실용성을 따져 탭으로 구입했어요 화상수업외에도 원격수업중 인터넷접속 퀴즈참여, 학습영상등 여러가지가 활동이 필요한데 스마트폰과 비슷하다보니 아이도 손쉽게 활용할수있어 좋고 노트까지 되다보니 필기며 노트펜으로 원격 사진촬영이 가능해 정말 실용성 짱이네요!!! 비싼가격에 구형모델을 살까 고심도 됐지만 어짜피 구입후 몇년은 쓸테니 s7플러스의 큰화면에 노트까지 되니 잘 선택한것 같아요~ 더구나 5할인에  카드5청구할인까지 받아 저렴하게 구입한것같아 만족합니다^^",5
6,역시 갤탭 S7+네요 강화필름이 아직 안와서 외관을 아직 보지는 못했지만 S펜 너무 이쁘고 좋아요~ 제조일자도 21년1월로 다행히 최신으로 받았구요~북커버랑 강화필름 오면 본격적으로 사용해보겠습니다~ 나중에 다시 리뷰적을게요!!,5
7,"배송은 목요일에 주문해서 토요일에 받았습니다.완충제 잘 감싸져있긴했는데, 박스 왼쪽 윗 부분이 조금 찌그러진 상태로 도착해서 태블릿 자체에도 충격을 받은듯한 느낌?이었지만, 확인한 결과 육안상 이상은 없었습니다.본체 휨, 녹조현상은 요즘 패시브라 다 있다고 보면 되구요. 마찬가지로 저도 명함 2개정도 들어갈 정도의 휨이 있네요. 사용상 전혀 문제되지 않아 그냥 쓰기로했습니다.화질 좋고, 필기감 좋고, 넓은 화면에 일단 첫 인상은 대만족^^사용하면서 한달 후기 남겨야겠네요!",5
8,"영업직이라 외근이 잦고 평소에 노트북을 들고다니지만간단한 외부 미팅시에는 다이어리를 사용했었는데나중에 미팅 내용 정리하고 할때 불편해서 급 땡겨서 구매했습니다.한달정도를 들고 다녔는데 너무 좋고 편하네요 기존 S5E도 가지고 있는데 괜히 동영상머신 하나 추가되는거 아닐까해서고민 많이 하다 구매했었는데 사길 잘 했습니다.동영상 화질, 음질은 말할 것도 없고 12.4인치라 크기도 시원시원..S펜 필기감도 좋아서 미팅때 삼성노트로 작성 후 텍스트 변환 + 이미지파일로 메일로 공유 해두고 업무 정리할때 정리하면 편하더라구요아직 공부에는 활용하지는 못했는데 여러가지로 유용하게 잘 써보려 합니다.",5
9,"좀 늦은 사용후기 남깁니다. 사전구매 예약은 늦은 손탓에 참여하제 못하고 물량이 풀리자 마자 구입했읍니다. 주문하고 이틀정도후에 도착.개봉하고 필름장착후 사용시작

[장점]
1. 일단 넓직한 화면 
2. 빠릿한 퍼포먼스 
3. 앱 개선(삼성노트) 
4. 번들앱(노트쉘프,한컴오피스) 
5. 120Hz주사율(화면 넘김이 손맛이 있음) 
6. Goodlock과 같은 기기 최적화 앱(정말 맘에 듦) 
7. 북커버케이스(과거 접착식은 영 아님) 
- 사실 S6가 손이 많이 안가는 이유중 하나가 본체+케이스 무게임
8. 2개의 조도센서
- 과거 S6로 동영상 감상시 화면 밝기 널뛰기현사이 없어짐
9. 펜도 S6보다 그립감이 훨씬 좋음
- 사실 S6 구매시 라미펜을 준 이유가 있던거죠
10. AKG사운드는 S6와 크게 차이는 없으나 잠깐씩 음악이나 동영상 클립볼때 간편함.
11. 배터리보호(80%정도까지만 완충)기능 정말 맘에듦.
12. 위에 잠깐 언급했지만 번들앱과 제공 컨텐츠 매우 좋음.

[단점]
1. 좀 더 컸으면 함.
2. 비쌈.(물론 스마트폰보다는 저렴.)
3. 하여간 더 저렴하면 좋을 듯

아이패드도 고민많이 했지만 안드로이드와 윈도우를 연동하여 사용성이 계속 개선되어 지기에 사과가게 제품은 찾지 않을듯 합니다. 우짯든 S6의 키보드가 너무 후져서 S7으로 넘어 왔으나 그 성능 알수 없어서 도착하면 어떨지 많이 기대됩니다.",5
