,review,star
0,폰을 바꾼뒤로 최근 어머니 눈이 자주 충열되시어 탭을 생각하고 있었는데 a하고 s가 있고 와이파이가 있고 엘티이가 있는 걸 확인하고 어머니 생활기준으로 폰을 장기간 보시는 거 같아 s를 구매해 드리고 싶었으나.. 한량인지라.. a를 둘러보다가 a버전중 팬이있는 게 있고 10.5가 있으며 10.1있다는 걸 알게 되어 두루두루 살펴보고 있는데 갑자기 a7? 새로운 게 나왔다하여~ 이전 버전들과 비교한 글들을 보니 액정이 더 큰거 같고 사운드가 향상된 거 같고 같은 값이면 최신형이 좋다는 마인드가 있기에 a7을 결정하게 되었습니다. (번외로 제가 2018 a8버전이였나를 쓰는데 안드로이드 버전을 지속적으로 업그레이드를 하니 그릇은 한정되어 있는데 무언가 주꾸만 체우니 야가..어느순간 돈주세요...하는 거 같 더군요 그래서 마쉬멜로?로 다시 다운그레이드 했지용 ㅠㅠ 그때 경험으로 그릇은 큰 게 좋다는 걸 알았습니다) 어머니를 전일 상표보았는데 보통 자정경에 주무시는데 폰으로 고스톱 하실때보다 탭으로 고스톱하셔서 그런지 몰입?이 되셧으리라 생각되는데.. 늦은 시간까지 잡고 계시더군요 ㅠㅠ 처음에 물건 받고 어머니께서 내가 이걸 어떻게 쓰냐..하셨는데... 역시 빈말씀이혔습니다 너무 잘 구입한 듯 합니다. 효도? 용으로 짱입니다. 번창하세요. 참 다시 번외로 신규탭이라 시장에 케이스이며 필름이며 잘 구비가 안 되어있을꺼라 생각되어 같이구매를 하여 대리점을 가 필름 해주라고 하니 안 해주더군요...내부규정으로 안 됩니다...제가 간 곳이 정식대리점이 아닌데.. 내부규정들먹이며 진상취급을 하다니 ㄷㄷ 예전에 시장에서 대화를 나누며 정을나누고..가격깍고.. 그런 맛은 이젠 없는 듯하여 많이 아쉽네요 ㅠㅠ,5
1,"적당한 가격의 적당한 성능을 가진 보급형 태블릿PC입니다.구성품은 사진처럼 본체, 설명서, 충전기, C타입 케이블, 유심핀으로 이루어져 있습니다.충전기는 고속충전기가 아닙니다. 참고하세요.외관은 특이할게 없습니다. 다만 마감이 조금 안좋습니다. 그렇게 신경쓸 수준은 아니지만.아무래도 중국산 ODM이니 중국산 제품이나 다름이 없어서 그럴지도 모르지요.성능은 며칠동안 사용해본 결과, 동영상, 웹서핑에 아주 좋은 물건입니다.스피커도 쿼드 스피커라서 아주 소리가 막힘없이 잘 들립니다. 그리고 Dolby Atmos 지원으로 아주 소리 좋습니다.다만 시야각이 별로 안 좋습니다.카메라 성능은… 태블릿으로 사진 찍는 것은 포기하는게 좋습니다.그리고 이런저런 기능을 뺐는데, 대표적으로 지문인식이 없으며, 화면 캡쳐시 손으로 밀어서 캡쳐가 안됩니다. 캡쳐 기능은 업데이트로 해줄 것 같긴한데, 현재로서는 전원버튼 + 볼륨버튼만으로 됩니다.종합적으로 볼때, 가격대 성능비로 괜찮은 보급형 태블릿PC입니다. 웹서핑, 동영상 이용만을 보신다면 추천할만한 제품입니다.",5
2,초등4학년 울공주 영어수업에 필요해서 급하게 금요일 주문해서 담주나 받겠지 했는데 담날인 토요일에 받았어요^^ 탭은 터치감도 좋고 수업용으로는 무난히 사용할수있을꺼 같네요 ...솔직히 3종패키지는 강화액정필름 빼고는 별루네요 탭커버는 좀 얇은느낌이고 고속충전기는 일체형이랑 사용하다보면 선이 끊어질꺼같네요 폰충전이 C타입이라 그냥 거기에 충전했어요,5
3,큰아이가 쓰던 기존 태블릿이 고장이 난김에 수리해서 동생에게 물려주고 학생인 큰아이용 태블릿으로 새로 구입을 했는데 배송도 하루만에 바로 오고 포장 깔끔하게 잘 되어있네요.화질도 깨끗하고 기존꺼보다 화면이 작기는 하지만 작다는 느낌은 없는것 같아요.아이도 좋아하고 동생도 이쁘다고 학교가면 이걸로 사달라고 그러네요.아이들 사용하기 좋을듯 하고 인강용이나 동영상 시청으로 이용하기 좋은것 같아요.친정엄마께 선물로 드리고 싶은 생각이 듭니다.핸드폰으로 유** 보시는 것보다 훨씬 좋을것 같아요.,5
4,"어머니가 아버지가 태블릿으로 영화 시청하는 걸 부러워하시는 것 같아서 알아봤는데 아버지가 쓰시는 갤럭시탭a 10.1 2019년형은 당시 선물 드릴때 30만원 쯤에서 산 것 같은데, 지금은 구하려면 40만원이 넘더라구요. 삼성 최신 보급형 태블릿으로는 이 기기 정도인 것 같아서 lg g패드랑 고민하다가 더 이슈가 없는 것 같아서 선택했습니다.얼굴인식이 되는데, 이걸로 아버지 꺼보다 더 좋다고 신나셨네요. 바로 넷플릭스랑 카카오톡 깔아드렸어요. 동영상이나 이북 정도의 콘텐츠 소비용이라면 충분히 괜찮은 선택인 것 같아요.",5
5,"4살 아들이 하도 폰으로 유튜브를 보려고해서 구입했어요. 담날 바로 배송됐구요, 사은품으로 주신 케이스도 회색이라 좋네요. 추가로 주문한 고속충전기는 충전해보니 충전시간도 많이 걸리고 충전시 충전기에서 소리가 계속 나서 거슬려요. 태블릿 첨엔 봤을땐 아주 좋다 느꼈는데 아들에게 하루 잠깐씩 유튜브 보여준게 전부인데 겨우 4일만에 갑자기 전원이 켜지지도 않고 화면이 반은 검은색, 반은 회색이 나타나기만 하고 먹통됐네요. 4일 쓰고 AS받고 왔습니다. 어이없는 제품입니다.",5
6,영상 감상하려고 구매해서 지금 일주일 넘게 써봤는데 넘넘 좋습니다ㅎㅎㅎ 가성비 최고예요 그리고 원래는 다른 공식스토어에서 구매하려다가 거기는 포장 문제가 심해 보여서 여기서 구매하게 되었는데요~ 포장 꼼꼼하게 해서 보내주셔서 좋았고 당일 배송도 아주 빠르게 왔어요~ 고속충전기+강화유리필름+케이스 패키지도 샀는데 이거는 그럭저럭 만족이에요.. 강화유리필름 붙이다가 깨졌어요ㅠㅠ 필름이 한 장밖에 없어서 여분이 없더라고요ㅠㅠ 케이스는 색상 선택이 랜덤이라 그게 좀 아쉽네요... 그래도 제품 자체는 넘넘 좋습니다 아주 잘 쓰고 있어용,5
7,두개를 각기 다른 쇼핑몰에서 구매했는데이 쇼핑몰도 배송이 무지 빨랐음.일반 음식점 매장에서 점주가 사용하기 우ㅏ해 구매했는데 속도도 괜찮고 무엇보다 가벼워서 좋았음. LCD 나 급속충전이 아니지만 사용해보니 전혀문제될것이 없었음.당연히 S시리즈와는 성능면에서 차이가 있지만 가격이 세배정도 된다는 것을 감안하면 이 태블릿도 가성비 꽤 괜찮다고 생각됨.추천!!,5
8,아주 좋습니다. 배송빠르구요 제품도 좋아요.며칠써보니 스피커가 양쪽으로 있어서 빵빵하고 좋네요. 화질도 좋고 핸드폰으로 영상보다가 태블릿으로 보니까 눈도 안아프고 너무 만족스럽습니다.화면도 큼직하니 좋네요. 양옆위아래로 배젤이 조금 있지만 이 가격에 삼성제품이면 만족입니다. 어머니 사드렸는데 괜찮아서 하나 더 살까봐요.,5
9,지인에게 받았던 탭이 구형이라 그런가 줌 앱 지원이 안되는... 아이들이 코로나로 원격수업을 진행하니 노트북 하나로는 부족하고 폰으로 보기엔 화면이 너무 작고... 고민하다가 저가형으로 하나 구입했어요. 구입하기전 검색도 많이 해봤고 직접 받아보니 생각보다 얇고 가볍네요?ㅋ 무겁다는분들이 계셔서 걱정했는데 완전 가벼워요~ 화면도 크고 기본적으로 필요한 기능은 다 있으니 딱입니다^^,5
