,review,star
0,포장 꼼꼼하게 잘 왔구요디자인 너무 깔끔하고 좋아요20만원대 블루투스에 비해서는 음질이 떨어지지만 가격대비 가성비 최고예요페어링 빠릿빠릿하게 잘 되구요통화중에 상대방이 제 목소리가 선명하게 잘 들린다고 하네요통화나 유튜브 감상용으로 구입했어요음악감상용으로는 살짝 부족해요하지만 저렴한가격에 이정도 퀄리티라니 너무 만족스러워요,5
1,에어팟 1세대 2년 사용 후 배터리 방전으로 구매했습니다지난주 5만원에 차이팟 에어 구매하였지만 형편없는 품질에 반품시키고 1.8만원에 에어닷 구매했는데 비교할 수 없을 정도로 아주 좋습니다패어링 잘되고 마감 좋고 음질 평타 이상이고 유튜브 영상 재생시 레이턴시 잘 맞고 이정도면 5만원 이상이어도 살만 한 것 같습니다,5
2,가격대비 음질 좋아요,5
3,부모님 사용중이십니다 잘 사용하샤서 좋아요,5
4,연결 잘 되고 음질 괜찮습니다,5
5,통화시 외부소리가 크게 들린다고 하네요...저렴한 가격에 음질 만족해요,5
6,잘 쓰고 있습니다. 가볍고 막쓰기 좋네요.,5
7,배송도 빠르고 패키징 상태도 굿가성비 갑입니다~,5
8,역시 샤오미최고에요 가성비 갑,5
9,가성비 좋습니다. 사용하기도 편해요.,5
10,가성비 최고임 싸긴 진짜쌈.,5
11,일단 넘나 가성비 최고입니다샤오미는 두말하면 입아프죠 완전 좋아요,5
12,가성비가 끝판왕입니다.물론 가끔 사람많은데서 혼선이 오거나 그러는데이 가격에 그 정도는 감수해야죠매우 만족합니다.,5
13,아주 가볍고 가성비 아주 좋습니다!!!,5
14,꽤오랜전에 받음. 가격에 비해 품질 너무 좋음,5
15,부모님 사드렸는데 좋다고 하십니다.,5
16,가격 착하고 성능도 만족합니다.,5
17,좋아요 ㅎㅎ 최고ㅎ,5
18,가성비가 좋습니다. 음질은 아주 좋은 편이 무선 거리는 방과 거실 4~5m 정도도 무난하게 들립니다. 베터리 충전후 사용도 하루 출퇴근길 3시정도 듣기에 전혀 문제가 없습니다.,5
19,두번째  구입인데 너무 잘 쓰고있어요,5
20,음질도 좋고 착용감 굿~~,5
21,ㄱㅏ성비 좋음. 낫베드.,5
22,싸고 좋아요~ㅎㅎ굿굿,5
23,너무 좋아서 지난 지난 5일에 아니꺼도 구매했습니다. 강력하게 추천합니다.,5
24,가성비 좋은 제품입니다오늘 받아서 음질 테스트 해봤는데괜찬네요. 사이즈도 아담하고 이쁘네요,5
25,음질도 괜찮은 편이고 가격도 좋고 샤오미 답네요~~,5
26,선물로 줬는데 정말 좋아하네요! QCY 라인보다 디자인도 훨씬 더 예쁘고요. 재구매 의사 있습니다.,5
27,가성비 좋아요좋은 상품 감사합니다,5
28,가격도 착하고 성능도 만족합니다^^,5
29,음질도 좋고 만족해요~~,5
30,막귀인저는 매우매우 만족합니다~~편하긴엄청편하네요^^,5
31,가성비 최곱니다. 선으로 연결된 블투 이어폰을 쓰고 있었는데 마스크땜에 불편했는데 너무 잘샀네요,5
32,싸고 기능도 좋네요,5
33,배송 빠르고 (주문하고 다음 날 배송됨) 작아서 귀엽고 편히하네요. 제가 음질 관련해서는 민감한 편이 아니라 평가는 못하겠네요. 패어링 잘 되고 제가 듣기엔 노래 듣는 거 음질 괜찮아요!,5
34,"가성비가 완벽함, 확실히 좋음, 비슷한 가격대의 QCY와 비교해도 떨어지는게 없는듯,,,",5
35,역시 샤오미는 불패네요! ㅠ 자사 제품 사주고 싶은디.. 점점 어렵습니다 ㅠ,5
36,매우 매우 만족합니다.,5
37,좋아요 아주좋아요 ~~!,5
38,배송도 빠르고 품질도 너무 좋내요,5
39,쓰기편할꺼같아용 너무이뻐요,5
40,가성비좋다고 생각됩니다,5
41,잘 작동됩니다^^*,5
42,추천해서 샀는데 좋았으면 좋겠네요~~,5
43,음질도 괜찮고 가격대비 좋아요,5
44,저렴한 가격에 잘 구매했습니다. 배송도 2일밖에 안걸렸어요~~,5
45,조깅하며 노래듣는데 음질도 조아요~~~,5
46,배송빠르고 좋ㅇㅏ요!,5
47,가성비 좋습니다세상 만오천원에 이런 제품이?????삼성이고 애플이고 모두 긴장 타야할듯,5
48,배송 빠르고 제품 맘에들어요~ 비싼 이어폰에 비해 성능 뒤쳐지지 않습니다 추천합니다,5
49,음악도 잘들리고  저렴하게 잘샀어요,5
50,만족합니다! 넘편해오ㅡ,5
51,가격도 좋고 성능도 좋고,5
52,가격대비 가성비 만족합니다.품질 우수합니다.,5
53,가성비짱이에요 일할때만쓰고있어요,5
54,빠른배송과 가성비 최고입니다,5
55,가격과 음질 모두 대륙의 실수,5
56,충전기가 없어서 방치중 ㅠ,5
57,"대한통운 파업으로 하루정도 느리게 배송됐지만빠르게 왔고, 스마트기기 연결 및 음질 이상없습니다.가성비 굳",5
58,에어팟 19만원에 사서 3년 쓰고 넘어왔는데세상이 달라졌습니다...샤오미 1.x만원으로 에어팟의 성능 대부분을 기대할 수 있는 시대가 왔슴을 느낍니다,5
59,배송빨라영 상품도 밀봉잘되서 기스하나없이 잘왔슴당,5
60,디자인도 이쁘고 가격대에 비해서 쓸만합니다.,5
61,배송이 빠르고 가성비도 좋습니다.갤럭시 s10쓰는데 충전기는 호환이 안되네요.옛날에 쓰던 충전기로 충전 중이에요.,5
62,저렴한데 기능은 그 이상이에요,5
63,노래듣기 딱 조아요~~~~~,5
64,저렴하고 아주 좋아요,5
65,남편이 사용하고 있는데. 되게 만족하고 있어요^^,5
66,작고 가벼워서 좋네요... 소리도 잘들리고 통화품질도 양호합니다.. 가성비 정말 좋내요.,5
67,블루투스 페어링 잘되고 음질 들을만하고가격 좋고.....,5
68,가성비 갑이라는 후기 인정합니다.진짜 가성비 갑 오브 갑이네요.,5
69,빠른배송이 매우만족스렵습니다,5
70,가성비 아주 갑입니다아주 추천합니다,5
71,음질이좋고 디자인도좋음,5
72,가성비 정말 좋네여 ㅋㅋ,5
73,빠른배송 저렴한가격,5
74,음질 좋습니다.거리도 3~4M 이상도 음향이 유지가 되네요,5
75,가볍고 음질 좋아요 많이 파세요,5
76,가성비 최고의 제품입니다.,5
77,생각보다 음질괜찮아요!!,5
78,가성비 최고에요 ㅡ,5
79,배송도 빠르고 잘 왔습니다 감사합니다,5
80,빠른배송 감사합니다.,5
81,좋아요  소리도 잘들리고 저렴하게 잘구매했어요,5
82,샤오미 너무 좋아요. 안좋은 제품이 업네요,5
