,type,category,review,star
0,아이패드,별점,고장나서 옴 수리하기도 돈아까윰,1
1,아이패드,별점,그냥 모든게 허접해요,1
2,아이패드,별점,,1
3,아이패드,별점,대응이 정말 안좋아요,1
4,아이패드,별점,액정 불량화소 있어서 말하니 센터가서 처리하라고하네 편하게 받고 싶은데 다시 가서 처리하는 시간과 돈은 누가 보상해주는데 애플 불량률이 높은건지여기가 불량이 높은건지,1
5,아이패드,별점,일주일이 넘도록 환불처리가 되지 않아 빠른 답변 부탁드립니다,1
6,아이패드,별점,,1
7,아이패드,별점,호환펜슬은 어디에도 없네요,1
8,아이패드,별점,제품은 알려진대로지만 다만 판매자가,1
9,아이패드,별점,공식대리점 맞아요 박스가 걍 재활용이던데쇼핑백은 왜 없어요,1
10,아이패드,별점,앱화면이 꽉차지않고 중앙에 덩그러니 작게 나와서 불편하게 쇼핑앱을 보는 단점이 있어요 이전화면 터치를 일일이 해야되고 이전화면 바로터치키가 없어매우불편합니다 게임중 화면녹화사용시 한번에 안되고 손으로 밀어꺼낸후 다시 터치해야되는 번거로움이 있읍니다,2
11,아이패드,별점,받아보니뒷면에약간 흠집이있어서 반품하려다가 그냥쓰려합니다 새제품은 겉에 필름도있고 해야하는거아닌가요,2
12,아이패드,별점,다른건 좋은데요 포장상태보고 놀람이 한번 대충둘러서엄청 뒹굴거려겠네영,2
13,아이패드,별점,좋긴한데 충전이 뜰려면 초 기다려야해요기계가 이상함,2
14,아이패드,별점,필름을 뜯었는데 손자국이 두곳 있엇구 뒷면엔 손때같은게 묻어 있엇어요순간 사진찍을 생각을 못하구 딱아 버렸네요새 상품이 맞는지 조금 의심스럽습니다,2
15,아이패드,별점,보통이에여,2
16,아이패드,별점,강화유리깨져오고 케이스는 더럽고ㅡㅡ,2
17,아이패드,별점,사전예약의미 없움,2
18,아이패드,별점,연락도없이 놓고가버리는,2
19,아이패드,별점,미니는 처음 써보는데 확실히 가볍습니다누워서 책보기도 좋고 이동하면서 활용하기도 좋네요다만 애플 생산 품질검사에 문제는 있어보입니다박스 안에 이물과 본체 후면에도 자국이 있네요놀라서 문질렀더니 지워져서 사진은 못 찍었네요 ㅎㅎ  프로세서 확실히 빠릅니다와 비교하니 하늘과 땅 차이네요사은품으로 주는 필름은 그냥 좋은거 따로 사세요임시로 붙여놓는 용도로 좋네요,3
20,아이패드,별점,휴대성과 펜슬 사용가능해서 미니 구매했습니다아이패드 세대 보다 훨씬 슬림하고 가벼워요확실히 휴대하기엔 좋을거 같아요영상 보기에도 많이 작지않는 화면이구요그런데 패드상자에 칼집 흠집이 나서 왔네요ㅠ센티 정도저는 박스도 보관해서 상처나서 온거 보니 맘이 아프네요제품에는 이상없길 바라며 구매확정합니다검수를 잘하셔야 할거 같아요,3
21,아이패드,별점,고속충전기 살거아니면 별로 추천드리지않음 진짜 충전 되게 느리구요 프로 충전 되잇엇는데 시간되니까 거의 없을 정도로 배터리없어요 충전하면서 게임하면 어느순간 꺼지구요 프로세스는 괜찮은데 고속충전기 사고 하실거 아니면 별로 안좋은거같네요 처음 패드삿는데 충전이 너무 짜증나서 남깁니다,3
22,아이패드,별점,금요일에 수령해서 개봉 후 액정에 먼지가 있어 고객센터에 요청드렸는데 애플에 문의하라기에 다음주 월요일이나 되서야 애플에 연락했더니 애플에서는 하이마트의 응대에 대한 의문을 품더군요 하자있는 제품에 대한 절차라 어떻게 짜여져있는지는 모르겠지만 개선바랍니다,3
23,아이패드,별점,,3
24,아이패드,별점,조아요 잘쓰고있어요,3
