,0,1,2,3
0,삼성전자 갤럭시북 이온 NT950XCR-G58A,1198000,등록일 2019.12.,7112
1,삼성전자 갤럭시북 플렉스 NT950QCG-X716A,1899970,등록일 2019.12.,5123
2,[최종 102만] 삼성전자 갤럭시북 이온 NT950XCR-G58A 게이밍노트북 인강노트북,1199000,등록일 2019.12.,4275
3,[최종 102만] 삼성전자 갤럭시북 이온 NT950XCR-G58A 게이밍노트북 인강노트북,1199000,등록일 2019.12.,4275
4,삼성전자 갤럭시북 플렉스 NT950QCT-A58A,1669780,등록일 2019.12.,3738
5,삼성전자 갤럭시북 이온2 NT950XDZ-A58AW,1498990,등록일 2020.12.,3535
6,삼성전자 갤럭시북 이온2 NT950XDZ-A38AW,1089000,등록일 2020.12.,3192
7,[최종 173만+4종필름셋트] 삼성 갤럭시북 플렉스2 NT950QDA-X71AZ 대학생노트북,1999000,등록일 2020.12.,2605
8,삼성전자 갤럭시북 플렉스2 NT950QDA-X71AZ,1949000,등록일 2020.12.,2584
9,삼성 갤럭시북 프로 NT950XDC-X71A SSD 1TB 노트북,2179000,등록일 2020.12.,2456
10,[최종173만원대] 삼성 갤럭시북 플렉스2 NT950QDA-X71AZ 11세대 대학생추천 인강용노트북 재택근무 MX450,1999000,등록일 2020.12.,2352
11,삼성 갤럭시북 이온 NT950XCR-G58A 대학생직장인노트북,1199000,등록일 2019.12.,2333
12,삼성전자 갤럭시북 이온 NT950XCR-G58A 대학생직장인노트북,1199000,등록일 2019.12.,2321
13,삼성전자 갤럭시북 플렉스 NT930QCG-K58A,1548990,등록일 2019.12.,2292
14,삼성전자 갤럭시북 이온2 NT950XDZ-A58AW 대학생노트북 사무용노트북,1499000,등록일 2019.12.,2258
15,삼성전자 갤럭시북 이온2 NT950XDZ-A58AW 대학생노트북 사무용노트북,1499000,등록일 2019.12.,2258
16,삼성전자 갤럭시북 프로360 NT950QDY-A51A,1798000,등록일 2021.04.,2249
17,삼성전자 갤럭시 북 12.0 WIFI SM-W720 256GB,1544620,등록일 2017.05.,2190
18,삼성전자 갤럭시북 이온 NT930XCR-A38A,1098990,등록일 2019.12.,2105
19,삼성전자 갤럭시북 프로 NT950XDX-G51A,1628000,등록일 2021.04.,2035
20,삼성 갤럭시북 이온2 NT950XDZ-A38AW 노트북,1199000,등록일 2021.01.,1999
21,삼성전자 갤럭시북 이온 NT950XCR-A38A,1099000,등록일 2019.12.,1883
22,삼성전자 갤럭시북 프로 NT950XDY-A51A,1498000,등록일 2021.04.,1850
23,삼성전자 갤럭시북 S NT767XCL-KLTE,959000,등록일 2020.06.,1690
24,[최종57만원대] 삼성 노트북 NT350XCR-AD5WA 갤럭시북 가성비노트북 인강용노트북 사무용노트북 i5노트북,599000,등록일 2020.07.,1622
25,삼성전자 갤럭시북 이온 NT950XCR-A58A,1225000,등록일 2019.12.,1509
26,[최종 140만] 삼성전자 갤럭시북 프로 온라인수업 주식 게임 지포스 게이밍 노트북,1678000,등록일 2020.12.,1503
27,[최종 140만] 삼성전자 갤럭시북 프로 3D 대학생 인강용 업무용 사무용 게이밍 노트북,1678000,등록일 2020.12.,1503
28,삼성전자 갤럭시북 플렉스 NT950QCG-X58A,1697990,등록일 2019.12.,1424
29,삼성전자 갤럭시북 프로360 NT950QDB-K71A,2149000,등록일 2021.04.,1356
30,[최종 1269만] 삼성전자 갤럭시북 프로 온라인수업 주식 게임 업무용 학생 가성비 노트북,1548000,등록일 2020.12.,1344
31,[최종 129만] 삼성전자 갤럭시북 프로 15인치 대학생 인강용 재택근무 업무용 가성비 노트북,1548000,등록일 2020.12.,1344
32,최종:107만! 갤럭시북 이온 NT950XCR-G58A QLED/AuraSilver/i5-10210U/8GB/256GB/인강용/대학생노트북,1199000,등록일 2021.02.,1344
33,삼성전자 갤럭시북 프로360 NT930QDY-A51A,1697990,등록일 2021.04.,1333
34,삼성전자 갤럭시 북 10.6 WIFI SM-W620 128GB,992170,등록일 2017.05.,1321
35,삼성 갤럭시북 플렉스 대학생 사무용 인강용 터치 태블릿 싼 15인치 가벼운 노트북,2099000,등록일 2020.06.,1225
36,노트북렌탈 삼성 갤럭시북 등록설치비면제 48개월의무,48000,등록일 2021.05.,1225
37,삼성전자 갤럭시북 S NT767XCM-K58S WIFI,898000,등록일 2020.07.,1162
38,삼성전자 갤럭시북 S NT767XCM-K38,798000,등록일 2020.08.,1159
39,삼성전자 갤럭시북 이온 NT950XCJ-X716A,2319990,등록일 2019.12.,1149
40,[최종 85만] 삼성 갤럭시북 S NT767XCL-KLTE 대학생노트북 인강노트북,998000,등록일 2020.06.,1116
41,[최종 85만] 삼성 갤럭시북 S NT767XCL-KLTE 대학생노트북 (LTE지원),998000,등록일 2020.06.,1116
42,삼성전자 갤럭시북 이온2 NT950XDA-X71AW,2021000,등록일 2020.12.,1077
43,갤럭시북 이온 NT950XCR-A58A QLED/AuraSilver/i5-10210U/8GB/256GB/인강용/대학생노트북,1269000,등록일 2021.02.,1032
44,삼성전자 갤럭시북 이온 NT930XCR-A58A,1499000,등록일 2019.12.,991
45,삼성전자 갤럭시북 이온2 NT950XDZ-G58AW,1494440,등록일 2020.12.,958
46,삼성전자 갤럭시북 프로 NT930XDB-K71A,1799000,등록일 2021.04.,946
47,[리뷰 900개 돌파] 삼성전자 갤럭시북 플렉스 NT950QCG-X716A 대학생 게임용 인강용 태블릿 노트북,1999000,등록일 2019.11.,931
48,삼성전자 갤럭시북 플렉스 i7 추천 2in1 15인치 대학생 게임용 인강용 태블릿 노트북,1999000,등록일 2019.12.,931
49,삼성전자 갤럭시북 프로 NT935XDB-K71AB,1899000,등록일 2021.05.,917
50,삼성전자 갤럭시북 플렉스 NT930QCT-A38A,1198000,등록일 2019.12.,884
51,[최종 76만] 삼성전자 갤럭시북 S NT767XCM-K58S 인강노트북 대학생노트북,898000,등록일 2020.06.,856
52,[최종 76만] 삼성전자 갤럭시북 S NT767XCM-K58S WiFi 대학생노트북 사무용노트북,898000,등록일 2020.06.,856
53,삼성전자 갤럭시북 NT750XDZ-A51A,997000,등록일 2021.05.,851
54,삼성전자 갤럭시북 플렉스 알파 NT750QCR-A38A,1199000,등록일 2020.05.,841
55,삼성전자 갤럭시북 이온 NT950XCR-A38A 대학생 삼성노트북,1600000,등록일 2019.12.,838
56,[최종41만원대] 삼성 노트북 NT350XCR-AD3AW 갤럭시북 가성비노트북 인강용노트북 사무용노트북 슬림노트북,549000,등록일 2020.12.,815
