,0,1,2,3
0,강화유리2장+후면필름+클리너 갤럭시탭S6 라이트 S7 FE + A7 Lite S5e A6 탭A 북커버케이스 P610 P615 with Spen S펜 삼성 갤탭 10.1 8.0,12900,등록일 2020.04.,13292
1,갤럭시탭S6 라이트 lite 탭A S7 플러스 A7 S5e A6 S4 갤럭시탭4 10.5 10.4 10.1 8.0 2019 삼성 어드밴스2 with S pen 북커버 케이스 갤탭,6600,등록일 2016.02.,5416
2,삼성 갤럭시탭S6라이트 탭A S5e A6 갤럭시탭4 어드밴스2 에바폼케이스 10.4 10.1 8.0 with Spen S펜 갤탭 SM-T290 T295 T295N,15900,등록일 2019.08.,3333
3,프롬버드 갤탭 s5e 아이패드 프로 미니 4세대 7세대 8인치 11인치 에어4 갤럭시탭 s7 태블릿 s7+ 파우치,7800,등록일 2019.01.,2371
4,프롬버드 펜촉 포함 갤럭시 S6 라이트 갤탭 lite 갤럭시탭 s6 s7 s7+ 북커버 케이스 커버 fe,14900,등록일 2020.12.,2304
5,삼성 갤럭시탭어드밴스2 10.1 회전 케이스 SM-T583 advanced2 웅진북클럽 패드 교원 빨간펜 스마트올 엠베스트 엘리하이 프라임탭 프뢰벨 리딩토탈 갤탭,5500,등록일 2019.01.,1524
6,갤럭시탭S6 라이트 S7 FE A7 Lite 탭A S5e A6 갤럭시탭4 10.5 10.4 10.1 8.0 삼성 어드밴스2 with S pen 젤리 북커버 케이스 갤탭 플러스,1400,등록일 2020.08.,1319
7,갤럭시탭S7 FE S7 플러스 공용 슬림핏 젤리 케이스 T735 T736 T870 T875 갤탭 삼성,5400,등록일 2020.04.,1191
8,1+1 갤럭시탭S7 FE S7 플러스 공용 젤리케이스+강화유리 갤탭,11900,등록일 2020.04.,1177
9,1+1 삼성 갤럭시탭A 8.0 2019 북커버 케이스+9H강화유리필름 SM-T290 T290N T295 T295N 갤탭,13900,등록일 2020.05.,1150
10,강화유리2장+후면필름+클리너 갤럭시탭A7 라이트 북커버 케이스 SM-T500 T505 T505N 갤탭 8.7 10.4,13800,등록일 2020.10.,999
11,갤럭시탭S6 갤럭시탭S7fe S7 플러스 S5e S4 A6 A7 갤탭A8.0 북커버케이스,7900,등록일 2015.04.,993
12,오젬 삼성 갤럭시탭4 10.1형 어린이안전 에바폼케이스,15400,등록일 2016.12.,951
13,삼성 갤럭시탭A 8.0 갤럭시탭A7 라이트 8.7 스마트 케이스 SM-T220 SM-T225 SM-T290 SM-T295 SMASUNG GALAXY TAB A,9900,등록일 2019.11.,830
14,갤럭시탭S7 FE S7 플러스 공용 젤리 케이스 SM-T735N T736N T870 T975 T976 갤탭 삼성,1800,등록일 2020.08.,706
15,삼성 갤럭시탭A7 라이트 TPU 슬림핏 젤리 케이스 북커버 회전 SM-T500 T505 T505N 갤탭 10.4 8.7,2600,등록일 2020.09.,611
16,오젬 7-8형 태블릿PC 전 기종 케이스키보드 모음전,11000,등록일 2016.11.,598
17,삼성 갤럭시탭 S7FE S6 라이트 A7 LITE 탭A 10.1 S7+플러스 S5E 8.0 2019 어드밴스2 갤탭 북커버 케이스+강화유리필름 2매 멀티팩,15200,등록일 2017.01.,555
18,펜수납 갤럭시S6라이트 갤탭 북커버 lite 탭 케이스 삼성 강화유리필름 종이질감보호필름,13900,등록일 2020.09.,545
19,삼성 갤럭시탭A 8.0 2019 슬림 젤리 케이스 SM-T290 T290N T295 T295N 갤탭,1600,등록일 2019.08.,543
20,웅진북클럽 삼성 갤럭시탭4 10.1 라운드 회전 패드 케이스 SM-T530 SM-T536 (어드밴스) 웅진 빨간펜 교원 구몬학습 갤탭,5500,등록일 2016.09.,543
21,갤럭시탭 S7 FE S6 라이트 A7 lite S7+탭A S5e 10.5 10.4 10.1 8.0 갤탭 북커버 어드밴스2 삼성 with s pen 2019 케이스,7900,등록일 2012.11.,538
22,삼성 갤럭시탭S6 라이트 펜수납 스마트 북커버 케이스SM-P610 P615 lite 갤탭,9500,등록일 2020.10.,526
23,삼성 갤럭시탭어드밴스2 10.1 에바폼 케이스 SM-T583 advanced2 웅진북클럽 패드 교원 빨간펜 스마트올 엠베스트 엘리하이 프라임탭 프뢰벨 리딩토탈 갤탭,14900,등록일 2019.10.,498
24,오젬 삼성 갤럭시탭 7-8형 전 기종 케이스키보드 모음전,11000,등록일 2016.10.,426
25,1+1 삼성 갤럭시탭A 10.1 2019 북커버 케이스+9H강화유리필름 SM-T510 T510N T515 T515N 갤탭,12900,등록일 2020.05.,420
26,"갤럭시탭S2 8.0 케이스 (TAB S2 SM-T715/T710 북커버), SAMSUNG GALAXY TAB S2, 갤탭S2, 삼성",7400,등록일 2015.08.,380
27,태블릿 반투명 젤리 케이스 아이패드 프로 5세대 4세대 12.9 11 10.5 9.7 갤럭시탭S6 라이트 S7플러스 S5E S6 탭S4 갤탭S3 A7 미디어패드T5 비와이패드2,1700,등록일 2020.07.,365
28,2017년 2018년 2019년 갤탭 a6 10.1 a 10.5 8.0 s5e 전용 케이스 북커버 기종선택 galaxy tab A with spen 갤럭시 탭 10인치 8인치,9900,등록일 2017.05.,353
29,삼성 갤럭시탭A 10.1 2019 슬림 젤리 케이스 SM-T510 T510N T515 T515N 갤탭,1600,등록일 2019.05.,347
30,갤럭시탭s7 갤탭s7+ 아이패드 프로 5세대 4세대 11인치 12.9 파우치 태블릿 아이패드파우치 가방,16900,등록일 2021.01.,315
31,1+1 삼성 갤럭시탭어드밴스2 10.1 북커버 케이스+강화유리 SM-T583 웅진북클럽 패드 교원 빨간펜 스마트올 엠베스트 엘리하이 프라임탭 프뢰벨 리딩토탈 갤탭,14900,등록일 2020.07.,314
32,갤럭시S6 갤럭시탭S6 라이트 LITE 키보드 케이스 북커버 파우치 갤탭 무선 마우스포함,29800,등록일 2020.12.,301
33,1+1 삼성 갤럭시탭S5e 10.5 스마트 북커버 케이스+9H강화유리필름 SM-T720 T720N T725 T725N 갤탭,12900,등록일 2020.05.,263
34,2+1 삼성 갤럭시탭A7 라이트 젤리 케이스+강화유리2장 SM-T500 T505 T505N 갤탭 Lite 8.7 10.4,11900,등록일 2020.10.,260
35,삼성 갤럭시탭A7 A7라이트 회전 젤리 북커버 케이스 필름 갤탭 10.4 8.7 Lite,5500,등록일 2021.08.,251
36,아이패드 케이스 갤럭시탭 S7 플러스 갤탭 화웨이 T5 M3 비와이패드2,3900,등록일 2021.07.,251
37,삼성 갤럭시탭4 10.1 라운드 회전 패드 케이스 SM-T530 SM-T536 (어드밴스) 웅진 빨간펜 교원 구몬학습 갤탭,5500,등록일 2016.02.,245
38,갤럭시탭 케이스 갤탭 S7 플러스 S6 S5e S4 S3 갤탭A A7 A6 갤탭E 10.5 10.1 9.7 8.0,3900,등록일 2021.07.,244
39,삼성 갤럭시탭A7 S6 라이트 S7+S7FE S5e 탭A8.0 투명에어쉘+강화유리 2매,12900,등록일 2021.07.,238
40,삼성 갤럭시탭A7 10.4 북커버 케이스 SM-T500 T505 T505N 2020 회전 젤리 갤탭,8300,등록일 2020.09.,216
41,삼성 갤럭시탭A 8.0 2019 회전형 가죽 케이스 SM-T290 T295 T295N 갤탭,5400,등록일 2019.08.,213
42,갤럭시탭4 10.1 에바폼 어린이 케이스 SM-T530 T536 웅진 빨간펜 구몬학습 갤탭,11000,등록일 2020.10.,209
43,삼성 갤럭시탭어드밴스2 10.1 SM-T583 에바폼케이스 advanced2 웅진북클럽 패드 교원 빨간펜 스마트올 엠베스트 엘리하이 프라임탭 프뢰벨 리딩토탈 갤탭,13000,등록일 2019.09.,204
44,삼성 갤럭시탭S6 라이트 S펜수납 에바폼 케이스 SM-P610 P615 lite 갤탭,13800,등록일 2020.06.,202
45,Dux Ducis 2018 갤럭시탭A 10.5 샤무드 커버 케이스갤탭10.5케이스 t590케이스 t595케이스 갤럭시탭A2018 2,18600,등록일 2021.06.,198
46,1+1 삼성 갤럭시탭A 8.0 2019 with S pen 북커버 케이스+강화유리필름 SM-P200 P205 P205N S펜 갤탭,12900,등록일 2020.05.,198
47,로마네 아이패드7세대 갤탭 태블릿 파우치 11인치 토스트식빵,11500,등록일 2021.02.,198
48,아이패드 파우치 아이패드에어4 프로 4세대 11인치 12.9인치 갤탭S7 이북리더기,12900,등록일 2019.12.,195
49,삼성 갤럭시탭A6 10.1 스마트 북커버 케이스 SM-P580 P585 P585NO T580 T585 T585NO with Spen S펜 젤리 회전 케이스 갤탭,8900,등록일 2018.10.,186
50,웅진북클럽 삼성 갤럭시탭4 10.1 라운드 회전 패드 케이스 SM-T530 SM-T536 (어드밴스) 웅진 빨간펜 교원 구몬학습 갤탭,4300,등록일 2019.03.,185
51,삼성 갤럭시탭A 10.1 2019 가죽 회전형 케이스 SM-T510 T515 T515N 갤탭,5400,등록일 2019.05.,180
52,Dux Ducis 갤럭시탭S7 샤무드플랫 스마트커버 케이스탭S7케이스 갤럭시탭S7케이스 갤탭S7보호케이스 탭S7커,24100,등록일 2021.06.,178
53,삼성 갤럭시탭S6라이트 젤리 케이스 SM-P610 P610N P615 P615N lite 갤탭,1800,등록일 2020.05.,177
54,갤럭시 탭4 10.1 케이스 SM-T530 SM-T536 (어드밴스) 웅진북클럽 구몬학습 빨간펜 케이스 웅진 빨간펜 교원 구몬학습 갤탭,5500,등록일 2017.10.,174
55,삼성 갤럭시노트 2014 에디션 10.1 가죽 회전 케이스 SM-P600 P605 갤탭,5500,등록일 2017.04.,169
56,삼성 갤럭시탭어드밴스2 10.1 북커버 케이스 SM-T583 advanced2 회전 젤리 웅진북클럽 패드 교원 빨간펜 스마트올 엠베스트 엘리하이 프라임탭 프뢰벨 리딩토탈 갤탭,7000,등록일 2019.09.,164
