,0,1,2,3
0,샤오미 스마트 미밴드 4,42000,등록일 2020.11.,33467
1,샤오미 미밴드5,34700,등록일 2020.09.,17026
2,샤오미 미밴드2,30630,등록일 2016.08.,10736
3,"Xiaomi-Mi Band 6 스마트 팔찌, 5 색 AMOLED 스크린 Miband 6 혈액 산소 피트니스 트래커 블루투스 방수 스마트 밴드",41186,등록일 2021.07.,10248
4,샤오미 미밴드4,35610,등록일 2019.06.,10244
5,샤오미 미밴드3,18800,등록일 2018.07.,9815
6,샤오미 미밴드5 한글판 스마트워치 스마트밴드 웨어러블 만보기시계,35900,등록일 2020.09.,9466
7,"""글로벌 버전 Xiaomi Mi Band 6 스마트 팔찌 1.56 """"AMOLED 스크린 miBand 6 심박수 피트니스 트래커 블루투스 5 ATM 방수, 샤오미 미밴드 6""",41222,등록일 2021.07.,7695
8,"Xiaomi-Mi Band 5 스마트 팔찌, 4 색 AMOLED 스크린 Miband 5 Smartband Fitness Traker 블루투스 스포츠 방수 스마트 밴드",27165,등록일 2021.07.,4776
9,샤오미 미밴드4 미밴드3 미밴드2 스마트워치 모음전 공식판매처 정식수입 AS가능,37440,등록일 2015.09.,4560
10,샤오미 미밴드6,45000,등록일 2021.06.,3775
11,샤오미 미밴드3  블랙  단일품,20840,등록일 2021.05.,3722
12,샤오미 미밴드3,22620,등록일 2019.07.,3722
13,[정식한글판] 샤오미 미 밴드5 헬로우솔라 LS05 이미랩 KW66 스마트워치 스마트밴드,37900,등록일 2020.08.,3692
14,샤오미 샤오미 미밴드5 정품 한글판 국내정식수입 국내배송,40390,등록일 2021.03.,3437
15,샤오미 샤오미 미밴드5 정품 한글판 국내정식수입 국내배송,38200,등록일 2020.09.,3423
16,샤오미 미밴드1A XMSH03HM,20500,등록일 2015.05.,2664
17,M3 M4 M5 스트랩 팔찌 Xiaomi Mi Band 5 4 3 스트랩 실리콘 블랙 손목 스트랩 MiBand 5 3 4 용 손목 스트랩 팔찌,806,등록일 2020.08.,2640
18,샤오미 미밴드,17860,등록일 2015.09.,2563
19,샤오미 샤오미 정품 미밴드4 미밴드3 미밴드2 스마트 워치,33150,등록일 2021.05.,2377
20,"글로벌 버전 Xiaomi Mi Band 6 AMOLED 스크린 혈액 산소 피트니스 트래커 심박수 5ATM 방수 스마트 밴드 5 색 팔찌, Xiaomi Mi Band 6 AMOLED",41055,등록일 2021.07.,2221
21,"""오리지널 Xiaomi Mi Band 6 스포츠 팔찌 심박수 피트니스 트래커 Miband 6 1.56 """"AMOLED 스크린 스마트 밴드 5 색 팔찌, 샤오미 미밴드 6""",40287,등록일 2021.03.,2051
22,샤오미 미밴드4,21980,등록일 2019.08.,1778
23,샤오미 미밴드5 한글판 A/S 1년,35900,등록일 2020.09.,1749
24,[샤오미] 정품 미밴드3 한글판 웨어러블 만보계 수면체크 운동기록저장,20900,등록일 2018.07.,1654
25,"""Original Xiaomi Mi Band 6 스포츠 팔찌 심박수 피트니스 트래커 1.56 """"AMOLED Screen Smart Xiaomi Band 6 다국어""",41129,등록일 2021.04.,1603
26,Xiaomi Mi 시계 라이트 블루투스 스마트 워치 GPS 5ATM 방수 SmartWatch 피트니스 심박수 모니터 mi band 글로벌 버전,59773,등록일 2020.12.,1490
27,[쿠팡 직수입] 샤오미 미밴드 6 스마트밴드  블랙(한글판),49590,등록일 2021.06.,1419
28,★글로벌버전/무료배송★ 샤오미 미밴드6 최신출!!! /한글화 패치가능/혈중산소 측정/심박수 모니터닝/1.56인치 풀스그린,38230,등록일 2021.06.,1203
29,Xiaomi-Correa 스마트 밴드 4 Pulseira 실리콘 Pasek Mi 5 6 스트랩 팔찌 Miband 5 Opaska 팔찌,1044,등록일 2021.05.,1174
30,샤오미 국내배송 샤오미 스마트워치 미밴드/한글판/방수기능,24000,등록일 2019.01.,1144
31,"MEUYAG-새로운 최신 스타일 꼰 루프 스트랩 Xiaomi MI Band 5 패브릭 탄성 벨트 팔찌 손목 스트랩 Mi band 4 3, 2021",2265,등록일 2021.01.,1097
32,샤오미 미밴드6 미워치 라이트 미밴드5 한글판 국내정발 스마트워치 국내A/S 1년,37900,등록일 2021.02.,1073
33,샤오미 미밴드6,25900,등록일 2021.06.,1059
34,샤오미 미밴드6 / 미밴드5 한글판 국내정발 국내A/S 1년 정식한글판,40900,등록일 2020.10.,1051
35,샤오미 미밴드 1A,38800,등록일 2018.12.,1050
36,샤오미 미밴드5 / 한글판 공식버전 국내 AS가능 완벽한글지원,35900,등록일 2020.09.,950
37,샤오미 샤오미 미밴드5 정품 한글판 국내정식수입 국내배송,38210,등록일 2020.09.,884
38,샤오미 미밴드3 아이폰 안드로이드 한글 완벽지원 국내발송 방수 메시지알림 국내 AS,24000,등록일 2021.05.,860
39,"최신 Xiaomi Mi Band 6 혈액 산소 AMOLED 스크린 피트니스 팔찌 Miband6 피트니스 트래커 방수 Xiomi 스마트 밴드, 샤오미 미밴드 6",42730,등록일 2021.07.,853
