,0,1,2,3
0,삼성전자 갤럭시 버즈 플러스,86080,등록일 2020.02.,41957
1,삼성전자 갤럭시버즈 플러스 블루투스 이어폰  SM-R175  블랙,87120,등록일 2020.02.,27617
2,삼성전자 갤럭시버즈 플러스 블루투스 이어폰  SM-R175  핑크,88380,등록일 2021.07.,27563
3,삼성전자 갤럭시버즈 플러스 블루투스이어폰 SM-R175,109000,등록일 2020.02.,16298
4,삼성전자 갤럭시버즈 플러스 블루투스이어폰 SM-R175,109000,등록일 2020.02.,16298
5,삼성 삼성 갤럭시버즈 플러스 블루투스 이어폰 SM-R175,98680,등록일 2021.05.,6789
6,삼성전자 삼성 갤럭시버즈 플러스 블루투스 이어폰 SM-R175,98680,등록일 2021.05.,6588
7,"[혜택가 89,060원]갤럭시 버즈 플러스 블루투스이어폰 SM-R175 / AKG튜닝 완전 무선이어폰",109000,등록일 2020.02.,5092
8,삼성전자 갤럭시 버즈 플러스 블루투스 무선 이어폰 SM-R175,109000,등록일 2020.02.,4672
9,삼성전자 삼성 갤럭시버즈 플러스 블루투스 이어폰 SM-R175,99000,등록일 2021.05.,2249
10,삼성전자 갤럭시 버즈 플러스 BTS 에디션,199220,등록일 2021.01.,2131
11,★NPAY+ 최고 12000원+우수리뷰 20000원 지급★NAVER 공식 판매법인★삼성전자 갤럭시 버즈 플러스 SM-R175 2020 AKG 모델 ★대량재고보유로 빠른처리여력,129900,등록일 2020.08.,2000
12,갤럭시 버즈 플러스 정품 왼쪽 오른쪽 한쪽 본체 충전기 개별 낱개 단품 당일발송,39500,등록일 2020.02.,1516
13,[2%추가적립/정품보장] 삼성전자 갤럭시 버즈 플러스 SM-R175N,87900,등록일 2021.05.,1193
14,"[최종혜택가 89,060원][블루,핑크 입고완료!] 갤럭시버즈 플러스 블루투스 이어폰 SM-R175",109000,등록일 2020.02.,1150
15,삼성정품 갤럭시 버즈플러스 이어버드 유닛 왼쪽 오른쪽 한쪽 한개 충전케이스 분실 단품 낱개 구매 R175,39500,등록일 2020.03.,1046
16,삼성전자 갤럭시 버즈 플러스 SM-R175 블루 블랙 화이트 핑크 레드 18시까지주문시 상품 당일발송,105000,등록일 2020.10.,896
17,삼성전자 갤럭시버즈 플러스 블루투스 이어폰 SM-R175,98680,등록일 2021.03.,887
18,갤럭시 버즈 플러스 한쪽 왼쪽 오른쪽 본체 충전기 충전케이스 개별 단품 낱개 당일발송,39500,등록일 2020.06.,873
19,삼성전자 갤럭시 버즈 플러스 SM-R175,68940,등록일 2021.06.,798
20,삼성전자 갤럭시 버즈 플러스 BTS 에디션 블루투스 이어폰 + 무선충전패드,259000,등록일 2021.07.,721
