,0,1,2,3
0,Apple iPad Air 4세대  Wi-Fi+Cellular  64GB  그린,870060,등록일 2021.01.,11253
1,Apple iPad Air 4세대  Wi-Fi  256GB  스페이스 그레이,871860,등록일 2020.11.,11253
2,Apple iPad Air 4세대  Wi-Fi+Cellular  256GB  로즈 골드,995690,등록일 2020.12.,11253
3,Apple iPad Air 4세대  Wi-Fi  256GB  실버,866220,등록일 2020.11.,11253
4,Apple iPad Air 4세대  Wi-Fi+Cellular  64GB  스카이 블루,870050,등록일 2020.12.,11253
5,Apple iPad Air 4세대  Wi-Fi  256GB  로즈 골드,852370,등록일 2020.11.,11253
6,Apple iPad Air 4세대  Wi-Fi+Cellular  64GB  스페이스 그레이,843750,등록일 2020.12.,11253
7,Apple iPad Air 4세대  Wi-Fi+Cellular  64GB  로즈 골드,870040,등록일 2021.02.,11253
8,Apple iPad Air 4세대  Wi-Fi  256GB  스카이 블루,871860,등록일 2020.11.,11253
9,Apple iPad Air 4세대  Wi-Fi  64GB  그린,709760,등록일 2020.11.,11221
10,Apple iPad Air 4세대  Wi-Fi  256GB  그린,852370,등록일 2020.11.,11221
11,Apple iPad Air 4세대  Wi-Fi+Cellular  256GB  스페이스 그레이,1137510,등록일 2020.12.,11221
12,Apple iPad Air 4세대  Wi-Fi  64GB  로즈 골드,716490,등록일 2020.11.,11221
13,Apple iPad Pro 11 2세대  Wi-Fi  512GB  실버,1049000,등록일 2021.02.,5036
14,Apple iPad Pro 11 2세대  Wi-Fi  128GB  스페이스 그레이,898100,등록일 2021.02.,5036
15,Apple iPad Pro 11 2세대  Wi-Fi+Cellular  1TB  실버  LGU+ 유심 포함,1309000,등록일 2020.07.,5036
16,Apple iPad Pro 11 2세대  Wi-Fi  1TB  실버,1130920,등록일 2020.07.,5036
17,Apple iPad Pro 11 2세대  Wi-Fi  512GB  스페이스 그레이,999000,등록일 2021.02.,5036
18,Apple iPad Pro 11 2세대  Wi-Fi+Cellular  512GB  실버,2306900,등록일 2021.02.,5036
19,Apple iPad Pro 11 2세대  Wi-Fi  1TB  스페이스 그레이,1199000,등록일 2021.02.,5036
20,Apple iPad Pro 11 2세대  Wi-Fi+Cellular  1TB  실버,1309000,등록일 2021.02.,5036
21,Apple iPad Pro 11 2세대  Wi-Fi+Cellular  1TB  스페이스 그레이  LGU+ 유심 포함,1309000,등록일 2021.07.,5034
22,Apple iPad Pro 11 2세대  Wi-Fi+Cellular  1TB  스페이스 그레이,1309000,등록일 2021.07.,5034
23,Apple iPad 7세대  Wi-Fi+Cellular  128GB  스페이스 그레이  LGU+ 유심 포함,779000,등록일 2020.06.,4726
24,Apple iPad 7세대  Wi-Fi+Cellular  128GB  스페이스 그레이,749000,등록일 2019.10.,4726
25,Apple iPad mini 5세대  Wi-Fi+Cellular  256GB  실버,825550,등록일 2019.05.,4562
26,Apple iPad mini 5세대  Wi-Fi+Cellular  256GB  스페이스 그레이,825550,등록일 2019.05.,4562
27,Apple iPad mini 5세대  Wi-Fi+Cellular  256GB  골드  LGU+ 유심 포함,825550,등록일 2020.06.,4562
28,Apple iPad mini 5세대  Wi-Fi+Cellular  256GB  골드,825550,등록일 2019.05.,4562
29,Apple iPad mini 5세대  Wi-Fi  256GB  골드,635440,등록일 2020.04.,4562
30,Apple iPad mini 5세대  Wi-Fi  64GB  스페이스그레이,474450,등록일 2019.04.,4562
31,Apple iPad mini 5세대  Wi-Fi  256GB  실버,647950,등록일 2020.04.,4562
