,review,star
0,"생각했던 것보다 빠르게 배송이 온 건 너무 좋았어요. 근데 상품 불량이 왔더라구요. 새상품 딱 뜯어서 작동해 보는데 왼쪽이 계속 안 나와서 되게 당황스러웠어요. 그래서 서비스센터 가서 무사히 교환 받고 왔습니다. 역시 에어팟 음질도 좋고 외양도 너무 귀여워요. 페어링도 잘 되고 기기 간에 변환도 원활히 되어서 너무 좋았아요. 상품 불량 이었던 것만 빼면 정말 너무 좋네요. 뽑기 운이 없는 저를 탓해야죠 뭐,,",4
1,"출고는 정말 빨리해주셨는데ㅜㅜ 장마 때문인지 택배가 늦게 도착했어요,,, 오도착하구ㅠ 그래서 두번이나 택배사에 전화하고 전자기기라 불안했는데 다행히 이상없이 도착했네요!! 장마 때문에 택배는 좀 늦게 도착할 수 있을 거 같아요~8월6일에 구매해서 8월11일에 도착했어요! 택배 때문에 스트레스 받은 거 빼고는!둘 쪽 다 잘 들리고 깨끗해요 ㅎㅎ애플 코리아 공식인증 스토어라 믿고 구매했어요!!정품인증은 구매날짜 제가 실제로 구매했던 날짜 적으니까 인증되더라구요?! 피씨로 할 때는 안뜨다가 핸드폰으로 하니까 됐어요!! 제품 자체는 이상 없고 좋아유~~ 2020년 2월 제조 된 제품이라서 더 좋았어요!!다음에 구매하게 된다면 여기서 할래요🤭",4
2,"2020년 4월 제조품이구요, 뚜껑열면 바로 인식되고 정상작동됩니다좌우독립 사용가능해서 아무거나 빼서 사용해도 되고, 귀에 꽂으면 연결음이 들리면서 바로 사용가능하네요. 흔들림에도 잘 빠지지 않아요.저렴하진 않지만 만족도는 높아요~결혼기념일 와이프 선물로 샀는데 맘에 들어하네요케이스와 뚜껑의 단차가 좀 있지만 사용하는데 큰 지장이 있지는 않아서 다행입니다",4
3,-배송: 배송은 이틀 걸려서 왔어요 전자기기라 오는 중에 손상이 될까봐 걱정했는데 취급주의 처리에 꼼꼼히 충격방지되게 포장 해주셔서 좋았어요 이 부분은 구매하실 때 걱정할 필요가 없을 거 같아요-상품: 11월에 구매한 건데 20년 3월 상품이라 이보다 조금 더 최근 상품이었으면 하는 아쉬움이 있었습니다. 그 외에는 연결하는데도 좋고 배터리도 불량이 아니라서 좋았습니다.-가격: 공홈보다 더 할인된 금액으로 구매할 수 있어서 좋았고 특히 포인트로 구매해서 적립할인이 되었고 그외에 my 단골 등 적립을 많이 받을 수 있는 요건들이 있으니까 참고하셔서 저렴하게 구매하시길 바랍니다!,4
4,에어팟 오자마자 뜯어서 확인 했는데 이음새 사이사이 때가 낀건지 뭔지ㅠㅠ 진짜 별로였고 제조년월이 20년 12월이라 별루.. 음질은 괜찮겠지 하고 들었는데 와; 진심 별로 그래서 찾다찾다 음질 바꿀 수 있어서 바꿨는데 다행이도 괜찮네요. 외관 상태는 중고 같음음질 마음에 안드시는 분들은 설정 - 손쉬운사용 - 오디오/시각효과 - 오디오조정 들어가셔서 설정 변경 하세요저는 균형있는 톤/약간으로 설정 했더니 설정 전보다 아주 좋네요!,4
5,아직 충전중이라...페어링 전이라 정확한 상태는 확인 못했네요.후기나 문의에 페어링 문제글이 많아 걱정되지만...정상 작동되길 기대해보며...언박싱 후기만 올립니다.택배사의 문제기는 하겠지만 박스가 구겨져 있어 제품에 문제가 없을지 걱정이되네요.,4
6,디자인도 이쁘고 성능도 만족합니다단지 배송에서 주택이라 직접전달해달라 부탁 드렸는데대문 안쪽에다 던져놓고 가서 풀어보니 본박스가 찌그러져있어 기분이 별로입니다바쁘신건 알지만 제품을 조심히 취급해주시면 좋겠습니다,4
7,역시 왜 에어팟 에어팟 하는지 알겠더라구요. 가격이 좀 세서 구매할까 말까 고민했는데 사길 잘했다 싶네요. 잘 쓰고 있습니다. 페어링도 잘 되고  인식도 짱입니다. 정품 등록하는데 애를 좀 먹어서 별 하나 뺐습니다 (애플코리아에 직접 전화 해결하라 해서 그렇게 했습니다) 그것 빼곤 다 만족입니다. 나중에 기회되면 에어팟 최신 버전도 써보고 싶네요.,4
8,딸애가 에어팟 사달라고 졸라 여기저기 알아봤는데 싸게 나온곳은 이것저것 옵션과 같이 구매해야 싼 경우더군요 백퍼  딸애가 버릴게 뻔한 케이스를 비싸게 살 바에 여기가 훨 났더군요. 정품 등록이 좀 힘들다고 들었는데 톡에 답도 바로 달아주시고 암튼 물건  잘 받았습니다 ^^,4
9,저렴한 무선이어폰쓰다가 2호선타면 너무 끊기도 듣다가 통화하는것도 잘안되서 불편해서에어팟으로 사봤어요우선 예뻐요.... 예쁜게 다예요 ㅋㅋ그리고 안드로이드폰에 쓰는데 연결잘되요 두번두드리면멈췄다 플레이 되고 전화통화하기 진짜 좋네요그래도 2호선에서는 좀 끊겨요 그리고 음지이 좀 저음이라고 해야 하나 둠둠둠 이런느낌입니다. 음질은 제가 원하는 느낌이 아니라서 좀 아쉽네요그리고 좀 귓구멍이 좀 아파요 잘 안맞나봐요외부소리도 잘들려요하지만 예뻐요 ㅋㅋ,4
10,아빠 선물로 사드렸는데 60대이신대도 아주 잘쓰세요. 금새 적응하셔서 음악듣거나 통화하실때 편리하게 쓰셔서 진작 사드릴걸 그랬어요. 에어팟이라 겔럭시에서는 몇몇 기능이 사용이 안되지만 귀에 꼽기 편하고 음질도 만족하신답니다 ㅎㅎ,4
11,"1세대를 한 2년 쓰고나니 왼쪽 부분이 충전이 너무 빨리 달아서 새로 하나 구입했습니다.1, 2세대 차이가 별로 없다하여 찾아보니 LED충전불이 전면부에 들어오는게 2세대라고 해서 그것만 생각하고 있다가 오늘 제품 받아보고 깜짝 놀랐습니다. 제가 받은 제품은 충전불이 뚜껑 안쪽에 있는것이 1세대랑 동일하더라구여.놀라서 급히 다시 찾아보니 무선충전만 전변부고 유선충전은 1세대랑 동일한 안쪽에 있다는걸 알게됐습니다. 저같은 소비자가 또 있을까봐 길게 적어봅니다 ㅎㅎㅎ",4
12,애플공식스토어라고 해서 구입했어요. 그런데 받아보니 블루박스?? ㅋ 몇달을 졸라대던 초등딸아이 크리스마스 선물로 산건데 다행히 24일에 도착했네요 각인서비스가 안되는게 좀 아쉽긴하지만 그래도 제조년월은 20년 4월로 왔어요 아직 정품등록은 안했는데 문제 없으리라 믿고 구매확정합니다~,4
13,갤럭시 안드로이드 사용자인데요개방된 장소에 가니까 사람이 많아서 그런지 약간 끊김 현상이 있습니다.노트북은 그램에 연결하니까조금씩 끊김 현상이 있고요아이폰 맥북 쓰면 덜할라나...;;;귀는 편해서 좋습니다오래 쓸 수 있었으면 좋겠네요차이판 만원짜리 쓰다가1년도 안되서 한쪽 고장나던데..;;,4
