,review,star
0,자급제폰이 필요해서 주문했는데 요즘 핸폰 구성품엔 이어폰이 없는 경우도 있다는데 이 제품은 기본구성이 맘에 드네요알뜰폰 요금제에 자급제폰을 사용하면 매달 지출되는 핸폰 요금을 획기적으로 줄일 수 있어서 넘 좋습니다^^~,4
1,"배송이 정말 빠릅니다. 서울 기준으로 이틀만에 왔어요. 다만, 주문했던 색상(블랙)이 단품되어 다른 색상으로 변경하는 아쉬움은 있었지만 친절하게 전화상담 해주셔서 괜찮았습니다. 포장도 꼼꼼하고 제품도 유심 교체해주니까 바로 됐어요. 잘 쓰겠습니다~!",4
2,조금느린것같지만 이정도면 괜찮음,4
3,마음에 들어요배송이 빨라서 하루만에 받았어요~,4
4,한달째 사용중인데 특별한 문제 없이 잘 쓰고 있어요.,4
5,좋아요~ 배송이 꼬이긴 했지만 잘 받았습니다..,4
6,폰 예쁘고 어머니 쓰기에 좋을거 같아요~,4
7,배송이 다소  많이  늦엇네요 ㅠㅠ물건은  참 좋아요  고맙습니다~,4
8,만족합니다 감사합니다,4
9,처음에 좀 이상해서 찝찝하긴한데.. 지금 잘 사용하곤 있어요,4
10,배송도 빠르고 폰도 좋아요!,4
11,자급제 폰 처음 사용해 보는데괜찮은거 같네요배송은 3일걸렸네요~,4
12,화면이 크고 좋네요,4
13,무난하게 잘쓰고있습니다처음엔 지문인식이 잘 안됐는데 익숙해지니까 한번에 되네요그립톡을 정가운데 붙이면 삼성페이 인식이 안됩니다,4
14,조아욘근디 조금 느린둣ㅠ 보급이라 그러닞,4
15,부모님 사드렷는데 가성비 최고인듯 삽니다,4
16,선물용은로 주문했는데 생각했던거만큼 괜찮게 잘쓰고 있다고 합니다.저렴하게 잘 주문 한거 같아요,4
17,좀 느리긴 하지만 괜츈,4
18,조아요가성비조음아대튼,4
19,좋아용,4
20,상품은 마음에 들어요 배송이 일주일 걸렸네요,4
21,동봉되어온 투명케이스 끼우면 이어폰이 안되는거 빼면 다 좋네요.,4
22,잘받았습니다 감사합니다.,4
23,배송도 빠르고 사진도 잘나와서 엄마가 좋아하세요,4
24,"고등학생 아이가 쓸 건데, 성능, 크기만족하네요.",4
25,좋습니다.생각보다 상태오 좋네요,4
26,아버지 구입해 드렸는데 만족해하세요,4
27,초등학생 아이가 사용하기 좋아요,4
28,네 저렴한 가격에 잘 받았습니다.,4
29,부모님 선물했어요알뜰요금제로 가니까 두분이 한달 핸드폰비가 2만원도 안나오시겠네요기기값부담은 있지만 한번 쓰면 4년씩은 쓰시는 부모님이니까 이게 더 이득이지요,4
30,다른 곳보다 저렴하게 샀어요  근데 같이 주문한 액정필름이 지문인식이 안되네요,4
31,강화필름? 잘 안붙여지는것 빼고 괜찮은것같아요 여기서 두번째구매네요,4
32,가성비 좋습니다. 쿠폰은 자동 적용 안되나요?,4
33,적당한가격에 적당한 성능!그냥저냥 저렴한맛에 쓸만합니다.,4
34,빠른 배송으로 잘 받았어요,4
35,빠른배송 좋아요 굿입니다,4
36,안전하게 잘 배송 왔네요,4
37,적당히 좋습니다..단 아쉬움은 외부 스피커 소리가 약간 적어요..전에 쓰던게 S8이었는데 그폰보단 음량이적음..,4
38,상품 잘 받았어요! 발송은 빨랐는데 추석연휴에 주문해서 그런지 배송받기까지는 일주일걸렸어요..! 개통도 잘되고 좋습니다.,4
39,자급제폰 알아보다가 구매했어요 저렴하게산것같아요,4
40,쓸만합니다 배송도 잘옴,4
41,사진이 참예쁘게 나와요,4
42,배송이 빨라서 좋아요~가성비 좋아요~,4
43,너무 너무 마음에 들어 요,4
44,개봉하지않은 미개봉 미개통 새상품 자급제폰 구입하여 만족합니다부모님께 선물하고 싶으시다면 더 좋은 모델로 선물하는게 좋을것 같아요,4
45,좋습니다 자급이라 통신사 의 노예 탈출ㅎ 가성비 최고,4
46,부모님 사드리려고샀는데 좋다고하시네요,4
47,배송이ㅠ빠르고 정확하네요물건도 1 등급,4
48,잘 받았습니다. 배송이 늦게 왔지만요.,4
49,부모님 선물로 사 드렸는데 너무 좋아하시네요 한대 더 사려고 했는데 품절이라 못 샀어요,4
50,폰은 상당히 맘에 들어요.근데 배송이 좀 느려요.,4
51,배송은 늦었지만애들이 쓰기에 적당해요,4
52,배송업체가 좀느렸지만 받아보니 이쁩니다~ 부모님폰으로 주문한건데 좋아하실듯합니다,4
53,배송 빠르고 좋아요갤럭시 A31 부모님께 사드리기 좋아요부모님들이 손자 손녀 사진 저장하는 경우가 많아 용량이 많이 필요한데용량이 128기가 제품이 있으면 좋을것 같다는 아쉬움이 드네요,4
54,"부모님께 사드렸는데 통화가 잘되고, 속도가 빠르고, 무게도 그런데로 괜찮아서 좋다고 하시네요",4
55,배송도 빨랐고 기기는 마음이듭니다하단부분에 기스가 있어서 별 하나 빼요,4
56,"화면도 크고, 터치도 잘되고, 기본적인 성능도 나쁘지 않네요.",4
57,비싼돈 주고 살필요가 없네요,4
58,아이 크리스마스  선물로 주려고 주문했는데 늦지않게 도착했네요..아이가 넘  좋아하네요..,4
59,블루색상은 이쁜데 아직 사용을 안해봐서 모르겠네요,4
60,배송빠르고제품좋고 만족합니다,4
61,배송이 빠릅니다..,4
62,배송 엄청 빨랐어요! 미개봉품으로 제대로 왔습니다. 부모님 핸드폰 교체해드리려고 구매한거라 좋아하셨으면 하네요,4
63,가볍고 좋아요~~ 엄마가 좋아하시네요 ㅎ,4
64,배송이 상당히 빠릅니다,4
65,모레 개통합니다 예뻐요,4
66,좋아요 만족합니다~,4
