,review,star
0,가격은 정가 그대로 주고 샀지만 이벤트로 포인트적립 진행하니 만족해요! 출고는 주문날 바로 해주셨는데 택배 물량이 많아서인지 주문 3일만에 수령했습니다. 엄마가 쓰시던 핸드폰이 오래되서 버벅대는걸 보고 가성비 좋은 핸드폰을 찾다보니 갤럭시 A51이 딱이더라구요가격에 비해 성능이 좋아서 선택하게 되었구 무엇보다 중급제 폰에서 삼성페이라뇨! 엄마도 신세계 느껴보시라고 바로 결제했습니다.디자인도 깔끔하고 맘에들어요~,4
1,"배송 아주 빠드네요.. 제품도 아주 만족합니다. 액정 지문인식이 되니 딸이 아주 좋아 합니다. 충전기도 있고, 기본 케이스, 이어폰. 액정 보호필름도 붙어 있고.. 이건 바꿔야 할 것 같네요.. 지문이 너무 잘 묻어요..ㅎㅎ다만 흰색이라고 가격을 더 받는건 좀 아닌것 같아요..수요,공급의 법칙이 있다 하더라도..  답답한 사람이 손해 보겠지요..ㅎㅎ 그래서 별하나 삭제.. ^^",4
2,처음으로  선물하기사용하여  아들폰을구입했습니다ㆍ자급제 새폰으로  좋은조건으로 구입할수있어서 새로받은폰은 너무만족스러웠습니다ㆍ구매확정하는과정에서  선물하기로 구입한 제품은  구매확정하는  기간이 오래 걸린다는사항을  모르고 너무 애를 먹었습니다ㆍ네이버페이와 신한카드간편결제로  적립금을 받고자  주문한  핸드폰인지라ㅠㅠ그런데  삼성 담당하시는  직원분께서  밤늦게까지  상담해주시고 많은  도움으로  네이버페이측과도  상담해주셔서  문제를  해결할수있었습니다ㆍ삼성 담당자분  너무  감사드립니다ㆍ선물하기로  결제를하면  이런  불편한점이 있다는 것을  꼭  알아야겠습니다,4
3,"금요일에 받아서 사용하고 있는데.. 저만 그런가요..? 중간 중간 터치가 먹통일 때가 있네요. 잘 되다가 갑자기 아예 터치가 안 먹어서 전원 켰다 다시 키고.. 잘 되다가 갑자기 인식이 안 되니까 초기화를 시켜야 하나, 교환을 해야 되나 고민이네요.. 배터리도 생각보다 빨리 닳는 것 같고.. 배송도 빨리 됐고 디자인이나 다른 성능은 마음에 드는데 터치가 중간 중간 잘 안 먹어서 별 하나 뺐습니다.",4
4,화면도크고 이뻐요 휴대폰 굳이 백만원돈으로사야할이유를 못느낄만큼 기능도많고 삼성페이도 되고좋네여 카메라찍히는것도 색감도이쁘고다좋습니다 별하나뺀이유는 홈화면열때 지문이안먹힐때가종종있어요 하지만 인간은적응의동물이라고 쓰다보면괜찮아요,4
5,"a30, a31, a51 전부 사용해보니 기능상으로는 a30 이 가장 아래이기는 한데 체감 성능은 세제품이 비슷(!)했습니다.특히 a51 은 가격, 기능 모두 a31 을 압도하지는 못했고 가격이 너무 높다는 인상을 지울 수가 없네요.세제품중에 구매를 망설이시는 분들은 그냥 a31 선택하시면 될 것 같습니다.",4
6,부모님 사용하실꺼 주문이예요.다른 색상 주문하고 싶었는데 재고가 핑크뿐이라 아쉬웠어요. 그래도 마음에 들어하셨습니다!,4
7,시아부지 쓰시라고 사드렸어요,4
8,잘 선택한 폰이었네요...가격도 좋고 모든것에 만족합니다,4
9,가족별로 다 쇼마젠시에서..아들이 엄청 조아라 하네요^^,4
10,잘 사용하고 있습니다,4
11,추천받아 가성비 보고 샀어요.좋습니다.,4
12,"가성비 제품으로서 방수, 무선충전이 안되는 것을 제외하면 괜찮습니다. 다만 37만원 정도로 공식 가격인하가 있었는데 약간 비싼건 단점이고 약간 더주고 원하는 색상을 믿을 수 있는 컴퓨존에서 살 수 있는 건 장점이네요.",4
13,부모님 선물용이였는데 제품 믿을만하네요 좋아요!!,4
14,잘받았습니다 감사합니다,4
15,선물드렸는데 잘쓰고계십니다,4
16,선물받아 잘쓰고계십니다,4
17,아빠 선물로 사드렸는데 너무 좋아하셨어요~~^^-,4
18,아부지 사드렸어요 좋아요,4
19,배송이 정말 빠릅니다.,4
20,자급제 폰 장점 생각해 구매했는데 나쁘지 않습니다. 유심 교체 후 바로 사용하니 편합니다.,4
