,review,star
0,가성비 좋은 폰이라고 동생이 추천해서 구매했어요. 주로 사진찍고 검색하고 톡하는 용이라 용량이 작은건 흠이지만 sd카드를 원래도 끼워썼어서 용량엔 상관 없을듯 싶네요. S시리즈를 쓰다가 m12를 써보니 빅스비와 삼성페이는 원래 안썼어서 옆쪽 버튼이 없어서 더 편했고 이어폰 단자는 아예 없어서 어색했네요ㅎㅎ 무선이어폰을 쓰면 되니 그점은 괜찮고 뒤로 돌아가는 버튼이 상시 떠있지 않아서 습관적으로 오른쪽 아래를 누르게 되네요;; 사진은 기존에도 sd카드에 저장했어서 칩만 끼워쓰면 되는것이라 편했습니다. 다만 카메라 화질이 아주 좋은지는 모르겠어요;; 새로나온 폰이니 사진화질이 더 좋겠지 싶어 구매했는데... s10보다 못미치는것 같네요ㅜ 계속 쓸지는 의문입니다.,4
1,배송 무지 빠릅니다 하루만에 왔고요 핸드폰 깨지지않게 포장 또한 잘 되서 왔습니다 구성품은 충전기 핸드폰 젤리케이스 함께 왔어요어머니 핸드폰 교체해드리려 구입했는데 저렴한 가격에 잘 구입한 것 같아요 다만 배터리 용량이 커서인지 확실히 무게가 많이 나가네요 그점 제외하고는 메모리카드 확장도되고 좋네요,4
2,가성비 최고 네요 처음에는 기대도 안 하고 배터리 용량만 보고 구매 했는데 사용 해보니 너무 만족 스럽네요 여러 리뷰어들이 올린 리뷰 보면 리플레시 현상이 있고 느리다고 하는데 그런 현상이 전혀 없네요 배송도 빠르고 포장도 아주 잘 되어 있네요,4
3,가성비 굿입니다~해상도는 조금 나쁘지만...괜찮음~,4
4,배송빠르고 상품도 좋아요아이가 완전 맘에 들어해요,4
5,"터치가 왜이렇게 잘 안될까요,, 두개 다 그러네욤",4
6,배송빠르고 좋네요~~~,4
7,저렴한 금액으로 구입해서 사용해 보니 좋습니다.,4
8,고객 응대해주시는 부분이 너무 좋았습니다^^아무래도 저가폰이다 보니 너무 많은 걸 바라면 안될거같아요. 다소 요즘  폰에 비하면 머거운 감은 없지않아있지만 가격대비 좋습니다~,4
9,휴대폰이 하나더 필요해서 중고로 살까 고민하다  장만했는데 생각보다 괜찮은것 같네요!!,4
10,화면이 커서 보기 좋아요,4
11,구매하고 좋아서 재 구매 했습니다.,4
12,가성비 좋은 제품 많이들 구입해서 사용해보세요.,4
13,효도폰이에요. 커서 좋아하시는데 무겁긴해요.,4
14,다시 사주긴 했지만 울 딸 넘 핸드폰만 하네요..사주고 약간 후회함..ㅋ,4
15,좋아요,4
16,그럭저럭 쓸만하네요,4
17,가성비 좋은 폰입니다 잘 쓰고 있어요,4
18,화면이 큰만큼 무거워요,4
19,좋아요 많이파세요..,4
20,아들 휴대폰으로 구입했어요 알뜰폰으로 바꾸려고 하는데 적당하네요,4
21,케이스 증정이라는데 안와서 아쉽지만지갑케이스 따로사서 필요는 없어요부모님 쓰기엔 가성비 좋은 기종입니다,4
22,"선물했는데, 화면도 크고 좋습니다.",4
23,좋아요. 배송이 조금 느리네요.,4
24,제품이 괜찮습니다.,4
25,부모님 사드렸는데 가성비는 정말 좋은것 같습니다. 그런데 NFC 기능이 없는게 참 아쉽네요.,4
26,폰고장나서 마음이 급했는데빠른배송 너무 감사드립니다,4
27,할인도 받아 정말 좋은가격에 저렴하게 잘 구매했습니다,4
28,장점: 가격이 저렴한데 화면도 크고 마음에 들어요.단점: 무거워요. 오프라인에서 보호필름이랑 케이스사기 힘들어요.,4
29,배송 빠르고 제품도 좋아요,4
30,생각보다 많이 커요,4
31,일단 저희 어머니처럼 스마트폰 초 가볍게 쓰는 유저에게는 가성비적으로 좋구요 다만 무게가 있어요 다이어리 케이스 끼니까 좀 무거웠어요,4
32,아이들 폰 고장났을때 쓰려고 미리  구매해 두었네요저렴한 가격에 잘 샀습니다,4
33,자급제폰 저렴하게 잘 구매 했어요.,4
34,보조 휴대폰으로 구매했는데 가성비가 좋아요. 투명 케이스도 받아서 좋아요. 전체화면으로하면 전면 카메라에 화면이 짤려요.,4
35,행사중 착한가격 빠른배송,4
36,가성비는딱좋은듯합니다,4
37,주문사고하루만에왔군요. 보급형답지않게 고급스럽고 이뻐요. 아들이 신나서 뛰어다닙니다.,4
38,라이브 방송할때 저렴하게 사서 좋네요부모님 폰이 오래되서 두분꺼 다 교체 해드렸습니다 저가폰이라 성능이 좋은건 아니지만 부모님들 쓰시기엔 적당한거 같네요,4
39,가성비면에서는 좋은것 같아요~512GB 함께 구매해서 아이들 막쓰는 핸드폰으로 쓰려구요,4
40,어머니에게 선물드렸는데 매우 저렴하게 가성비폰을 구한것 같아요,4
41,삼성 페이 기능이 없어서 아쉬워요,4
42,부모님 폰용으로 딱이에요~~,4
43,가격대비 성능 괜찮습니다,4
44,가성비 좋은 제품임,4
45,배송도 빠르고 가격대비 매우 만족합니다한대더 구입 할까합니다 선물로 수고하세요,4
46,네 좋아요네 좋아요네 좋아요네 좋아요네 좋아요네 좋아요,4
47,엄마 폰 바꿔드렸어요 이 가격대에 충분한 기능인것같아요 조금씩 아쉬운 부분이 있긴 하지만 ..  저렴하니까요 알뜰요금제까지 해서 요금도 저렴해져서 좋네요,4
48,배송빠르고 좋네요 가격이 넘 비싸요 ㅠㅠ 그래두 하루라도 빨리 쓰는게 이득이겠지요~~,4
49,2주 지연 배송이라고 했는데 진짜 늦었네요. 제품 이상 없고 생각보다 좀 무거운 느낌입니다.,4
50,가성비 좋네요 배송은 오래갈렸지만,4
51,저렴하게 잘샀고 삼성센터에서 직접 배송와서 더 좋네요~~,4
52,배송이 엄청 느렸지만. . 가격도 착하고 좋아욧,4
53,구매하실분 참고하시길 바랍니다. 배송 2주라고 써있지만 실제로는 더 걸립니다.,4
54,애들이 좋아하네요 키즈폰으로 쓰기 적당한듯,4
55,가격대비 좋은 제품입니다!,4
56,첫 배송은 카톡으로 뭘 선택하게 해주는데 2번째 배송은 언제인지 기약도 없었고...암튼 좀 덜 만족스러움,4
57,감사합니다  수고하세요,4
58,"이것저것 비교해보고 고민 끝에 결정했는데 가성비는 괜찮은 듯 하나 연세 있으신 분들이 보기에는 가독성이나 접근성, 편의성 등이 좀 떨어지는 느낌이 들었어요~",4
59,기본 옵션기능 가격대비 해서 만족스럽다. 보통 현금완납폰 중에서 좋은편에 속한다고 생각이 든다.,4
60,"가성비 좋구요. 삼성페이,방수.무선충전이 좀 아쉽지만 가격대비 아주 좋음",4
61,어머니께 알뜰폰 기기로 사드렸는데 정말 만족입니다.,4
62,조아요조아요조아요조아요,4
