,review,star
0,"저는 일단 코스트*에서 한번 살펴보고 주문한거라 접히는 부문에 대해선 감안했습니다. 필름을 붙이니 필름이 많이 접혀져 보기가 흉해졌지만 떼어내니 액정은 크게 거스릴 정도로 티가 나지 않았습니다. 꺼놓고 가운데를 보면 눈에 띄지만 화면이 켜진상태에선 신경쓰이는 수준은 아니었습니다.
가장 큰 장점은 역시 접었을때 핸드백이나 뒷주머니에 쏙들어가는게 아닌가 합니다.
사진은 원래 많이 찍지 않게 때문에 접어놓고찍는일은 별로 없지만 동영상 같은거 어디 세울때 없으면 접어 세워놓고 보기에 좋습니다.
대형마트에 견본품있으니 의향있으신 분들은 거기서 만져보고 사시면 좋을 것같네요 
저는 알고 사서 만족하며 쓰고있습니다. 

",4
1,상태 매우 좋습니다.뭐 진짜 자급제 말 그대로.다만 지플립이 20연5월 이후 제품부터 액정필름이 장착되서 나오는데 배송된건 4월 제품이라... 쌩디스플레이라는거가 아쉽습니다.아마도 재고때문이 아닌가 싶기도 하고.많이파세요.,4
2,쓰던폰액정이 박살나서 산거라 배송이 빨리 왔음했는데 진짜 빨리도착해서 좋습니다 시키고 이틀만에 바로 왔어요폰상태도 깨끗하고 테두리스티커도 그대로 붙어 있는게 완전 새제품이에요갖고싶어서 산 플립이지만 예쁜거에 비해 배터리광탈이 빠르고 성능이 뛰어나다 할 순 없어 성능은 별3개만 드립니다그래도 전 만족합니다？？？？？？,4
3,핸드폰은 이쁘지만 실용성은 다른폰과 다를게없어요 오히려 방수안되서 조심해야하고 화면이 작아서 노트 시리즈 사용하시던분들은 불편하실거예요핸드폰을 접어서 작은가방에 넣어다닐수있다는 장점빼고는 전 단점이 더 많네요,4
4,배송 진짜빠릅니다. 폰은 생각보다 유약하다고 느껴져서 조심하게쓰고있어요. 접는폰이니 조심히 사용하는 수밖에 ㅠ 가운데 접히는건 그다지 거슬리지않네요. 영상볼때 화면 비율안맞는게 더거슬리지만 ㅋㅋ 화면이 좀길긴해요. 폰은 진짜예쁩니다,4
5,아이폰만 10년 넘게 쓰다가 일단 디자인이 마음에 들어서 삼성으로 돌아왔네요. 기존에 나와 있는 스마트폰들의 형식에 익숙해진 탓에 접히는 플립의 장단점은 물론 있지만 주머니에 수납하기도 편하고 저에게는 장점이 더 많네요. 배송은 생각보다 빨라서 좋습니다,4
6,잘받았습니다.누나가 맘어들어하세요.갔고싶어했는데,4
7,빠른배송 . 안전한 포장 . 하루만에 왔어요. 지금 잘 사용하고 있습니다. 감사합니다,4
8,좀 비싸지만 배송빠르고 좋았어요,4
9,좃은물건감사합니다 대박나세요,4
10,효도 플랙스 당분간 잔소리 없겠어요,4
11,"배송이 매우 빠르며, 품질도 좋아요. 가격은 다른 곳보다 저렴하게 구매한것 같습니다",4
12,"완전 빠른 배송에~ 너무 좋아욧!!! 엄마 생신선물로 드렸는데, 자급제폰 좋으네요~ㅎㅎ",4
13,빠른배송 정확도착 좋아요,4
14,좋은데 세울 때 힌지가 펴지네요ㅠ섭센터가서 교환을 수 있으면 받고 아니면 그냥 쓸래요,4
15,잘받았습니다~ 조금 더 가격 내리면 사려다가 그때까지 기다리기 싫어서 샀습니다~,4
16,독특한 디자인과 그립감이 마음에 듭니다,4
17,조그만한게 주머니에 쏙 가방안 주머니에도 쏙 퍼플색상이 예쁘네요.  살까말까 고민하다가 ㅋ 저녁에 주문~ 주말 배송받아서 바로 개통했어요. ,4
18,갖고싶었던건데 좋아요 😀,4
19,빠른 배송 꼼꼼한 포장 감사합니다. 제품에도 문제가 없어요~,4
20,여전히 접을수 있는 폴더블은 매력적입니다다만 접었기 때문에 발생한 두께와 무게는 쓰면 쓸수록 숙제 같습니다,4
21,본래 가격 생각하면 저렴하게 잘 샀다 싶습니다..만은 외부 재질 상 지문이 너무 잘묻어서 불편합니다.,4
22,"제품은 아주 만족스럽습니다다만, 배송이 너무 더딘감이 있습니다딱 일주일ᆢ",4
23,5월 이후부터 출시된 제품을 받았으면 좋았을 텐데 아쉽습니다!!가지고 싶던 폰 싸게 살 수 있어서 좋아요,4
24,전반적으로 만족하나 택배가 다소 더뎌 아쉬움.,4
25,정말 조아여... 가격도 저렴하고 배송도 빠르게 왔어여. 물건은 정말 조아여... 굿~~~,4
26,아주 만족합니다. 대리점 가서 유심칩만 갈아끼우고 사진등 이동시키니 좋네뇨.디자인이 너무 좋습니다.,4
27,가격저렴하고 괜찬긴한데 사은품이 하나도 없어요,4
28,접하는데 너무 신기하고 좋습니다.,4
29,잘 받았습니다 z플립 lre모델입니다 요즘 나온건 5g모델 이라고 합니다 lte모델은 12월 말까지 서비스 센터에서 무료로 한번 부착 가능 합니다 확인들 하시고 구입 하세요,4
30,저렴하게 살수있어서 좋았는데 통신사 인증어플 pass가 안되네요ㅜㅜ,4
31,이쁜건 두 말하면 잔소리.. 발열이 빨라서 좀 그렇긴 한데 접는 부분도 크게 이질감 없이 사용 가능해서 괜찮음,4
32,이쁜건 진짜 두 말하면 잔소리... 근데 이상하게 발열이 빠르고 그러네요 오래 사용하려면 발열이 적어야 될텐디 걱정임,4
33,자급제라 좋은 것 같습니다.,4
34,생각보다 만족스럽습니다~,4
35,귀엽고 예뻐요~ 배송은  추석껴서 보통이었습니다,4
36,핸드폰 예뻐요~ 만족합니다!,4
37,Good.잘 산것 같아요 ,4
38,예뻐요 너무마음에듭니다,4
39,금방와서 좋았어요!,4
40,어제주문햇는데오늘아침에받앗어요ㅠㅜ빠른배송감사요어플옮기고 다시다로그인해야되서할게많네요ㅜ너무신나요,4
41,자급제 중 제일 저렴하게 구입한거 같아요택배도 뽁뽁이 쌓여있고 좋네요! 퍼플이 품절이여서 블랙을 구입했는데 만족 합니다.,4
42,배송 진짜빠르네요~,4
43,매우 빠르게 잘오는데 9월인데 4월 제품이 온다는 사실,4
44,정말좋아요~~~배송도 빠르고 제품품질이 좋네요,4
45,포장 튼튼하고 신속한 배송이 맘에 들었습니다.,4
46,잘받았어요 감사합니다 ,4
47,기대했던것 만큼 디자인은 이뻐요. 반으로 접을수 있어 휴대하기 좋구요. 위 장점 외에는 가격대비 큰 메리트는 없네요. 그래도 만족합니다 ㅎ,4
48,배송도 빠르고 상품도 마음에 드는데 사은품이 하나도 없는게 아쉽네요,4
49,배송도 빠르고 상품도 맘에 드는데 사은품이 하나도 없는게 아쉽네요,4
50,택배가 약간 느려(2일) 좀 아쉽긴 하지만 어쨋든 안전하게 잘왔고 기계도 너무 좋아 만족,4
51,"무게도 어느 정도 있고, 생각보다 베젤이 두껍네요.",4
52,Z 플립 잘받았습니다. 고장 없이 잘쓰고 싶습니다.,4
53,선물용인데 다른곳보다 저렴하게 구매했네요,4
54,딸이잘사용하고있어요~,4
55,엄청 좋습니다. 새제품에 실링도 제가 직접 뜯었구여... 세제품입니다.,4
56,아이씨이에서는 빠른배송과  적절한  대응으로  제품을  받았지만  Z플립의  최대장점인 플릭스 이상으로 제품 교환  받은게  아쉬워 별하나  뺏네요.,4
57,배송 정확하게 빨리 오네요. 주말 할임쿠폰으로 구입하니 하이마트가 제일 싸네요. 디자인이 넘 멋있어요.,4
58,너무 이쁘고 좋아요. 신기하고 재미있어요,4
59,조금만 더 기다릴 것 그랬나??  이러다가는 아마 구매 못할 걸요.^^,4
60,배송 굳굳 완전 빠르게 왔어요,4
61,"빠른 배송, 꼼꼼한 포장 감사드립니다.",4
62,배송도 빠로고 좋아요 다만  걱정은 좀 약하지않을까 조심조심 사용해야할듯,4
63,"아주 빠른 배송 만족합니다, 다만 상자에 칼집이 있어서 조금 아쉬웠지만 본품에 문제 없어서 만족합니다.",4
64,다는사람들의 평이 좋아서 기를쓰고 구입했는데조금은 불편하군요조금더 써봐야 되겠습니다,4
65,배송도 빠르고 잘 받았습니다,4
66,담날 바로 배송받았습니다.정상 제품이구요 유심 끼우니 바로 되네요.너무 이쁘네요.,4
67,접어서 바지 앞주머니에 넣을수 있는게 최대장점.나머지 성능은 가성비는 떨어짐.,4
68,배송도 빠르고 가격도 비교적 저렴해서 좋았습니다. 구매 확정한 줄 알고 있었는데 아직 않하고 있었네요. 늦어서 죄송합니다. 수고화세요.,4
69,포장도 잘되있고 친절해요 퀵비용발생하는데 퀵업체에서 제시하는 비용랑 알려준비용이 달랐어요,4
70,좋았습니다. 수고하세요,4
71,"빠른배송, 상품이 좋네요 디자인도",4
72,사용하기에 편하고 생걱보다 좋습니다.,4
73,포장이꼼꼼해서 좋아요~배송도빨라요,4
74,2일안에 왔어요~ 예상대로 예쁘네요^^,4
75,손바닥만해서 떨칠일이 없을것같아 좋습니다,4
76,빠른 배송 잘 받았습니다,4
77,예상했던 그대로 애요,4
78,아주 빠른 배송 만족스럽니다.  다만 박스 자체에 칼자국이 조금 있는것 같아서 아쉬웠지만.본품에 문제 없어서 대체로 만족합니다.,4
79,주머니쏙들어가서조아요,4
80,너무너무너무 맘에 듭니다,4
81,배송빠르고 조아요 조아요,4
82,플립 너무 이뻐서 만족합니다.,4
83,빠른배송이네요좋아요,4
84,"생각보다 빨리 받았습니다.퍼플과 블랙 중 퍼플 색상을 선택했는데, 매우 만족합니다.",4
85,배송이 하루 늦어서 별하니 줄입니다.제품은 정말 마음에 드네요^^,4
86,배송도 조금 느립니다폰도 조금은 불펀합니다,4
87,좋아요~갤럭시폴드 보다 더좋은것같아서 만족합니다 ,4
88,접어서 바지 앞주머니에 넣을수 있는장점.그외엔....,4
89,배송은 빠르네요.  퍼플색 예쁘네요. 선물용으로 구매했어요. 접히는 부분이 신기 하네요. 1년내에 수리비 지원이라 다행입니다.   사은품도 신청해야겠어요. 화면이 노트보다 넓네요. 비율이 달라서 그런지 와이드~ ,4
