,review,star
0,"번이고 뭐고 귀찮고 삼성에서 이번 A시리즈 작심하고 뽑은 것 같아서 구매 하게 되었습니다. A50을 구매하고 싶었으나, 새로운 지문인식 메커니즘에 대한 불안감 때문에 A30으로 왔습니다. 구관이 명관일 거 같은 느낌이 들어서요.개봉하면 기본 케이스도 들어있고 보호필름도 붙어 있습니다.요즘폰은 다그런지는 모르겠는데 기본어플 웬만한거는 다 지울수 있어서 좋네요.보급형 치고 버벅거림도 거의 없고 게임 제외하고 사용성 뛰어난 것 같습니다.후면 재질은 별로 마음에 들지는 않습니다. 개인적으로 싸구려 느낌이 드네요. 흰색은 좀 괜찮을지 모르겠습니다.제일 마음에 드는건 패널입니다. 어두운 데서 폰을 보면 전면카메라 부분이 좀 거슬리긴 하지만, 보급형인 걸 감안하면 패널(a50, a70과 동일한 걸로 예상)은 훌륭합니다. 아몰레드가 욕을 먹긴 하지만, lcd는 아몰레드만의 눈앞에 바로 보이는 느낌을 따라올 수는 없지요. 라이트유저로서 번인은 별 걱정이 안되기도 하구요.전반적으로 괜찮지만 가격 때문에 별하나 뺍니다. 직구하면 많이 저렴한데.. 삼페 없어도 된다면 직구해도 될만합니다. 이제 as도 서비스센터에서 가능한 것은 유상으로라지만 된다고 하니까요.요즘 중국폰 많이들 쓰시던데.. 하드웨어 정식 as 말고도 이제는 소프트웨어 지원 면에서 삼성이 선두주자임을 인정할 수밖에 없더구요. 개인적으로 스펙이 떨어지더라도 최적화(터치감, 편의성 등)나 소프트웨어 지원 등 잘 드러나지 않는 부분에서 삼성이 중국제조사들에 비해서 우위를 점하고 있다고 봅니다.결론적으로 라이트유저에게 이만한 폰은 없는것 같습니다.. 효도폰으로도 손색없습니다. 후속으로 나올 A 시리즈 모델들도 기대가 많이 되네요.",4
1,"배송은 레드라 기다렸지만 단말기만 보고 평을 쓰겠습니다.장점 - 큰 화면과 장난감같은 가벼움, 그리고 오래가는 배터리, 삼성페이, 국내출시폰중에 가성비 갑단점 - 뒷판이 플라스틱 장난감같은 재질로 엄청 저렴해보임, 사양이 낮아서 앱 다운로드 및 업데이트가 속도가 늦음, 성능이 좀 딸려서 정말 가볍게 사용하시는분들게 적합, 가격이 동일한 모델로 해외보다 훨씬 비쌈. 더 높은 램과 용량을 가진 해외동일 모델보다도 10만원정도가 국내출시폰이 훨씬 비쌈여하튼간 나는 가볍게 쓰기 좋음",4
2,"삼성의 중저가 라인이죠.  고가의 s10과 비교자체가 안되지만.동급의 갤와이드4와 비교시에도 약간 딜레이는 있습니다.  특히,이번 삼성의 안정화 패치후에도 가장 불만은 카메라의 실행속도입니다.   카메라 키는것도 느리지만.   촬영후 저장되는 속도도 어마무시합니다.  저장되는게 느려요..   뭐,  추후에 삼성에서 안정화 패치작업을 또 하겠지만..  일단 현제상태에서는 특히 카메라 부분은 딜레이가 상당합니다.   동사의 와이드4보다 더 버벅..버벅임..      그래도 별점네개를 준것은.   나이드신 부모님이나,  저학년 자녀들은 잘못느낄것같아서  삼성이란 브랜드에 30만원수준 폰으로는 그냥저냥  값어치는 할것같습니다.  특히 삼페가 탑재되었잖아요..    속도에 민감하신분들은 구매하시면 후회하실거에요.. 아니면,  제가 받은 폰이 뽑기잘못해서 버벅이는걸지도..",4
3,60대 아빠 쓰시라고 선물해드렸어요.어른들이 쓰시기에는 아주 괜찮아요 깔끔한 스타일 좋아하는데 제가봐도 디자인도 이쁩니다다만 살짝씩 렉걸리는것처럼 조금 느릴때가 있더라구요.. 하지만 느긋한 아부지 아주 만족하면서 잘 사용하고계세요,4
4,"배송도 빠르고 기기도 잘 빠졌네요. 단, 투명 실리콘 케이스가 동봉되어있고 보호용 필름(임시로 붙어있는 게 아니라 계속 사용할 수 있는)이 장착되어있다는 걸 미리 알았으면 별도 액세서리를 앞서 구매하여 발생한 추가지출이 없어도 될 뻔했습니다.",4
5,"구매후 배송이 빨라 바로 받을 수 있어서 좋왔습니다.예전부터 사려고 생각하고 기다렸던 핸드폰 이구여 물건을 받고 상태를 보니 사용 하기에 문한하다 생각 됩니다.저는 아이들  주려고 2개 주문 했구요 검정, 흰색 입니다.전체적으로 만족합니다카메라, 배터리, 화면화질도 괜찮고 사용하기에 문한한거 같아요.단점은 램 사양이 3GB 인게  흠이지만 가격에 만족하고 잘 쓸게요...",4
6,엄마 드리려고 구매했어요ㅎㅎ배송도 빠르고 가성비도 좋아요ㅎ일단 주요기능을 넣어줬다는게 좋고 핸드폰은 커졌지만 가벼워서 생각보다 부담없었어요화면이 시원시원하고 선명하고 화이트색상 골랐는데 깔끔하고 예쁩니다ㅎ어른들 쓰시기에 정말좋은거같아요 삼성 열일해주세요~~!,4
7,"포켓몬고 전용으로 쓸 거라 대용량 배터리, 낮은 가격의 기기를 찾다가 이걸 구매했는데 만족합니다.한 가지 삼성전자에 불만인 건 저가폰이라고 너무 대놓고 차별을 하네요.전화기 상자가 샤오미보다도 훨씬 못하네요. 어차피 전화기 본연의 기능과 상관 없는데 상자가 뭐 어떠냐고 할지 모르지만, 택배상자를 여는 첫 느낌이 너무나 싸구려 같다는 생각이 들어 기분이 좀 그렇더군요.",4
8,"제품 도착 후 어머니 쓰실 용도라 유심옮기고 작업했습니다. 가격대비 외관은 괜찮은듯 한데 확실히 저가형이다보니 2년 전에 산 갤럭시 a8과 큰 차이는 없는듯 하네요. 오히려 반응속도는 더 느린 느낌이었는데 써봐야 할거 같네요. 그러나 액정하나로 다른게 커버되는 느낌이구요, 케이스는 정식으로 제품 내에 들어있고 부착되어있는 보호필름은 약해서 나중에 강화유리로 바꿔야할듯 합니다. 라이트하게 쓰실 분들에게 알맞겠습니다.",4
9,어머니 핸드폰 교환을 위해 구매했습니다. 가볍고 두께도 얇고 화면도 커서 좋은 것 같습니다. 또한 고가폰에만 있는 다양한 기능들도 있고 가격까지 착해 매우 만족합니다. 물론 어머니도 새 폰을 받으셔서 좋아하시네요. 한가지 마이크로 유심 새것으로 구매해서 사용했는데 거는 것은 되는데 받는 전화가 되질 않는 증상이 나타나 애석하네요. 다시 껐다 키는 것을 반복하니 이젠 괜찮아졌는데 뭔가 찜찜합니다. 큰 문제가 아니기를 바랍니다.,4
