,review,star
0,"확정기변 가능하고, 완전 박스해서 옵니다. 네 모퉁이 중에 두 모퉁이만 스크레치가 좀 있는데 그거 말곤 흠 없습니다. 이 가격에 이정도면 괜찮은거 같아요. 저는 KT꺼로 왔네요",4
1,배송은 2~3일정도 걸렸고갤s20 자동으로 화면돌아가는 문제있어요ㅜㅜ,4
2,우체국택배로 와서 다행이었고 핸드폰 주변 에 뽁뽁이는 감싸져있었지만 박스가 저런박스였고 내부 뽁뽁이외에 종이찢어서 충격흡수용으로 채워져있었습니다 상품은 무사히 와서 다행이네요,4
3,배송 엄청 빠릅니다 ㅎ 그리고 꼼꼼한 포장에 감사합니다. 아쉬운점은 사은품이 하나도 없네용 ㅋㅋ 넘 욕심인가요?! 하여튼 잘 쓰겠습니다~,4
4,배송빠릅니다  가격이아쉬ㅝ요 120프레임은 정말좋네요,4
5,"아주 좋음. 노트20 울트라에 비해서 카메라는 조금 떨어짐. 무게는 S8쓰던 나에겐 무거워짐. 야간모드, 120hz 주사율 굿굿. 아주 만족",4
6,구매한 상품 배송 기간도 적정했고 상품도 맘에 듭니다.가격도 타판매처보다 저렴해서 다슴에 구매하게되면  또 이용할것 같습니다.잘 사용할께요.,4
7,디자인도심플한 박스에 장마도 피해서 빠른 배송으로왔어요,4
8,미개봉상품 잘 받았습니다,4
9,싼 가격에 잘 샀습니다.거의 새거나 다름 없습니다.,4
10,물건은 좋은데 케이스에 문제가 있음...................,4
11,아빠 핸드폰을 떨어뜨리는 바람에  동생이랑 생일선물겸 사드렸습니다.  매우만족하고 배송도빨라서더욱만족,4
12,한달만에 무선충전 고장나서 as갔더니새폰교체는안되고 부분수리라고해서 기분안좋았는데 수리해도 안되서 새제품 교체받았어요,4
13,성능은 당연히 좋고 색상도 생각보다 이쁩니다,4
14,배송이 약간 느려요 ......  하자는 모르겠네요 아직 켜보지않인서,4
15,빠른배송도종구요 폰도 좋아요  가격만빼면 완벽해요,4
16,배송 빠르고 좋네요 그런데 전화할 때 액정이 살짝 찍혀 보이는게 있어서 1점은 뺐습니다.,4
17,터치ID 잠금해제가 잘 인식이 안돼요 ㅠㅠ 찾아보니까 다들 그렇다고 하더라구요 불편해도 어쩔 수 없네요,4
18,배송도 안전하게 잘오고 만족합니다,4
19,항상 폰은 하이마트에서 구매하고 있어요,4
20,배송  빠르고  맘에  들어요,4
21,가격 사악해요 눈물눈물디자인은 사진이랑 같아요배송 괜찮아요,4
22,갤럭시s20. 이제 제대로성능을 느껴볼수있어서 너무좋아요..,4
23,금요일 주문 월요일에 받았어요 가격은 안 착하네요,4
24,기기값은 비싸지만 요금제는 마음대로 쓸수있어서 좋아요,4
25,배송은 느렷지만 폰은 좋음,4
26,"색상도 이쁘고, 성능도 만적합니다.다만 택배보다는 빠를 것으로 생갇하고2조금 불편하더라도 매장 픽업을 했는데 배송은 좀 늦네요.그것 빼면 자급제라 불편한 것은 없습니다.",4
27,빨리 배송되고 좋아요,4
28,싸게 잘샀습니다 감사합니다,4
29,잘 받았습니다. 감사합니다.,4
30,얇고 잘 붙네요. 케이스롤 씌으면 끝에가 조금 벚겨져요.,4
31,다른후기에서 봤던건데 진짜 뽁뽁이없이 두꺼운종이에 싸여져서 오네요. 성능은 좋으니까 만족합니다.,4
32,와이프 핸드폰이 갑자기 고장나서 바꿔줬어요. 크기는 생각보다 작은데 화질은 좋네요.,4
33,배송이 약간 느리네요 제품하자는 아직확인해보지않았습니다,4
34,액정에 스크레치있음  필름이 불량이기를...바래야죵,4
35,새 상품은 맞으나 박스뜯고 살펴보니 액정에 잔기스가 나 있어서 깜놀! 자세히 보니 액정보호필름이 붙어 있네요. 출고시 부터 붙어서 나온거 같은데...암튼 필름에 기스가 간거라 그나마 안심 했슴다.,4
36,가격만 저렴하면 좋겠러요,4
37,좋아요 좋아요 좋아요,4
38,휴대폰을 항상 하이마트에서 자급제폰으로 구매하규 있습니다. 잘 쓸게요,4
39,좋아요 좋아요 좋아요 좋아요,4
40,배송은 온다는 날짜에  잘 왔구요~ 화면이 생각보다 크진않네요 화면에 필름이 붙어있네요 그위에 또 붙일뻔~속도도 빠른거같아요~,4
41,색상도 이쁘고 폰도 빠르고 좋네요,4
42,가격 사악해요 눈물눈물 디자인은 사진이랑 같아요배송 빨라요,4
43,다른 데보다 싸게 샀어요배송은 빠르네요굿입니다,4
44,좋아요좋아요좋아여좋아요,4
45,가격이 1~3만원씩 싸졌다 비싸졌다하네요.제가 살때보다 1만원 싸네요.s20+살걸 후회되네요,4
46,빠르게 잘 받았어요,4
47,배송 무지 무지 빠르고 가격도 싸게 잘 샀어요.,4
48,구매 당일 상품 출고는 그리고 21일 새벽 3시 좀 넘어서 터미널에서 분류장으로 출발했는데 22일 오전까지 계속 이동중 그리고 금방 받았네요 고가제품이고 전자기기라서 마음 조리면서 기다렸네요그리고 포장이 정말 안좋네요 그 흔한 뽁뽁이 조차 없이 이상한 종이로 대충 되있고 핸드폰 박스보다 훨씬큰 박스에 왔네요,3
49,"오늘 받았는데요,상품 포장을 이딴식으로 밖에 못하나요?폰 사이즈에도 안맞는 큰 박스에..큰 박스를 썼으면 안에 에어캡이라도 채워주시든가요.폰박스 6개는 들어갈 박스에 달랑 폰박스 하나 넣어서 보내면, 물류센터에서 이리저리 던져지면서 충격받겠죠.물류센터에서 일하시는 분들 힘드시니까요.덕분에 폰박스가 조금 찌그러져있네요.일이십만원 하는 상품도 아니고 굉장히 찝찝하네요.",3
50,배송빨랐구요.포장 뾱뾱이로 돌돌 말려 비교적 안전하게 배송되었습니다.다만 케이스 를 대고 글씨를 ㅆ셨는지 글씨자국이 선명하게 남아있어 쫌 ...그리고 핸드폰 액정 두곳에 스크래치가 있었는데 다행히 이건 필름에만 스크래치가 있었습니다. 반품사윤 아니지만 1.  2만원도 안닌데 케이스에 글씨자국 필름 스크래치 기분이 쫌 거시기 했네요. 문의 남기니 업체에서 친절히 안내해 주셨습니다.,3
51,무난하게 사용 중입니다. 기존 안되던 부분이 아쉽지만 자주 사용할 일은 없어 크게 불편하진 않아 그냥 쓰고 있어요~,3
52,배송은 빨랐습니다. 제품은 처음에 실시간 유튜브가 안되는 부분이 있어서 불량인지 체크해야 하지만 요새 너무 바빠서 서비스센터에 가질 못했네요..ㅜㅜ 제품이 불량이 아니길 바랍니다ㅜㅜ,3
53,택배사가 별로네요다른 업체에서는 이런 제품을 우체국택배로 보내는 이유를 알수있는 좋은 경험을 했네요,3
54,오천원올라갔네요 빨리살걸 ㅠㅠ,3
55,4g폰 쓸땐 안끊겼는데 막 끊겨요ㅠㅠ,3
56,배송빠르고 좋네요ㅡ,3
57,옆집 문앞에 잘못놓여 있었네요. 바쁘셔도 고가의 물품인데 배송에 조금 신경 써 주시기 바합니다. ,3
58,발송.배송너무느림.,2
59,사은품은 하나도 없내요,2
60,롯데택배는 정말이지.,2
61, 미개봉상품 받은 후 상황입니다. 전화기 왼쪽 아래 코너에 필름 찍힌 거 보이시지죠. 지문과 먼지는 다 닦았는데 이거는 물리적 훼손이라 안지워지네요.  닦기 전 사진도 있지만 너무 도배하는 것 같아 안올립니다. 박스도 코너 살짝 훼손된것 보이시나요. 이런건 어떻게 유통중 훼손되나요.  박스 아래쪽 스티커입니다. 확대해서 보니 더 잘보이네요. 오른쪽과 아래 가장자리에 하얀 불순물같은 것들이 있습니다. 그 부분을 이용해 뜯었나 봐요. 이에비해 왼쪽 가장자리와 박스 윗면의 씰은 가장자리가 깨끗합니다. 저희는 그냥 씰을 뜯지 않고 자르고 열었기 때문에 이전에 개봉한 의심의 흔적이 그대로 남아있습니다.  ,1
