,review,star
0,포장상태는 아주 훌륭 합니다마누라 생일선물로 구매를 해서 내용물 오픈까진 못했네요네이버 쇼핑 라이브로 구매를 처음 해봤는데카드할인을해야지만 저렴하게구매가능 하게 만들어놨네요. 비싸긴해도 그냥 귀찮아서 구매를 하긴했는데이런식으로 장사하시면 라이브로 구매하는사람 없을꺼에요.,4
1,전화기는 잘받았는데 선풍기하나 급속무선충전기 핸드폰 카메라 강화필름만 왔습니다 핸드폰 강화필름은 넣어주셔야하는거 아닙니까 인터넷에서 강화필름 구매했습니다 충전기 케이블이런거는 안보내주셔도 많아서 괜찮은데 기본적인건 보내주셔야하는게아닌거 싶습니다 유심칩은 바로 끼우니 쓸수 있어 좋네요,4
2,"아이 생일선물로 구매하게 되었습니다.게임,온라인 e-학습터 및 웹서핑으로 사용하고 있습니다. 성능 속도 딸리지  않고아이가 만족하면서  쓰고 있습니다.다만 강화필름 미포함이라고 명시해주셨으면 합니다. 후에 별도 구매하느라 세팅하는데좀걸렸습니다. 이것 빼고는 만족합니다.",4
3,다른 타싸이트보다  저렴하게 구입했어요. 제가 알아본바로는 최저가랍니다. ^^ 핸드폰 구매하려고 오랫동안 써치했는데 자급제폰이 역시 진리였어요.  사은품으로 주시는 필림은 화면필름이 아니라 뒷 카메라 필름이였네요^^; 화면필름은 따로구매 해야 합니다. 구매하시는 분들 저처럼 헷갈리지마시라고요~^^,4
4,"하자없는 것으로 빠른 배송 잘받았어요 처음에 시킬때 불안했거든요,,폰만 떨렁왔으나 빨리 받았고 이상없이 잘되고,ㅎㅎ 만족스러웠어용",4
5,핸드폰 자체는 만족합니다,4
6,물건잘받았습니다 잘쓰겠습니다,4
7,디자인 깔끔하고 예뻐요. 상품도 칼배송으로 받았고 사은품도 잘받았어요. 화면도 크고 성능도 아주 좋아요. 가격이 좀 부담스럽지만 4G 요금제를 쓸수 있어 마음에 듭니다.,4
8,배송이 늦게와서 이틀동안 아들한테 시달린거 빼고는 괜찮은거같아요제가울트라쓰고 아들은 플러스 사줬는데 화질이 조금 다른거같고 일단 가볍네요 확실히 가볍워서 좋아요,4
9,디자인예쁘구...좋아요,4
10,배송 빠르네요. 정품 미개봉 새 자급제폰이구요. 바이올렛 색상 너무 이쁩니다. 어머니 좋아하시네요.,4
11,국민카드 7% 할인 혜택으로 좋은 가격으로 구입한거 같아요배송은 주문 다음날 왔고요색상이 예뻐서 젤리 케이스만 써야 할 것 같아요,4
12,사은품 감사합니다                                                       ㄱ    ,4
13,역시 삼성 갤럭시 빠르고 좋아요..^^근데 사은품이  하나도 없어  그게 아쉬？m어요 ㅠ,4
14,"원래는 원형 튀김쥐포를 사 억었었는데.,  이번에는 다르게 스틱형으로 사먹어봤어요",4
15,ㄱ당일에구매하고 당일에 받은게 무척이나맘에들었고 포장도매우꼼꼼해서좋았어요,4
16,화면이 크고 보기 좋아요,4
17,이제 받아서 사용한지 이틀이라 장단점은 잘 모르겠네요.인터넷으로 처음 구입해서 걱정했는데 잘 도착해서 사용해서 좋습니다.지방이라 배송이 오래걸린것 빼고는 좋습니다.,4
18,갤럭시 S10플러스 쓰다가 액정 완전 깨지는 바람에 S21플러스로 구입했는데 속도와 화면 전환이 완전 빠른거 같습니다,4
19,기다리다 오늘 받았어요 좋네요,4
20,"배송은 정상적으로 받아보았고, 기대하면서 받았는데 별로였든 것 같고, 약 한달간 써보니까 좋기는 한데  디자인이 너무 획일적인 것 같아서 지루한 휴대폰 인 것 같다. 그런데 포인트 적립도 제대로 되지 않는 것 같다.",4
21,최신형으로 카메라도 너무 좋고크기도 동영상 보기 좋아요,4
22,배송 빠르구요 좋습니다 바이올렛 색상이 화면보다연합니다,4
23,"s21플러스 바이올렛 재고 언제풀리나요??
쿠팡, 타사보다 공홈이 재고가 없다는게 이상하네요.
28일까지 구매가능토록 재고부탁드립니다.",4
24,밑에 살짝 긁힌것같은 기스 잇는상태로 왓네요 그냥쓸거긴한데 조금이라도 싼건 이유가 잇는듯?? 봉인씰은 안잘려서 왓는데 의심은 됩니다,4
25,배송이 빠르고 보호필림도 주네요,4
26,터치감이 다른것 같아요,4
27,배송이 빨랐어요!!,4
28,발열논란과 흑화현상진짜 이거 안고치고 최적화문제 ap성능등 하아 이거 안고치면 담번에는 아이폰으로 넘어갈랍니다,3
29,제조 년월 빼고는 만족합니다.  20지 이상,3
30,목요일 저녁에 주문해서 월요일 저녁에 받아보았습니다,3
31,잘받았습니다. 잘쓸게요.,3
32,배송은 빠르게 받았는데. 21년 1월에 제조한 제품이네요. 완전 충전을 시켰는데 배터리가 불량인 제품이네요. 아무것도 안하고 켜놓기만 해도 5분 1 꼴로 배터리가 줄어들어요. 월요일날 a/s센터 가볼려구요. 너무 당황스럽네요. 출시된지 오래된 제품이라서 보관 상태 때문에 배터리가 방전되서 사용량이 줄어든건지 기계 자체 문제인지 아무튼 화나네요.,2
33,폰은 그럭저럭인데 배송이 열흘 걸렸습니다. 문제가 많습니다. 물량이 없으면 주문을 막아두던지.,2
34,"일단 2~3일 된것같아요. 개봉 후 사용중인데,, 케이스 살까해서 검색하는데 위뗑뗑에서 5만원 이상 싸게 파네요. 핑쿠색도 있고,, 하,, 괜히개봉.. 배송 빨랐지만 택배원 서비스 개판이였구요. 본가로 시켰는데 잠시 부재중에 문앞에 두고 가셨는데, 부재중 전화가 와 있어서 전화해보니 주소지 묻길래 구 주소지로 뗑뗑빌라 몇호라고 부르니까 그건 주소지가 아니구요 주소지 모르세요 라구..^^ 내심 속으로 한국말할줄 몰라? 라고 했어요. 주소지 아닌가요? 신 주소지로 말하니 문앞에 뒀다고 하시더라구요. 우체국택배보다 cj나 한진이 더 친절한듯ㅋㅋ 일단 샀으니 일년이상쓰려구요  ",1
35,별로에요 개무겁고 후회중,1
