,review,star
0,"어머니 휴대폰 아이폰에서 겔노트로 넘어가게 되었습니다.4년이 넘은 폰이다 보니 새로운 휴대폰의 체감이 매우 좋군요부모님이 펜! 이라고 노트, 알뜰요금제 쓰셔서 자급제로 구매했습니다.요즘은 케이블 연결해서 바로 데이터 옴기기가 끝나는군요.쉽게 데이터 옴겼습니다.같이 동봉 해준 사은품으로 고속 무선 충전이 잘되네요 그런데.. 아쉬운점은 usb-c to A아답터가 빠져있다는 겁니다.데이터 옴기는데 없어서 케이블 빌리는데 애먹었습니다. 그래서 별하나 차감합니다.",4
1,"8월말 접어들때 주문해서 하루만에 배송 받았어요~ 배터리, 성능 , 다 좋지만 s펜은 정말 짱이네요~~!!! 근데 자급제 폰이라 그런건지.. 가끔 전화가 안들어올때가 있어요..ㅠ 지인들이 알려주셨거든요.. 고객의 사정으로 없는번호라고..;; 이런적 단 한번도 없었는데 이번에 자급제 폰으로 바꾸고서 그러네요.. 글고 스마트 스위치로 연결해서 파일이동시키는 도중 전화번호가 엉킨거 빼곤.. 불편함 없이 신랑이랑 잘 쓰고있어요~~ 아 사은품으로 받은 버즈가 위치찾기 할때 나는소리가 새소리던데 너무 작고, 왼쪽버튼 오른쪽 버튼을 반대로( L ,R) 인식하며, 소리가 아예 안날때도 있어요.. 왜그럴까요.. 고장난제품을 보내주신건 아니시겠죠..ㅠ 흑흑",4
2,"울트라 아니고 일반 노트 입니다.사진 무쟈게 잘나와서 좋습니다.노트20으로 찍은 애완새우~! 동영상도 잘 나옵니다.별4개 준이유는 엘지 v20 사용하다가 왔는데 사용상의 불편함이 좀 있습니다.지문인식이 좀 느립니다. 위치도 좀 불편합니다.홈 화면 넘기는게 불편합니다.화면끄기가 불편합니다.(엘지는 화면 톡톡치면 꺼짐)휴대폰 오래 쓰신분은 빨리 바꾸세요 인터넷,게임등등 무쟈게 빠릅니다.",4
3,"제품은 좋습니다 오랜만에 휴대폰 바꾸니 확실히 빠르네요. S펜을 업무할 때 워낙 잘 써서 이번에도 노트시리즈로 구입했는데 탁월한 선택이었던 것 같습니다. 다만, 옵션선택한 제품이 없어서 연락을 주시는게 저녁 7시 넘어서는 조금 아닌 것 같아요. 점심때라도 연락을 주셨으면 바로 변경해서 빨리 배송을  받아봤을텐데, 출장때문에 온 숙박업소에서 배송을 받아야 했기때문에 그 부분은 더욱 아쉽네요.",4
4,핸드폰크고 마음에 듭니다 배송도 빨리왔어요,4
5,배송빠르고 잘 도착했어요,4
6,배솟이 매우빠르네요,4
7,"자급제로 처음 갈아타는거라 괜찮을까 고민했던게 무색하네요. 새상품 맞고요, 할인받아 비교적 저렴하게 구매했네요의무약정  부담도 사라져 좋구요주변에도 장점 홍보중이예요많이 파시고 번창하세요",4
8,배송빠르구요  약정없는 자급제폰  가격  다른곳보다  저렴해서  좋아요,4
9,자급제폰 알아보다가 구입하게 되었습니다사은품이 아쉽지만 만족합니다~,4
10,색상이 잘못 배송되어 배송이 하루 늦춰졌지만그래도 배송 빠르고 핸드폰도 안전하게 도착했습니다^^,4
11,빠른 배송 감사합니다.다만 색상이 그린이라고 했는데 핑크가 왔네요 허참....,4
12,넘맘에드네요..노트시리즈만썼었어요..이것도좋겠죠?아직까지좋아요~~~~~,4
13,액정 필름도 붙혀있고여분 필름 케이스도 감사합니다오래 썼으면 좋겠네요,4
14,좋은상품 전달 감사 드립니다. 잘 사용 할께요.,4
15,"빠른배송,  새폰이라 좋내요",4
16,별 이상없이 빠른배송으로 잘받았습니다.,4
17,빠른 배송  좋아요.,4
18,"만족합니다. 원래부터 자급제폰으로구입하려 했는데 저렴하게 구매할 수 있어서  만족합니다,",4
19,저렴하게 사길 잘했어요. 잘..사용하려고요,4
20,첨에 꼼꼼한 검수 후 배송 부탁드렸는데 케이스 빼고 왔어요 액정부분 필름은 복불복인거 같은데 저는 없었구요 큰 흠집같은건 다행히 없이 왔고 미세기스만 있고 정상작동해서 잘 쓰겠습니다,4
21,배송 엄청 빠르고 상품도 좋습니다~~,4
22,꼼꼼하게 잘 배송 되었습니다,4
23,배송이 빠르고 좋아요.,4
24,배송이 빠르고 좋아요,4
25,가격대비 좋습니다~~,4
26,배송이 일주일 걸렸지만 안전하게 잘 받았습니다.,4
27,깔끔하고 만족합니다!,4
28,빠른배송 너무너무 좋아요 !고민많이하고 산 폰인데 만족입니다ㅎㅎ,4
29,배송도 빠르고 제품도 좋아요,4
30,"금요일 오후 4시40분에 주문했는데, 다음날 토요일 오후에 도착했네요. 미개봉 상품에 빠른 도착 만족합니다.",4
31,5G요금제 안쓰고 LTE요금제쓰는거에 만족하는중입니다혹시나 상태메롱인 상품올까봐 걱정했는데 좋아요배송도 빠르고요다만 박스모서리가.....ㅜㅜㅜ 깔끔하지 못해서 아쉽네요ㅜㅜ,4
32,제품이나 가격은 좋으나 배송이 느림,4
33,색상 맘에들고 이쁩니다!!,4
34,빠르게 보내주어 잘 받았습니다. 대번 송부라 늦을 줄 알았는데...빠르게 받았다고 연락을 받았습니다.,4
35,카메라성능이 썩 좋지 않은ㅊ것 같아요....기분탓인가ㅠㅠ,4
36,보호필림이 있었음. 그위에 기스가 많고 사용흔적이 좀 보이네요,4
37,화질이나 퀄리티나 너무 만족하면서 사용하고 있어요~4개월 동안 생각한 요금보다 조금 많이나온다는건 빼구요ㅜ,4
38,배송 빠르게 잘 도착 했구요 잘 받았어요,4
39,색이 예술입니다  그립감이  좋아요,4
40,노트20으로 노트9를 찍어보았습니다,4
41,"최신기종이라 빠릇빠릇하고,망원카메라도만족스럽고 대회면이지만 그립감도 나쁘지 않네요.",4
42,배송이 늦어요.상품은 만족합니다.,4
43,잘 구매 합니다.많이 파세요.,4
44,빠른 배송 고맙습니다!!,4
45,다른건 다 괜찮은데 케이스가 너무 지저분해서....어디 박아둔 재고 느낌입니다. 어떻게 관리하시길래.. 좀 실망이네요...,4
46,배송은 좀늦었지만 괜찮습니다,4
47,배송이 느렸어요 일주걸림..,4
48,역쉬 자급재폰이 답인가봅니다,4
49,액정보호필름이 부착되어있는 상태로 배송되어바로 사용가능하네요 잘 받았습니다,4
50,부모님 커플로 쓰시라고 선물했는데 좋아하시네요,4
51,포장 꼼꼼히 되어 안전하게 배송됐습니다.기기도 문제없이 잘 됩니다.,4
52,만족합니다 카메라가 망가져서 샀어요 카메라 괜찮음,4
53,제품은 만족. 업체는 주문 확인후 배송 빨랐으나 택배사에서 배송 이틀 걸렸네요.,4
54,휴대폰 카메라에 안쪽에 티가 하나 붙어있었네요 휴대폰 외관에는 스티커 제거 되고케이스는 여기저기 다녀온 티가나고하지만티가 있어도 사진찍는데 전혀 지장없고어차피뭐 드러워지는거니까그려려니 하고 쓰네요티하나 붙어서 여기저기 마니 거쳐온듯,3
55,주문은 7월에 했지만 제조연월이 21면 2월 제품을 받았습니다,3
56,빠르게 발송해주셨는데배송이 느리네요~!,3
57,뽑기를 잘못뽑았는지 사용 일주일 후 부터 휴대폰 껏다켜졌다  반복으로 메인보드  교체받음,3
58,괜찮나요  젓은  요금제  사용하면  추천,3
59,"상품이야 워낙에 유명한거라서 패스배송이 맘에 안듬10월7일 수요일 결제15일 배송백만원이 넘는 물건을 현관앞에,문자한통 넣고 감분실위험은 누가 책임짐?",3
60,음-------괜찮은  거  같아요,3
61,급한데 배송이 4일걸려서 좀 힘들었지만 상품상태는 좋아요,3
62,무사도착. 잘쓸께요. 처음으로 자급제폰이란걸 써 봅니다,3
63,딸아이가 만족하고 잘 사용중입니다,2
64,딸아이랑 같이 샀네여  화질이 너무 좋네여,2
65,배송석도 좋은데요 스마트픽한 곳이 문제네요 상품을 막 던지네요 기분 안좋아요,2
66,삼성닷컴에서 구매했습니다. 일단 설명서를 주지않아서 당황했습니다. 단말기가 출처가 중요한계 아니라~ 저는 구매처가 중요하다고 생각합니다. 이런식으로 판매를 하면 안된다고 생각 드네요. 저도 처음으로 구매한 소비자입니다.~ 어떻게 사용밥법도 모르는 소비자로써 안된다고 생각이 듭니다 상자 하나 전달하고 갔습니다. ㅠㅠ 달랑 상자하나~~ 뭐지!~~~ ㅠㅠ 설명서도 없죠!,1
67,삼성케어 사은품 신청이 너무 힘드네요. 판매자분 전화했더니 나몰라라 삼성프로모션에 전화하라고 번호알려주고 삼성프로모션은 하루종일 전화 안받음..전 삼성케어 받을수 있을까요? 폰은 좋네요..,1
