,review,star
0,당일배송이라 좋네요. 가족이 받으면될줄알고 집으로 시켰는데 본인아니면 가족증명할수있는 서류랑 받는사람신분증 있어야한다는데 집에 서류가 있을리가없어서 어쩌나했더니 수령지 직장으로 변경해주셔서 편리했어요 서비스로 보내주신 액정보호필름은 슈레기예요,4
1,개통이나 배송등등 다른거는 만족합니다만제조일이 18년11월이라 1년도 더 됐더군요처음에 전원이 안켜져 고장난줄알았는데 방전된거 였어요그래도 합리적으로 잘산거라 생각하고 그냥 씁니다배터리가 빨리 닳는게 좀 아쉽네요,4
2,신랑 사용하던 a시리즈 핸드폰이 배터리말썽이라 바꿔야 하는데 최신기종은 쓸데없이 비싸 이 제품으로 구입했어요. 우체국 택배로 배송됐고 기변으로 s9알아본것중 가장 저렴히 구입했어요. 얼마전 집근처 매장서 견적낸것보다 10만정도 저렴했는데 유심만 갈아끼우면되니 개통 편의성도 좋고 디자인도 깔끔하고 좋네요,4
3,배송은 정말 빨라요!전체 케이스나  포장상태는 정말좋아요! 처음 휴대폰 유심넣구 켰는데 상태가 안좋아서 다시 처음부터 순서대로 했어요 단지 혹시나 휴대폰을 직접 개통해본적이 없는분이라면 시간이 걸릴듯 하네요..첨부터 개통이 된상태로 오기는하지만 기기를 켜서 다시 유심개통은 본인이  해야하거든요..특별한 설명은없구 기본만 나와있어서 자신없는분은 미리 생각해두셔야겠어요,4
4,"갤 S8이랑 S9랑... 똑같네요... ㅡㅡ;1도 다른게 없어요... 첨에 출시됐을때도 똑같다 말 많긴 했는데이럴거면 뭐하러 다른 이름을 붙여 파는지... ㅡㅡ그리고...갤 S8은 개통이 아주 쉬웠는데, S9는 개통이 불편했어요..기종차이는 아닌듯한데.. 쨌든 여러모로..유심을 끼워도 개통이 안되서 한참을 고생.. ㅠㅠ",4
5,"개통해서 사용하기 바빠 사진을 못찍었네요 ㅎㅎ 음.. 11번가 휴대폰샵에서 4번째 구매 입니다~ 그만큼 가격도 좋고, 배송, 개통 다 만족하였기 때문이죠 ㅎㅎ 사은품 없는건 함정~ 진짜 이번에는 휴대폰 상자만 딸랑 와서... 좀 ㅎㅎ 네번 구매중 한번 빼고는 뭐 다 폰 든 상자만 왔지만~ 다음번 폰 바꿀때도 이용할 예정 입니다!",4
6,엄마 폰으로 구입했습니당~ 요금제 선택 자유라서 좋았어요. 공시로 구입했는데 지원금이 그래도 꽤 나오니 좋았네요. 번이면 더 많이 나왔을테지만 기변이니 어쩔 수 없다고 생각해요.. 블랙 무난하면서 깔끔하네요 ^^ 당일 도착으로 빨리 받아서 좋았는데 같이 들어있던 필름 풀커버라ㅠ 첨에 붙이다 망해서 결국 강화액정 샀네용.  첨에 주는 것도 강화면 좋았을텐데 아쉬웠어용~,4
7,14일 주문하고 배송 완료까지 2 주 걸렸습니다  그 과정속에 문의 전화를 넣었습니다만 한번도 연결되질 않았고요  1:1  문의 넣어도 연락 주겠다만 반복 답변 하지만 연락 한 번 없고요   싸게 샀다는 것에 위안를 가지지만 좀 힘들었습니다. ,4
8,제품은 만족합니다.풀커버 유리로 된걸 하니 터치가 안 되더군요.하자인줄 알고 as센터 가니 커버때문에 그렇다고..비싼돈주고 싼걸 커버를 하지 말아야 하나...근데인터넷에 보니... 설정.유용한 기능. 터치민감도 설정하면 된다고 해서 해보니... 터치가 잘되더라구요... 왜 삼성에 as직원은 이기능을 말 안해 줬나 싶어요.... 멀쩡한 휴대폰 고장인줄 알고...고가에 휴대폰 액정커버 없이 쓸번 했네요,4
9,"중고폰만 계속 이용했는데, 액정을 자주 깨먹어서 보험가입하려고 새폰 함 질렀어요ㅋ 어차피 기능이야 신모델 출시때마다 조금씩조금씩 늘어나는거고,근데 그닥 싸게 산것같진 않아서 조금 아쉽네요~ 참,노트 이용하다가 S 이용하니까 크기가 작아 그런지 확실히 떨어트리는 경우가 거의 없다는건 좋네요ㅎㅎ",4
