,review,star
0,4일만에 도착!!! 폭설로 택배사에서 하루 주무심!그레이 생각보다 괜찮네요!뭐 작동잘하고 상처없음 최상인거죠!중2 아들넘 게임용^^;;으로 주문했어요!수업용 패드 따로있는데 스마트폰 눈아프시다니어차피하는 게임!! 크게 보라고 피눈물 흘리며 주문완료! 게임하기에도 화질 좋고 반응 빠르고!엄청 좋아하니 엄마입장에선 맘이 복잡미묘합니다.패드는 좋아요! 굿,4
1,상품은 안전하게 잘 와서 너무 만족합니다. 하자도 없고 원하던 색상으로 잘 왔어요~~ 근데 재고선택으로 바로 구매할 수 있고 재고가 없을 수 있다는 공지는 없었기에 바로 4일안에는 받을 수 있을줄 알고 급하게 여기서 구매했는데 다 구매하고나서 재고가 없다는 말을 이틀 뒤에 문의를 남겨서야 듣고 일주일을 기다린 것 같네요..  그 점만 빼면 만족합니다. 인기 많은 색상 구입하실분들은 구입해도 재고 없어서 기다려야 할 수 있다는 점 고려하셔서 넉넉한 시간 생각하시고 구입 참고하시길 해서 남깁니다! 그 문제 말고는 배송 시작하면 정말 빠르게오고 상품도 하자없이 잘 오는 것 같습니다~~,4
2,배송 빠른건 정말 너무 만족했어요!하지만 배송 과정 중의 문제인지는 모르겠지만 아이패드 위쪽이 조금 찍혀서 왔어요ㅠㅠ 찍히고 하는거에 무던한 편이라 교환하기도 귀찮아서 그냥 사용하려구요그래도 가격이 가격이니만큼 포장에 조금 더 신경써 주셨으면 하는 아쉬움은 있습니다!,4
3,해외서 오는 시간이 있어 배송이 조금 아쉬웠지만 만족합니다. 문구에 적어 주셨으면 더 좋았을것을..저는 색상이 없어서 실버로 대체 받았어요.아이가 공부하는데 쓸거라 필요해서 샀는데 가격도 만족이고 아이도 좋아 합니다.감사히 잘 쓸께요~,4
4,11월 1일 새벽 주문 - 연락X - 문의글 다수 올라옴 - 재고 입고 상황에 따라 배송일 달라진다는 답변 - ?옵션 선택하고 결제까지 했는데 재입고 기다리는 황당한; 일 겪고 다른 사이트에서 구매할까말까 한참 고민하다 빠른 환불 안 될 거 같아서 우선 기다림 그러다 11월 5일에 출고 됐다는 알림 옴 - 11월 6일 도착.재고가 없었으면 처음부터 재입고 기다려야 한다고 했으면 좋았을 듯.상품 자체는 박스에 에어캡 씌어서 잘 왔어요.처음 전원 키는데 전원키도 안 되고 홈버튼도 안 돼서 충전 꽂고 전원 켰더니 새로 켜지더니 75% 상태였습니다.이상은 없으니 잘 쓰겠습니다.,4
5,생각보다 화면이 커서 불편한거 같지만 그래도 새겨라 흠집없고 좋아요 근데 액정 강화필름이 붙이려다 힘조절이 안돼서 깨져버렸네요 ㅠ.ㅠ 안타깝네요 그래서 다시 주문해야 될거 같아요 아이패드는 좋아요 잘산거 같아요 잘쓰겠습니다.,4
6,잘 사용하고있습니다 감사합니다 번창하세요,4
7,잘받았습니다 번창하시기바랍니다,4
8,공식 스토어에서 샀는데 만족합니다~,4
9,인강용으로구매했는데 잘사용하면좋겠어요 배송은 이틀걸렸네요,4
10,가성비 좋고 공식 스토어 상품이라 안심도 되네요,4
11,배송 빠르고 포장도 잘 되어있어요.,4
12,다른건 만족스러운데 카메라 옆부분에 약간 기스가 있는 제품이 와서 조금 아쉽네요ㅜㅜ 그래도 크게 신경은 안쓰여셔 그냥 씁니다,4
13,명절연휴에 주문했는데 출고 빨랐어요~ 아이패드 뽁뽁이에 싸여서 안전하게 잘 도착했네요 상품 이상없어요~,4
14,배송 빠르고 무엇보다도 뽁뽁이로 돌돌 꼼꼼하게 포장이 잘되어서 와서 안심이었어요! 배송올때 파손되서 올까봐 걱정이었는데 그런 걱정은 필요 없었네요ㅎㅎ화면은 적당히 크고 예쁘네요ㅎㅎ,4
15,동생 사줬는데 좋아합니다.,4
16,배송이 느렸던거 빼고는 진짜 다 좋아요 ㅠㅠ 실물 짱 예뻐요,4
17,잘받았구요.잘쓸께요.,4
18,좋아요 ㅎㅎㅎ 잘쓰고있어용,4
19,"빠른 배송도 좋았고, 색상도 맘에 들고, 사용하기에 좋았습니다.",4
20,아이가 아주 좋아하네요. 잘쓸께요,4
21,무난하니 아직까지는 괜찮은데 스피커나 동영상소리 녹음이 약해보여요 좀 더 지켜봐야겠네요,4
22,저 사고 품절나서 너무 다행이예여 방금 배송 받았는데 뽁뽁이 한겹으로 포장 되어 있었고 포장이나 이런건 괜찮았습니다 받자마자 켜서 사용해봤는데 너무 좋네요 잘 쓰겠습니다~,4
23,갖고 싶은 것 잘 샀습니다. 배송도 좋고 많이 파세요.^^,4
24,생각했던 거 보다 일찍왔어요!와이파이가 잘 연결안되고 ㅠㅠ 끊겨서 처음에 좀.. 그랬어요. 그래도 잘받아서 쓰고있습니다. 문제없길 바라며!,4
25,굿노트 어플 때문에 구입했는데 자주 사용하지는 않네요. 아직 안드로이드가 편합니다.,4
26,직접받지않고 딸한테 보냈는데 맘에 든데요.인강들으려고 구매~잘 쓰겠네요,4
27,배송 이틀걸렸지만 다행이 늦지 않게 전달할 수 있었습니다.,4
28,저렴하게 잘 샀어요. 유튜브나 인강용으로 괜찮은듯해요.,4
29,고장 없이 잘 사용하고 있습니다.,4
30,빠른 배송이엇어요 ㅎㅎ,4
31,무난해요 유튜브 볼때 좋아요. 무난해요.,4
32,깔큼하고요즘8세대가 잘팔리네요조아요배송은느렸어요,4
33,배송이 택배사 문제인지 조금 느렸습니다만 만족합니다~,4
34,여자친구 줄려고 샀는데 배송도 빨리 오고 성능도 좋아서 여자친구가 좋아해요 ㅎㅎ단점은... 딱히 없는거 같네요,4
35,아이가 쓰고있는데. 마음에 들어하네요,4
36,배송이 빠릅니다!!,4
37,너무 좋아요....,4
38,주변에서 추천해주어서  딸 아이 인강 들어라고 사줬는데 만족하고 쓰고있어요...,4
39,좋아요.아주 좋아요,4
40,만족합니다. 잘 쓰고 있어요. 배터리도 오래가서 아주 좋네요.,4
41,다행이 물량 배송 받아서 좋습니다~~쓰기 좋아요~,4
42,상자모서리가 찌그러진 거 빼면 완벽합니다,4
43,택배 찢어진것 말고 좋어요,4
44,잘 받았어요. 감사합니다~,4
45,편하게 잘 쓸거같아요!,4
46,품귀현상이라는데 바로 잘 샀어요. 근데 제품에 오른쪽 결점이 보여 아쉽네요.,4
47,쓰다보면 자꾸 발열되어서 제품이 뜨거워져요다른건 다 좋아요,4
48,딸래미 한테 선물해주었는데 넘 좋다하네요~~  전에는 갤럭시탭을 사용했는데 비교했을때 사용기능이 편리하고 많다하네요~  잘쓰고 있습니다.,4
49,직구 기다리는 시간 아까워서 구매했어요. 안내해 주신 예정일보다 빠르게 안전하게 도착 했어요,4
50,내구성이 좋아보여요,4
51,아이가 공부한다고 샀는데 쓰는 사람은 만족도가 늪은데 저는 그럭 저럭입니다.눈에 피로도가 너무 커요,4
52,"배송빠름 재질은 폭신하고 앞면른 하드, 뒷면은 잴리 케이스",4
53,사용만족도가 너무 그럴싸 하게좋다배송도 인전하게,4
54,케이스가 찢어져서 더럽혀져 와서 놀랐어요전면 비닐이 다 찢어져 있었고 비닐 벗기니까 시커멓게 스크래치가 잔뜩 나 있네요내용물은 이상이 없어서 다행이었지만 좀.. 찜찜했달까요,4
55,화면이 커서 그런가 배터리가 금방 없어지는 느낌이에여ㅜㅜ생각보다 무겁고 사용하기는 편합니다,4
56,배송이 생각 보다 느려서 실망... 한달 사용 후 리뷰에 기능 같은것 작성하도록 하겠습니다!,4
57,품절이여서 하루에 몇십번 재고풀렸나 보다가 드디어 구매했어요,4
58,배송도 빠르고 디자인이나 성능도 만족합니다,4
59,만족스럽습니다. 잘 사용할께요~,4
60,가성비 좋은 테블릿 입니다,4
61,배송은 느렸지만 최저가에 아이가 너무 좋아하네요.,4
62,미니와 고민을 하다 구매하였는데크기에 만족합니다!!,4
63,딸아이가 넘 좋아하네요^^잘쓸께요^^,4
64,아이가 원하는 아이패드,4
65,잘쓰고있어요 좋아요,4
66,빠른배송 좋았습니다 선물용이라 뜯어보진못했습니다,4
67,제품 안오길래 연락드렸더니 주문 누락되었다고 하시네요... 이것 빼고는 다 맘에 듭니다.,4
68,좋아용 아이패드 별다른고장없이 잘쓰고있습니다,4
69,가격과 품질 만족합니다,4
70,좋아요괜찮아요~~,4
