,review,star
0,우선 배송이 정말빨랐어요 바로.다음날와서 넘 만족스러웠는데 제가..스크래치상품에 당첨됐네요..ㅎㅎ문의결과 배송상의 문제가 아니라 애플쪽으로 교환요청을 해야한대서 그날 서비스센터를가고..기다리고..거기서도 상품을 주문해야한대서 또 이틀을 기다리고..겨우 제품에 다시왔네요ㅠ카드할인되서 싸게샀는데 이런 교환시스템이 너무 불만족스럽네요ㅠ저는 애플매장이아닌 하이마트에서 산건데..여기서 직접교환을 해줘야된다고 생각하는데....흠..무튼 아이패드는 넘 만족해요!,4
1,"다른데 보다 저렴하게 잘 샀어요!!받아본 아이는 21년 4월 생이었어요 ㅎㅎㅎ제가 보기엔 역간의 빛샘 현상이 있는거 같아서애플 공인 서비스센터 가서 점검 받았더니 기기상 아무 문제가 없다고 하더라구요~ 그리고, LED화면이라 어쩔 수 없다고...그 외엔 완전 굳굳!!!이정도의 빛바램은 저의 예민함에 ㅋㅋㅋ완전 추천입니다 ㅋㅋㅋ",4
2,이제 사용자 등록 정도만 끝낸 상태지만 제품은 괜찮습니다. 다만 배송업체는 바꾸시는게 좋지않나 싶습니다. 취급주의표시가 되어있음에도 박스가 찌그러져서 왔거든요. 일반 제품도 아닌 기계이고 저가제품이 아닌걸 감안하면 좀더 세심한 배송이 필요할것 같습니다.,4
3,고딩딸아이 선물이 구매했는데 너무좋아하네요~,4
4,"종이 한 두장 들어갈 만한 약간의 휨은 있었습니다 ㅠㅠ 아쉽 … 정품은 맞고 하루만에 빠른 배송이라 좋았습니다 :) 발열도 약간 있는 듯 ,,,??? 원래 있나 ,,",4
5,애플 아이패드 터치감 매우 만족합니다,4
6,"좋은 제품 싸게 잘 샀다고 생각했는데 할인폭이 매일 심하게 들숙날숙하네요. 6% 8% 15%하루만에 8만원정도 차이나니, 뜯고나서 반품도 못 하고..정책에 문제가 있는 거 아닌지",4
7,아이가 필요해서 여러군데보다가 결정해서 구매했네요전체적으로 만족합니다,4
8,라방으로 좋은가격에 특탬~~,4
9,아이패드는 패드만 구매한다고 끝이 아니기 때문에 각종 악세서리 구매하느라 등골이 휩니다ㅋㅋ매직키보드 커버 사서 맥북처럼 쓰려고 해요,4
10,아이패드 만족합니다 배송은 4일정도 걸렸어요,4
11,배송은 한 3-4일정도 걸렸어요 아이패드 좋아요,4
12,적당한 가격 적당한 품질,4
13,깔끔한 디자인에 무게도 적당하고 좋습니다.,4
14,번창하시기 바랍니다.,4
15,"단점은 가격, 그 외 단점을 찾아볼 수 없습니다. 영롱한 디자인, 최적의 성능",4
16,애플은 처음이라 조작법이 너무 달라 고생중이지만 화면 큼직해서 좋고 애플펜도 잘 돼요. 지문이 많이 찍혀서 필름을 붙여야하나 고민중... 근데 시리가 음성으로 대답을 안하는데 왜그런거죠 ㅠㅠ,4
17,이 비싼걸 박스에 뽁뽁이로만 싸서 온게 좀 속상하네요ㅠ 배송은 빨랏습니다!,4
18,아이패드는 처음인데 잘 써봐야죠 ㅎㅎ 지금까진 이상 없네요.,4
19,배송은 주말 빼고 2일 후 배송시작해서 3일 후 받았내요 애플의 이쁜 박스 찍힘 없이 잘왔내요,4
20,아이가 엄청 좋아하네요. 애들이 좋아하는 이유를 알것 같네요,4
21,가격이 합리적이진  못하나 딸아이가 졸라서 두손들고 질렀습니다.제품은 만족스러운가 봅니다.,4
22,아이패드 에어4 사용하기 너무 편리했어요,4
23,다좋은데 가끔씩 터치가 안먹거나 그렇긴한딩 그건 에어쓰는 사람들이 조금씩 겪는 현상이더라고여ㅠ여툰 잘쓰고있습니당!,4
24,택배 예상이 하루정도 더늦어진게 좀 아쉬운점이고요ㅡ 제품은 블루컬러가  맘에드네요!,4
25,처음에 초기불량 제품을 받긴했지만 애플가서 다시 받아서 잘 쓰고있네용~저렴하게구매해서 좋았어요 감사합니다~,4
26,처음엔 설정오류로 교환이나 as까지 고려했으나 잘 해결 되었네요 역시 애플이긴하네요 신세계..,4
27,배송이 너무 늦게 와서 별 4개예요 판매처에서는 보냈지만 택배사에서 계속 가지고 있어서 여기저기 전화 여러번 했네요 지금은 아이들이 너무 잘 사용하고 있습니다.애플은.... 애플이죠 뭐! ㅋ,4
28,물건잘받았구요 좋네요 많이파세요하하호호,4
29,좋은가격에 원하던 제품을 사서 만족합니다,4
30,배송은 느리지만 제품은 좋아요.,4
31,선물했습니다 아주좋아하네요,4
32,아이패드는 정말 좋네요,4
33,배송도 예정된 날짜에 정확하게 왔고 제품은 만족스러웠습니다.세팅하는거야 이전과 다르지 않았고 화면도 좋습니다.다른 곳보다 저렴하게 잘 산 것 같네요.,4
34,잘 받았ㅅㅂ니ㅏ물건 잘 받았어요,4
35,배송중 오배송 돼서 늦어질줄 알았는데 다행이 악세사리 주문한거랑 같이 와서 안심했네요.첫 아이패드 입문을 쉽게 허락하지 않다니... 그래도 불량 없는걸로 왔고 악세사리 풀장착하니 이게 태블릿이구나 싶네요 만족합니다.,4
36,몇달째 사용중인데 공부할때 사용하기 좋아요 색상도 너무 이쁘고 완전 만족합니다^^,4
37,포장은 잘해서 옵니다저렴하게 잘 구매했네요,4
38,간단한 서핑할때 좋아요 ㅎㅎ,4
39,안전하게 배송해주셨어요 유튜브보고 불량검사도 간단하게 했는데 이상 없었어요 공부할때 사용하고 있어요,4
40,아는 형님에게 보내드렸어요 잘된다고 좋다시네요,4
41,정관장 박스가 와서 당황했는데 내부 포장 깔끔하게 잘 받았습니다. 감사합니다.,4
42,좋은 제품 빠르게 잘 받았어요,4
43,아내가 좋아합니다.,4
44,로즈골드 제일 이쁩니다 추천추천 패드 성능도 좋구요,4
45,만족합니다 만족합니다,4
46,좋아요 좋아요 좋아요,4
47,가볍고 사용감이 좋습니다. 강의용으로 활용도 높습니다.,4
48,배송이 빨라 좋네요써볼게요,4
49,좋아요 ㅎㅎㅎ 배송이 조금 걸렸지만안전하게 잘 왔어요,4
50,깔끔하고 기능이 좋아 많이 이용허렵니다,4
51,배송 빠르게왔고하자없이 잘받았습니다,4
52,프로3세대와 거의 비슷하면서 가성비가 좋습니다,4
53,비싼게 흠이지만 빠른배송 감사요. 많이 파세요,4
54,아이가 정말 좋아 하네요만족합니다,4
55,예쁘네요^^깔끔하니 좋아요~작동도 잘되구요배송도 연말이라 오래걸릴거라 생각했는데 엄청 빨리 도착해서 놀랐어요~잘쓰겠습니다^^,4
56,금액대가 있어서 몇번이고 망설이다 주문했는데 잘 받아서 사용하고 있습니다.,4
57,배송이 너무 오래걸려서 힘들었어요제품 자체는 무난해요~,4
58,배송은 조금 오래 걸렸지만 상품은 만족합니다 ,4
59,잘사용하고 있어요~~^^,4
60,"배송이 빨라서 아이 졸업식전에 도착해서 다행입니다,,,성능역시 굿",4
61,처음 사용해보는데 넘 쓰기 편하네요. 디자인도 깔끔하고 ~~^^,4
62,너무 좋아요 ㅋㅋㅋ 첫 아이패드,4
63,배송도 빠르고 성능역시 끝네주네요---- 수고 하세용,4
64,블루색상 구매맘에 들어요 할인까지해서 좋아요,4
65,배송이 느려서 기다리다 지쳤을 즈음에 도착했어요.,4
66,아직은 잘 모르겠네요.사용후기 올리겠습니다.,4
67,카드 할인 받아서 정가보다 저렴하게 샀어요,4
68,잘받았어요아이아 좋아합니다.,4
69,배송이 길네요그것빼고 좋아요타사이트보다 저렴하고요고객센터 30분 기다리다가 끊었습니다전화는 받는건지..,4
70,최고 아니겟어욭 !!,4
71,드뎌 아이패드를 사용하네여생각보다 편하고 사용감 좋네여!!강추!,4
72,포장걱정 했었는데 아주 잘 포장되어서 보내주셨더라구요. 감사해요. 잘써 보겠습나다,4
73,괜찮은 제품 구매했습니다,4
74,만족 합니다. 좋아요..,4
75,무게는 아이패드 6랑 크게 차이가 안나요. 하지만 화면은 엄청 밝고 좋아용,4
76,정품 저렴한 가격에 구매해서 좋네요,4
77,오래걸렸지만 잘 받았습니다,4
78,딸아이 선물로 사줬는데 엄청 좋아하네요..생각보다 배송도 빠르고...,4
79,딸 선물로 구매 했는데 너무나 좋아하네요.,4
80,망설이다 구매 너무 좋아요,4
81,잘받았어요,4
82,애플 케어를 같이 구매하니 배송은 매우 빠르고 좋네요,4
83,생각보다 빨리 와서 좋았어요. 잘쓰겠습니다~,4
84,생각했던거보다 작지만 만족합니다,4
85,빠른 배송에 감사드립니다^^,4
86,요즘 아이가 푹 빠져있는 아이패드!정말 하루 종일 아이패드만 가지고 놀고있네요 코로나로 아이패드 상승이네요.,4
87,그래도 카드할인받아 구매했어요~잘사용하고 있어요,4
88,배송이 사흘걸린 것 빼고는 만족합니다!,4
89,기다리던 상품 넘 잘받았습니다~~^^,4
90,Apple ID 재설정 오류로 고생많이 했습니다. 꼭 이전 기기 업데이트등 챙기고 시작하세요. 그리고 주사률이 낮아서 인지 갤탭S7 에 비해 글보기가 상대적으로 불편합니다. 이번 모델에서 120으로 올려지지 않는 건 많이 아쉬운 것 같습니다.,3
91,받아서 요리조리 확인해보는데 제품이 좀 휜게 당첨돼서 짜증나지만 다른 부분들은 아직까지 문제 없는거 같아서 그냥 써보려구요. 한쪽면으로 에이포 용지 한두장 들어가는데 어차피 쓰다보면 휘어질거 그냥 감안 하고 씁니다,3
92,인터넷 사는거라 기대가 컸는데 살짝 측면이 까졌어요 스페이스그레인데 그부부만 실버라.. 고객센터서는 그걸로는 애플측에서 교환된 경우는 없다하고 좀 속상합니다,3
93,선물했는데 실버도 있었으면 좋았을거같아요 ^^,3
94,판매처 고객센터 응대가 부실함... 발송전인데도 본인들 업무 편의상 배송지변경이 안된다고 일언지하에 거절해버림,3
95,고장으로 수리함,3
96,지금까지 잘 사용하고 잇어요 때도 잘 안타고 색깔도 고급지고 너무 좋네용,3
97,배송은 빠르네요 하지만 새제품인데 끈적한게 묻어있어서 좀 아쉽네요,3
98,아이패드 양품으로 받아서 잘 사용하고 있어요,3
99,배송이 좀 많이 늦긴 했지만..좋네요,3
100,배송이 거의 10일만에 와서리..너무 느리네요,3
101,와 로젠..할말하않...,3
102,상품에 대한 품질은 매우 만족합니다다만 배송 정보 제공에 대한 것은 좀 불만이네요일괄 배송이면 언제 부터 배송된다 상세하게 정보 공유 해주세요,3
103,잘깨짐  약함 ㅜㅜ,3
104,처음에는 제품의 유격현상 관찰되어 교환 요청하였으나 해당 사항은 교환 사유가 아니라고 하네요쿠* 같은데는 교환도 잘해주던데..물론 여기는 쿠*이 아니지요결국 검수 중에 디스플레이 오류가 발견되어 서비스센터 가서 교환하게 되었습니다아쉽네요 여러모로,2
105,주문시 물건 수령할때 주문한것을 빼고 보내는 습성이있음,2
106,스페이스 그레이 주문했는데 스카이블루가 왔음.,2
107,배송이 진짜 엄청 오래걸림 3군데의 터미널을 거치게 되는 불운. 택배사 바꾸는거 진짜 추천 합니다.뽁뽁이 포장이 좋았음에도 박스 찌그러짐 발생,2
108,토요일 주문하여 일주일이 지났는데 배송이 안됨.롯데택배 회사도 아님.전자제품을 혹한기이 외부 차량 컨테이너에 일주일 가까이 방치하면 내장 배터리 수명에 문제가 있을텐데 배송을 안해서 제품 하자가 생기면 고객이나 판매처에 제품 하자 비용을 배상해야 한다고 봅니다.,1
109,1점도 주기싫음첨부터 불량왔는데 서비스센터 대처도 별로아이패드꼴도보기싫은데 반품도안되서 걍 울며 겨자먹기식으로 써야함,1
110,기스가 있네요,1
