,review,star
0,빠르게 배송해주셔서 감사합니다. 금요일날 구매를 눌렀었는데 바로 구매 확정이 안 되어서 좀 조마했네요. ㅋㅋ 하지만 월요일에 신속하게 확인해주시고 보내주셨어요. 어머니께서 대신 받으셨는데..아쉬운 것은 택배 아저씨께서 이게 뭔지 모르겠다고 그냥 막 던지셨다는 거...?ㅠㅠ 그래서 파손 주의나 취급 주의 표시를 다음에는 해주시면 좋겠어요....ㅠㅋㅋ듣고 좀 충격이었습니다. 하지만 어머니께서 외관을 확인하셨는데 문제 없다고 하셨습니다. 안은 제가 나중에 봐야할 거 같고.. 한 달 후기를 나중에 한번 써 보겠습니다.,4
1,잘쓰고있어요~~ 어떤 분 추천링크로 사서 포인트도 5만 포인트 정도 받았구요!!!제 추천 링크 쓰실 분 쓰세여! 아마 10분까지 되는 걸로 알고 있어요. 아무나 쓰세여!https://wpay.wemakeprice.com/fs/share/1k250w0ebdd15참고로 제가 구매한 모델은 아이패드 11 (2세대) Wi?Fi 128GB(2020년형) 입니당그리고 다른 분이 사용법 적어 주신건데 공유할게요무조건 위메프앱이 깔린 상태에서 ⭐사파리로 들어가서 위에 링크 복사 후 주소창에 붙여넣기 하시면(>앱으로 연동됨)아이패드 단독으로 ⭐위메프페이로 결제 해 주세요!  ❗장바구니에 다른 상품이랑 함께 일반결제 구매X ❗해당 상품 단독으로 위메프페이로 구매O  포인트는 구매확정후 12일내로 적립됩니다.친구추천 횟수에 따라서 10만원까지 추가로 할인가능해요!,4
2,아이패드병 완치했어요ㅋㅋ 그런데 제품 사이드에 살짝 찍힘 자국이 있어서 슬프네요ㅠㅠ 교환안될거같아서 그냥 써야될거같긴한데 마음이 아프네요... 그리고 종이질감필름 증정한다고 적혀있었는데 재고가 없다고 안왔어요. 그거빼곤 다 좋았어요!,4
3,물건 받자마자 그래픽.불량에 걸려서 ㅜㅜ애플센터 왔네요. 공홈 구입이면 바로 교환인데 리셀러에서 사서 교환이 아닌 무상수리라고 하네요필름 붙인거 날라갔어요 ㅠㅠ판매자 잘 못은 아니지만 마음 아프네요다음분은 양품 겟 하시길,4
4,딸아이가 종일 달고 사네요,4
5,싸게사서 좋은데 코스메틱이슈로 교품받았어요,4
6,역시 아이패드 너무 좋네요!!!!,4
7,깔끔하니 이뿌고 기능도 좋아요,4
8,에어4 쓰다가 갈아탔는데 좋아요다만 저는 초기불량이 걸렸기에 센터에서 교환을 받았는데 교환받은게 다행히 양품이라 만족합니다,4
9,역대급으로 할인했는데 이기회에 타서 좋음,4
