,type,review,star
0,아이패드,"잘 받았습니다. 일이있어 접속이 늦어 이제야 구매결정을 합니다. 애플코리아 제품이니 초기불량만 확인하면 되는터라 바로 해드렸어야 하는데 (_ _)개인적으로 병원도 다닐일이 갑자기 생기고, 개봉도 늦어지고 해서 이제야 ㅎㅎ일단 아시겠지만, 펜도 되는 6세대 보급형 패드로, 요즘 꽤 핫한 패드죠. 아무래도 패드류론 아이패드가 가장 잘 나가는 편인데, 이번 6세대가 보급형 가격대로 애플유저들의 가장 쓰고 싶어했던 프로의 애플펜까지 쓸 수 있어 평도 좋은 패드라 말이 필요없는 것 같습니다일단 눈에 띄는 초기불량은 보이지 않네요. 그후 문제는 애플스토어에 문의해야 하는 부분이라~잘쓰겠습니다 (_ _)",5
1,아이패드,6세대 이제 단종 되어서 급히 알아보던 중애플코리아 정품 취급하는 이곳을 알게되서 물량 풀렸을 때 얼른 구매했습니다.스페이스 그레이 색도 맘에 들고 제품도 정상 작동 합니다.제조년월도 2019년 9월이라 최근 제품이네요.만족스러운 구매였습니다!,5
2,아이패드,빠른배송 감사드립니다 재고 문제로 다시 추가로연락주셨는데 너무 친절한 목소리로 품절상품 말고 다른색상은 추가 2만원된다고 했는데 무료로해주신다고 ....회사 재고체크 과실이라고^^ 기분좋게 통화도 마쳤습니다^^ 자주구매하는데 또구매할께요^^,5
3,아이패드,"한 줄 상품평도 써야 이걸 쓸 수 있는 건가요??? 15시에 결제 하자마자 그 날 19시쯤에 출고가 됐고, 그래서 개천절은 지나야 오겠구나 했는데 배송조회 계속 해 보니 22시에도 다음 날 새벽 5시에도 빠르게 이곳저곳 옮겨가드라구여 ㅜ 제가 220v 국내 정발품 맞냐, 출고는 언제 되냐 이것저것 좀 귀찮게 여쭤봤는데 답변도 거의 5분만에 빠르게 주시고 친절해서 좋았습니다. 모두 여기서 구매하세요!!!!!!!!! 이런 거 처음 써보네요. 번창하세요ㅎㅎ",5
4,아이패드,"기존에 iPad Air 2를 사용하고 있었습니다. iPad를 평소에 적극적으로 사용하지 않았던 저는 충분히 만족하고 계속 사용할 예정이었으나, Apple Pencil을 사용해보고싶어 구입하였습니다. ‘저렴한 가격으로 이정도 품질의 태블릿 컴퓨터를 구입할 수 있나’ 싶을 정도로 마감 및 완성도가 좋았습니다. 전반적으로 만족하나, 디스플레이 라미네이팅 처리가 되어있지 않은점만 제외하고... 가장 만족하는 부분은 Apple Pencil도 아닌, A10 Fusion칩을 탑재했다는 점 입니다. 성능이 정말 좋습니다. 일반인들이 사용하면서 성능에 불만을 느낄 이유가 없습니다. 성능에 불만을 느낀다면 iPad(6세대)를 구입한게 잘못이지요. A10X 및 A12X를 탑재한 iPad Pro를...",5
5,아이패드,너무좋아요!! 찾다가 리뷰좋아서 여기로 선택해서 주문했는데 최고입니당!  사양높은 게임도 잘 돌아가요b 굿굿배송도 빠르고 직접받아보니까 더이뻐여ㅠㅠ뽁뽁이가 풀다가 지칠정도로 미친듯이 감아주셔서ㅋㅋㅋ'정말 안전하게 왔구나' 싶더라구요~골드색상 고르길 잘한거같아요 애플펜슬도 고민하다가 주문안했는데 같이할껄 하는생각도드네요! 잘쓰겠습니다^^,5
6,아이패드,"필름 붙이려고 액정 닦고 보는데 티끌이 두군데 있어서 보니까 겉표면의 문제가 아니드라구요. 여기저기 전화해보다 센터가보라해서 오늘 갔더니 바로 교환해주신다네요. 1-2일 기다려야해요. 맨날 뽑기운이 안좋네요. ㅜㅜ 그래도 바로 교환해준다니 다행이에요. 디스플레이 불량 바로 확인하세요. 몰랐는데 골드여서 빨리왔군요. 이번 골드는 색상 나쁘지 않드라구요. 11번가에서 살까 하다가 적립금 혜택 등 해서 30만중반대로 싸게 샀어요. 20일 이후 배송이라 기대안했는데 연휴 끝나고 바로 정말 빨리왔어요. 기존에 에어2쓰고 있어서 거의 같은 제품을 쓰고 있는 느낌이에요. ㅎㅎ 펜된다해서 그림그리기 좋아하는 딸을 위해 샀습니다. ㅋ 기존엔 실버여서 이번엔 로즈골드샀는데 어차피 케이스로 가려지겠지만 그래도 이쁘네요. 용량 고민하다 기존꺼 LTE겸용 64기가짜리 10기가도 안쓰길래 이번엔 와이파이전용 32기가 샀어요. 패드는 주로 집에서 쓰니 괜찮을 것 같아요. 외부에서 아쉬울땐 핸드폰 쓰면되니까요. 애플 별로 적응안되는데.. 패드는 사용법이 안드로이드에 비해 개인적으로 조금 불편한건 있지만, 에어2 거의 3년 가까이 쓰는데도 고장난적이 없어요. 글구 디스플레이 화질은 정말 최고인듯해요. 펜 아쉬웠던 분들은 사셔도 될듯해요~~ 기한지나서 필름은 기대도 안했는데 보내주셨드라구요~~^^ ",5
7,아이패드,다른 가성비 태블릿을 먼저 고려했었는데갑자기 아이패드병에 걸려서...ㅠㅠ구입하지 않을 수 없었네요모은 돈 탈탈 털었는데 정말 후회없고 너무 만족스러워요.  아이패드는 스그가 진리라고 해서 스그로 구입하려다가 역시 저는 전면부가 하얀색인게 더 좋아서 실버로 구입했어요^^이제 아이패드병 완치된 것 같네요!참 배송도 엄청 빠르고 뽁뽁이로 엄청 감아서 안전하게 보내주셔서 진짜 감동!!  쭉 만져본 결과 양품인 것 같아요~ 더 살펴봐야겠지만요,5
8,아이패드,구매하고 바로 다음날 도착해서 기분이 좋았어요.근데 폭폭이로 완전 싸주시는 건줄알았는데 그냥 박스에 뽁뽁이 한겹 대충 들어가있어서 혹시나 택배기사 아저씨들이 험하게 다뤄서 내부적으로 손상이있을까봐 걱정이 좀 되더라고요! 쨋던 결론운 기능에 이상은 없이 좋습니다?,5
9,아이패드,"우선 빠른 배송 너무너무 만족스럽습니다. 주문한지 하루만에 받아 보았구요, 제품 실물이 너무 예쁘고 기능도 뛰어납니다. 구매하기 전에 아이패드 프로랑 고민 많이 했는데 고민한 시간이 아깝네요. 가성비 짱입니다. 두 제품 고민하고 계시다면 고민하지 않으셔도 될거라 생각해요. 6세대도 충분히 빠릿하고 매력적입니다. 강추!!",5
10,아이패드,"태블릿,스마트폰 모두 갤럭시 시리즈쓰다가ios가 궁금해서 영상용으로 아이패드6세대 구매했습니다. 안드로이드랑 많이 다를줄알았는데, 별로 다를건 없네요ㅎ 비교적 쉽게 적응했네요.성능은 역시나 괜찮은데, 저가형이라 그런지 화면 터치시 플라스틱누르는 기분이네요. 이부분은 감점..",5
11,아이패드,첨부터 포토상품평 쓰게 되어있음 되지 굳이 나눠서?여하간 좋아요 안에 흰색 부분 사이즈는 일반 책보다 큰 거 같고요크레마카르타도 같이 쓰고 있는데 아무래도 책 리뷰나 읽다 검색 같은 거 하기엔 아이패드가 좋네요 어차피 2시간 3시간 연속해서 책 읽는 것도 아니고그런데 아무래도 화면이 커서 왓챠나 그런 스트리밍 영상들 화질이 좀 떨어진다는 느낌? PC에서 fhd볼 때보다 더 구린 느낌 ㅠㅠ 그점은 아쉽습니다 ,5
12,아이패드,"지금까지 이런 만족감은 없었다.완벽한 상품 동봉. 번개보다 빠른 배송.애플코리아 정품이라 충전기 바로 사용및 혹시모를 초품 불량에 대한 교환걱정도 없었지만, 확인해보니  받은 상품 역시 유격하나 없이 깰꼼.넷플릭스 HD모드 켜서 보는중인데 화질 리얼 크레이지.비슷한 가격의 갤탭A가 넷플릭스 고화질이 안된다고 해서 아이패드 6세대 선택했는데, 가격 그 이상의 만족입니다.",5
13,아이패드,리뷰 이곳저곳 뒤지고 뭐 펜 반응속도가 어쩌고 저쩌고해서걱정 많이했는데 제가 아이패드 프로를 사용중이라 둘이 비교해봤는데차이 거의 없습니다..(체감불가입니다)이정도 가격에 이정도 퍼포먼스라면 정말 좋은것 같습니다.선물받은 친구도 엄청 좋아했습니다.프로와 6세대 사이에서 고민하신다면 구지 프로 갈 필요없이 6세대 사용하시는거 추천합니다.,5
14,아이패드,"아이패드 구매하길 결정하고 어디서 살지 알아보는데, 저는 안전하게 보내주는 곳에서 구매하고 싶었습니다. 다른 곳들 후기들 보면 완충재도 제대로 안넣어주고 제품 상자 찌그러져 왔다는 경우도 있길래.. 그런데 여기는 유명한 판매 업체이기도 하고, 후기들 보면 배송 상태도 좋은 것 같아 조금 더 싸게 구매할 수 있었지만 여기서 구매하게 되었습니다. 진짜ㅏ 안전하게 포장해주셔?Cㅋㅋㅋㅋㅋ 너무 좋았습니다ㅎㅎㅎ?s?s이로 엄청나게 칭칭 감아주셨더라고요. 여기서 사길 잘한 듯 싶습니다... 아직 제품 상태를 자세히 살피진 않아 모르겠지만 일단은 양품이 온 것 같아 기분이 좋네요. ㅎㅎ  제품 자체는 말 할 것도 없이 좋습니다. 단, 확실히 lcd패널과 강화유리 사이 갭이 느껴집니다ㅋㅋㅋㅋ 전 스그 골드 고민하다가 골드 구매했는데, 이거 신경쓰이시는 분은 스그 구매하시면 별로 티 안날 듯 합니다. 사실 저도 신경 많이 쓰는 편인데 이정도면 나쁘지 않어요 ㅎㅎ",5
15,아이패드,여러군데 찾아본 중에 제일 저렴해서 구매했습니다기기 정품 새제품 맞고 완전 포장되어 와서받자마자 너무 좋았어요지금 3개월째 사용중인데 제품 하자 없고정말 잘 쓰고있어요 감사합니다어버이날에 아빠 선물로 드렸고 기대이상이라 저도 하나 구매할까 고민중입니다,5
16,아이패드,현생이 너무 힘들어서 그냥 질러벌임...딱히 용도는 없고 그냥 갖고싶어서 사는거라 32기가 샀어요! 여기가 그나마 저렴하길래 샀는데 딱 사고나니까 금액이 올랐네요ㅎㅎ다행!!!!저렴하게 구매해서 좋구 물건도 안전하게 빨리 배송와서 더 좋았어요!! 펜슬은 안샀는데 아이패드 더 알차게 쓰려면 펜슬이 있어야 한다길래 조만간 펜슬도 여기서 사려구요! 너무 만족한 구매였습니당,5
17,아이패드,배송도 하루만에 왔구요~~~! 불량없이 깨끗하게 왔습니다ㅎㅎ 몇달전부터 사고싶어서 중고며 새상품이며 계속 찾았는데 싸게 잘 산것같아요 2019년 6월제품으로 왔고 친구는 같은제품으로 중고 30만원에 샀는데 9만원안되는돈 더주고 새거 사서 기분이 더 좋네여 ?,5
