,review,star
0,"전체적으로 아이패드 만족합니다.   갤럭시 노트와 상당히 고민을 많이 했었는데, 디테일한 UI나 인터페이스가 확실히 앞서네요..   물론 초반에 안드로이드 유저가 사용하기에는 상당히 갑갑한 부분이 많았으나..   지금은 많이 익숙해져서 좋습니다.   참고로, 액정 보호 필름은 이곳에서 사지 마시고 개별 구매를 추천 드립니다.   필름을 붙였다가 무지개 현상떄문에 떼어버렸는데,  없는게 백배 낫네요... ^^;;   퓨어메이트의 올레포빅으로 한장 구입해서 딱 붙여주시면 좋을 듯 합니다. 그럼 좋은 선택하시길 ^^ ",4
1,거금들여서 일단 질렀는데 새것 받아보니 마음이 설레이는것은 사람의 본능 아님니까? 애플꺼는 처음 써보는데 설명서도 없지 무척 힘들게 배우고 있네요. 점차 익숙해지고 있지만 어플은 많이 있어서 깔기는 까는데 사용법도 어렵고 하여튼 화질도 좋고 유용하게 쓸께요 ㅎㅎ ,4
2,배송은 너무 늦었지만 오늘 물건 잘 받았습니다 다른분들처럼 뽁뽁이 같은거 없었지만 박스는 찌그러진데 없이 잘 왔어요 다행히 물건은 하자없이 잘 온거 같습니다 불량화소도 없고.. 어제까진 정말 화났지만 기다린 보람이 있...,4
3,비싼가격 때문에 많은 고민후에 구입했는데 대체로 만족합니다 안드로이드를 주로 쓰고 아이팟1세대 이후에 처음 ios라 많이 낯설지만 다시 익숙해지겠죠 ㅎㅎ 레티나디스플레이라 액정은 쨍하고 좋은것 같네요 애플이 좀 패쇄...,4
4,상품은 좋아요 근데 일주일 넘게 안와서 제가 직접 대리점이고 기사아저씨 번호 받아서 찾아다녔는데배송기사아저씨는 귀찮게 한다고 화내다가 아이패드라고 하니까 잃어버린거 같다고 아파트를 다 뒤지고....휴 택배회사좀 바꾸세요 저희 지역만 이렇겠지만,4
5,"정말 늦은 배송과, 순간을 모면하기 위해 언제 배송되는지 여부에 대해서는 내일까지는 무조건 발송한다는 거짓 답변, 계속 늦어지는 배송, 늦는다면 아예 늦는다고 하지 고객에게 거짓 답변 오늘 아니면 내일 발송 됩니다. 정말 실망과 좋은 제품 기분 나쁘게 받음. ",4
6,빨리 받고싶어서 퀵으로 받았어요^^역시~ 좋아요^^,4
7,남편 선물로 사줬어요. 배송은 좀 느렸지만 만족합니다....,4
8,"도착까지 보름이 걸렸네요. 이보다 더 걸린 경우도 있었나봐요, 줄을 잘못선 결과겠지요, 그래도 이제 쓸날이 훨 기니까  그것으로 만족 할랍니다...",4
9,배송이 일주일 이상 걸리는 것이라면 예약 주문을 받으시면 좋을 것 같습니다....,4
10,배송은 정말 빠르구요~ 와이프한테 선물로 사줬는데 정말 좋아하네요~^^ 물건 많이 파시고 번창하세요~ ,4
11,배송이 너무 많이 늦어 배송예정평균 2~3일은 수정필요가 있을듯 합니다만 제품은 만족합니다....,4
12,제품구입하고 배송받기까지 2주가까이 걸린거 같네요. 그래도 좋은 제품으로 도착해서 만족합니다 ^^ 기다리는 시간은 힘들었지만요...ㅎㅎㅎ...,4
13,"물량이 부족해서인지 배송은 좀 늦어졌는데, 그래도 좋은 제품으로 왔네요....",4
14,아이가 인터넷 강의를 보는데 필요 할 것 같아 구입하게 되었습니다. 좋은 제품을 저렴한 가격에 구입하게 되어 매우 좋았습니다. 강력 추천 합니다. ,4
15,다른 말이 필요할까 싶어요  좋은 제품 왔네요  불량화소도 없고 배터리도 괜찮네요  무게가 점 무겁기는 하지만 디스플레이 크기를 생각하면 당연한거고… ,4
16,배송 등 만족스럽습니다.   중간에 변경 요청도 잘 받아주었습니다. 상품은 워낙 잘 알려진 것이라 덧붙일 것이 없습니다.  ,4
17,감사합니다. 조금 늦게 받은 감이 없지않아 있지만 수령 잘받았구요 마니파세요~~...,4
18,살짝 아쉬운건 송장번호가 다른사람께 등록돼서  전화해서 송장번호 물어본거랑  포장할때 박스안에 아이패드 박스만 들어있어서 살짝 찌그러진것 빼고는  마음에 들어요. ...,4
19,배송도 빠르고.. 좋아요..근데.. 포장을 너무 성의없으 보냈더군요..뽁뽁이도 하나 안넣고.. 그냥 아이패드만 넣어서..ㅡㅡ;;불량 생기면 어쩌려고..그러나요??포장 좀 신경 쓰세요~,4
20,배송부분은 영 엉망입니다. 전화도 없이 그냥 배송되고 배송도 너무 늦었어요. 가죽케이스는 진짜 가죽이 아니고 아이패드보다 작은 듯 아이패드에 너무 끼어서  불편하고요.  아이패드 성능은 좋네요. ,4
21,아직 많이 써보지 않았지만 좋은 것 같아요 ............................,4
22,초기 제품이 터치 불량으로 교환 받았는데마무리가 처음 제품이 더 좋았던거 같네요..좀 아쉽제품은 이상 없는거 같습니다.많이 파세요,4
23,배송도 생각보다는 빨리 온거 갔고 상품이야머 당연 좋은거구.......,4
24,제가 살때만 해도 배송 2일이었습니다. 근데 어느순간 배송이 바뀌어 있더군요.. 24일에 주문해서 30일에 받았습니다.  주말끼었다고 해도 넘 하신거 같아요.. 커버는 진즉에 도착해 있었는데말이죠.. 암튼 기나긴 ...,4
25,246435745754,4
26,배송이 참 느려서 답답했지만 그래도 잘쓰고있습니다! 좋아요~...,4
27,상품평보니배송이느리다고 해서  넉넉히 배송날짜생각하고있었는데.. 19일날 주문했는데 21일날받아서 놀랬어요. 제품은 빨리배송되어서 좋은데.. 포장상태가 너무 허술한거 같네요......,4
28,"좋네요. 레티나 디스플레이의 위력, 거기에 빠름 빠름 빠름 신형 칩의 스피드...",4
29,11월 6일에 주문해서 11월 14일에 받았네요...... 심지어 완전 오줌액정까지 걸려서 짜증이........ 많은 말을 쓰려고 했는데 너무 오래 걸려서 그 맘도 사라져 버렸네요 판매자도 먹고 살아야 겠죠.........,4
30,6일날 주문하고 어제 14일날 받았습니다. 8일 걸렸네요. 기다리느라 짜증났지만... 많이 파시고  다음부터는 배송일자를 잘 지켜주세요. 늦은 것이 짜증난게 아니고 예정되 배송일이 지켜지지 않아 짜증 났던 겁니다...,4
31,guwdiufoiopippw ajhsjhfajkehi qwkdkqhdkqjegdfuqgdfuqw...,4
32,물론 20일 발송이라는 점을 이야기 안해주셔서 곤란했지만 만족합니다.20일 발송하여 21일 받았습니다. 대체로 만족스러웠고 포장도 아주 우수했습니다.물론 20일 발송이라는 점을 이야기 안해주셔서 곤란했지만 만족합니다.,4
33,제품이야 뭐 말할 필요 없고. 배송도 적당했습니다.  제품이야 뭐 말할 필요 없고. 배송도 적당했습니다. ,4
34,싸게 잘 구매했습니다.ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ...,4
35,블랙색상 64GB 주문했는데 화이트색상 32GB 보내주시네요.. ㅠㅠ블랙색상 64GB 주문했는데 화이트색상 32GB 보내주시네요.. ㅠㅠ블랙색상 64GB 주문했는데 화이트색상 32GB 보내주시네요.. ㅠㅠ,3
36,배송도 설끼고 있었는데 설담날인 오늘 오전에 배송됬네요;; 완전총알배송   제품도 아주 양품이고 맘에쏙듭니다...   남친선물해줄건데 좋아할 모습을 상상하니 너무 기쁘네요^^   다음에 제것도 살껀데 여기서 또구매할게요~ ,3
37,네 확실히 배송이 느렸습니다 하지만 저는 배송이 느린걸 가지고 분개한것이 아닙니다. 솔직히 지금 주문이 폭주상태라니 일주일? 뭐 넉넉하게 이주일내로는 오겠지 하는 마음이였지만 판매자분의 무성의한 답변이 정말로 화가났습니다 ...,3
38,공부하기 수월해졌고 누워서도 인터넷판도 편함 모양도 맘에 들고 대신 너무비쌈공부하기 수월해졌고 누워서도 인터넷판도 편함 모양도 맘에 들고 대신 너무비쌈공부하기 수월해졌고 누워서도 인터넷판도 편함 모양도 맘에 들고 대신 너무비쌈,3
39,카드할인받아서 싸게 구매... 심플함과 애플의 매력적인 화이트 칼라......,3
40,동영상 강의를 들어야 되어서 구입하게 되었고요.    아이패드는 처음써보는데 화질도 그렇고 속도도 참 마음에 듭니다.  ,3
41,  배송포장도 꼼꼼하고 박스구성도 찌그러진곳 없이 깔끔하네요불량화소 꼼꼼하게 체크했는데 다행이도 아무 문제가 없네요!기능이랑 버튼 여러모로 꼼꼼하고 가격은 정말 많이 저렴하게 샀네요!많이파세요! ,3
42,아이패드4 산다고 하고보니 아들도 하나 사 주어야겠기에 하나더 구입하였습니다. 아들 역시 아이패드2 가지고 있는데 레티나 디스플레이 화질이 좋으니 좋아합니다. 남은 아이패드2 기기는 다른 활용 방법이 있겠지요 ,3
43,가격도 저렴하고 품질도 좋아요.   배송도 빠르고... 다음에 구입할때도 여기서 구입해야 겠네요.  ,3
44,전부터 무지~~ 갖고 싶던 아이패드!!!! 드디어 갖네요. 안전 무사하게 제품 받았고. 이상없이 잘 쓰고 있어요~~~~,3
45,저렴하게 잘사서 완전 잘 쓰고 있습니다. 방문수령 했는데 보호 필름도 잘 붙여 주시고 친절해서 좋았어요~   ,3
46,맘에듭니다. 배송도 빠르구요 함께파시는 옵션내용들도 좋아요.. 다만 터치펜시리즈 제품군이 다양했으면 좋겠습니다. ,3
47,배송도 괜찮고  물건도 좋았습니다 ㅋ배송도 괜찮고  물건도 좋았습니다 ㅋ배송도 괜찮고  물건도 좋았습니다 ㅋ배송도 괜찮고  물건도 좋았습니다 ㅋ배송도 괜찮고  물건도 좋았습니다 ㅋ배송도 괜찮고  물건도 좋았습니다 ㅋ ,3
48,처음엔 주문하고 살까 말까 고민도 많이 했지만   구매하고 직접 방문하니 친절하게 필름도 붙여주시고^^   너무 좋네요 적극 추천합니다. ,3
49,다른말이 필요 있겠습니까? ㅎㅎ   역시 애플 -_- 죽여줍니다~ ㅎ 아주 만족하며 사용하고 있습니다   레티나의 화질이란.. ㅎㅎ 감탄가사 절로 나옵니다^^   뭐 배송도 빠르고 아주 잘 사용하고 있습니다. ,3
50,  금요일 오전에 주문해서 토요일 오후에 배송 받았습니다. 양품 잘 받았구요 박스도 잘 포장해서 보내주셨네요 감사합니다.   역시 레티나 디스플레이 최고네요. 번창하세요.     ,3
