,review,star
0,아이패드1를 8년정도 쓰고 있었습니다.웹서핑과 방송VOD 보는 용도로만 쓰고 있어서 큰 불편함은 없었는데최근 나오는 앱들은 업데이트에서 제외되거나 아예 사양부족으로 다운로드가 안 되서참다참다 못해 에어2로 구입했네요!아이패드1이 블랙이어서 익숙한 색상인 스페이스그레이로 구입했는데색상 완전 예쁘게 잘 빠져 나왔습니다.핸드폰은 아이폰5S 쓰고 있는데 역시 블랙이 진리인듯.전날 밤에 주문하고 다음날 아침에 오피스 가서 직접 받아왔습니다. 3일정도 지났는데 만족스럽게 잘 쓰고 있습니다. ,4
1,"가격만족도/성능/사용편의성 등 : 상태/배송 : 그 외 도움이 될 만한 사용후기 :  물건과 배송 모두 좋습니다~ 근데, 에어캡 추가배송 4000원 치고는 좀 성의없는 포장이었던것같아요. 아버지 사드린건데 아버지도 보시고 이게 뭐냐고 하시더라고요.. 안한것보다야 낫겠지만, 아이패드자체박스란 택배박스 사이에 갭이 있는 그 공간도 에어캡으로 좀 채워주시거나 했으면 더 좋을 뻔 했어요~ 좀 더 안전하게요~  다행히 물건은 하자없이 왔습니다.  옥션 안드로이드 앱으로 작성",4
2,"뭐... 딴데 비교해서 그렇게까지 싸다고는 못하겠지만 그냥저냥 마음에 드는 가격이었습니다.물론 애플 제품이니만큼, 특히 명작 아이패드에어2인 만큼 상품은 굉장히 좋았습니다. 다만 진짜 별거 안샀는데도 3년 전 제품이 60이라니..  ",4
3,"배송완료 후 구매확정을 하지 않은 경우에는 배송이 완료된 일로부터 7일 경과 후, 8일째 자동으로 구매확정 됩니다. 단, 화물/퀵배송 등 배송완료 확인이 불가한 경우에는 판매자가 상품을 발송 처리한 일로부터 20일 경과 후, 21일째 자동으로 구매확정 됩니다. 자동구매 확정시에는 구매 적립 혜택을 받지 못할 수도 있으니 주의하시기 바랍니다. OK캐쉬백 카드번호가 오등록 되는 경우 카드번호가 자동삭제되며, 11번가 포인트로 적립이 이루어집니다. e쿠폰, 모바일상품권 등 SMS로 발송되는 상품은 구매후 ""배송완료"" 상태이며, 오프라인 매장에서 서비스 이용 후 자동으로 구매확정 됩니다. 티켓11번가 주문건중, 공연일이 있는 경우는 ""공연일+1일째"", 공연일이 없는 경우는 ""배송중+21일째"" 자동으로 구매확정 됩니다.  ",4
4,아이패드 만족하는데.. 제가 이어폰도 함께 주문을 했는데.. 이어폰이 조금 밖에 소리가 안들렸고  점점 안들리더니..고장이 나서 버렸네요.. 삼성정품 스테에오 이어폰이라서 믿고 추가 했는데..ㅜ.ㅜ  판매자님께..조금더 신경써서 보내주세요..,4
5,우연히 시내유명 악세사리매장에 갔더니 보급형스타일러스펜 똑같은게 1개3000원이고 2개사면5000원이라네.. 나도 첨에펜받고 보급형이라지만품질이형편없고 디자인도싸구려같은데 8900원씩하네이러고말았는데 어쩜 100원빠진 6000원을더받냐;;;그리고 지문방지필름도 2장에12000원줬다는 지인한테소개받은 같은 사이트인데 1장에 또 100원빠진만원이네;;;;;  인터넷싸다고 악세사리값에서다 충당하네;;;;;[G마켓 안드로이드 앱에서 작성],4
6,"물건은 잘 받았습니다. 일본에서 구매하신건가봐요, 충전기가 좀 불편한거 빼고는 괜찮은데요, 배송이 너무하네요분명 방문전에 연락 달라고 글도 남겨놨었었는데, 집에 사람이 있었는데요. 아파트 아니고 주택인데 아이패드를 너무 무책힘하게 연락 한통없이, 그냥 계단에다 놓고 가셨네요 ^^  뜨거운 햇빛 쨍쨍한 아래에다가.집에 사람이없었던것도 아니고, 다른곳에서 시킨물품은 연락 주시고 물건 잘 배송해주셨는데,이런 전자기기에대한 배송에 너무 실망입니다.아이패드는 물론 상태는 아주좋습니다. 택배상자위에 취급주의 스티커도 붙어있던데, 기사님이 왜그렇게 무책임하셨던건지..잃어버리거나 누가 훔쳐가보고 물어줘봐야 다음부터는 연락주실런지..옷 이나 책같은것도 아니고 전자기기를 그냥 그렇게 놓고가니 정말 황당합니다.",4
7,"빨리와서 좋습니다. 저렴하고 편리하게 되어있어서 인터파크 구매사이트 이용하고 있습니다. 쿠폰도 사용할 수있고, 캐쉬백 몰 사이트를 통해 구입하면 포인트 적립도 될 수 있어서 아주 좋습니다. 혜택이 많습니다. 다만, 인터파크가 g마켓이나 옥션보다 조금 비싼면이 있어서비교해보고 사긴하는데 모니터, 아이패드 이런종류가 좀 비쌌습니다. 다른 상품들이야 비슷비슷하여 인터파크 많이 이용하는데 하나더 좋은점은 아이포인트 적립이 많이 되고 포인트로 살수있는 물건 및 영화등등 많은 걸 할 수있어서 좋습니다. 그걸 제외하고는 편리하고 저렴하고 빨리오고 구성이 잘되어 있어서 좋습니다. 단, 하나 불편한점은 오늘 구입하여 오늘 받아야하는데 현장 직접수령할 수있는 방법이 없어 아쉬웠습니다. 타사이트(g마켓)같은 경우 방문 수령증만 있으면 당일 수령도 가능한데 인터파크도 그렇게 해야할꺼 같습니다. 당일 수령은 저희가 퀵비를 내고도 급해서 받으려고 하는데몇번 시도해보았으나 인터파크같은경우 방침이 그러하여 직접수령이 불가능 하다고 하는데컴퓨터 제품만 그러는건지 아니면 전체적으로 방침이 그러한지 잘 모르겠습니다. 이 점은 개선하시는게 좋을꺼 같습니다. 아이포인트주는 장점이 있어 그점은 부각시키면 더 좋을 듯합니다. 아이포인트때문이라도 여기서 대부분 사려고 합니다~ 아이포인트몰도 상품 늘려주세요~",4
8,배송이 너무 느리긴하네요 3일 걸리고 저녁 늦게 와서 기다리다가 하루를 날려버렸습니다 물건은 일본물건이 오긴했지만 애플제품이 어느나라꺼든 쓸 수 있다는게 좋긴하네요메모리도 TLC가 와서 좀 슬프긴 한데 이건 원래 운이니 어쩔수 없다고 생각합니다 에어2 자체가 정말 가벼워서 편하긴 편하고 아이패드2 썼었는데 확실히 해상도도 틀려서 그런지 선명해서 좋았습니다...,4
9,  일단 배송과 제품은 마음에 드는데 거의 일본 제품인 것 같은데 일본제품이 정발 제품과 사뭇 다른건 없지만 정발 제품이 충전하는데 있어서는 더 좋은 것 같습니다.    필름 구매할때 요청하면 붙여 주신다고 해서... 붙여 달라고 부탁드렸는데 ㅠ 안붙여주신 부분이 좀 아쉽네요.. 신경을 안써주신건가.. 그래도 다른 판매처 보다 가격도 저렴하고 아이패드 터치 펜도 무료로 제공해주시는 부분이 좀 좋은 것 같습니다.  많이 파세요 ㅎ,4
