,review,star
0,색은 정말 .. 이번이 레전드는 맞아요 사진보다 옅고 영롱하고 예쁘고 취저하고 혼자 다해요.다만 아쉬웠던 점은 인덱스(?) 때문에 핸드폰 초기에 배터리가 엄청 닳아요 사진 두 번 찍고 나오면 1퍼씩 닳아있는데 완전 방전 말고 적정 핸드폰 배터리양에서 풀충전 말고 80-90으로 두 번 충전 정도 하니 상태가 좋아졌어요 ! 배터리가 어라? 생각보다 괜찮넹? 왜 괜찮아졌지?! 해졌습니당!아 그리고 미니가 생각보다 무게가 좀 나갑니다 아이폰 12랑 들어봤을 때 12가 좀 더 가볍게 느껴졌어요 ㅠㅠ 무게가 분산되서 그런가요? 문송..하지만 전 정말 미니 쵝오… 예쁜 거 인정이에요,4
1,"생각한 것보다 좀 더 색이 예쁘네요. 사진에서 색이 잘 안담기는데, 실물 색이 좀 더 예쁩니다. 이 전 폰을 좀 오래써서 미니를 살까 고민하던 중에 마침 퍼플이 새로 나와서 구매했어요. 빨리 와서 좋네요. 다만 애플 케어도 추가했는데, 개명당해서 띠용했네요. 애플 케어 서비스 받는데는 기기 기준이라서 이름이 잘못 등록된 거는 문제가 없다네요.",4
2,"화이트가 없어서 망설였는데, 갑자기 화이트 물량이 풀려서 바로 샀습니다! 원래 사용하던 6s보다 가벼워서 굉장히 좋습니다.홈버튼 있는 걸 더 좋아했던터라, 아쉬운 점이 있긴 하지만요.디자인도 마음에 들고! 매우 만족합니다!!!",4
3,"핸드폰은 아주 만족합니다.카메라 렌즈 프로텍터랑 케이스랑은 전혀 맞지않아서 렌즈 프로텍터를 붙인상태로는 케이스 착용이 되지않으며, 케이스를 씌운 후 렌즈 프로텍터를 붙이려고 하면 케이스 사이즈에 맞지않아 부착이 안됩니다.방법을 강구해보다가 끈끈이부분이 떨어져서 결국 렌즈프로텍터는 사용도 못해보고 버리게 되었네요.붙이는데 짜증이 나는데 뭐 어쩌겠어요 안맞는걸..제조사의 문제이지 판매점의 문제가 아니기에 그러려니 합니다",4
4,공홈에 잠시 품절이라 프리스비에서 샀는데배송시작이라고 안떠서 취소할랬더니엄청 빠르게 보내주셨더라고요..상담도 친절하시고..다만 급하게 테스트한다고카메라에 먼지 한톨은 미처 확인도 못했네여.. ㅠ받고 이틀지나서 쌩폰인데도 터치가 안먹는 어이 없는 일이 있었지만껐다 켜니 작동하길래 그냥 씁니다,4
5,아이폰12 미니 퍼플색 넘 예뻐요!어쩌다보니  매트색도 퍼플이네ㅎㅅㅎ케이스가 아직안와서 다칠까봐 무섭씁니당잘쓸께용😍,4
6,너무 이쁨 너무너무,4
7,미니 사이즈도 적당하고 아직까지 이상 발견 못 햤어요 마음에 들어요 컬러가 처음엔 예상보다 좀 진하다 싶었눈데 투명 케이스만 끼워도 조굼운 연해져서 마음에 들어요,4
8,역시 쌈무 너무 예뻐요,4
9,타사이트에서 본 가격보다는 저렴하게 구입한 것 같은데 조금씩 할인률과 혜택이 달라지는 것 같아서 좀 아쉽네요ㅜㅜ제품은 빠르게 받았습니다.:),4
10,상품도 빨리 왔고 배송상태도 좋아요. 그런데 베젤 전원버튼 한쪽에 살짝 스크래치가 있네요. 애플 qc문제기에 나머지 배송이나 포장은 만족합니다.,4
11,배송 빨랐어요 핸드폰인데 큰 상자에 뽁뽁이 몇번 감싸서 배송된 건 읭? 싶더라구요 그래서 4점 드림 제품자체눈 좋움 예뿜 영롱,4
12,아주 만족합니다 디자인도 맘에 들어요,4
