,type,review,star
0,에어닷,IT쪽 종사하고 있는 사람입니다 제품받고 이것저것 많이 파헤쳐봤어요판매하시는 분과 구매하시는 분들 모두 참고하셨으면 해서 끄적일게요코덱이부분이 제일 이해가 안되더라구요보통 음향기기는 코덱이라는 것이 있는데SBCACC 등으로 등급이 나눠져 있거든요보통 만원 이하의 제품들은 SBC코덱을 주로 사용해요부품가격때문이겠죠ACC코덱은 꽤 고성능의 고가로 알고있는데이제품 확인해보니 ACC코덱을 적용했더라구요판매자분이 코덱부분까지 모르시는건지는 모르겠지만페이지에 이런 전문적인 부분도 안내를 하면 좋을것 같다고 말씀드려요저같은사람들은 ACC코덱 적용했다고 써주심 이가격엔 고민도 안하고 살거같거든요음질다른 후기들도 몇개 보이던게 통화음질인데요이부분은 정확하게 말씀드리면 유선이어폰의 통화음질을무선이어폰은 절대 따라갈수가 없어요물리적인 이유때문인데 유선이어폰은 마이크 부분을 손으로 잡고입 앞에대고 이야기를 하잖아요그런부분까지 고려가 되서 마이크 앞부분의 소음만 잡히기 때문에주변잡음은 안들리고 목소리만 깔끔하게 들리는 거거든요근데 무선이어폰에서 통화를 하려면귀에있는 마이크에 목소리를 전달하다보니 주변음성까지 포집이 되기마련이죠제가봤을때 이부분은 아무리 좋은부품을 써도유선이어폰만큼 깨끗한 통화음질은 못따라잡을것 같아요총평저는 이런 디지털 제품에는 냉정하게가격에 맞는 성능을 보인다고 생각하거든요근데 이거는 진짜 가격대비 훌륭한 제품같아요만원대 제품이랑 견줘봐도 성능으론 굉장히 좋은 스펙을 갖췄어요이렇게까지 길게 후기작성한 적이 없는데 제가 살까말까 고민을 많이했거든요사고나니 이렇게 훌륭한 제품인데판매자분이 마케팅을 잘 못하시는듯그래서 개인적인 리뷰보다는 제가 알고 있는 선에서제품에 대한 객관적인 부분만 팩트로 남겨드립니다제품좋네요 한국 연구진분들이 샤오미에서 제작했다고 큼지막하게 쓰신 이유를 알겠어요많이파시고 제 리뷰가 판매자분과 구매하시는 분들께 조금이나마 도움되셨으면 좋겠네요,5
1,에어닷,QCY 쓰다가 고장나서 바꾸려고 알아보다가샤오미 청춘팟을 보게 됐어요평소에 샤오미에서 청소기도 사서쓰고 보조배터리도 년넘게 고장없이 잘쓰고 있어서이어폰도 잘 만들지 않았을하고 믿고 하나 샀습니다색깔이 흰색밖에 없어서 조금 아쉽기도 한데개인적으로는 검은색보다 흰색이 좀더 이쁜거 같아요설명서랑 안내음성이 한국어로 되어있어서 이해가 쉬어서 좋았고요처음에 연결해주면 그 다음부터는 자동페어링이 되서 편했어요케이스가 작고 아담해서 그냥 손에 들고다닐때도 있고가방이나 주머니에 너고 다니기 편하고요이어버드가 작고 귀에 착용했을때 튀어나오지 않아서보기에도 흉하지 않고 세련된 느낌이더라고요외관에 버튼이없어서 터치패널로작동하니까 좀 더 핸대적인 느낌있고요음질은 전에 쓰던것보다 훨씬 좋아서사실 제일 마음에 드는부분이었요통화할때도 잡음 없이 깨끗해서상대방 말을 잘 알아들을수 있었고요커널타입이라서 그런지바깥소음이 잘 안들리는 노이즈캔슬링이 좋더라고요음악들을때 영상볼때 끊김이나 딜레이가 안느껴져서 좋았어요만원대의 가격으로 꽤 괜찮은 퀄리티의 무선이어폰이어서역시 샤오미가 잘 만들었다는 생각이 들어요AS도 년이라고 하니까 안심이 되고요케이스에 끼울 실리콘케이스도 같이 팔아주셨으면더 좋았을거 같아요,5
2,에어닷,주변의 소음을 줄여 음악에 직중할 수 있도록 도움을 주는 것 같아 너무 좋아요음악듣기용으로는 이만한게 없더라구요 길거리에서 노이즈 캔슬링을 실행 시켰을때주변 소리도 거의 들리지 않을 정도로 소음 차단력이 좋습니다착용감도 좋아 귀안에 넣어서 착용해보면 귀안에 딱 맞게 꽉찬 느낌이 들어좋더라구요 장시간에도 귀가 안아프고 좋습니다디자인면에서도 너무 깔끔하고 예뻐서 자랑하고 싶을정도로 너무 이뻐요 불량 없이 도 빨라 너무 만족 주변지인들한테도 더더욱 추천 하고싶어요소리도 지연되는거 없이 음악도 잘 재생되어 만족합니다터치패널도 잘먹히더라구요 무튼 너무 만족한 제품이에요,5
3,에어닷,강의듣는용으로 무선이어폰 하나 쓰려고 찾다가 저가와 고가사이 그 어딘가에 있는 샤오미꺼 발견하게 됐네요 유선이어폰으로 노트북쓰다가 날려먹은적이 한두번이 아니어서벼르고 벼르다가 샀는데요 만원대로 카페 몇번 안가고 돈모아서 하나 질렀습니다 개인적으로는 검은색을 좋아해서 검은색도있었으면 좋았을거 같은데 그래도 흰색 계속 쓰다보니까 정드네요선이 없으니까 노트북으로 강의듣기 너무 편하고요 보다가 그대로 일어나서 화장실도 가고 돌아다닐수 있어서 완전편하고음질도 생각보다 나쁘지 않아서 잘쓰고 있어요유선은 오픈형쓰다가 인이어타입은 처음 써봤는데확실히 외부 소음을 완벽하게 차단해줘서 강의듣기 더 편하고집중도 더 잘되더라고요 공식몰이라서 AS도 년되고 안심이었어요터치라서 가끔 머리 넘기다가 살짝 스치기만해도 일시정지되서조금 짜증날때도 있는데 그만큼 터치패널이 예민하게 작동한다는거니까 이해가 되고요한번에 시간정도 쓸수있더라고요 학교갈때 집에올때 대중교통에서쓰면 모자라진 않는데 가끔 각잡고 하루종일 공부만 할때는배터리가 부족하게 느껴지기도 하더라고요 그럴때는 한쪽만 꺼내고 번갈아가면서 쓰고있습니다디자인도 동글동글해서 귀엽고 음질도 괜찮고노이즈캔슬링도 잘되고 만원대에 찾아보기 힘든 가성비 이어폰인거 같아요 맘에 들어요,5
4,에어닷,구성품 모두 망가지지 않고 잘 왔어요근데 처음에 생각보다 음질이 안 좋더라구요이 정도 가격에 이 브랜드인데 이렇게 안좋다고했는데 하도 안쓰다가 이어폰을 써서 그랬던건지계속 쓰니까 주변 소음도 차단이 잘되고 음질도 좋고 특히 원래 보컬만 잘 들리는데 반주라든지 화음을 어떻게 쌓았는지도 잘 들려서 좋았어요저는 학생이라서 이 가격이면 많이 비싼데이 가격 한번 지르고 쓰기 좋은 이어폰인것 같아요,5
5,에어닷,일단 디자인이나 크기가 마음에 들어요특히나 귀에 장시간 껴도 안아파요예전에 저가형으로 한번 사봤을때는진짜 한시간만 끼고 있어도 귀가 너무 아파서 힘들었거든요그런데 이거는 작은 사이즈의 이어캡으로 교체하니아프지 않고 딱 맞아서 좋더라고요뛰어도 빠지지 않고 딱 붙어 있어서 편한 거 같아요단점이라고 한다면 색상을 선택할 수 없다는 점과케이스를 갈아 끼우는 맛이 없어서 아쉽긴 한데요그래도 실제로 받아보니 재질도 부드러워서 좋고친구들이 예쁘다고 얼마냐고 어디서 샀냐고다들 물어보더라고요 그래서 조금 뿌듯했습니다가장 좋았던 점은 음질이 좋아서 였는데요평이 케바케여서 조금 고민스러웠는데막상 받아서 사용해보니 저는 매우 만족스러웠어요가성비 생각하면 정말 잘 만든 거 같다는 생각 했어요물론 고가의 제품이랑은 조금 차이가 있을 수 있지만블루투스라서 간편한것과 깨끗한 음질 유지와 통화시에소리가 잘 들린다는 거를 생각한다면 만족스러운 정도에요이어폰의 무게도 무겁지 않아서 귀에 꽂았을때부담스럽지 않아서 좋더라고요디자인 무게 크기 음질 통화품질 등 생각하면내구성 좋게 잘 만들어진 거 같아서 만족하네요전에 사용하던 만원대 이어폰의 음질 생각하면샤오미꺼가 훨씬 만족스럽거든요크게 불편함 없이 잘 사용하고 있어서 좋아요그리고  빨라서 좋았습니다,5
6,에어닷,안녕하세요 물건 잘 받았습니다 언니 생일선물로 뭘 사줄까 하고 생각하다가 언니가 아직도 유선이어폰 쓰는걸 보니 마음이 안타까워져서 무선이어폰 사줘야겠다 생각이 들었는데요 가격대가 저가부터 고가까지 아주 다양하더라고요 저는 학생이어서 비싼건 못해주고 부담없는 가격대로 찾다보니까샤오미 청춘팟까지 발견하게 됐는데요 만원대로 부담없고 또 음질도 좋다는 평이 많아서 고민끝에 구입했어요 언니가 선물받고 너무 좋아해줘서 다행이었고요 언니껄로 한번 음악을 들어봤는데 확실히 제가 쓰는 만원짜리보다는 훨씬 음질이 좋더라고요 영상볼때 끊김도 없고 커널타입이라서 귀가 안아프더라고요 제가 쓰는건 버튼으로 되어있어서 착용한상태에서 꾹꾹 눌러줘야 하기 때문에 압력때문에 귀가 자주 아팠었는데 이건 터치라서 가볍게 스치기만 해도 작동이 되더라고요 디자인도 심플하고 이쁘고 배터리용량도 커서 시간동안 들을수 있고 여러모로 장점이 참 많더라고요 그래서 저도 샤오미 청춘팟 하나 조만간 사서 바꿔서 쓸까 생각중이에요 언니는 아이폰이고 저는 갤럭시쓰는데 두가지 다 호환도 잘되고요 너무 저가인건 선물하기도 민망한데 이건 샤오미라는 이름도 있고 마원대라서 선물용으로 딱 적합한거 같아요 언니가 좋아하는걸 보니 뿌듯하고요 조만간 제가 쓸거 하나 더 구입하겠습니다,5
7,에어닷,두번째 구매입니다엄마 사드리고 너무 좋아서 저도 샀어요장점  케이스에서 꺼내면 바로 페어링이 되서 편하더라고요처음에 연결 해두면 그 다음부터는 자동연결이 되기 때문에엄마께서 사용하시에 편하다고 하셨어요 처음에 연결하는 방법이 저한테는 굉장히 쉬웠는데엄마는 어려워 하실까봐 해드렸어요 장점  음질이 아주 좋아요전에 에어팟을 사용했었는데 제가 막귀라서 그런지 크게차이점을 못 느끼겠더라고요그리고 저희 엄마는 무선이어폰은 처음 사용해보시는데전에 사용하던 거 보다 좋다고 좋아하셨어요장점  저렴한 가격이 마음에 드네요에어팟을 사용하다가 잃어버렸는데 그때 당시에도큰 맘 먹고 산거라서 또 사려니 주머니가 열리지 않더라고요그런데 이거는 저희 엄마꺼랑 세트로 사는데도 부담스럽지않게 살 수 있어서 좋았어요장점  디자인이 아주 예쁘네요흰색을 좋아하시지 않는 분들이면 단점이라고 느끼실 거 같은데저랑 엄마는 보자마자 흰색이라고 생각해서 좋아했어요무광택이 특이하다고 느꼈는데 부드러워서 좋더라고요그리고 사이즈가 작아서 귀여운 거 같아요저희 엄마께서는 무선이어폰은 처음 사용해보시는 거라서마냥 신기하다고 하시더라고요특히 선이 엉키는게 없으니까 편하고 선이 걸리는게 없어서편하다고 하셨어요무엇보다 콩나물 생겼다고 좋아하시더라고요무선이어폰이 콩나물인 줄 아시거든요아무튼 마음에 들어하셔서 저도 뿌듯하네요고장 없는거로 보내주셔서 좋습니다,5
8,에어닷,처음으로 사용해보는 제품으로 만족스러웠어요사이즈나 색상이 딱 제 스타일이였거든요무광택 재질이 촉감은 정말 좋은 거 같아요크기도 아담해서 주머니에 넣고 다니기에도 딱이더라고요제가 가방을 잘 안들고다니는데 카드 지갑이랑 이어폰이랑한 주머니에 둘 다 들어가서 좋았어요제가 음질에 민감한 편이 아니라서 그런지저는 노래 음질이 좋다고 느꼈어요글마다 음질에 대한 평이 달라서 조금 걱정했는데저는 좋다고 생각해서 만족스러웠어요그리고 제가 성격이 급한 편이라서 느린거를 못보는데페어링 속도도 빠르고 자동연결도 빠르더라고요가장 좋았던 점은 제가 집에서 이어폰으로통화를 자주 하는 편인데 핸드폰을 충전하면서통화를 할 수 있다는 점이 정말 신기하더라고요전에는 충전 중에는 스피커폰으로 통화를 하거나귀를 직접 대고 했었거든요그러다보면 열이 발생해서 불편하기도 하고혹시 위험하지는 않을까 걱정도 됐었는데요무선을 사용하니 누워서 통화도 되고딴짓 하면서도 사용할 수 있어서 좋더라고요돌아다니면서 친구랑 통화하는데도끊김도 없어서 너무 편하다고 느꼈어요원래는 에어팟을 살까도 살짝 고민했었는데요비싸다 보니 고민이 길어지더라고요그래서 샤오미라는 이름 믿고서 사본건데여러모로 만족스러웠어요싸게 좋은거로 잘 산 거 같아서 좋아요좋은 물건 많이 파세요,5
9,에어닷,주부라서 십만원이상하는 비싼 무선이어폰을사서 쓰기에는 낭비같고 해서 더 찾아보고 샤오미 청춘팟보고 바로 하나 장만했어요 원으로 많이 부담스럽지도 않고흰색에 동글동글한 디자인도 귀엽고 이쁘네요커널타입이라서 귀에 쏙 들어가고 설거지할때나청소기 돌릴때도 음악들으면서 하는데 끊김도 없고시끄러운 청소기 소리에도 음악이 잘들려서 만족스러워요윗층집이 쿵쿵 거리는 층간소음때문에가슴이 답답하고 화날때가 많았는데그때 이것만 귀에 쏙 꽂아주면 음악소리만 들을수있어서 마음의 평화가 오네요 제가 귀가 좀 작은편인데 이어폰팁이 작은것 여분으로 같이 와서 그걸로 바꿔서 쓰고있는중이에요확실히 더 밀착이 잘되서 잘쓰고있어요음질도 깨끗하고 베이스가 잘울려서음악들을때 영화볼때 사운드 맘에 들어요확실히 만원짜리 제품들과는 다른거 같아요평소에 샤오미에서 이것저것 사서 쓰고있었는데 이어폰도 여기서 사길 잘한거 같아요AS도 년이 된다고 하니 안심되고요,5
