,내용,별점
0,대체로 만족합니다만 액정 화면 밝기가 많이 약하네요 상품 만족합니다 빠르기는 보통이었고요택배사 문제인듯요 고양시 내 이었는데 오전 시에 접수된 첫 날은 아무 처리가 안되다가 그 다음날 새벽에 곤지암에는 왜 들렷다 왔는지상품 기능 중 디스플레이 밝기가 어둡네요주간 실외에서는 디스플레이가 거의 식별이 안됩니다 사진 참조 실내 실외 순입니다샤오미 카페네이버에 사람들에게 물어보니 원래 그렇다고 하네요액정 화면을 통한 확인은 실내나 야간에 하도록 하고 세부 내용은 스마트폰 앱Mi Fit을 통해 살펴보면 되기도 해서 결정적으로 카페 사람들이 원래 그렇다고 해서 교환 요청하지 않고 그냥 쓸까 합니다,5
1,미밴드 상위 버전들도 많지만 걸음 수 체크가 구매의 주 목적이었기 때문에 많은 기능이 제공되진 않지만 가격이 저렴한 미밴드를 구매했습니다구매하고 보니 미핏에 연동하면 다양한 알림 기능을 쓸 수 있는데 이것저것 알림기능을 켜놓으니까배터리 소모가 엄청 빨리 되더라구요그래서 알림은 다 꺼놓고 아주 기복적인 기능만 사용하고 있습니다그래도 주 목적이었던 걸음 수 체크에는 문제가 없기때문에 가격대비 만족하며 사용하고 있습니다,5
2,막역하게 지내는 동생 생일선물로 사줬습니다이 녀석 아주 샤오미라면 사족을 못 쓰는 넘이라 충전지 이어폰은 물론 심지어 가방까지 다 들고 다니고 손목아지 차는 것만 해도 미밴드도 있고 심지어 삼성기어도 갖고 있는 넘이 뭐 사줄까 하니 또 이게 그케 갖고싶다 하데요 현충일 주문해서 일날 도착했으니 공휴일을 제끼고도 하루 늦은 셈이긴 한데 뭐 이 정도는 이해합니다 주문이 밀렸을 테니아무튼 그리곤 좋다고 이런 사진들을 보내왔는데 제가 보기엔 뭐 다 쓰잘데기 없는  별다른 특징없는 사진들 같아 보이긴 합니다 뭐 기능 소개하는 사진도 없고말로는 그러더군요 미밴드은 좀 투박한 면이 있었는데 이건 깔끔하고 좋다네요그러더니 기껏 내 까똑이나 씹고 아무래도 날잡아 한따까리 해야 될 것 같습니다 아무리 생각해도 운동도 안 하는 쉬키가 왜 그케 이런 건 차고 댕기는 지 모르겠네요 애가 둘이나 있는 넘이 털만 많이 났지 철이 덜 난 거 같기도 하고끝으로 호환스트랩이 여기선 다 품절이라 구매할 수 없어서 좀 아쉽긴 했습니다 녀석 말에 따르면 미밴드은 스트랩이 얼마 못 가 끊어져 불만이었다고 하던데 같이 구매해 보내주지 못해 좀 그렇긴 하더군요 뭐 쓰다보니 구매후기라기보단 동생넘 흉보기가 된 경향이 없지않아 있음니다만 아무튼 오래오래 고장 안내고 싫증 안 내고 잘 쓰길 바랍니다 아 그 외부박스가 넘 크다고 하더군요 사진 상으로 봐도 왜 저케 큰 박스에 담아 보내셨는지 여백의 미인지,5
3,기존에 사용하던 제품 잃어버려서 재구매 했네요 뭐 일단 가성비 좋은건 아시잖아요 예전에 쓰던것 보다 진동오 많이 약해진거 같고요 제품 구매 하실때 밴드 하더 더 사시는거 추천해요 오래 쓰다보면 구명이 늘어나서 살짝만 걸려도 빠져버려요 그래서 잃어버렸구요 암트 가성비는 좋아요 막쓰기에,5
4,와이프가 핏빗을 쓰고있는데 비교해볼때 개인적으로 저는 미밴드가 가성비가 좋다고 생각합니다 일단 내구성이 괜찬은 편입니다 와이프는 핏빗을 사용한지 몇달만에 밴드줄이나 나가서 교환을 해야 했습니다 반면 줄쪽이 내구성이 괜찬은것 같네요 약간의 싼티는 어쩔수없다고 봅니다만미밴드의 최대장점중 하나가 전화수신기능인데 진동이 약한 핸드폰의 보초역할을 잘해줍니다 잠잘때 수면시간 체크 그중에서도 수면질 체크가 꽤나 맘에 듭니다 배터리도 제법 오래가구요 제 경우엔 한번 완충시 일주일까지도 가는것 같습니다 여러모로 가성비 좋은 제품임에 틀림이없고요 디자인이 조금 더 개선된다면 더 할나위없을듯합니다,5
5,샤오미 미밴드 강력추천 드립니다제품 구매후 익일 빠른으로 잘 받았습니다 작년 월에 미밴드 개월동안 사용 했었다가 최근 코아 스마트밴드 CK HR 갈아타서 몇일 사용해보니 걸음수도 안맞고 수면시간 체크도 엉망이고 못쓰겠어서 중고나라로 팔아버리고 다시 미밴드 구매 했습니다 써본 사람만이 미밴드가 좋다는걸 잘 아는것 같습니다 대륙의 실수가 이리 좋은제품 이었다는걸 다시 한번 느끼네요 감사히 잘 사용하겠습니다 ,5
6,최근에는 스마트 와치가 종류도 많고 다양하다 스포츠 와치 역시 마찬가지이중 미밴드는 정말 저렴한 가격에 기본에 충실한 기능을 제공한다 가성비 최고일단 본인은 월 일부터 사용해서 현재 기점월일 의 베터리가 남아있다 보통 주 간다고 하던데 본인은 한번 충전으로 일째켜놓은 기능으로는 한시간동안 활동 안하면 알려주는 기능 알람아침에 한번기능 메신저스케쥴 알림 기능 등 사용할 수 있는 기능들은 전반적으로 켜놓은 상태임에도 베터리는 충분하다 한번 체크해볼려고 중간 충전 안했음동영상으로 올리면 더 확실할꺼 같은데 아이폰의 홈키같은게 있어서 그걸 누르면 구지비 핸드폰 안봐도 기본 걸음수 맥박 시간날짜까지 그리고 베터리 잔량까지 확인이 가능하다수면에 대한건 동기화해야 볼수 있집만 다시말하면 하루에 한번 동기화로 충분친구 가족 추가로 다이어트 의지를 서로 상승시킬수 있다 일단 한달 사용해본 결과 왠만한 방수세수해봄 손빨래해봄샤워는아직무서워서 하지만 남동생은 해봄도 문제없고 기본에 충실해서 아주 편함적극 추천으로 부모님 드릴 개를 따로 주문한김에 자세한 상품평 올려본다단점이라면 물론 동기화해야하는 번거로움 근데 무쟈게 핸드폰 쳐다보는데 하루 한번도 귀찮을까 그리고 다시알림스누즈기능은 알람과 시간에 한번 움직이라고 뜨는것밖에 없다는것 그래서 혹시 손목쳐다볼 시간도 없을정도로 바쁘면 뭔 알림이 왔었는지 알수없다 핸드폰 보면 되지베터리는 나로써는 대만족인데 사용량 등 케이스 바이 케이스 일듯결론매우 추천해본다,5
7,세대 세대 쓰고 이번에 세대 씁니다 년 쯤 쓰면 배터리효율이 떨어지고 측정이 잘 안되기도 해서 바꾸게 되지만 가격이 적당해서 괜찮습니다 많은 기능도 필요없고 간단한 활동기록이나 수면기록 정도면 충분해서 미밴드로 만족합니다 손목에 차는게 걸치적거려서 발목에 찰 도 있는데 코어가 실버인 전 세대와 달리 세대는 전부 블랙이라 제대로 전자발찌 같군요,5
8,개봉 후 하루 사용후기 각종 설정을 마친 후 여러가지 항목 테스트를 해 봤습니다  참 모든 설정은 미 Fit와 연동되었고 각종 모든 설정을 다 On 시켜놨습니다  참 개봉 후 바로 사용 못해요 충전하고 사용하세요  분동안 왜 동작을 안하지 하고 멍청하게 고민했네요   걸음 수 측정은 매우 정확하게 됩니다 다만 만보계처럼 화면상에 실시간으로 카운팅화면이 켜진 상태에서 카운트가 올라가지 않는다되진 않습니다   위치이동거리 걸음 수와 마찬가지로 실시간 카운팅은 안 잡히나 정확도는 굉장히 좋은것 같습니다   소모 칼로리 이 항목은 어떻게 계산되어지는지 잘 모르겠습니다 그냥 참고용으로 사용하는데 그래도 꽤 유용한 정보 같네요   심박수 사실 이 부분이 아주 만족스럽습니다 저의 심박수를 대략 측정하여 정보를 확인하는데 제 몸 상태와 직접 비교를 할 수 있어 아주 큰 도움이 됩니다 예를 들어 월 일 인 지금 날씨가 매우 덥고 습해서 조금만 밖에서 이동하면 몸에서 엄청난 열이 납니다 호흡도 가빠지고요 저의 경우 대략 정도가 나오더군요 휴식을 취하면서 몸의 열을 식히고 심박수 측정을 하니 정도 나오고요 무슨 소리냐면 어느 정도 진정되었다 싶은것을 감으로 알았다면 지금은 숫자상 지표로 알아볼 수 있다는 겁니다   배터리 배터리 잔량도 확인 할 수 있습니다 사용량은 수면 체크를 하지 않는다면 한번 완충으로도 오래 쓸 수 있겠네요 수면체크 시간 분 동안 사용된 배터리 양    각종 알람 전화 문자 알람 앱 알림 오래 앉음경고시간동안 밴드 동작 없어야함 등 도움이 되는 알람들이 많아서 좋네요  밴드에서 확인할 수 있는 정보입니다 시간은 당연한거라 뺐고요 낮 시간에 밖에서 화면을 보면 흐릿하게 보인다 잘 안보인다 이런 이야기들은 신경 안써서 굳이 언급 안하겠습니다 손목을 약간 기울여 밴드를 바라보면 시간표시가 되는데 이 부분이 딜레이가 조금 있더라고요 많은 리뷰어들이 이야기 한 내용입니다만 제 주관적인 체감상 약 초에서 초 정도 인것 같습니다  마지막으로 작성일 기준 일차이기 때문에 많은 기능을 사용해보지 못했다는 점 참고하시고 한 달 후월 일 전 후에 또 후기 올리러 오겠습니다,5
9,아주 굿입니다 최고입니다 평소 운동을 안하는 저로서는 샤오미밴드는 아주 최고의 상품입니다 하루 보를 목적으로 운동하려는데 샤오미밴드가 있으니 이 계획을 잘 지킬 수 있어좋습니다비만은 인류최대의 적이라는데 샤오미밴드와 함께 이 적을 물리치고 건강하고 날씬한 삶을 회복하고자 합니다거기다가 맥박수를 젤수 있으니 요새같이 혈압이 높은 시대에 맥박수를 그때그때 채크하여 몸의 컨디션을 최상으로 유지할 수 있으니 이것처럼 좋은것이 어디있을까요또한 저는 휴대폰을 주로 진동으로 해놔서 옆에 폰을 두고서도 전화온지 몰라 놓치는 경우가 많았는데샤오미밴드가 전화 온것을 알려주니 이렇게 좋을 수가 없습니다거기다가 밴드의 디자인이 아주 멋집니다 앞서가는 세대의 사람같은 느낌이 들어서 너무 좋고요 이 밴드를 차고있으면 제가 나이가 대중후반인데 대같이 느껴지고 나이보다 훨씬 젊어 보여서 너무 좋습니다 중국제품이지만 샤오미는 이미 이 업계 최고의 기술력을 자랑하는 회사로서 이젠 더이상 중국것이라고 무시할 수 없습니다 오히려 국산이나 일본산을 앞지르는 시대인것 같습니다그렇다고 중국을 좋아하지는 않습니다만 어쨋든 샤오미밴드의 기술력은 정녕 최고인듯싶습니다좋은 제품 구입해서 너무 기분좋습니다 여기저기 자랑도 하고있고요그럼 좋은제품 많이 파시고 번창하십시오,5
