,review,star
0,물건을 받고 알뜰폰 요금제로 하니 한달에 요금 4천원정도 나오겠네요. 몇년전 중국폰이나  테블렛 생각하고 아직도 중국폰하면 색안경 끼고 욕하는 분들이 많은데..사실상 홍미 노트5가 나오면서 저도 생각이 많이 바꼈습니다.갤럭시만 사용하다가 액정이 박살나는 바람에 부랴부랴 구입해서 사용했었는데..벌써 10개월을 사용했는데 아직도 배터리 하루종일 켜놔도 남아돌고.. 카메라도 잘나와서 애용하고 있습니다.지인의 폰이 박살나는 바람에 이번에 어차피 조금만 지나면 반의반토막 나는 비싼기기말고.가성비 좋은 포코폰을 사보라고 추천을 해드렸는데 아주 만족해 하십니다.언락은 아직 안되어 있어서 72시간정도 걸린다고 나오네요.언락 시키고 안드로이드 파이 버젼으로 업뎃을 하면 터치 씹힘등의 문제등도 사라진다고 하니..더욱 기대가 됩니다.  어플 서랍등의 불편함은 다른 런쳐를 하나 설치하면 해결되는 문제라서국내폰과 거의 동일하게 사용할 수 있습니다. 고가 컴퓨터에나 있는 수냉시스템이 들어가있어서 발열도 거의 없고  쓰로링렉도 없어서 만족합니다.배터리도 기존폰에 비해서 오래가고 딱하나 노치라는 단점만 빼면 홍미노트5와 더불어가성비 최고의 폰으로 인정합니다.,5
1,"포코폰 사전예약으로 구매했습니다.다른 회사의 플래그쉽 모델의 3분의 1가격으로 비슷한 성능으로 사용하다는 벤치마크 결과를 보고 결정햤습니다.사용 전 들은 정보로는 여러가지 면에서 불편하다는 평이 많았는데,유심칩 끼자마자 바로 주파수 잡히고 처음 느낀 바로는 디자인이 가격만큼 싸보이지 않고 매우 이뻐요. 또 작업 전환이 너무 빠릿합니다. 하루동안 사용하고 난 후기로는장점1. 노치 디스플레이 : 예쁩니다. 싫어하는 사람들은 가릴 수도 있구요2. 사진이 구데기라는 소문에도 감안하고 샀는데 조도 조절 가능해서 어두운데서 찍어도 잘 나오고 ai 모드? 이걸로 풍경 사진이 예쁘게 나와요.3. 이어폰 잭이 있습니다. 요즘 이어폰 잭 사라지는 추세에 반가운 폰이죠 또 스테레오 스피커로 출력이 꽤 큽니다4. 배터리가 9시간 동안 켜놔야 거의 다씁니다 퀵차지 3.0으로 완충하는데 2시간정도 걸리구요5.게임 성능   램 6기가에다가 성능이 노트8급입니다6. 지문 인식 속도가 신세계입니다 인식 정확하구요.단점1. 방수랑 nfc지원이 안됩니다애초에 방수 미지원 폰을 썼고 티머니만 따로 들고 다니면 불편한 점은 없네요2. 무선 충존 지원이 안되네요서람들이 세컨폰으로도 많이 사는것 같던데메인폰으로 써도 문제없어보여 당분간제 메인폰으로 쓸 예정입니다자동으로 앱 색깔별 분류가 되는데 이뻐요 ㅋㅋ 정말 이뻐요",5
2," 저렴한 가격에 주문 후 다음날 바로 받아볼수 있었습니다.실수로 배송지를 잘못 기입했는데 택배기사님이 친절히 연락을 주셔서 어떻게 받아볼수 있었네요 기쁜 마음에 폰을 개봉해보니 웬걸 상단부분에 조그마한 스크래치가 있더군요. 솔직히 별 신경안쓰는 분들은 그냥 넘어갈수 있는 수준인데 저는 영 신경이 쓰여 교환문의를 넣어봤습니다. 상담원분께서 아이나비 센터로 가서 교환문의를 하라하여 솔직히 큰기대없이 센터를 방문했는데 센터에서 크게 따지지도 않고 교환을 해주셨습니다. 여기서 가성비폰임에도 붕구하고 서비스가 좋다는 인상을 받았습니다. 교환받은 폰을 며칠째 사용중입니다. 개인적으로는 게임을 주목적으로 구입한 폰인데 게임성능에 있어서는 전혀 실망시키지 않습니다. 엑시노스 칩셋을 쓰는 삼성폰은 물론 같은 칩셋을 쓴 타사폰들 보다도 빠릿한 느낌을 받았숩니다. 또 의외로 신경을 쓴 편의기능에도 소소한 감동이 있었습니다. 비록 외산폰이라 페이기능이나 교통카드기능은 사용할수 없지만 듀얼앱, 통화녹음, 보조공간, 화면녹화 등등 의외로 세세하고 쏠쏠한 기능이 많아 폰 소프트웨어 자체에 꽤 신경을 썼다는 느낌이 들더군요 또 무엇보다 4000미리암페어의 배터리 성능이 확실히 체감이 될정도로 오래갑니다. 저같은 게임위주의 폰사용을 하시는 분들도 스샷과 같이 5시간이상 게임을 할수 있고 고성능의 기능을 사용하지 않는분들이라면 더더욱 미친 배터리의 성능을 실감하실거 같네요 종합하면 가성비 좋은 최고성능폰을 빨리 받아보기도 했고 정식수입발매를 맡은 아이나비의 서비스 또한 매우 만족스러웠기 때문에 포코폰 구매에 높은점수를 주고 싶네요",5
3,"중국 휴대폰은 처음 구매하는지라 조금 망설이긴 했는데..일단 가격이 가격이다 보니 (너무 저렴) 일단 한번 질러보자해서 구매 했습니다.여러 판매 업체를 둘러보다.. 해외배송은 수령까지 시간도 많이 걸리고 AS도 개인적으로 해야해서..몇만원 더 비싸지만 배송 빠르고 AS지원되는 국내정발 제품으로 구매하게 됐습니다. 배송은 일단 국내 배송이니 빠르게 우체국 택배로 수령했으며..제품도 이상 없이 안전하게 도착했습니다.전체적인 외관은 그냥 쏘쏘.. (어짜피 외관 보고 구매한건 아니니..)하드웨어 성능은 가격대비 대박이라는 말인 진실인것 같네요.기기 성능을 가장 잘 알아볼 수 있는 대표적인 방법이 게임 구동이죠..그동안 S7을 사용하고 있어서 그런가..답답했던 게임로딩도 훨씬 빨라진것 같고, 움직임도 빠릿빠릿해졌네요..ㅎ그리고 배터리.. ㅎ 그동안 줄곳 충전기 끼고 게임 했는데..충전기 없이 게임을 6시간 넘게 하다니..그리고 충전도 엄청 빠르네요.카메라 화질도 괜찮고 색감은 갤럭시 시리즈 보다 오히려 더 좋은것 같네요.유심기변하니까 KT에서 HD보이스 해지됐다고 문자가 오더라구요.그래서 고객센터에 전화 걸어서 신분증 보내주고 VoLTE 신청해서 적용 됐습니다.발열부분도 상당히 만족스럽내요. 수랭식이라고 하던데.. 게임이나 충전 중에도 발열 부분은 상당히 많이 감소되었습니다.그동안 거의 손난로 수준이었는데요 ㅋㅋㅋ방수방진 안되는것 빼곤 하드웨어는 참 만족스럽네요..하지만.. 소프트웨어는 디테일 적인 면에서 좀 불편한 부분이 있습니다.사용자들이 자주 쓰는 알람설정, 벨소리설정, 앱스의 아이콘정리, 상단 알림바 등등 여러 편의기능 들이 아직 미흡하거나, 디자인이 구리거나, 불편한 부분이 구석구석 보이네요.이런 여러 편의사항은 아직 삼성이나 애플의 노하우를 따라가기에는 부족해 보이는게 사실입니다.하지만, 어짜피 가격대비 하드웨어 성능만 보고 구매한게 사실이니..저는 만족하고 있습니다.소프트웨어 적인 부분은 앞으로 나이나비 쪽에서 열심히 해주시니 개선의 여지가 있으니까요..",5
4,이제 국산 제품에 놀아나지 않겠다쭝국 폰이라고 반신반의 했는데 음청 이쁘고 사향 지리고 잘쓰겠어요. 앞으론 국산폰 비싸게 안사고 쭝국폰만 쓰야지. 삼성 엘지 대한민국 국민들 돈줄로알고 바가지 쒸우지 말아라. 삼성 엘지폰 다른 나라에서 직구하면 더 싸드라. 이런 뭐 같은 기업들. 전 이만 뿅!!!,5
5,"3년 넘게 사용하던 폰이 최근에 갑자기 이상 증상이 나와서, 무난한 가격과 좋은 성능이라고 평가받는 포코폰F1을 주문했네요.금요일 아침 출근준비하면서 주문했는데, 토요일 퇴근해 보니 택배로 잘 왔습니다.1주일간 사용해 보니 정말 가성비 최고의 폰입니다.운전할때 폰으로 T맵을 항상 사용합니다.국내 이정도 가격의 경우 GPS 신호 잡는 것도 느리던데포코폰은 빠르게 신호 잘 잡네요.안면 인식이나 지문 인식으로 잠금 화면 해제시인식과 처리 속도가 정말 놀라울 정도네요.단지, 일부 앱의 경우 팝업 알람을 일일이 설정 해 줘야 되는 점은 불편하지만, 그 외의 사용중 문제는 없네요.아! 배터리 깡패라는 별명이 있었는데,정말 오래 갑니다. 1박2일간 놀러 갔다왔는데,중간에 충전없이 2일을 버티고도 여유가 있더군요.대 만족입니다.",5
6,MIUI라서 좀 걱정했는데 아주 깔끔하고 예쁘네요다만 알람 오는 설정 보안 설정 등이 다른 안드로이드랑 다르게 자세하게 나뉘어있고 여러군데 흩어져 있어서 공부하면서 설정했습니다ㅋㅋ아.. 근데 확실히 터치는 좀 둔하다고 해야되나 터치감이 익숙해질 때까지 시간이 좀 걸릴 거 같습니다.전체적으로는 가격대비 만족스럽습니다.(순정 카메라 앱으로 찍은 사진도 한장 첨부합니다),5
7,처음엔 관심 없었는데 성능과 가격을 보았을때 이만한 물건이 없네요.서브폰으로 노트5  사용중이였는데 바꿀 폰 찾던중 포코폰 출시 확인두눈을 의심할 정도로 성능과 배터리 효율이 압도적입니다.메인폰은 갤럭시S9+ 쓰는데 3일 써본결과성능 엇비슷하거나 더 좋고 배터리 효율은 비교도 안될정도로 포코폰의 압승입니다. 나머지 화면 카메라 삼성페이 방수방진은 갤럭시 압승하지만 가격이 모든걸 용서해줍니다.내년에 개선될 포코폰을 기대하며 ^^50만원이하 폰 찾으신다면 고민없이 추천드립니다.,5
8,"사실 배송 부분에서는 다소 문제가 발생해서 생각보다 늦게 받았지만, 어쨌든, 하이마트쪽에서는 신경써서 처리해주었습니다. 이점에 대해서는 딱히 불만은 없구요..포코폰.. 좋다는 말을 많이 들어서인지..일단 발열은 별.로. 없다는 생각입니다. 다른 폰의 경우, 게임을 많이 하는 경우에 발열이 주로 발생했었는데.. 두 가지에 놀랐습니다. 수냉식 냉각이라 그런지 발열이 거의 없다는 점과, 배터리 소모가 정말 얼마 없다는 점입니다. 그 외에 성능면에서는 많은 부분에 만족합니다. 다만, 아쉬운 점은 UI 부분이었습니다. 기존에 LG G5 모델을 쓰고 있었는데. UI가 G5 에 비해 별로라는 판단입니다. 연락처에 초성 검색도 안되고, 통화기록에서 메시지를 보내는 버튼 찾는데 한 참 걸렸습니다. 연락처 저장도 불편하고, 연락처에서 전화를 거는 방법도 일관성이 없습니다. 맨 위에서 쓸어내려 보는 메뉴의 수도 G5에 비해서 많이 적습니다. 화면 자동 회전은 반드시 설정에 들어가서만 변경 할 수 있습니다. 동봉되는 케이스와 강화유리(?)는 임시로만 사용하고, 버리는게 좋을 듯 합니다.그리고 이어폰이 없다는 것은 살짝 아쉬운 부분입니다. 가능하다면, 포코폰 기계에 LG UI를 입힌 다면 10만원 정도는 더 낼 의향도 있습니다. 물론, 불가능합니다. 그만큼 기계 성능은 비슷한 라인업인 Q8이나 갤럭시 A10 과 비교했을때 깡패 수준이긴 합니다. 배터리는 그냥 전원만 켜 놓은 상태로 아무것도 안하면 1주일 이상을 쓸 수도 있을 듯 합니다. G5의 경우, 대기시간이 24시간이 조금 넘을 듯 했습니다만.. 아직 2주 정도밖에 사용하질 않아서 제가 모르는 기능과 단점이 있을 수 있겠지만, 요약하자면 성능은 대만족, UI와 부가기능은 다소 아쉽다는 정도로 생각하면 되겠습니다. ",5
9,"V10을 4년 이상 쓰다가 이번에 바꾸게 되었는데,정말 훌륭합니다.인터페이스도 나쁘지 않고, 안드로이드폰중에 이만한 가격대에 이만한 성능을가진 폰은 단언컨대 없다고 확신합니다.사고 정말 후회없이 잘쓰고 있구요. 최고의 성능을 보여주고 있습니다.앞으로도 이런 기회 있을때 하이마트에서 폰 사야겠네요.강력 추천합니다.",5
