,0,1,2
0,노울 일주일 ~,"질문/추천 금지 X​기존 노트10 2년쓰구 기변했어요​접사때문에 무척 고민되엇능데 막상 사진찍을땐 전혀 모르겠네요 ㅎㅎ​접사찍을라치면 2배줌 뜨고 살짝만 거리띄우면 됩니당​일단텍스트샷 올려볼께요​글구 일반카메라, 셀카 전부 대만족요~​촬영할때 펜이 블루투스리모콘 되니까 넘 좋아용 ㅎㅎ​s21울트라랑 고민무지했는데 결론은 대만족 ㅎㅎ​발열느낀적없고 sd카드추가로 너무 여유롭네요",2021.08.12. 14:43
1,노울 기변했어요~,어제 T다이렉트에서 주문하고 전화가왔는데 심사확인하고갤럭시클럽은 가입안한다고 얘기했어요~ 그냥 넘어가고 주문완료된거구요  오늘 택배왔어용개통신청하고 기존유심꽂고 폰켜고 어플 옮기고갑자기 여러가지 로그인이 생각이 안나서 혼란스러워요ㅋㅋㅋ드디어 끝났어요​올해는 단종됐지만 노트20 울트라는  진짜 이뻐요~~♡_♡업데이트 후 이상있다고 글봤는데 저는 아무이상없네요~!!​,2021.08.11. 22:13
2,게임 끝났는데도 방해금지모드가 계속 켜져있네요...,"제목에는 간략한 질문내용 표시 ​사용기종 :  노트20울트라​​질문내용 : (구체적으로):게임할 때 방해금지모드 설정해놨는데 원래는 게임 끄면 알아서 해제가 됐거든요...



 

























근데 업데이트 때문인지는 모르겠는데 그 후로 끄려고 터치해서 들어가니까 방해금지 설정은 또 안되어있네요;;... 방해금지 켰다 다시 눌러야 꺼져요.. 이건 뭐가 문제인지....​질문/추천 금지 X",2021.08.04. 08:33
3,노트 20 울트라 로 바꾼 후기,"질문/추천 금지 X​전 일단 폰을 바꾸기 전에 데이터를 노트북에 옮기고, 쓰던걸 미리 팔고 아이폰7으로 연명합니다그러면 결과적으로 어떤 폰을 써도 풀만족입니다​SD카드큰 화면쓸 지 안 쓸지 모르지만 갖고 있으면 좋은 펜스냅드래곤, 넉넉한 램투박할 것 같지만 괜찮고 좀 남자다운 느낌의 디자인고속충전통화 중 녹음간단한 조작으로 카메라 무음등등장점이 많네요​단점 당연히 없습니다ㅋㅋㅋ​자급제 샀는데 온라인 보다 오프라인이 더 싸네요사서 유심 넣고 개통시키고 삼케플 했습니다​국밥같은 삼케플 있으니 그냥 초기필름으로 지낼 예정입니다케이스는 손가락으로 주욱 그은 얼룩같은게 있어 더러워 보이므로 바꿀 예정입니다 ^^ 끝",2021.07.25. 19:16
4,오우 배터리 진짜 편하네요,제목에는 간략한 질문내용 표시 ​사용기종 :  노트20울트라​​질문내용 : (구체적으로):질문/추천 금지 X​​최근에 s10 5g 2월에 개통하고 이런 저런 이유로 얼마전에 20울트라로 개통을 했는데 ​배터리가 ㄹㅇ.... 넘사급으로 체감되네요 ​처음에 몇주동안은 적응기간으로 배터리가 광탈했는데 며칠전부터 엄청나게 오래가더라구요 ​물론 아직 개통 초기라 그럴수도 있다고 생각하지만​이전에 사용했던 s10 5g보다 더~ 오래가는 느낌이네요 ​다만 아쉬운건 뜬금없지만 누워서 휴대폰을 사용할때 카메라부분이 무거워서 손목이 조금 힘들다?ㅎㅎ,2021.07.23. 17:05
5,폴드2에서 넘어왔어요~,질문/추천 금지 X아이폰X-> 아이폰XS-> 노트10-> 노트10+-> 아이폰12프로맥스-> 폴드2-> 노트20울트라만족못하고 많이 돌아왔네요바로전에 폴드2 무게가 무시 못합니다노울이 깃털 같아요~(개인적의견)ㅋㅋ현재까지 아주만족합니다~^^,2021.07.21. 22:48
6,노트20 울트라 지문인식..,질문/추천 금지 X노트9 3년정도 쓰다가 넘어왔는데20 울트라 지문인식 거지같네요..그냥 패턴 써야겠네요;;,2021.07.17. 20:21
7,갤럭시노트20 일반 미스틱 그레이,"질문/추천 금지 X​​갤럭시노트9 를 2년 반 정도 쓰고 카메라에 불만족하고, 무게 또한 무거워서명기라고 불리우는 갤럭시노트10플러스(블랙)를 중고로 구입해서 사용하다가 남자친구가 몇년 만에 폰 바꾼다고 해서 커플폰 하려고 갤럭시노트20으로 넘어갔습니다. 남자친구는 미스틱 브론즈, 저는 미스틱 그레이. ​사실 작년 10월말에 자급제로 갤럭시노트20 미스틱 그린 인가? 그거 사서 쓰다가 그 당시엔 별 매력을 못 느껴서 중고로 팔았었는데, 색상이 문제였던 건지, 이번엔무난 - 한 미스틱 그레이로 하고 나니 갤노트10플 보다 무게도 가볍고 화면 밝기도자동으로 해놨는데도 확실히 더 밝고, 선명한 것 같아 더 좋은 것 같아요. 저의 체감상 야간에 찍는 카메라도 갤노트20이 좀 더 제 마음에 들었습니다.​그리고 갤노트20은 올해 5월에 생산한 거라 그런지 배터리 효율도 괜찮아요.갤노트10플 쓸땐 배터리가 쭉쭉 닳아서 출근해도 항상 충전시켜뒀었고, 잠 자는 사이에 충전을 못 시켜두곤 하니까 30-40 퍼센트는 혼자 닳더니,자동으로 꺼지기도 해서. 물론 중고라는 점은 감안해야겠지만, 서비스센터가서배터리만 갈더라도 그닥 효율은 못 느낄 거라면서 그러시더라구요..? 게임을 하는 편이지만 그래도 발열문제도 못 느껴서 확실히 전 만족합니다. 예전엔 왜 별로라 느꼈을까요..ㅎㅎ ​​



 

























​",2021.07.14. 11:19
8,노트20울트라  싸게산거가요?,질문/추천 금지 X85요금제에  공시지원기기값  11만원 완납괜찮나요?일주일가까이  쓰는데  만족  스럽니요,2021.07.13. 12:00
9,노울 접사 쓰레기네요ㅡㅡ,질문/추천 금지 X​s20플 쓰다가 노울 넘어왔는데접사 잘안되고 뿌옇게 나오고괜히 넘어온듯...s20이 진짜 명작이네요,2021.07.10. 13:03
10,갤21울 -> 노20울 후기,질문/추천 금지 ​체감되는 점 1. 무게가 가벼워짐 10그람 차이가 느껴질까 싶다가도 두개를 같이 들면 확실히 노20울이 가볍긴합니다 크게 차이는 안나요 근데​2. 발열이 확 줄음21울 WQHD 120쓰다가 20울 FHD 120 쓰니까 발열이 확실히 줄었어요만졌을때 아 뜨겁다 싶은 경우가 확 줄었습니다​3. 펜이 매우 유용21울은 펜이 지원은 하지만 외장해야해서 밖에서 급히 써야할 때 불편했지만20울은 내장펜이 정말 좋더라구요...​결론 : 노22울 내주세요 삼성...,2021.07.08. 09:59
11,노트20 울트라 크기가 서서히 부담스럽네요..,질문/추천 금지 X​친구 갤럭시를 보고나서부터 왜 이렇게 갑자기큰폰이 부담스러운지...다음에는 그냥 갤럭시로 가야겠네요...,2021.07.07. 11:30
12,UAG 플라즈마 케이스 구매했어요!!,노트20울트라 UAG 플라즈마 케이스 구매했어요!!이제 충격으로부터 완전보호요!!믿음직스럽고 묵직하고 예쁘네요 전면 액정 필름도 새로붙이고 카메라 강화유리도 오픈형으로 붙이고 후면 필름도 붙였습니다 케이스 낄때 정품필름처럼 간섭이 없어서 너무너무 만족합니당,2021.07.06. 22:53
13,2차 예판자 노울이 롱텀 사용기.,"1. 디자인- 뭐 이것저것 나쁠건 없습니다. 지금 현재 카드가 들어가는 케이스를 사용중이라 카툭튀는 느껴지지 않으나 가끔 폰을 윗쪽부터 잡게되면 카메라섬에 손 지문이 묻는데 그게 참 기분이 별롭니다. 닦아 줘야하니.. 디자인적으로는 사각사각한게 맘에 듭니다. - 맘에 드는 부분은 왼쪽에 버튼이 하나도 없다는게 참 맘에 듭니다. 이게 왜 맘에 드냐면 가끔 밥먹을때 가로로 거치하고 유투브를 보는데 이게 왼쪽에 버튼이 없으니 볼륨조절할때 눌릴버튼이 없어서 그런지 좋습니다. 이부분은 참 맘에 듭니다.​2. 디스플레이- 투고를 진행하고 바로 구매를 해야겠다는 원인 120hz 역시 여전히 만족스럽습니다. 와이프 아이폰12프로 가끔 만져보게되면 이게 폰이 왤케 잔상이 남지 뭐 렉걸리나 뭐 앱 업데이트중인가 싶을정도로 눈에 잔상이 엄청 남습니다. 한번도 qhd+60hz로는 안써봐서 쨍함이나 이런거는 잘 모르겠으나 진짜 부드러움은...ㄷㄷㄷ​3. 배터리 - 제기준 배터리는 크게 문제가 안되었던거 같습니다. 현재도. 대충 화면켜짐 LTE로만 6시간반~7시간정도 가는데 최근에 게임을 시작해서 이보다는 덜갑니다. 보통 회사에서 일하면서 스탠드형무선충전기에 올려두고 집에서는 아예 충전을 안합니다. 그리고 또 회사와서 충전하고 이런 루틴이라 배터리가 부족하다는 느낌은 한번도 들어본적이 없네요. ​4. s펜- 뭐 말해 뭐합니까. 이것만으로 fan이 되어버렸습니다. 회사에서 카페에서 커피 대량 주문할때 바로 펜꺼내서 쓱쓱, 뭐 간단히 마트가서 살거있으면 펜꺼내서 쓱쓱하고 aod에 띄워두고, 이걸로 자격증 공부도 이동중에 했고, 결국 합격했습니다.(어려운 자격증은 아니었어요..) 뭐 s펜 특화된 기능들이 좋습니다. - 키즈모드로 5살짜리 딸이 만질수 있게 셋팅해두었는데 이때도 펜으로 조작하는게 편해보여요. 어린애가 봐도 직관적으로 잘하는거보니 좋습니다. 그림그리는것도 잘되고 글자를 요즘 배우는데 쓰는거 따라쓰는데 손보다는 펜으로 하는게 확실히 더 자연스럽습니다.- 셀카 찍을때 정말 도움 많이 됬습니다. 블투 s펜 이제 상상이 안됩니다. 셀카만 제대로 이용해도 좋습니다. 블투 기능은..이외에 다른 건 잘 안써봤습니다...- 근데 왜 펜촉은 뺀건지....원가절감..진짜...울트라에도..참..- s펜 꺼내는 위치에는 불만이 없습니다. 의외로 적응은 빨리됬구요. 다만....스피커는..​5. 스피커- 투고햇을때 노트9과 비교햇을때 웅장하다는 느낌까지 받았는데 그때는 대놓고 두기기를 비교해서 그런지 와 스피커 개쩐다 와이프도 개쩐다고 뭐냐고 할정도였는데, 막상 한기기만 써보니 그냥저냥입니다.  유투브 보는데는 전혀 문제 없습니다. 찢어진다거나 전 저음이 둥둥거리는거보다 가수가 반주보다  앞에 나와서 카랑카랑한 소리를 좋아하는데 셋팅좀 만지니까 확실히 낫습니다.- 단, 위치는 진짜 에바입니다. 이거 가로로잡으면 수화부쪽이 우측손에 되게 잡지 않으면 이거 엄청 막아댑니다. 손이 스피커를 그렇다고 수화부쪽을 우측손에 가져다 대면 카메라에 손이 닿아 지문묻게되서 짜증이 납니다. 위치 자체는 에러입니다. 다행이 블투 이어폰이 잇기에 망정이 쌩으로 스피커가지고 가로로들고 듣기에는 오른손으로 자꾸 막습니다. 스피커를...​6.  LTE/wifi- KT쓰고 있고 기기는 자급제로 샀습니다. 특이하게 와이프 회사 데려다주면 차안에서 아이폰은 3G로 바뀌는데 그대로 LTE 잘 터집니다. 근데 KT자체가 망관리를 어떻게 하는건지 가끔답답할때가 있습니다.- wifi 기가 와이파이 쓰는데 뭐 토렌트도 돌리고 이건 wifi공유기에 따라 성능 차이가 나니..wifi6 공유기 사고싶은데..아직 재무부장관님 허락이 안났습니다.​7. 발열- 노트9으로 건너오고 액정 다음으로 체감된 부분입니다. 발열이 아예없다고는 말 못하겠습니다. 근데 훨~~씬 낫습니다. 바람의나라 연 2클라 돌려도 미지근한정도? 절대 잡고있는데 뜨거워서 못만지거나 케이스 벗길정도는 절대 아닙니다. 보통 케이스 벗길일도 잘 없습니다. 요즘은 대낮에 담배피러 10분정도 밖에 나가서 폰보고 있으면 담배 다 펴갈때쯤? 액정이 스르륵 어두워집니다. 뭐 이건 주변환경이 덥고 직사광선 제대로 쬐고있으니 이해합니다. 평소 경우에는 발열이 거의 없다시피합니다. - 최근에 네비 + 지니로 노래틀면서 갔다왔는데 괜찮았네요. 발열도 없이 어두워진다거나 그런것도 없이 물론 충전중은 아니었고 그냥 쌩으로 거치만 하는 거치대라 그럴수도 있습니다. 무선충전까지 더해졌다면 모르겠네요..+ 근데 네비앱들은 위에 길가르쳐주는 부분이 다 파랑파랑이라 번인이 걱정되서 이리돌리고 눕혀도 보고 세워도보고 이랫는데 ㅠㅠ 이거 안바뀌려나여...네이버도 다음도 다 똑같네요. 윗부분 몇 m 남았다는 그부분 파란색인게...​8. 블루투스- 현재 액티브2랑 24시간 연결해놓고 다니는데 블루투스로 인한 배터리소모는 거의 없는듯합니다. 일단 블투가 물리면 확실히 연결성이 좋고 잘 안끊어집니다.- 블루투스 이어폰도 마찬가지인데 신호등이나 교차로 사람많은 곳에서도 안끊기도 연결 유지 잘합니다. 이건..이어폰이 괜찮은건가...애매하긴 하네요. ​9. 통화- 통화음은 엄청깔끔합니다. 상대방이 귀뚜라미인지 소리도 다들릴정도로 엄청 선명하고 쨍합니다. - 그리고 통화 자동녹음 이거 개꿀입니다. 진짜 sd카드 쓰고 있는데 거기에 저장하고 쓰는데 확실히 통화 자동녹음은 개꿀입니다. 안드 12에서 빠진다는 이야기가 있던데......제발...안빠지길...ㅜㅜ​10. 충전속도- 정말 이부분도 전만족합니다. 이전폰이 노트9이기도 했었고, 와이프가 아이폰 12프로라 그런지 진짜 체감됩니다.주말에 회사안나갈때 밥먹는동안만 충전해도 20->80~90퍼까지 충전이 되니 또 하루종일 쓸수 있습니다. 놀러가서 밤새 놀고 아침에 퇴실직전에 30분정도 충전햇는데 아이폰은 충전량14-> 30%, 전 22-> 59%까지 차서 만족했습니다.(순정 기준입니다.)​11. 카메라- 일단 전반적으로 찍을때는 퀄리티도 좋고 50%정도 만족합니다. 근데..이게 셔터스피드를 어떻게 잡는건지 대낮에 애를 찍으면 블러나는게 너무 많습니다.(야간은 말할것도 없고요) 노트9때는 안그랬는데 이게 뭐가 셋팅이 바뀐건지 모션블러가 엄청납니다. 이전에도 비슷한 글을 썻던거같은데 진짜 셔터스피드는 대체 왜이렇게 느리게 한건지 센서면적을 키웠으나 화소수는 몇배로 키워서 수광량이 낮다보니 일부러 셔터스피드를 느리게 한건지 이건 노트9대비 진짜 순간포착이 안될정도로 블러가 심합니다.(순정기준)- ​망원은 때때로 쓸만합니다. 그리고 셔터버튼을 꾹 누르면 동영상이 찍히는데 사진으로 망원으로 쭉 땡겨놓고 바로 셔터버튼 꾹 누르면 망원카메라로 동영상을 찍을수 있어 가끔 유용하게 씁니다.- ​초광각도 때때로 쓸만합니다. 꼭 필요한 순간이 잇을때 화각이 없어서 답답할때 쓰면 확실히 좋긴합니다만 주간용입니다. 야간은...기대하지마세요. - 동영상 만족합니다. 이전에 dslr 쓸때는 사진은 카메라, 영상은 폰으로 담았습니다. 근데 이제 미러리스로 넘어오고 그런경우는 많이 줄었지만 그래도 동영상은 나쁘진 않습니다. 야간빼고요. 야간에 노이즈는 감당이 안됩니다.- AF는 의외로 잘잡습니다. 동영상/사진할거없이 그냥 바로 딱딱 잡는게 뭐 100에 1정도는 헤메는데 정말 드뭅니다. 100에 1도 안될지도모릅니다. af워블링처럼 초점이 잡혓다 빠졋다 하는 증상은 전 없었습니다.- 접사...걍 개쓰레깁니다. 모니터화면 뭐 서류, 이런거 찍을려고하면 짜증부터 납니다. x2 가 대수가 아니라 그냥 편안하게 폰을 거치햇다가 x2로 하면 앉아있다가 일어나야합니다. 아님 폰을 엄청 높이 들거나...그냥 접사는 욕먹어도 쌉니다. 뭐이딴..판형이 커져서 그러면 그거에 대한 해결책을 제시햇어야죠...삼성은 카메라를 안만들어본 회사도 아니고 판형커지면 당연히 동일 초점거리에서 아웃포커싱되는정도는 당연히 생각햇을건데 그때 삼성 카메라 만들던 사람들 다 그만 둔건지... 판형이 커져서 그렇다는건 핑계조차도 안됩니다. 그냥 일정에 쫓기거나 원가절감입니다.- 초기 습기이슈가 있었습니다. 저도 있었구요. 에어컨에 대보고 생기기도 햇었는데 그이후로는 안생기는듯?합니다. 물론 그렇게 극단적인 온도변화가 있는 환경에 놓이기가 쉽지 않았고 그 이후로 별 신경을 안썼습니다....​12. sd카드 - 이건 말해뭐합니까. 256기가짜리 사서 끼는데 용량이 부족해서 아무래도 512기가짜리로 살거같습니다. 와이프가 다음폰은 갤럭시로 간다고 하니 다음폰에 sd카드 넣어주면 내꺼주고 전 512기가 살 예정입니다. - 자동으로 사진이 sd에 정리되는것도 너무 좋습니다. - 고용량의 동영상은 내장메모리에 우선 저장되는게 좀 아쉽긴하네요.​13. AP- 스냅 865+입니다. 처음으로 삼성에서 스냅쓴걸 써보는거같은데..(그렇다고 노트9, 노트20울트라가 갤럭시 써본거 다입니다. 그전엔 아이폰 6+6s+7+8+ 쓰다가 중간에 노트9으로 넘어와서...) 나쁘지않습니다. - 미러리스로 찍은 사진을 폰 라이트룸에서 편집하는데 진짜 훨씬 로딩속도나 효과먹는 속도가 차원이 다릅니다 + 발열도 현저히 떨어지구요.(노트9과 비교시...) 노트9은 노출만 올려도 2~4초 걸리는거같은데 이건 바로바로 먹습니다.  너무 만족합니다. 특히 어디 놀러가서 노트북 못들고 간상황에서 otg로 바로 sd카드 물려서 사진빼고 폰으로 펜꺼내서 바로 슥슥 편집하는게 참 너무 편합니다. 개꿀ㅇㅈ!- 발열도 그다지 느끼지 못하고 이전에 썻던글에도 있는데 wild life? 이것도 99% 찍어주니 뭐 더 바랄것도 없습니다.- 램은 12기가인데 제가 쓰는 사무실 컴터보다 램이 많아서 뭐 전혀 불만없습니다.​14. 휴대성- 아 무게가 210g정도 되었던걸로 기억하는데...일단 위로 길쭉하기도 하고 무게도 그렇고 여름에는 반바지에 넣기는 약               간 무리가 있습니다. 뭐 짧은거리는 상관없는데 긴거리(예를들어 등산같은..) 이동할때는 어디 가방같은거에 넣고 다녀  야합니다. 겨울엔 패딩이나 이런 주머니가 많아서 괜찮지만...여름엔 힘들긴합니다. 그래서 손에 들고다닙니다. 정장 안주머니정도면 괜찮은데 바깥주머니는 힘들더라구요.- 단, 아이폰 8+ 쓸때는 아이폰8+에 지갑까지 들고다녀서 무게도 무게지만 부피가 너무 커지고 거기다가 담배도 피우다보니 담배까지..ㄷㄷ 여름엔 진짜 멀리서 보면 양주머니가 불룩 할정도였는데 지금은 폰하나만 들고다니면 지갑은 없어도 어지간한대서 결제는 다되고, 현금달라하면 계좌이체 해주면되고 지갑의 무게 + 부피가 빠지니 갤럭시쓰면서 만족스럽긴합니다. 아이폰에 비하면. 아무리 작은 카드지갑이라도..일단 두께부터가 넘사라 이부분은 100점까진 아니고 80점정도 만족합니다.​15. 지문인식- 다쓰고 나서 생각낫는데 이것도 참 미치겟습니다. 애지간히 인식이 안됩니다. 한번 최초에 안되면 이거 5회끝까지 안되는거같아요. 지문등록을 다시 하려고 하니 은행어플이며 pass 며 다시 등록하면 지문으로 다시 등록해줘야하고 개귀찮아서 지금 놔두고있습니다. 이거 문제가 있긴합니다.",2021.07.05. 18:17
14,s20플러스에서 넘어온 후기,질문/추천 금지 X노트20울트라 s급 깔끔한 중고로 2일전 넘어왔는데​역시 6.7에서 6.9인치 생각보다 더 광활하네요..​너무 만족스럽고 탭s7플 동기화해서 나가서 암기할때​펜 사용도하고 간단메모 등등 왜 노트가 좋은지 알겠네요​무게는 s20플러스가 186g이였나 그랬던거 같고 노트20울트라가 204g인걸로 아는데 그렇게 무겁다고 생각은안드네요 밸런스가 잘 맞는건가 싶어요​삼케플도 10월까지 들어져있는거 구매해서 맘놓고 편하게 3달 쓰다가 올갈이 해야겠어요​평은 솔직히 사양은 거의 비슷해서 별차이 없는듯해요 ㅎㅎ 화면이 더 커지고 각진 이쁜디자인때문에 넘어온거 같아요 더해서 펜정도? s20플도 1년 잘 쓴거같은데 어제 잘 보내줬네요 거래자분도 만족해 하시네요,2021.07.04. 06:32
15,뒤늦은 후기,"질문/추천 금지 X​노트1(해외판),2,3,4,5,8(해외판)을 거쳐노트9 512gb 만족하며 쓸만큼 쓰다가 노트10 쓰면서 정착이 안되 노울로 정착중 입니다정착 못한 이유가 외장메모리와 여전히 전원버튼 누를 때마다 볼륨버튼을 누르고 있는 소소한 불편함이었네요빠르고 외장메모리 가능한 선택옵션있는 노트가 노울이었으니까요어쩌면 마지막 출시 노트가 될거라는​스페셜에디션으로 나와준다면 그때나 다시 써볼수 있을까요​",2021.07.03. 22:48
16,갤노트20울트라,질문/추천 금지 X갤럭시노트20 울트라(sk)3개월후기..새폰..제조일2021년1월빠릿빠릿하구 주사율굿배터리는하루정도가내요게임안할경우s21울트라보다가볍내요 약간ㅎ카메라는s21울트라 승ㅠㅎ노트9는(sk) 네비용이요^^배터리도갈아서ㅠㅎ,2021.07.03. 21:33
17,2021년에 사용해보는 갤럭시 노트20U(미스틱 브론즈) 후기,"질문/추천 금지 X



 







 



안녕하세요, 삼스S20P 입니다.갤럭시 노트10 5G ➡️ 갤럭시 노트20U로 기변을 하였는데 리뷰를 올리지 않아 지금에서야 올립니다.​현재는 갤럭시 노트20U ➡️ 갤럭시 S20 Plus로 기변하여 사용하고 있습니다. (리뷰는 시간이 된다면 올리겠습니다.)​먼저 사양을 보고 리뷰 시작하겠습니다.



 







 



<사양>1. 디스플레이- 6.9인치(3088 X 1440)- 인피니티-O- 엣지 디스플레이- 19.3 : 9 비율- 최대 주사율 120Hz2. CPU(칩셋) : 스냅드레곤 865+3. 메모리 / 저장공간 : 12GB RAM / 256GB ROM3-1. 외장메모리(마이크로 SD카드) : 지원(최대 1TB)4. 크기 : 77.2 x 164.8 x 8.1mm4-1. 무게 : 208g5. 생체인식- 온스크린 초음파 지문인식- 얼굴인식6. 방수/방진 : IP68등급7. 배터리 : 4,500mAh



 







 



1. 전면 디스플레이전면에 카메라 홀이 노트10 5G에 비해 더 많이 줄여졌고, 온스크린 초음파 지문인식이 가능합니다.전면 카메라 위쪽에 스피커(스테레오 스피커)가 있습니다.​1-1. 전면 카메라- 1,000만 화소- 듀얼픽셀AF / f/2.2



 


















 



2. 후면후면의 디자인은 카툭~튀(카메라 섬) 말고는 색상이 너무 좋습니다.



 


















 



2-1. 후면 카메라(위에서 부터)광각- 1억 800만 화소- 위상차AF- OIS 지원- f/1.8​망원- 1,200만 화소- 위상차AF- OIS 지원- f/3.5​초광각- 1,200만 화소- 화각 120도- f/2.2​- 5배 광학 줌- 50배 디지털줌



 


















 



3. 왼쪽버튼이 없이 깨끗합니다.



 


















 



3-1. 오른쪽상/하 볼륨 버튼과 빅스비 통합 전원버튼이 있습니다.



 


















 



4. 상단상단에는 마이크와 유심 트레이(및 마이크로 SD카드 슬롯)가 있습니다.



 


















 



4-1. 하단하단에는 왼쪽부터 S펜, 스피커(스테레오 스피커), USB C-Type 단자, 2차 마이크가 있습니다.



 


















 



5. 그 외- 최초 소프트웨어 : 삼성 One UI 2.5 / 안드로이드10- 삼성페이 지원- 이어폰 단자 없음- FM라디오 지원- AKG 튜닝 / Dolby Atmos 지원​색상- 미스틱 브론즈- 미스틱 블랙- 미스틱 화이트



 







 



많은 도움이 되셨나요?3주 사용해보니까 무게가 한 손에 들기에는 조금 무겁긴 하지만 문제는 없습니다.성능도 좋아서 게임도 잘 되고, 만족하고 사용했었습니다.카툭~튀는 케이스로 해결 가능합니다.궁금하신 점이 있으시다면 댓글로 남겨주세요~​감사합니다.- 삼스S20P -",2021.07.03. 20:53
18,첫 노트로 노트 20 울트라 사용 후기,"질문/추천 금지 X



 














​​원래 갤럭시 S10 5G를 2년간 사용하다가 노울로 바꾸면서 가장 먼저 느낀건 ​지문인식... 다른 분들은 S10 5G쓰면서 지문인식 빠르다는데 저는 삼성페이부터 화면 지문인식이 거의 안되는 정도라서 아얘 사용을 안했거든요. ​톡하면 바로 되서 이제 패턴에서 벗어나 지문만 쓰고 있어요.​남편은 S20 FE 자급제로 구매해 사용중인데 지문인식이 엄청 빠르다며 놀랐고요. (기본필름으로 사용중..) ​펜도 처음 접하니 어색했는데 몇번 쓰다보니 원래 집에서 타블렛으로 작업하는 경우가 많아서 그런지 저는 툭하면 쓰곤 해요. ​확실히 120hz차이도 느껴질 정도로 부드럽고 좋네요. ​성능체감은 원래 게임도 안하고 카톡, 웹서핑 등이라 S10 5G랑 큰 차이는 못느꼈고 가끔 영상통화하면 발열이 조금 올라오는 정도에요. ​S10 5G도 화면이 작은편은 아니였는데 확실히 노울이 화면도 크고 묵직한 느낌 많아요. 저는 특히나 손이 작은 편이라 처음에 들고다닐 때 묵직한 느낌 때문에 어색하기도 했고요. ​가장 말이 많은 카메라는 확실히.. 너무 근접하면 꼭 오래된 폰을 사용한다는 느낌때문에 근접 카메라 성능은 확 떨어지더라고요. ​



 














​이정도 근접?이 딱 여기정도까지만 잘 나오는거 같아요. 그 이상으로 가면 번지더라고요 ^-^​그 외에는 좋고 SD카드를 낄 수 있다는 것도 큰 장점인거 같아요. S10 5G 512G쓰면서 사진만 200GB이상 차지하고 있었기 때문에...  집에있는 충전기는 정품이 아니라서 그런지 유선충전기 조차 고속으로 안되거나 인식이 안될때가 많아서 정품 충전기 연결하니 바로 초고속 충전으로 들어가네요 ㅠㅠ이건 좀 많이 불편해요... ​처음에 충전기 고장인가 했는데.. 남편꺼는 무척 잘되더라고요... ​집 바로 맞은편에 삼성 서비스센터가 있어서 조만간 무선충전기 정품으로 사러갈 예정입니다 ㅠㅠ.. ​몇주정도 적응기간이 필요해서 그런지 밧데리는 빨리 닳던데 이건 더 지켜봐야할 듯 해요. ​업무와 카톡, 전화, 웹툰 정도만 하는 정도라 저는 오래오래 쓸거 같은 폰입니다~",2021.06.26. 16:19
19,노트20울트라 미스틱브론즈🤎,질문/추천 금지 X​21울이랑 고민하다 노트20울로 이틀전 넘어왔어요기존 s9+ 쓰다가 놋울로 사진 찍으니..대박이네용 😁카메라랑 인터넷위주 사용하고 사진많이찍는 저에겐너무너무 좋아용 🤎​근접 잘안나온다던데...전 음청 잘나오는데이것도 뽑기인가용? ㅎㅎ미스틱브론즈 넘이뻐서 추천해용 ​펜누르니까 멀리서 사진찍히는거 대박 ㅋ그리고 종료키가 상단바에 있는것도 대박신기네영😂,2021.06.24. 15:57
