,0,1,2
0,복세편살 라이프의 게이밍 노트북 구매,"타사 노트북 주의 ㅇㅇㅇ​전에 쓰던 노트북이 80만 원대를 쓰다가 성능이 부족한 것 같아서 기가바이트 AERO 15 oled kd를 구매했습니다. 190만 원대라서 6개월 할부로 샀어요ㅠㅠ 사양은 11세대 i7과 RTX 3060이라서 로딩 길던 포토샵이나 게임을 할 때에도 부족하지 않을 것 같다는 생각이 들었는데 직접 써보니까 진짜 좋아요.​



 














​​전에 건 쇠 느낌 나는 플라스틱이었는데 이건 진짜 알루미늄이라서 더 가볍고 차가워요. 에어로 특유의 감성을 느낄 수 있는 건, 상단에 aero 로고에 불빛이 들어와요ㅎㅎㅎㅎ 옛날 애플 맥북이 불 들어오는 것과 같아요.​​



 














​​터치패드 왼쪽 상단에 있는 조그마한 직사각형이 뭘까하고 보니까 지문인식 패드래요. 그래서 윈도우 헬로우에 등록해보니까 빠르게 인식해서 귀찮게 비밀번호를 치고 들어가지 않아도 좋네요ㅎㅎ​​



 














​​화질은 진짜 장난이 없어요. 제 방이 어두운 편이라서 더 그렇게 느끼는 줄 모르지만 세상이 밝아지는 느낌이에요ㅋㅋㅋㅋ 스마트폰 작은 화면으로 봤을 때는 알수 없었던 청량함을 저는 봤어요..​​​주력으로 하는 게임은 피파와 롤인데 잔랙 없이 쾌적하게 돌아가고 테스트로 돌려본 배틀 그라운드는 풀로 돌리면 거센 바람이 불고 옵션을 낮추니까 괜찮더라고요. 성능과 휴대성이 좋은 노트북을 찾았는데 만족스럽습니다. 



 

원본 저장하기내PC 저장네이버 MYBOX 저장",2021.07.20. 09:13
1,삼성 갤럭시 북 NT750XDZ-A51A 후기,"#후기이벤트 #이벤트참여​갤럭시북 프로 또는 갤럭시북 프로 360의 가격이 부담스러우신가요?갤럭시 스마트폰과 태블릿을 쓰고 계신가요?그렇다면 갤럭시북 NT750 모델이 딱일 것 같습니다 :)​제가 그랬거든요​퀵쉐어, 삼성노트 등 갤럭시 생태계는 쓸 수 있으면서가성비 좋은 노트북을 찾았는데딱 이 제품이 그랬습니다.​모델명은 NT750XDZ-A51A 이구요현재 11번가, 인터파크 등에서 80만원대로 구매가능합니다.아래처럼 파우치도 지급하고 있습니다.​



 

























예쁘고 개성있는 네이비 색상입니다.인텔 저전력CPU 중 가장 가성비 좋은 i5-1135G7를 탑재했고메모리는 무려 LPDDR4x 듀얼채널 16GB 구성입니다.온보드 메모리라 추가 증설은 불가능하지만 기본 16기가라일반적인 사용이라면 부족할 일이 없을듯 합니다.NVMe SSD 슬롯은 2개나 있어요.기본 256GB인데 추가 장착이 가능해서 걱정없습니다.15.6인치 화면인데 무게는 1.55kg입니다.



 


















스피커는 하단에 달려있습니다.











디스플레이는 안티글레어 처리가 된 15.6인치입니다.







NTSC 45%에 300니트라고 공식 스펙이 알려져있는데측정해보신 분에 따르면 NTSC 45%를 넘긴다는 얘기도 있습니다.확실히 사무용으로는 부족함 없는 색영역을 보여줍니다.​터치패드 크기도 커져서 쓰기 편합니다 :)



 














그리고 은근히 제가 마음에 들었던 건갤럭시북 프로 360에 들어가는 GaN 65W 미니 충전기를 지급합니다.​Free DOS 모델이라 윈도우 정품을 가지고 있는 저에겐너무나 가성비 좋은 모델입니다.​갤럭시북 프로, 프로360에 가려 많은 분들이 잘 모르시지만삼성 노트북에 가성비라는 단어를 붙일 수 있다면 가장 먼저 이 모델이 떠오를 것 같습니다​* 이 게시물은 삼성전자 구매체험단 후기 이벤트에 참여하기 위해 작성된 글입니다.",2021.06.25. 23:09
2,삼성 북 플렉스 2,"제 개인적인 경험입니다. 최악​북플렉스 구매후 2주만에 심각한 초기불량으로 환불..​하드웨어 소음 및 패널 번쩍임 증상.​제품 확인차 방문한 기사는 제품 불량 확인도 안하고 어디 기술팀인지에 전화해본다더니 ""정상이라고 한다.""고만 합니다.​소음 소리도 안들어보고 패널 현상도 안보고??​그러더니 ""고객님께서 윈도우 재설치 해보세요."" 라고 합디다. 내가 왜????​계속 환불 요청하여 결국 환불..​그런데 제품 수령시 신청했던 삼성케어서비스는 해지되지않고 3개월차인 이번 달까지 결제됐습니다.​케어서비스 등록한 제품이 환불됐는데, 한 달도아니고 세 달이나 결제가 된다?전화해서 제품을 환불했는데 케어서비스 해지가 안되는게 말이 되냐고하니 알아서 해지하셨어야 된다고 합니다.​해지를 어떻게 하냐고 물어보니, 제품 내에서 케어서비스 접속하면 해지가 가능하다고 합니다.​아니 제품을 반품했는데 어떻게 제품으로 접속을 하냐니까 아무 말 못하셨고​노트북 환불했을 때 해지하려고 찾아보다가 인터넷, 앱 모두 해지하는 기능이 없어서 전화해봐야지하고 있다가 신경을 못 쓰고 있었던건 잘못이지만 환불할 때 기사로부터 아무런 안내를 못 받았는데.. 환불 절대 불가라고 합니다.​삼성이라는 곳에서 이런 시스템을 운영하는게 코 묻은 돈 주워먹으려는거다.라는 생각 뿐이 안드네요.",2021.05.31. 20:48
3,갤북 프로 360 단점 위주 사용후기,"바로 본론으로 들어갑니다. ​클린설치시 외부 디바이스 키보드 마우스 없으면 설치 못함 - ( 액정터치 / 터치패드 / 키보드 전부 작동안됨 )​고주파음 이건 무슨 .....-_-;;;;;; 미친듯이 납니다. 찌지지직 찌지직 찌지지지찍찍찍~~~~ -_-;​액정이 은근 어둡습니다. 플렉스 1 옆에 놔두고 보면 이거 왜이래? 싶을정도​아웃도어 모드 왜 빠졌죠???? 영상시청은 실내에서만 해야할듯요.​텐키가 어슬프게 붙어 있으나..... 사용을 안하게 되네요?​미스틱블루인지..... 그냥 군청색인지...;;;;;; 별로 맘에 안듦니다.​내부 흰지 부분이 라운드 처리 되어있는데 묵직한 느낌을 깍어 먹네요.​UFS 슬롯이 없군요 ( 못찾은건가....)​​이상 끗..... 1, 2는..... 만 기계적 결함이나 불량의 사항이고나머진 전부 주관적인 사항입니다.​체험단인데..... 이건 쓰지 못할듯 하네요.... 13인치 프로 360으로 기변을 해보든가마찬가지로 고주파음 등..... 뭐 그러면 플렉스 1 계속 쓰는걸로요..ㅠㅠ​",2021.05.22. 23:37
4,갤럭시북 프로 360 15.6인치 구매후기,"금번 사전예약 구매기간에 갤럭시북 프로 360 15.6인치 모델을 구입했습니다. ​제가 구매한 모델은, 15.6인치, 인텔11세대 i5, ram 16gb, 내장그래픽 Iris XE, ssd 256gb 등의 사양을 갖고 있습니다.​제품을 구입하기 전에는 갤럭시북 플렉스 1세대 모델을 사용했는데, 제가 사용하는 작업 대부분에서 플렉스 1과 비교해 체감 가능한 속도 개선이 있습니다. 특히 SSD 속도가 테스트 결과에서나 실사용 측면에서나 크게 개선된 것이 체감됩니다. 게임을 구동해보지는 않았는데, 플렉스 모델의 경우 외장그래픽 MX250이 탑재된 모델을 사용했기 때문에내장그래픽 성능이 크게 개선된 Iris XE와 비교할 때 어느 쪽이 나은 모습을 보여줄런지 모르겠습니다. 게임은 거의 하지 않기 때문에 제 사용패턴에서는 크게 중요하지 않은 부분입니다. ​얇기와 무게는 플렉스 1과 비교해 엄청나게 개선되었습니다. 플렉스 1 15.6인치 모델은 키보드를 쓰다가 접어서 필기하기가 주저될 만큼 무게감이 있어서, 직장에 고정적으로 뒤집어 거치해두고, 키보드를 따로 연결해 사용했습니다.  프로 360 15.6인치는 무게와 두께가 상당히 가벼워져서 가방에 넣어 들고 다니거나 사용 중 접어서 용도를 전환하기가 상대적으로 수월합니다. 하지만 여전히 접어서 태블릿처럼 들고 사용할 정도의 무게감은 절대 아닙니다. 13.3인치는 어떨지 궁금합니다. ​최근 가장 이슈가 되는 부분을 짚어보면요. ​디스플레이 해상도는 분명 이슈가 있어보입니다. 다만, 제가 주로 사용하는 원노트 및 PDF 필기 사용용도로는 현재 이슈되고 있는 AMOLED RGB 패턴에 클리어타입이 적용되지 않는 문제가 해당되지 않습니다. 그러나 한글 소프트웨어 등을 사용할 때는 다소 자글거리는 느낌이 눈에 띄네요. 하지만 맥타입 적용 등을 통해 어느 정도 개선될 수 있고, 삼성에서도 AMOLED 업데이트를 진행하는 등 인식하고 있는 문제인 것 같아 개선이 기대됩니다. ​발열과 쓰로틀링도 이슈가 되고 있는데요. 제가 사용하는 패턴에서는 플렉스 1과 비교해 오히려 발열이나 팬 소음이 줄어든 느낌입니다. 저는 보통 10개 정도의 인터넷 창과 PDF 파일을 동시에 띄우고, 모니터 두 개를 노트북에 물린 상태로 사이즈가 큰(100mb 이상) 한글파일 작업을 하면서 원노트로 pdf 필기를 합니다.   게임 테스트는 해보지 않았지만 위와 같은 사용패턴에서 팬이 거의 회전하지 않았고 쾌적했습니다. ​마지막으로 밝기 이슈가 있습니다. 플렉스 1과 비교하면 확실히 어둡습니다. 저는 주로 실내에서 사용해서 크게 불편하지 않지만, 많이 쓰는 원노트 화면에서 쨍한 느낌이 덜한 것 같은 아쉬움은 있습니다. 실외 사용이 잦으신 분들에게는 체감될 만한 제약조건입니다. ​그밖에도 궁금하신 부분 있으시면 댓글 달아주시면 대신 테스트해드리겠습니다 ㅎㅎ​감사합니다. ​'이 게시물은 삼성전자 구매체험단 후기 이벤트에 참여하기 위해 작성된 글입니다.'​



 














​



 

































 



​",2021.05.20. 15:02
5,갤럭시 북 프로 13인치 노트북 추천,"여행가라면 선택해야 할 노트북, 갤럭시 북 프로 13인치!주로 외부 사용을 목적으로 노트북을 고르던 중 갤럭시 북 프로 출시에 대한 소식을 접하고 예판과 동시에 구입했습니다.​제가 고려하던 사양은 주로 여행이나 외부에서 사용할 목적이었기에 노트북의 무게가 매우 중요했고, 반드시 윈도우를 사용하는 모델이어야 했습니다.​디자인, 성능은 차순위로 고려하던 사항이라 초경량 고성능 갤럭시 북 프로의 출시는 저에게 가뭄의 단비 같은 존재입니다.​13~14인치 노트북 대부분이 1kg를 전후한 모델이 주류라 무게만을 생각한다면 선택지가 서피스고2 이외에는 대안이 없어, 저사양에 고민하던 문제를 갤럭시 북 프로가 한 방에 해결해주었네요. 제가 구입한 모델은 갤럭시 북 프로  13인치 NT930XDY-A51A 모델입니다.무게 868g / CPU 11세대 i5 1135G7 / 메모리 16g / SSD 256g미군사 표준규격을 통과한 내구성과 11세대 프로세서의 강력한 성능이 기본으로 장착되었고, 어디서나 Wi-Fi 6를 통해 쾌적하고 빠른 무선인터넷을 사용할 수 있는 모델입니다.​저는 개인적으로 좀 더 오랜기간 사용할 수 있는 메모리 16g 모델은 너무나 마음에 듭니다.외부에서 하는 작업이 고용량을 필요로 하지는 않지만, 온보드 메모리 8g는 어딘가 한계가 느껴지는 부분이 있던 참에 좋은 가격으로 고사양 모델을 구입할 수 있어서 행복합니다.​외부 활동이나 여행을 자주 가신다면 갤럭시 북 프로 13인치 모델은 최고의 선택입니다.기존 이온 모델의 무선충전 등이 빠져 기능적으로 조금 아쉬운 부분도 있지만, 휴대성을 기반으로 생활반경에 있는대학생, 외부 활동이 많은 직장인, 트래블러에게 강추 할 수 있는 모델입니다.​감사합니다.​



 







택배 포장도 박스에 아주 견고하게 에어백에 담겨서 왔습니다. 











깔끔한 패키지 외관입니다. 











박스를 열면 바로 노트북이 포장되어 있습니다.











왼쪽의 밝은 실버 색상이 모던하게 느껴지기도 합니다.











내부 색상은 화이트 컬러의 키보드로 되어있습니다.











터치패드는 매우 부드럽게 사용할 수 있습니다. 다만 조립시 약간 위치가 한 쪽으로 몰린 경우가 있나 봅니다. (사용상 지장X)







​​‘이 게시물은 삼성전자 구매체험단 후기 이벤트에 참여하기 위해 작성된 글입니다.’",2021.05.17. 15:07
6,삼성 갤럭시 북 프로 !!,"삼성노트북 RV520쓰다가 고장이나버려서 큰맘먹고 최신노트북 살려고 찾아보다가 삼성에서 최근에 나온 갤럭시북 프로보고 어떤지 알아봤는데 북프로 360이 있고 그냥 프로가 있드라고요. 근데 저한테는 삼성 갤럭시 북 프로가 딱 어울리는 노트북이라는 생각이 들었어요 일단 저는 대학생이라 노트북 들고다니면서 과제도하고 작업도 하는데 이 갤럭시 북 프로는 무게가 1.05KG 으로 엄청 가볍다고 저가 쓴 노트북은 1.8KG ?? 정도로 무거웠는데 그리고 가벼운 만큼 성능이 딸리지 않을까 했는데 성능또한 웬만한 노트북보다 좋드라고요 인텔11세대와 RAM16기가 SSD256 내장 외장그래픽 둘다 우수한 성능을 가지고 있는거를 보고 바로 샀어요  사고 일주일 동안 사용해봤는데 너무 좋아요 완전 가볍고 성능도 좋고 또 외관이 고급스러워서 진짜 마음에 들어요(저는 블루색상으로 구입했습니다.)  그리고 문서작업과 저가 좋아하는 게임을 충분히 돌리수있어서 완전 만족합니다 그리고 그래픽이 저는 보고 놀랬어요 너무 좋아가지고 친구들 노트북이랑 비교해봤는데 너무 차이나서  그래서 사기 잘했다는 생각밖에 안들었어요. 비용이 싼가격은 아니지만 1~2년쓸것도 아니고 조금써서 좋은거 사용하는게 저는 좋다고 생각해요 (개인생각 이지만



 















































 ㅜㅜ)  그리고 삼성이라 서비스적 측면에서도 쉽게 받을수 있는 부분도 좋다고 생각합니다.혹시 노트북 어떤거 살지 고민하시는 분들에게 추천드립니다!!!  사무용 인강용으로도 너무 좋아요!! 요즘 코로나로 비대면수업이나 재택근무가 많은데 한번 사용해보세요 저는 사용중입니다 ㅎㅎ실용성GOOD GOOD@.@(저같은 대학생이나 직장인분들도 사용하기 아주좋다고 생각합니다.)저가산 노트북 제품은 NT950XDY-A51A AMOLED/i5-1135G7/16GB/256GB 입니다.!!



 














​​                   '이 게시물은 삼성전자 구매체험단후기 이벤트에 참여하기 위해 작성된 글입니다'



 









 



​



 

원본 저장하기내PC 저장네이버 MYBOX 저장",2021.05.15. 16:57
7,이온2 i3 소음 심해요,이온 2이고 i3입니다.소음이 심하네요. 독서실이나 도서관에서 인강 듣고 싶은데 백색소음 없는 곳에선 힘듭니다.최대 프로세서 상태를 낮춰도 소음이 있습니다.기존에 북 5 썼는데 저소음모드를 설정하거나 최대 프로세서 상태를 낮추면 소음이 없었는데. 이온 2 후회하고 있어요 ㅠ 유튜브 볼 때도 ㅠㅠ,2021.03.21. 00:43
8,삼성 갤럭시 북 이온2 구매후기!!!!,"평소에 들고 다니는 노트북이 오래되가지고, 느리고 잘 돌아가지도 않아서~~~ 새롭게 노트북 하나 살려고 알아보았습니다!​남자 대학생이라서 들고다녀야 하므로 적당히 가벼워야하고, 어느정도 게임도 돌아가는 학생노트북이 필요했었는데요, 찾던중에 갤럭시아카데미 기간이라 갤럭시북이온2를 추천받았습니다.​제가 산 갤럭시 북 이온2은 NT950XDZ-G58AW이고, 프로세서 intel i5-1135G7, 256GB 용량의 SSD, 8GB 램, 외장그래픽 MX450인 제품을 구매하였습니다.​​



 

























​갤럭시아카데미 사전예약기간에 구매해서 오래 기다렸네요 ㅠ 받아보니 완전 하얀색이라서 디자인이 정말 이뻤습니다.​



 














​​개인적으로 힌지가 노트북을 들어올리는게 신기하네요. 밑에 통풍구가 더 효율적으로 돌아갈 것 같습니다. 또한 옆에 C타입 단자가 들어갈 수 있어서 활용하기에 편리했습니다.​



 














노트북을 켜면 이런 느낌입니다. 화질이 엄청 좋습니다.​



 














키보드 바닥은 이렇게 구성되어 있습니다. 디자인이 깔끔해서 좋았습니다. 그리고 터치패드가 넓어서 활용하기가 좋더라구요. ​평소에 블리자드 게임을 좋아해서 해보니 스타2 오버워치 와우 등을 돌리는 데는 전혀 문제가 없었습니다. 또한 자주 가방에 넣어서 들고 다니기도 가벼워서 좋습니다.  적당한 게임 혹은 그래픽 작업이 필요하면서 평소에 자주 들고 다녀야 하시는 분들, 대학생들을 위한 학생노트북, 새해선물 고민하시는 분들에게 좋을 것 같습니다. 갤럭시북이온2 추천드립니다!​​​​​​​'이 게시물은 삼성전자 갤럭시 아카데미 후기 이벤트에 참여하기 위해 작성된 글입니다.'



 
원본 저장하기내PC 저장네이버 MYBOX 저장",2021.01.28. 16:46
9,삼성 갤럭시북 이온2 (NT950XDZ-G58AW) 구매&사용후기 입니다! 노트북추천!,"노트북을 정말 오랜만에 구매했습니다.(만으로 10년??정도만에 구매한듯요)​사용용도는 영상시청 및 강의수강 (+기타업무) 정도 입니다. ​그래도 이왕 사는거 조금 비싸더라도 성능 좋은 제품을 쓰고 싶은 마음 + 컴알못인 저는 as 편하게 받을 수 있는 국내브랜드 삼성을 택했는데 역시나 대만족 이었습니다.​이전 노트북은 경쟁사 모델이었는데 이번에는 삼성으로 정했습니다. 태블릿도 쓰고픈 마음에 플렉스 모델과 이온 둘중에 많은 고민끝에 이온2를 구매했는데요... 역시 노트북은 노트북대로 써야 한다는게 맞는말 같아요 . 



 







구성품목입니다.







제가 구매한 모델은 15인치 모델로 mx450이 탑재된 모델입니다. 



 







mx450설정모드 입니다.







cpu는 i51135G7 에 메모리 8GB 의 성능에 무게는 무려 1.26kg 밖에 안되는 제가 생각할때는 현존하는 최고의 노트북이 아닐까 싶습니다. 색상은 화이트만 출시하여서 아쉬운점이 있지만 막상 받아보니 화이트가 제일 무난하니 좋은거 같아요....ㅎㅎㅎ;;;(나중에 변색우려는 많지만요.ㅠㅠㅠ)​약 2주일간 사용해본 결과 인터넷 또는 과제 하는데는 큰 무리가 없어보이며 영상시청도 600니트의 성능을 지닌 노트북이라 쾌적하게 시청가능하구요 게임도 엄청 고사양을 요구하는 게임이 아니라면 무난하게 플레이 할 수 있을거라 봅니다.(배그 중옵 무난하게 가능)그리고 C타입 케이블로 충전도 가능하여 가볍게 외출해서 사용하기에도 적합하구요~ (지금은 코로나때문에 아직 외출해서 사용은 못해봤어요 ㅠ)​



 







키감에 대해서는 저는 사용하는데 아직까지는 큰 불편함은 못느꼈습니다.







그리고 키보드감이 별로라고 하시는 분들이 많은데 저는 불편하다는 느낌을 하나도 못받았습니다.(2주동안 매일 4시간이상씩 사용)



 







발열을 조금이라도 예방할 수 있는 힌지(?)







그리고 노트북은 발열을 잡아주는게 생명인데 이온2는 힌지가 조금 독특해서 바닥과 노트북 밑면을 띄워서 사용하는 구조입니다. (나름 발열을 잡겠다는 의지..?)



 







배터리설정은 삼성셋팅에서 가능합니다.







배터리 성능은 배터리 절약모드(85%까지만 충전이 되는 설정)가 있어서 수명이 보통 노트북보다는 오래 갈 거 같네요~​정말 오랜만에 구매한 노트북이라 신중하게 골랐는데 정말 잘 산 거 같아요. ​



 







코로나 시대를 맞아 누워서 영상시청 많이 할 것 같네요....







​​'이 게시물은 삼성전자 갤럭시 아카데미 후기 이벤트에 참여하기 위해 작성된 글입니다'",2021.01.19. 22:12
