,review,star
128,갤럭시노트3보다 폭이 좁아요. 가장 중요한 것을 놓쳤네요. 폭이 좁아서 키보드 입력할 때 불편하네요. 천지인 키보드를 쓴다면 상관이 없습니다. 오프라인에 가서 확인했어야 했는데 후회해도 소용 없네요. 갤럭시노트9가 노트3만큼 폭이 거의 같습니다. 부모님들께 선물용으로 부적합합니다. 폭이 좁으면 글씨가 작을 수밖에 없어요. 글씨 크기가 작아서 안경을 벗고 보아야 하는 불편이 있습니다.,3
129,무난무난하고 사용하기 괜찮네요,3
130,너무 길어. 어쩔수 없이 폰이 깨져서 사긴 했는데... 폰이 너무 길어...,3
131,어머니 휴대폰으로 구입했어여 그런데로 괜찮아여,3
132,좀 느린감이 있는데그래도 괜찮아요 쓸만해요,3
133,색깔 생각보다 마음에 들어하십니다.,3
134,대체적으로 만족합니다,3
135,아이 핸드폰이 망가져서 바꿨는데 저렴하게 빠르게 잘 샀습니다.,3
136,좋아요 배송은 2일걸려요,3
137,나쁘지않았지만 생각보다 좋지않네여 a31이라...,3
138,카메라가 기대보다는 좋지않았습니다,3
139,상품은 좋은데 배송이........... 왠만하면 오점을 드리는데 도저히 못드리겠네요,3
140,상품은 마음에 듭니다,3
141,굳~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,3
142,배송이 너무 느려서 주말에나 왔네요.,3
143,배송도  빠르고 핸드폰도 예쁘네요~~,3
144,핸드폰은 좋아요. 근데 배송이 최악입니다.  조금 과장해서 직구하는줄 알았네요. 구입할때 한진말고 다른곳으로 받으세요.,3
145,시어머니가 좋아하세요 보급형 중에서 그나마 내장메모리가 64기가여서 선택했는데 잘 한것 같아요,3
146,유심이 안맞아서ㅜ고생했지만 상품은 마음에듬,3
147,배송도 빠르고 좋습니다.,3
148,배송은 느렸지만 작동이 잘되서 좋았음,3
149,잘받았어요 많이파세요,3
150,작동잘되네요 잘쓸께요,3
151,저렴하게 잘 샀어요 배송이 넘 느렸어요,3
152,배송이  느려요..,3
153,어머니 사드렸는데 잘 쓰고 계세요,3
154,분명히 다나와통해서 블루 시켰는데 블랙이 왔네? 주문도 내가 블랙으로 한걸로 되어있네? 도대체 어떻게 ？？ 일인지 모르겠네? 몇번을 확인했었는데? 아이가 뜯어버렸으니 일단 구매확정을 하마. 히지만....두고...,3
155,부모님이 좋아하십니다,3
156,빨리왔네여 잘반당ㅆ어요,3
157,빨리놨네여 잘바다써뇨,3
158,잘받았습니다  수고하세요,3
159,"어머니께서 전화하실때 통화소리가 잘 안들리신다고 하세요ㅠㅠ 집전화나, 다른 휴대폰으로 통화할때는 잘들리는데 이 폰으로하면 소리가 잘 안들려서 불편해하시네요...구매한지 한달 정도밖에 안됬는데 왜 그런가요?아버지도 동일한 폰 먼저 구매후 괜찮아서 어머니것도 구매한건데 많이 아쉽네요",2
160,제대로 제품은 잘왔는데필름이 누락되어서 안왔네요 돈주고 추가로 구매했는데 말이죠기스갈 거 같아 주변에서 샀습니다.그것도 다시 받자니 판매자도 택배비도 들테고 걍 넘어갑니다암튼 사소한거에 좀 찝찝한 거래가 됬네요 수고하세요,2
161,타 사이트보다 비싸요.,2
162,"1. 수량 보유 당일 발송이라고 제목 적어놨으나 본문 하간 구석에 발송에 2~3일 걸릴수도 있다고함 제목에 당이루방송 써놔서 1차로 빡쳤지만 여기 까진 이해가능 - 8. 20 목요일 2. 구매는 오전 11시경 이뤄졌고 그날 저녁 송장번호 담긴 발송 메일 받음 8 20 목3. 근데 다음날 발송라고 cs 톡톡옴 8.21 금요일4. 막상 다음날 되니 업무종료 5분전 17시 55분에 수량없어서 그 다음날 발송된다고 함. (즉 24일 월요일에 발송)5. 화나서 바로 cs 전화함. 담당자 주문자명 및 스토어 확인해놓고 전화준다고 하고 상담 종료6. 21일 금요일 18시 30분 넘도록 전화 안와서 다시전화하니 업무종료 멘트 나옴 🤦 7. 24일 월요일 오전중에도 아무런 전화 없음. 다시 대표전화로 전화하여 문의함.8. 1~7까지 이야기 다시하고 왜 5번 담당자는 전화를 안주는건지, 1번에 제목은 저렇게 적었는지 문의9.  8에서 전화한 담당자에게 퀵요청하여 당일에 퀵받음. 그러나 아직도 왜 5번이 담당자가 이렇는지, 전화 설멍해준다고 했으나 2주가까이된 지금도 연락 없음 요즘에도 이렇게 응대하는 회사가 있는지, 규모에 비해 cs가 매우 형편 없음왠만하면 다른곳에서 구매하길 권유급하게 자급제폰 알아보다다 혈압으로 쓰러질뻔네이버네서 스샷은 상품평에 못남기게하여 못남기는게 한여튼 저는 제 돈주고 제 물건 산거니 최선을 다해 상품평 공유하겠음",1
