,type,category,review,star
1,맥북,별점,주문한지 2주만에 키보드자판 떨어짐 밖에도 일부러 안들고 다니고 애지중지 하면서 다뤘는데 타자치는도중에 막 떨어짐 에이에스 확인해보니 1주일만 무상수리고 ; 첨에 왔을때 기스는 배송중의 문제이고 어차피 생길거라 생각해서 그냥 놔 뒀는데 키보드 까지 이모양이니 성질나서 못참겠음 여기서 사지마세여 그리고 맥북 자체를 사지마셈 개빡치네 이거 끌고 수리 센터 갈생각하니까;;,1
2,맥북,별점,여기서 노트북 산지 3일만에 화면이 지지직거려서 소프트웨어 다시 설치했는데 결국 얼마안되서 다시 화면이 지지직 거리네요. 저만 그런것인가요?;; 3일만에 지지직거린다고 문의했더니 매장에 맡기라고 그러더니 또 매장에 맡겼다고 했더니 반품안된다했습니다...거기까진 그러려니 하고 소프트웨어 다시 설치하고 사용하고 있는데도 화면이 똑같이 나오네요. ;;;,1
3,맥북,별점,애플스토아에서 구매하는것보다 비싸고 배송도 조금 많이 느립니다. 기본 물량을가지고 있다해서 주문을했는데 애플스토아에서 주문한 친구보다 5일늦게 받고 가격도 비싸네요. Cto 주문은 애플스토아를 이용하세요. 재고있는것은 빠르겠죠.,1
4,맥북,별점,뒷면에 동그랗게 뭔가 살짝튀어나와있어요 교환은 못해준다하고 애플매장가서 서비스 받으라네요,1
5,맥북,별점,잘 받았습니다.,1
6,맥북,별점,상품은 만족하지만 배송에 문제가 많습니다,1
1,맥북,별점,"배송 너무 빠르고 제품도 문제없이 온거같아 만족합니다.
애플 특성상 문제 있을까봐 걱정했는데, 아직은 없어서 좋아용[G마켓 아이폰 앱에서 작성]",2
1,맥북,별점,어제받아서 사용중입니다.근데 어제 첫사용중 트랙패드 클릭이 아예 안먹혀 재부팅하니 작동이 되고오늘은 또 갑자기 맥북소음이 너무 심해져 검색해보니 팬돌아가는소리라고 하는데너무 심해서 핸드폰으로 찍어놓긴 했거든요별이상없는건지 궁금해여,3
2,맥북,별점,상품 도착 후 이틀 만에 셋업을 하게되었네요. 다행히 초기불량이 걸리지않아 다행입니다. 할인받아 조금은 저렴하게 구매하게되서 좋으나 배송이 너무느려 조금은 아쉽습니다. CTO 주문이기는 했으나 4일적은 한달이 걸렸습니다. 그 기간동안 이렇다할 연락이없어 마음을 많이 졸였습니다. 그것 외에는 대체로 만족합니다.,3
3,맥북,별점,15년도 15인치 맥프레 구하기 힘든데 싸게사서 가격대비 만족은하나 예약 배송이라 그런지 3~4주의 배송일자를 걸리는 게 최대 단점... 정급하면 애플 홈페이지 학생할인이나 다른곳에서 사는걸 추천 ㅜ 우체국 택배가 아닌 cj택배로 와서 깜짝 놀랐음,3
4,맥북,별점,항상 구매하는곳 좋아요,3
5,맥북,별점,배송도 빠르게 잘 왔습니다.,3
6,맥북,별점,빠른 배송에 상품은 좋지만 옥션보다 10만원 비싸네요. 리뷰작성하지 않으려다 11번가 상품이 은근히 옥션보다 비쌀 때가 있다는 것에. 가끔 아쉬울 때 많습니다.,3
7,맥북,별점,",,,,,,,,,,,,,",3
8,맥북,별점,"배송 빠르고 맥북도 안전하게 잘 도착 했네요.
감사해요~~
 ",3
9,맥북,별점,주문 사양때문에 배송이 늦어졌네요...,3
10,맥북,별점,각오하고 사세요....정말 느려요. ,3
11,맥북,별점,"상품평을 입력해주세요(최소30자 이상) 역시 맥북은 그냥 최고네요
 
물건안전히 잘받았구요 배송도 맘에들고 전체적으로 맘에드네요",3
