,type,category,review,star
1,아이폰12,별점,"배송때문에 정말 리얼 화나네요^^
쿠팡 11번가 12시 사전예약 놓쳐서 실망하고있다가애플코리아 공홈에서 구매했습니다 10월31일 픽업으로 바로 받을 수 있었는데 네이버에서도 하는걸 보고 23일 오후3시에 바로 구매했습니다
빠르게 배송받을수 있을줄 알고 공홈 취소했는데
2일날 출고된다하더라구요 후회했지만 이미 공홈 취소해버려서 기다렸습니다
기다리다기다리는데 도통 출고된다는 연락도 없고 문의남겨도 묵묵부담 답은 복봍이고 답답해 취소했습니다
취소 된건지 오전에 확인전화했는데 취소된거로 나온다고하더군요 근데 네이홈에서는 판매자가 확인후 취소처리한다나 뭐라나 그러고 취소 기다리고있었는데 그날 오후6시쯤 발송됐다며 운송장번호가 나왔네요 그러면서 답글이 이미 발송되어서 취소가 불가하다네요 장난하는것도 아니고 취소 요청 오전에 했는데 오후에 그냥 발송해버리는게 말이되는건지..
그러고 저보다 늦게 구매하신분은 저보다 빨리 받으신분들도 많이계시더라구요 정말 화가나네요^^
이게 무슨 예약 구매인지 어이없네요
일단 배송됐다길래 화요일에 배송되었으니 수요일에 받겠거니했더니 군포에서 하루를 머물더라구요
아 또 깊은빡침이...ㅎㅎ
그렇게 목요일저녁에 받았네요
이럴거였으면 그냥 공홈이 훠어어어얼씬 나을거같네요
아이폰12미니나 프로맥스는 차라리 공홈에서 사시는걸 추천드립니다 똑같은 가격이라면 빨리 받는게 좋을듯싶네요
물건은 핑크화면은 없는고 같고 잘 작동되네요 그건 다행입니다
실물 진짜 예뿌네요
실물보고 화가 풀리긴하더라구요",1
2,아이폰12,별점,"뽑기불량에 걸려서.... 액정에 흡집이 있는게.. 왔네요.
판매자 고객센터에서는 해줄게 없다는 말에. 그냥 환불도 고려했으나..
그역시도 불량 판정받을떄 까지는 환불도 안된다는 어이없는 말을 듣고
직접 서비스센터를 방문해서 불량판정받고 바로 교환해서 왔습니다.
다행이동 PRO그라파이트256G 교환이 1대가 있어서 바로 교환되었구요..

방문한 서비스센터(투바,서울대점)은 정말 친철하더군요....
판매점의 응대로 봐서는 별1개를 드릴려다가 서비스센터 떄문에...
1개 더드립니다.

고3때 부터 삼성폰만 사용하다, 24년만에. 삼성->아이폰으로 넘어왔구요, 아이폰의 사용에 버벅이고는 있지만..제품자체는 새롭습니다.
삼페를 못쓴다는게. 제일 적을이 안되지만... ;;;",1
3,아이폰12,별점,"코스메틱이슈로 교환
서비스 최악
아들껀 다른곳에서 더 좋은 가격으로 구입.",1
4,아이폰12,별점,배송이나 검수중인지 몰라도 기스가 있어서 아쉽네요,1
5,아이폰12,별점,상품은 최고 배송은 최악,1
6,아이폰12,별점,8일 주문해서 18일에 받았습니다 연휴가 껴있었다고 해도 늦어도 너무너무 늦어요..,1
1,아이폰12,별점,"일단 핸드폰 불량이 없는게 왔네요~ 그 부분은 만족해요! 그렇지만... 23일에 예약했는데 어떤 분은 30일에 받고, 저는 11월 4일에 왔네요;; 그런데 또 어떤 분은 24일 예약이신데 31일에 받고... 배송에 대해 문의를 하려해도 전화도 안받아... 답변도 없어... 바쁘셨겠지만 고객 응대 부분이 너무 안좋았어요.",2
2,아이폰12,별점,"실버가 실물이 너무너무 예쁘고 마지막 재고였을 때 구매해서 많이 안기다리고 좋았어요\n애플케어도 할인해서 가입하고 핸드폰도 네이버적립해서 자급제인데 꽤 저렴하게 구매했어요\n\n근데 뽑기 실패인가봐요..\n검색하거나 메세지 쓸 때 키보드가 안올라와서 재부팅하고, 데이터랑 와이파이가 잘 안잡히고 어느순간은 아예 연결불가라 재부팅하고, 며칠전이랑 오늘은 베터리 남아있는상태로 자고 일어났는데 핸드폰이 방전됐고 결국 오늘 알람이 안울려서 지각했어요ㅠㅠ",2
3,아이폰12,별점,배송은 준수한편이나 단말기 개봉해보니 오줌액정 당첨 하... 이가격주고 오줌액정인데 교환도 안된다함 그냥 애플스토어에서 같은 가격주고 사는게 나을것 같음 배송좀 빨리 받으려고 여기서샀는데 앞으론 다시 여기서 안사고 그냥 애플스토어에서 살듯,2
4,아이폰12,별점,배송은 걸렸으나 색이 예쁘네요 잘 쓰겠습니다 ^^,2
5,아이폰12,별점,"테두리 미세한잔기스,후면 찍힘이 있는데 교환하려면 서비스센터에서 이상이 있다는 확인 후, 또 하이마트 검수 후에나 가능하다 그래서 그냥 씁니다...",2
6,아이폰12,별점,배송이굉장히 빨라요 근데 포장을 너무 대충했어요,2
7,아이폰12,별점,"배송이 일단 매우 느리고요, 사용 흔적이 좀 있네요. 늦게 받은 만큼 그냥 사용하려구요 ㅠㅠ",2
8,아이폰12,별점,주문하고 4일걸린거 같아요 매일 애가 탔습니다 ㅠ,2
1,아이폰12,별점,"포장은 뽁뽁이 한겹싸져있고 박스는 두껍고 튼튼하긴 했어요
폰 키자마자 불량테스트랑 오줌 액정인지 확인 먼저 했는데 다행이 양품인것같지만
위아래 모서리에 유격 현상이 있네요 종이가 잘 들어간다는..

+ 대한통운 배송은 진짜 너무 느려요
다른상품 배송 됐는데 이것만 며칠 군포에 있다가
겨우 받음 대한통운 안썼으면..",3
2,아이폰12,별점,"저는 사전예약 당일에 주문한 게 아니라 배송 기간만 놓고 보면 늦게 온 건 아닌 것 같았습니다. 하지만 Q&A 답변이 제대로 이루어지지 않는 걸 보면서 몇 번이나 취소를 고민해볼 정도로 불안했습니다..
그리고 택배 포장이 생각보다 빈약해서 걱정됐는데, 휴대폰 상자가 안에서 움직이지 않게 테이프 같은 걸로 고정해서 보내주시면 좋을 것 같았습니다. 인터넷에 나온 불량 테스트해봤는데 제품에 이상은 없었어요.",3
