,type,category,review,star
1,애플워치,별점,"일단 기계는 빨리와서 좋았지만 옵션으로 신청한 강화필름은 2주나 늦게 도착했어요. 업체에 처음에 강화필름이 같이 도착하지 않았다고 글을 남기니 2~3일 소요될수 있다. 했고 그 이후로 피드백이 없어 얼마전에 글을 다시 남기니 그제서야 고객센터담당자분이 배송중 물건이 소실 된거 같다고 하시더라고요. 다행이 직원분이 너무 친절하게 바로 대응해 주셔서 오늘 겨우 받았습니다.

진짜 강화필름 팔지 마세요.. 배송도 같이 안해주시고 제품도 일단 붙이면 모서리랑 잘 맞지도 않고 붙인지 30분만에 떨어졌어요.. 너어무 열받아서 쓰레기통에서 포장지 지금 다 꺼내서 환불할까 말까 하고 있습니다.
. 그렇습니다.",1
2,애플워치,별점,"시계줄이 제대로 체결이 안되는데, 교환도 안되네요",1
3,애플워치,별점,스트랩 불량왔어요;;,1
4,애플워치,별점,"상품권으로 구매 해야 돼서 억지로 샀지만
중고나라 되팔이나 다름 없는 악질스러운 가격, 황당하다 못해 어이가 없는 수준
꼬우면 다른데서 사라는 듯한 대답
대단 합니다 부자 되세요",1
1,애플워치,별점,붉은세로선.. 교환 오래걸린다고 환불하라그러고~ 서비스센터에서 2일만에 교환받았는데 또 세로선이네요;,2
2,애플워치,별점,물건은 잘 받았는데 양품이 아니라 받자마자 리퍼 받았네요 ㅠㅠ속상합니다,2
1,애플워치,별점,"우선 일하면서 핸드폰을 소지하지 않아도 된다는 편리함이 있고 애플워치3에 비해 블루투스 범위가
비교적 넓은 것 같습니다 다만 제가 뽑기를 잘못한건지 뭔지 배터리가 엄청 빨리 닳아요 이게 정상인건지 몰라도 하루 배터리 소모량이 많네요 매일매일 충전해야 합니다 인터넷 검색해봤더니 이번 se모델은 원래 그렇다는 말도 있긴하더라구요 제가 스마트워치를 처음 써봐서 잘 모르지만 남자친구 갤럭시 액티브워치에 비해서 배터리 소모량이 엄청 많아요 그리고 가끔 알람확인하는
터치가 안될때도 있습니다 재부팅하면 문제 없지만 이것도 원래 그런건지.. 그래도 편리하게 사용중이에요",3
2,애플워치,별점,"정말 기대 많이 하고 샀는데 줄이 불량이네요 ㅠㅠ
위에는 고정이 되는데 아래가 고정이 안돼요..
모.. 그래도 줄만 빼면 다른건 다 만족스럽습니다!",3
3,애플워치,별점,어려워요 첨에 줄빼는법 몰라서 검색해봤네요 ..,3
4,애플워치,별점,배송이 어린이날 도착으로 되어있어서 구매했는데 택배사가 빨간날은 근무를 안하셔 제시간에 못받았어요.. 제 기기가 안되는건지 단축어 기능도 안되네요 ㅠㅠ,3
