,type,category,review,star
0,애플워치,별점,원래 이런건가요 뽑기 잘못했어요 새벽에 완충하고 아침에 차려고 확인해보면 배터리 6-70퍼대로 떨어져있어요 참고 써보려고해도 너무 스트레스 받네요,2
1,애플워치,별점,조아요마니,2
2,애플워치,별점,구입한지 3일만에 배터리 사망해서 센터 맡겼습니다.. 전부 그러는건 아니겠지만 일단 저는 이런상황이 생겨서 기분이 좋지 않네요..,2
3,애플워치,별점,"택배가 발송완료 떴는데 난 못받아서 한참 택배아저씨와 헤매다 받아서 일단 별하나뺌
고객센타에 전화했더니 보통 택배기사분이랑 직접통화후 해결해주던데 여긴 그런것도 안해고 불친절하여 별 또하나뺌.

그래도 제가 택배아저씨와 무한 통화끝에 잘 해결해주기는 하여 잘 찾았음.",3
4,애플워치,별점,스그가 이쁘긴하네요 ㅠㅠ 왜 실버만을 고집했을까 ㅠㅠ,3
5,애플워치,별점,"배송 빠르고 좋았는데 제가 일주일간 써보니까 터치 오류가 좀 많아요하루에 재부팅을 몇 번 하는지,,,",3
6,애플워치,별점,빠르게 잘 받았습니다,3
7,애플워치,별점,Apple Watch 본 제품은 아주 예쁘고 만족합니다 다만 스트랩 긴 줄이 고장이 난 게 왔습니다 시계 본체에 끼웠을때 스트랩이 고정이 안 되네요 스트랩 긴 줄만 교환 해 주셨으면 합니다,3
8,애플워치,별점,제조년이 너무 오래되엇고 처음 설정때 알림이 잘 안되서 애플센터 에도 다녀왔구요 작은 사이즈 밴드는 끼우는 홈이랑 안 맞습니다 이건 잘못 만든걸로 판명 했어요 .,3
9,애플워치,별점,"배송이 예정보다 늦어졌지만 그건 하이마트가 아니라 일처리를 제대로 못한 롯데택배의 잘못....
몇일 늦게받아서 필요한때에 선물못하고 따로삿지만 덕분에 이건 제가 씁니다~",3
10,애플워치,별점,"배송은 하필 택배파업에 맞물려 조금 늦게 받았지만괜찮았어요!그러치만,,,물건 받았는데 기기배송인데취급주의 스티커가 무색하게 상자가 구멍이 뚫려와서이거 애플워치 들어잇는거 아니겠지?했습니다......",3
11,애플워치,별점,배송이빨랐으면 더 좋았을듯,3
12,애플워치,별점,스트랩 불량이어서 교환했습니다.귀찮게 시간 낭비한거 빼면 좋아요,3
13,애플워치,별점,잘 쓰고 있어요 좋은물건 감사해요,3
14,애플워치,별점,같이온 정품 스트랩이 불량이라 서비스 센터 가야해요ㅠ ㅠㅠㅠ 급함김에 쿠팡에서 시킨거 꼇는데 하.. 뽑기운이 없나봐요,3
15,애플워치,별점,물건이 잘못 왔는데 퀵으로 바로 보내주셔서 잘 교환했어요,3
16,애플워치,별점,"액정에 스크레치가 나서 배송 받았는데, 하이마트는 애플에 확인하라고 하고 애플은 하이마트에 문의하라고 하네요",3
17,애플워치,별점,배송이 빨라서 좋았습니다~~~,3
18,애플워치,별점,배송빠릅니다. 아직까진 발열 없어뇨,3
