,type,category,review,star
1,아이폰12,별점,"이런 사이트 첨보네요~~ 공식 사이트라고 해놓고 제품 불량이라고 하니까 그것은 애플 잘못이다 자기네 잘못이?아니다 라고 하네요ㅋㅋㅋ 그러면서 자기들은 해결해 줄 수 없다 햐고 전화끊겠다고 한 후 고객 말은 더 들어보지 않은 채 전화를 둑 끊넹ㅎㅎ 이런 상담이 말이 되는건가요?? 너무 무례하고 기분이 나쁘네요 상담사 분들과 전화할때 상담사 보호를 위해 녹음한다고 하자나요, 근데 그러면 고객보호는 안해주시나요? 고객한테 이렇게 싸가지 없게 대응하시면서 장사하셔도되나요..? 아무리 공식사이트 아니고 중간업체라고 하지만 너무 무례하기 짝이없네요. 한두푼 아끼려고 요기서 구매했다가 스트레스만 더 받은 것 같아요",1
2,아이폰12,별점,핸드폰은 말할것 없이 좋지만 배송이 정말..116만원짜리 핸드폰 배송이 너무 허술해요. 배송전에 연락달라고 했는데 연락은 커녕 문앞에 덜렁 놓고 가셨네요 천만다행으로 분실은 없었지만 분실했다 누가 책임져주시죠? 다시는 온라인 구매는 하지 않을 생각입니다,1
3,아이폰12,별점,화면 깜빡임으로 교환을 요청했으나 서비스센터에 가야한다고 연결해줌. 서비스센터 전화했지만 폰터치가 잘 인됨. 서비스센터에서는 소프트웨어 업데이트하면 좋아진다고 함. 본사에서 고민중이라는데 넉달 넘게 고민만 한다는건 해결 의지 없는것 아닐까. 서비스센터 다녀온 후에 재설정하느라 고생중. 어쩔 수 없이 아이폰 써야하는 입장에서 답답할 뿐.,1
4,아이폰12,별점,아이폰12 쓸만하네요,1
5,아이폰12,별점,"이거때문에서비스센타도가고 . 폰 대리점도가고억지로등록. 엘지는 대리점가서 등록해야하고
폰 넣다가 뻗어서서비스센타도가고 물건받고3일만에개통 힘들게 겨우오늘 해외떠난듯요 거기서안뻗어야하는데ㅜ",1
6,아이폰12,별점,"여긴 공홈이 아닙니다. 불량시 폰 교환 힘들어요. 폰 불량 당첨 ㅜㅜ 거기다 폰케이스 아주 못쓰겠네요. 이미 기스난체로 왔고, 손톱으로 살짝만 긁어도 기스 팍팍 납니다. 액정필름도 불량, 기포 있어요.",1
7,아이폰12,별점,화면이 노래서 깜짝놀랏어요 왜 이렇게된건지 ㅜㅜㅜ 카메라만좋아졋어요 속도도그닥,1
8,아이폰12,별점,처음 받은 핸드폰에 이상이 있어 센터가서 교환받았습니더,1
1,아이폰12,별점,갤럭시만 쓰다가 아이폰은 처음 구매합니다. 지금 3일째 move to ios 어플로 데이터 전송을 시도중인데 계속해서 오류가 나고 전송이 전혀 안되네요. 충전 어댑터도 없어서 충전도 못시키고 있고 총체적 난국입니다. 무슨 부귀영화를 부리겠다고 100만원 넘는 거금을 내고 아이폰을 구매했는지 몹시 속상하고 후회스럽습니다. 하필 10월 29일에 지금 사용중인 갤럭시폰을 바닥에 떨구어서 액정이 나가는 바람에 삼성서비스센터에서 12만원 주고 액정 교체도 하였습니다. 그래서 갤럭시를 그냥 더 사용하기로 결심하고 아이폰 12는 주문 취소를 하려고 하니 갑자기 배송중이라고 나오고 설상가상으로 아이폰 12는 배송 되자마자 가족이 포장을 뜯어버리는 바람에 반품도 안된다고 하고 정말 미치고 팔짝 뛸 노릇입니다.,2
2,아이폰12,별점,"받은 제품에 문제가 있어 상담원과 통화했는데
본인이 애플서비스센터직원도 아니면서 제가 받은 제품은 불량판정 절대 안해줄거란 식으로 단정짓고 계속 말씀하셔서 당황스러웠어요
물론 전 서비스센터 다녀와서 문제가 잘 해결됐습니다 상담원말 안듣길 잘했네요
근데 그냥 쿠팡에서 살 걸...",2
