,0,1,2
0,11인치 가지고 왔습니다,m1칩을 품은 아이패드 프로 하나 가지고왔습니다 게임용이 주목적으로 구입했고 휴대성도 좀 있어야되서12.9인치는 너무 커서 좀그렇더라고요 ​휴대폰으로 게임을 많이하는데 갤럭시s21u사용하는데 발열문제가 크기때문에 겜성능을 유지못하고 반토막나버리는 상황인지라.... 너무 답답해서 천천히 패드를 사야지 하고있었지만 위문제로 빠른 구입!!구입하는 재품마다 블랙으로 구입하다 보니 이번에는 실버로 선택해봤는데 이쁘네요 ​4세대 프로도 그랬지만 역시 여전히 깡패같은 성능입니다 패드덕분에 신세계를 다시 경험중입니다,2021.08.11. 21:02
1,iPadOS 15.0 Beta 5 in 미니 5,Pro Max,2021.08.11. 14:14
2,애플펜슬 교환받고 왔는데요ㅠ,아이패드 프로 4세대 11인치 사용한지는 1년 넘었어요.굿노트에서 자꾸 필기 오류가 생겨서 굿노트 오류인줄 알고 최근에 다른 필기 어플 써보는 중에 이게 굿노트 오류가 아니구나 알게 되었고 여기 글도 보고 질문도 했었고요. 말해주신대로 동영상 찍어서 서비스센터 갔더니 아이패드는 절때 문제가 없도 펜슬에 오류가 있는거라고 펜슬 교환 받았어요! 엔지니어 분께서 알고 계시더라구요. 그래서 영상만 보시고 따로 필기를 해보시지는 않았어요.무상 교환 받았고요펜슬 작동 방식상 교환을 받고도 또 그럴 수 있다고 그랬거든요. 이 현상이 필기를 많이 할 수록 일어날 확룰이 높다고요. ​그런데 어제 받아와서 오늘 사용하는데 또 오류... 너무 짜증나네요ㅋㅋㅋㅋㅋㅋㅋ 필기할려고 아이패드를 샀는데 필기를 하지 말아야 하나....또 가야한다니... 동영상 더 모아서 다음주 안에 또 가야겠어요.. 뽑기운 정말 안 좋네요 ㅠㅠㅠ 아이패드를 새로 바꿔야 할지 참ㅋㅋㅋㅋ 5세대로 넘어가는게 별로 의미 없을 거 같아서 6세대 기다리는데 말이죠ㅠㅠㅠ,2021.08.11. 13:36
3,패드로 책 읽으시는 분 계신가요,출퇴근할 때 전철에서 아이패드로 전자책 읽는데눈이 좀 아픈 것 같아요 ㅜㅜㅜㅜ아이패드는 업무용으로도 은근 쏠쏠히 쓰고 있어서  꼭 필요하고..그렇다고 이북리더기를 사기면 같이 들고 다니기에 부담스럽고..​​역시 차를 사야되나^^!.... ㅎㅎㅎㅎ​​,2021.08.11. 09:26
4,✏️아이패드+펜촉 팁 글씨+필기감,"Loading... player_likesound_mutesound_mutesound_volume2sound_volume3 [x]Player Size:0 x 0Current Resolution:0PMax Abr Resolution:0PProtocol:hlsCurrent Bandwidth:Average Bandwidth:Buffer Health:Frame Drop Rate:0/0 도움말라이센스Video Statistic Version 4.24.6 (HLS)Build Date (2021/5/12)NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다. topleft rightbottom마우스를 드래그 하세요360° Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거00:00 | 00:11 화질 선택 옵션자동 화질  전체화면   광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기아이패드 펜촉



 



아이패드 펜촉에 팁 끼워서 글씨썼던 거 갤러리 뒤지다가 있길래 올립니다🤔저는 쌩촉보다 오히려 팁이 있는게 더 글씨도 잘 써지고 소음도 없어서 편하더라구요 그냥 대충 아이패드 펜촉이라 검색해서 구매하기도 하고 낚시할 때 쓰는 것도 자주 애용해요✏️",2021.08.11. 01:36
5,11에서 12.9로 왔습니다^^;,​와 이거 생각보다 너무 크고 무거워서 처음엔 당황했는데​쓰다보니 왜 12.9를 쓰는지 알겠네요ㅎ ​너무 만족스럽습니다~~~^^​5세대 12.9 그리고 탭S5e​,2021.08.10. 21:52
6,아이패드 매직키보드 개봉!,편하긴 합니다만...키감이 아쉽네요ㅠㅠ무엇보다 개무겁네요 짧은 후기였습니다🤣,2021.08.10. 15:59
7,ㅋㅍ 아이패드 11인치 사려고하는데 가격이 실시간으로 들쭉날쭉하네요 😂,급하게 사려는건 아니라 카드할인 혹시 타겟팅 되지않으려나 기대하면서 한번씩 들어가는데​몇분 전 까지만 해도 128기가 와이파이 버젼이 89만원대였는데 금세 만원 올랐네요 ㅋㅋㅋ​무슨 ㅂㅌㅋㅇ 처럼 가격이 실시간으로 변해요​시간 기준이 있는 것도 아니고...수시로 들어가서 확인해야겠네요 ㅎㅎ,2021.08.10. 14:28
8,미니5 os14로 올릴까 말까 고민했었는데요.,생각해보니까 쓸데없는 고민이네요.어차피 배터리 때문이라도 리퍼 한번 받아야 하는데 굳이 13.7을 고집할 이유가 없었군요.아...,2021.08.10. 12:07
9,아이패드 3세대서 5세대로!,"3세대 11인치 쓰다여친이 생일 선물로 5세대 12.9인치로 바꿔줬습니다다른 것 보다 화면이 커져서 좋네요ㅋㅋ



 

























​​",2021.08.09. 21:29
