,0,1,2
0,GTS2 알리발 솔로루프 도착 및 후기.,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)





















































































​7월20일 주문 8월13일 도착.​손목이 좀 두꺼운 편이여서 실측 후 딱 맞는 155mm 주문했습니다.​기본 우레탄 스트랩 착용시 밑에서 6번째 구멍에 넣고 사용했습니다.​결론은 타이트하게 고정은 되지 않네요...​손목 위에서 빙빙 돕니다. 저에겐 145mm가 적당한듯 싶습니다.​못 사용할 정도는 아닌데, 사용하면서 늘어나는 점 및 하드한 운동시에는 불편할듯 싶습니다.​



 














​요건 스포츠루프인데, 스포츠루프가 최고입니다..​매탈하고 가죽은 저는 정~말 불편했습니다.​솔로루프 잘 사용하고 계신분들도 계시겠지만, 전 스포츠루프 추천드립니다.",2021.08.15. 19:07
1,GTR2 반품했습니다.,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)








GTR2 쓰댕모델 구매한지 2주만에 반품했습니다. 사용한지 일주일째 되는 날, 아침에 시계 차려고 충전기에서 뗐는데 화면이 안나오더라고요. 폰(갤럭시노트9)과 연결은 되어 있는데 무슨 짓을 해봐도 화면이 안 켜지더라고요. 누가 완전 방전시킨 후 다시 충전해봐라 해서 해보니 충전표시가 뜨길래 고쳐졌나 싶었는데, 몇 시간 후 완충되었을 시점에 다시 충전기에서 떼보니 또 화면이 안나왔어요.  그래서 내방역에 있는 아이나비프리미엄스토어 서울점에 들렀는데 몇 번 만져보시더니 바로 반품이나 교환조치 해드리겠다고 하더군요. 전 계속 사용하고 싶어서 원인이 뭐냐? 고칠 수는 없냐? 고 물어봤는데 본인들도 외산제품 수입해서 파는 거라서 정확히 알 수 없다며 그냥 반품이나 교환을 하라더라고요. GTR2가 몇 가지 마음에 안드는 부분은 있으나 이쁘고 배터리도 오래가고 운동용으로도 충분히 사용 가능하여 계속 쓰고 싶었는데, 원인도 모르고 고칠 능력이 안된다고 하니 어쩔 수 없이 반품했어요. 교환 받았는데 또 동일 증상 발생하면 귀찮게 서비스센터 다시 방문해야하니까요. 그나마도 12일째 에 가져갔기에 망정이지 이틀만 더 늦게 갔으면 반품 못하고 교환받을 뻔 했네요. AS 기간은 구매일로부터 1년이라 무한정 교환받을 수도 없다고 하네요.​아쉽습니다. 이쁘게 차려고 시계줄도 3개나 사놔는데^^;저와 동일한 증상 겪으신 분들 참고하시라고 글 남겨요.참, 반품하려면 시계는 물론 충전기, 밴드 등의 구성품 다 들고 가셔야 하니 참고하세요.전 그냥 시계만 들고 갔다가 다음날 또 방문하는 불편을 겪었습니다.",2021.08.14. 16:21
2,옛날에 잘못 산 미밴드6 짝퉁 m6리뷰입니다,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)



















스크린은 이렇게 작고 심박수 체크는 있는데 가짜입니다... 그리고 운동은 3가지가 있어요. 앱도 있길래 깔아봤더니 만보기 잠 측정, 테마도 있었는데 딱 100개가 있더라구요. 적용도 잘되고 자기의 사진을 테마로 설정도 가능해서 이외로 놀랐습니다. 배터리 타임은 1일에서 3일까지고 알리에서 5000원 언저리에 구매했어여. 짝퉁이라 실망했는데 생각보다(?) 괜찮았네요!",2021.08.10. 20:01
3,배터리 타임이 오래가니깐 생기는 문제점!!!,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)








휴가가기전인 7/23(금) 회사출근해서마지막으로 충전하고오늘 방전되서 충전중입니다.휴대폰처럼 배터리가 빨리 달면 잊지 않고 할텐데배터리가 오래가니깐 방전될 때까지 신경을 안쓰네요물론 중간에 충전하라고 진동오는데.. 신경을 덜 쓰는게 사실입니다. ㅋㅋㅋ",2021.08.06. 09:41
4,GTR47 메탈 밴딩 스트랩 후기,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)








​



 



















US $1.59 20%OFF | 12 14 16 18 20 22mm 스트레치 확장 스테인레스 스틸 부품 시계 밴드 스트랩 메탈 시계 팔찌 액세서리 + 스프링 바
US $1.59 20%OFF | 12 14 16 18 20 22mm 스트레치 확장 스테인레스 스틸 부품 시계 밴드 스트랩 메탈 시계 팔찌 액세서리 + 스프링 바
a.aliexpress.com






 



밴딩이 되는 메탈줄인데 손목에 털이있으신분들은 주의가 필요하겠습니다 좀 허접한 느낌은 있지만 여름에는 차고 다닐만 하겠네요ㅎ",2021.08.03. 21:33
5,GTS2 mini 3개월 사용후기,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)








5월 1일에 수령한 GTS2 mini를 구매한지 벌써 3개월이 넘어갑니다.구매해서 10일차 간단 리뷰쓴게 얼마 안된거 같은데......   그래서 추가적인 특징과 배터리를 한번 써보려 합니다.기존 리뷰는 https://cafe.naver.com/xst/501657



 








GTS2 mini 후기. 배터리사용
대한민국 모임의 시작, 네이버 카페
cafe.naver.com






 



-. 배터리 효율사용조건  AOD : 사용 - 최대 장점이니 사용 안하면 GTS2 mini를 쓸 이유가 없겠죠.  손목들어 화면 켜기 : 사용 - AOD쓰면서 이거, 손목들어화면켜기 안하면 배터리 광탈 일 겁니다... 심박 10분간격, 호흡, 수면측정, 화면밝기 오토(보통중간 또는 중간이상이 되더군요)​한번 완충하면 꾸준히 5일정도의 사용시간을 보여줍니다.단, 요즘 코어 운동(5-10분)하고 걷기(20-30분)을 매일 1회씩 하다보니 4일 사용으로 1일치가 감소 했습니다.​운동기능을 많이 사용하시는 분들은 배터리 감소가 느껴지실듯 합니다.​-. 알림수신전화, 메세지 수신은 잘됩니다만, 폰을 책상에 두고, 대략 5m이상 떨어지면 알림, 메세지가 안들어오는듯 합니다. 폰을 가지고 있는 경우에는 설정된 앱을통한 알림, 메세지가 안들어온 경우가 없는데, 거리가좀 떨어지면 알림, 메세지가 울리지 않네요.폰마다 차이가 있는지 모르겠지만 약간 아쉬운 부분 입니다.​-. 시곗줄순정 시계줄이외에 줄질까지는 아니지만 알리에서 블랙메탈줄을 구매 해서 사용중입니다.고무재질이 땀차고 해서 바꿔봤는데, 완전히는 아니지만, 조금은 편해진듯 합니다. 원터치라 버클 타입보다 편한점도 있고요...GTS2 mini가 블랙이라 매치가 잘되서 보기도 좋네요...순정줄과 비슷한 고무재질의 시계줄도 구매해봤는데, 순정이 좀더 얇고 끝단 처리도 좋은듯 합니다. 



 














​​​​-. 보호필름액정보호필름을 처음엔 강화유리로 찾아봤는데, 검은 테두리 있는것 밖엔 없더군요. 그러면 화면이 작아지기에 걍 2장 들어있는 국산 TPU 제품을 구매해서 사용중입니다. 자가복원 있다고 하더니, 중격이나 흠집이 생길듯했는데도 별 흠집없이 깨끗한 화면 보여주네요. 첨엔 뻑뻑하다는 느낌이었는데 지금은 크게 못느끼고 사용중입니다.​몇가지 느낀점 써봤는데요...얼마전에 노트20 구매하면서 액티브워치2로 갈까하다가, 매일충전한다는 소리에 걍 나중에 배터리더 좋아지면 가볼까 했습니다.  스마트 폰은 충전 플랫폼이 여기저기 있지만, 시계는 그게좀 어려워서 사용시간이 아직은 중요한듯합니다.​뻘글 읽어 주셔서 감사드립니다...​​​",2021.07.30. 09:56
6,미밴드6 구매후기,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)








원래는 미밴드5를 구매하려 하였으나... 품절로 6을 구매했습니다. 사용해보니 5 구매했으면 후회할 뻔 했네요ㅋㅋ 큰 디스플레이가 주는 만족감이 대박..... ​밴드는 갤핏2를 처음 사용했었는데 워페의 한계로 스트레스 받아서 팔고 미밴드 사용해보니 너무 좋습니다...ㅎ개인적으로 워치페이스는 워치류보다 밴드에서 기분에 따라 더 자주 바꾸게 되더라구요. 부담없이 가볍게 사용하기 정말 좋은 것 같습니다.



 
















 



기분에 따라...​글로벌 버전이라 영어로 그냥 쓰다가 카톡 이름이 안나와서 한글패치 하고 사용중이네요.. 글씨 큼지막하고 좋습니다ㅎㅎ 그리고 전화 올땐 괜찮은데 제가 전화 걸 때는 무음에서 소리로 바뀌는 버그가 있던데 전화 권한 비허용->허용 후 미밴드 재부팅 하니까 괜찮긴 하던데 이건 피드백 보내놔서 샤오미 측에서 제대로 고쳐줬으면 좋겠네요.. ​오늘 홈트하면서 운동 모드 처음 실행해봤습니다.미핏 앱 동기화 잘 되고 심박수 측정도 잘 되는 것 같습니다~



 
















 



​외출할 땐 미니 착용하려고 하는데.. 정작 나갈 땐 그냥 밴드 차고 나가게 되더라구요ㅋㅋ 정말정말 펀해요ㅎ​​읽어주셔서 감사합니다~",2021.07.25. 00:59
7,[어메이즈핏] T-REX PRO 사용후기 (수영),"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)





































 



수영체크용으로 아너밴드5 쓰다가 워터락 해제하다 빡쳐서물리버튼 있는 놈으로 알아보다 T-REX PRO 를 구입하게 되었습니다방수야 100미터니 말할필요없구요워터락 버튼으로 해제되니 시간지체 거의 없습니다거리측정은 턴을 확실하게 해주면 아주 잘되구요시간측정도 거의 정확합니다... 애플워치는 시간측정 오류가 좀 보이더라구요걸음수 이런건 자동으로 체크되구요 자동인식할수 있는 운동을 지정해놓으면 그운동을 시작하면 자동으로 체크해주네요수영중간에 쉬는 타임을 체크하는지 모르겠습니다한사이클 돌고 바로 스톱하니까요수영에 체크에 대해서 만족하구요사이클은 자전거로 측정할때는 만족했구요갑자기 오토바이타면 어찌 되나 궁금해서 오토바이로 타고 해보니gps가 어찌 잡히는지 모르지만 속도가 맞지 않네요 두세템포 느리게 올라가고내려옵니다... 핸드폰처럼 실시간 속도체크가 안되네요고도측정도 자동으로 되구요..​다만 어플로 들어와서는 불만이 좀 많네요운동별로 따로 분리되서 나왔으면 좋겠네요운동에 포괄적으로 넣어놔서 수영 자전거 달리기 걷기 이리하면순서대로 쭉 나옵니다 수영만 몇키로 시간이 따로 안나옵니다(대빵 짜증납니다)그리고 날짜별로 따로 폴더가 없고 아래위 순서대로 나옵니다...이것땜시 그날 수영한 키로수와 시간이 따로 안나옵니다그리고 수영한 키로 시간과 같이 심박수 데이터도 같이 표기해주었으면 합니다..그리고 25미터 레인에 500을 돌았다면 25미터당 상세 페이지가 없습니다저렴이 아너밴드5 도 있는 상세페이지가 없다는게 말이 되나 합니다500 돌았지만 25미터당 시간 속도 팔 스트록의 갯수를 보고 싶은데그냥 뭉게어 500 했어 100미터당 시간은 이거야 하고 끝납니다워치는 가격대비 맘에 드는데 어플은 10점중 2점 주고 싶네요..어플좀 제대로 만들어주면 안되겠니~~~~쓰다보니 어플은 진짜~~~",2021.07.22. 17:05
8,왜 사람들이 알리알리 하는지 알겠네요 2e 후기,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)








gts2e 를 구매하고 시계줄 까지 알아보고 있는데정보 찾아보고 있는데 다들 알리에서 줄 구매하셨다 그래서 신규가입하고 보니까할인쿠폰을 많이줘서 거의 공짜로 살수 있더라구요 ㅎ시계줄 하나는 공짜로 얻고 나머지는 또 반값에 사면4천원에 5개는 사겠네요 ㅎㄷㄷ",2021.07.20. 06:28
9,T-REX PRO 간단 사용 후기입니다.,"📌  스팸, 분쟁이 발견되면 누구라도 바로 신고해주세요.  🔗  비밀신고 : https://bit.ly/3wBFwkO (24시간접수)








​4년간 사용하던 갤럭시 와치~~~침수 판정으로 보내고 티렉스 프로 구매했습니다.컬러를 블루 선택했습니다.그레이는 오염에서 부담스럽고 블랙은 기존 시계가 블랙이라 피했는데 참 마음에 듭니다.무광 무채색 계열이 옅은 그린 블루에 벨젤은 블랙이라 투톤도 잘 어울립니다.​*장점*가볍다이쁘다독립지피에스운동(러닝,자전거) 테스트 해봤는데 꽤 정확하다기존 스포츠 와치 대비 저렴배터리 오래감 (어제 완충후 많이 만지고 여러 테스트 했는데 19% 감소)탄탄한 자체 어플 지원다양한 워페1년 리퍼​*단점*기능상, 확장성상 갤워치에 뒤짐. 워치4의 신os나오면 더 벌어질듯.운동중 타어플 사용 불가 특히 음악 컨트롤 불가 불편.​이상입니다개인적으론 참 마음에 듭니다~~~^^​​",2021.07.16. 21:02
