,review,star
0,"갤럭시버즈프로~!!저희 딸 초등학교졸업선물겸 중학교입학선물로 샀어요보호케이스는 버즈 구매 프로모션으로 받았습니다.. ^^카카오케이스 4종 중 어피치로 선택해서 받았어요.. ^^무작위로 주는 곳도 있던데... 저는 선택해서 받을 수 있는 이곳에서 구매했서 딸이 고른 어피치로 잘 받았습니다.갤럭시버즈프로는 정사각형 모양입니다.. ^^갤럭시버즈와 갤럭시버즈플러스와는 다른 모양입니다.저는 개인적으로 정사격형 모양이 더 맘에 드네요... ^^갤러시버즈모양은 조금 길죽한 형태예요.. ^^ 유선모양이고 바람의 영향을 최소화한 유선형 디자인이라고 합니다.색은 팬텀블랙, 팬텀실버, 팬텀바이올렛이 있는데 제가 구매한 색은 갤럭시버즈프로바이올렛 색입니다.. ^^흔하지 않은 색이라 완전 강추합니다.모양은 귀에 잘 맞는 모양인데 갤럭시버즈와 거의 비슷한 모양입니다.(자세한 모양은 영상 참조해주세요.. ^^)케이스로 충전을 할 수 있게 되어 있는건 초창기부터 지금까지 같은 방식입니다.사진에 보시면 갤럭시버즈 와 비교샷이 있습니다.갤럭시버즈는 그동안 제가 사용하던 것입니다.. !!갤럭시버즈프로 와 가격이 무려 2배 차이나지요.. ^^​솔직히 2배나 차이나는 것을 살것인가.. 아님 갤럭시버즈가 있으니.. 갤럭시프로로 사줄 것인가 고민했는데기왕사는거 좋을 걸로 사자고 하고 샀는데두개다 사용해 본바.... 네.....비싼거 사세요.. ㅎㅎㅎ기능이 비교가 안됩니다.. ^^제일 차이나는 기능은 역시나 ANC 기능ANC는 액티브노이즈캔슬링 입니다.. !!저는 사실 소니 노이즈 캔슬링 헤드폰을 사용하고 있어서 갤럭시버즈프로노이즈캔슬링 기능은 정말 기대를 안했거든요..~헤드폰과 이어폰의 차이로도 압도적으로 헤드폰이 좋을 것이라고 생각했는데 제가 사용해본 결과 헤드폰에 결코 뒤지 않는 기능을 가지고 있습니다.​테스트겸 사용해보고 정말 깜짝 놀랐습니다.. ^^제가 사용하는 헤드폰보다 기술적으로 더 나았습니다.. ^^;;;(제껀 조금 지난 기종이라 그럴지도.. )게다가 기존 버즈와는 완전히 다른 프리미언Hi-Fi 사운드11mm 대형우퍼+6.5mm트위터의 2-way스피커라고 하네요.. 뭐.. 저 말은 정확히는 모르겠지만 제가 들어본 바로는 음향의 웅장함이 다르다고 이야기 하고 싶네요.. ^^음향이.. 기존 사용하던 이어폰, 헤드폰과는 다른 웅장함이 느껴집니다.. !!소리도 생생히 전달되구요.. ​기존 제품과 얼마나 다르겠어 했는데 제가 사용해보니.. 하.. 전자제품매니아로서 저도 가지고 싶은 욕구가 생깁니다.. !!​음향이 확실히 기존에 사용하던 버즈나, 헤드폰과는 다릅니다.저는 헤드폰이 훨씬 좋은 음향과 좋은 기능을 가지고 있다고 생각했는데 오산이였습니다.이어폰 기능도 참 좋다는 것을 갤럭시버스프로를 통해 알게되었습니다.갤럭시버스플러스는 착용감이 별로라는 말이 많던데.. ^^갤럭시버즈프로는 기존 갤럭시버즈와 비슷한 모양을 가지고 있지만 좀더 귀에 쏙 들어가는 착용감을 보여줍니다.(비교사진 참조)저는 갤럭시버즈도 착용감이 좋았거든요.. ^^갤럭시버즈프로착용감 도 참 좋습니다.. ^^좀 더 쏙 들어가는 느낌.. 귀에 꼽고 살짝 돌려 귀 모양에 맞춰주면 빠짐 없이 잘 사용할 수 있습니다.​딸은 거의 누워서 착용하고 있는데 빠지는 것 없이 잘 사용하고 있고 제가 불러도 대화를 잘 하는거보니 대화감지기능도 잘 작동하고 있는 것 같습니다.. ^^​딸이 사실 중학교입학선물로 탐탁지 않아했는데 사주니 너무너무 잘 사용합니다지금은 하루도 빼놓지 않고 사용하더라구요. 물건 욕심 없는 아이인데 요건 참 좋아라 합니다'중학교는 물론 고등학교입학선물 로도 굿인듯 합니다.. ^^ 딸이 아주아주 만족해하고.. 사실..저도 사고 싶을 정도로 기능도 만족스럽습니다.. ^^갤럭시버즈 프로 완전 추천합니다. ^^가격값 합니다.. !!",5
1,"5일 사용 후기요약: 착용감 미침. 음질은 저음강조를 추천. 아이폰이면 에어팟 프로ㄱㄱ. 노캔은 최소 80%까지 차단됨. 노캔이 만능은 아니다.1) 착용감: 에어팟-버즈-버즈 플러스 사용했는데 버즈 프로가 착용감이 넘사로 좋습니다. 장시간 착용해도 귀가 안 아픕니다. 알맹이가 커서 귀가 작은 사람들은 불편할 수도 있을 거라 생각합니다. 전 귀가 딱 보통이라서 굉장히 편하게 사용했습니다. 내장된 이어 팁만 교체했습니다. 그리고 귀에서 잘 빠질 거 같이 생겼지만 머리를 아무리 흔들어도 안 빠집니다. 버즈 플러스처럼 위에 걸치는 게 없어서 귀가 편합니다.2) 노캔: 노캔은 처음 사용하는데 굉장히 만족합니다. 제가 차단된다는 말은 어느 장소에서나 어떤 소리가 나든 100% 차단된다는 말이 아닙니다. 장소에 따라 80%~100% 차단이 됩니다. '이게 뭔 노캔임? 소리 들리는데 불량 아닌가?' 라고 생각하시는 분들. 기존에 사용하고 계신 이어폰이랑 비교해보세요. '아 이게 노캔이구나' 라는 것을 알 수 있습니다. 불량이 아닙니다.집에서 가볍게 테스트를 해봤는데 티비소리 90%, 커세어 k68 키보드 소리는 85% 차단됩니다. 집에 누가 들어와도 도어락 소리가 안 들려서 누가 왔는지도 몰라요. 한 번 깜짝 놀란 적이 있네요;밖에서는 80% 차단됩니다. 차소리는 차단되고 클락션 소리는 들립니다. 생생하게 들리는 건 아니고 누가 클락션 울리네 정도? 클락션은 차단이 잘 안되네요. 그리고 밖에서 누가 부르면 모릅니다. 당연한 이야기지만 노캔키고 대화도 불가능합니다.그리고 지하철에서도 다시 한 번 느꼈습니다. 원래 이어폰을 끼면 지하철이 시끄럽다고 못 느꼈습니다. 하지만 노캔을 사용하고 나서는 그동안 소음이 있었다는 것을 알게 됐습니다. 버즈 플러스도 잘 막아준다고 생각했지만 아니었습니다. 여기서 더 막아지다니... 진짜 놀랐습니다. 출퇴근할 때 유용한 기능이라고 생각합니다.3) 대화 감지: 제가 말을 하면 주변 소리를 들을 수 있도록 해주는 기능입니다. (말을 10초 동안 하지 않으면 이 기능은 꺼집니다.) 좋긴 좋은데 말을 좀 길게 해야 작동이 되고 목소리를 작게 하면 인식을 못 합니다. 물론 사람들이랑 대화할 때 작은 목소리로 대화를 하지는 않지만 전 크게 냈다고 생각했는데 인식을 못 할 때가 있었습니다. 혹시나 했지만 기침소리 이런 건 인식이 안 됩니다. 식당에서 주문을 할 때 이 기능은 정말 유용했습니다.4) 통화품질: 버즈랑 비교하자면 많이 개선됐습니다. 할 말이 없습니다. 좋아요.5) 음질: 저는 좋다고 생각합니다. 이퀼로 손 보면 좋습니다. 저는 저음강조를 추천합니다.6) 추가로 받은 케이스: 어피치로 받았는데 스티커로 꾸미는 형태입니다. 케이스 안쪽에 붙여야 해서 먼저 붙이고 케이스를 장착하시길 바랍니다. 왜냐하면 케이스를 벗기기 힘들더라고요. 그래서 못 붙였습니다. 그리고 어피치 테마 깜찍해서 마음에 듭니다. 고리도 같이 있어서 잃어버리진 않겠네요. 투명 케이스가 근-본.7) 단점:1. 터치패드가 민감한 편입니다. 착용할 때 귀에 쑤셔야 하는데 자꾸 터치패드가 눌립니다.2. 대화 감지 기능은 완벽하지 않습니다. 그렇다고 해서 쓰레기라는 말이 아닙니다. (하지만 이거 때문에 고민하는 건 에바입니다.)3. 노캔으로 주구장창 들으면 배터리가 버즈 플러스에 비해 빨리 닳습니다. 한 번에 5시간이나 사용할 수 있지만 인강 같이 오래 들을 땐 불편했습니다. 하지만 이건 어쩔 수 없는 부분입니다.8) 총평:  노캔은 밖에서 빛을 발휘합니다. 조용한 곳에서는 잘 되고 있는지 어쩐지 알 수가 없습니다. 그래서 폰이 안드로이드이고 출퇴근을 대중교통으로 하시는 분, 외출을 자주 하시는 분들께 추천합니다. 아이폰이면 에어팟 프로를 구매하세요. 폰-버즈 프로의 연동이 중요합니다.그리고 노캔이 모든 소리를 차단하는 건 아닙니다. 위에서도 말했지만 100% 아예 안 들리는 게 아닙니다. 티비소리가 미세하게 들린다, 차소리가 미세하게 들린다 ->  정상임. 불량 아님.",5
2,"오늘 도착한 겔럭시버즈프로에 대해 저의 개인적 주관적 평가를 해보려 합니다~기존 사용하던  버즈라이브와 비교해 볼께요~~~  1.음질 저의 막귀에서 라이브가 저음이 강조 되어있다면 프로는 고음과 선명한음질이 특징인거 같아요~~갠적으로 더 뚜렷해진 음색이 마음에 듭니다~버즈 중 최고의 음질인거 같아용~2.디자인 처음에 받아보았을때 라이브에 비해 뚱뚱하고 오묘한 색감이 눈에 들어왔어요~이게 귀에 잘 맞을까?라는 의문이 들었지만 생각보다 귀에 쏙들어가고 이물감도 없고 착용감이 너무 좋았어요~또한 유닛의 유선형 디자인 덕분에 귀에 쏙 들어가 너무 튀어나오지 않아 마음에 듭니다~3.노이즈 캔슬링 라이브에서 입증 되었듯이 저음은 깔끔히 지워줍니다~ 라이브가 불완전한 노캔이라면 프로는 좀더 완벽에 가까워   진 노캔이라는 생각이 듭니다~4.기능 - 주변소리듣기모드  말소리를 감지해서 주변소리를 듣게해주는 기능인데 참 편    리해요~그런데 음악 듣다 혼자 흥얼거리면 작동이 되 어서    조금 불편하네요~~- IPX7 등급 방수기능 칭찬할만해요~~ 지원해준다니 정말 최고네요~~5.통화품질 전작에 비해 향상되어 불편 함 없이 통화잘됩니다~~6.케이스 디자인 라이브 사이즈와 같아서 호환이 된다는 점이 너무 좋았어요~또한 자성도 라이브에 비해 강해져서 흔들어도 잘 안떨어지네요~~다만 케이스 뚜껑이 라이브가 잡아주는 느낌이 강한것에 비해서 프로는 좀 가볍게 닫히는거  같아요~~7.가격  239800이 조금 부담스러운 가격이긴 하지만 ANC기능에 이정도의 디자인 , 그리고 환상적인 음질과기능, 삼성의 브랜드 네임이라면 만족하실거 같아요~~~전체적으로 평가한다면 겔럭시 버즈시리즈의 최종 완성형에 가까워 졌다는 느낌이고요 치명적 단점이 없는 제품인거 같아요~다음 제품 만들때 제작자들 부담스러워 어쩌나 걱정이되네요~그래도 단점을 찾아보라한면....너무 평범한 베터리 수명과 터치컨트롤의 까다로움이라고 생각이듭니다~~",5
3,"[ 음질 ](개인의견입니다 실제랑은 다를수있습니다.)  갤럭시버즈, 에어팟프로, 10만원대 테비 무선이어폰씁니다.  1. 갤럭시 버즈 < 버즈 프로  2. 에어팟 =< 버즈 프로(갠적으로 에어팟 프로 음질이 좀 퍼진다고 생각합니다)  3. 테비 =< 버즈프로(갠적으로 테비 음질을 좋아하는데 버즈프로도 진짜 해상도가 꽤나 좋습니다;;)[ANC] 1. 에어팟 프로랑 다르게 노이즈 캔슬이 될때 띠링 소리가납니다. 그래서 에어팟 노캔될때의 그 수욱 하는 느낌이 없어서 아쉽습니다. 2. 컴퓨터 팬소리, 공기청정기소리, 글씨쓰는소리, 냉장고소리 다 잡습니다.  3. 에어팟에 비해서 살짝 아쉬운 느낌이지만 20만원대 노이즈 캔슬링치고는 매우 만족스럽습니다.[ 디자인 ]  1.  취향이네요 조약돌같아서 되게이쁩니다 개인적으로는 바이올렛보단 블랙이 더 이쁜것같습니다. (실버는 금방 질릴것 같네요) 2. 케이스는 라이브랑 같아서 시중에서 마음에 드시는걸로 구매하시면됩니다(저는 몬스터볼 케이스 너무귀여워서 장만했습니다)[ 착용감 ]  1. 생각보다 너무 편합니다. 귀밖으로 나오는 부분이 클줄알았는데 이것마저도 작고  낀듯만듯한 느낌입니다.   2. 머리를 흔들면 떨어진다고해서 걱정했는데 전혀 문제없습니다. [ 단점 ]  1. 케이스 힌지가 마음에 안듭니다ㅠㅠ(어차피 몬스터볼 케이스써서 그게 신경은 안쓰입니다)  2. 기침하면 대화모드가 켜집니다(개인차인듯)  3. 제 경우에는 이어팁을 제일큰걸써야해서 추가 구매를 해야 할 것 같습니다.[ TIP ]  1. 확실히 이어팁은 큰거쓰셔야합니다. 이건 추가로 구매 해야겠네요  2. 게임모드는 3.1부터 쓰시는겁니다.  3. 이제 갤럭시유저는 무선이어폰은 버즈 프로 쓰시는게 무조건 좋아보입니다.  4. 케이스는 라이브랑 같은거 쓸수있어서 좋아요",5
4,무척갤럭시 버즈를 쓰다가 충전이 귀찮아져 판매 후 유선이어폰으로 생활을 이어오다가 버즈프로 소식을 듣고 고민하다가 구매했습니다.색상고민을 했는데 역시 심플한 블랙이 가장 좋을 듯하여 블락으로 선택했는데 잘한선택 같습니다. 심플하고 고급스러워 보입니다케이스는 스티커 붙이는거라서.. 제가그런걸 밸로 좋아하지 않아 붙이지 않고 그냥 끼웠습니다.. 그런데 먼니가 들어갔는데 뺄수가없네요 ㅠㅠ 어떻게빼야하는건지.. 그림으로 설명이 되어는 있는데 막상하려니 부러질까 겁이 좀 납니다버즈 착용할때는 긴시간 착용했을때 귀가 아팠었는데 프로는 아직 오래착용해보지 않아서 잘은 모르겠으니 개인적으로는 착용감은 버즈 프로가 더 좋은듯합니다.음질역시 버즈에 비해서는 무척 좋고 주변소음듣는것도 속삭이듯 말하면 마치 asmr같네요. 정말신기합니다.사용자가 말하는걸 감지하는 기능도 넘 신기하네요 다만 반응이 빠른편은 아닌듯합니다 재채기를 했는데도 기능이 작동되서 당황했습니다.기기연결도 케이스 열자마자 알아서 잘되네요 특별히 연결할필요 없이 업데이트 후 사용했습니다방금받아서 여러가지자세한 후기를 작성하진 못하겠지만갤럭시 버즈의 유일한 단점이 아이폰에서 호환이 안되는거던데 갤럭시를 쓰는입장에선 단점이 없는것과 마찬가지라서.. 이번엔 잘 사용해보려고합니다.,5
5,"주문후 다음날 바로 도착했습니다. 문의글 올렸는데, 얼마지나지않아 바로 답주시니, 1차적으로 신뢰가 갔습니다^^ 신속하게 대응해주셔서 구매자입장에선 덜 불안했어요~택배상자안에는 사진처럼 제품, 사은품 들어있었고, 꼼꼼하게 포장해주셔서 파손없네요. 바이올렛 색상이 각도에 따라 오묘하게 실버, 블랙 두가지 색도 보여 좋네요. 너무 튀지않고, 은은하게 고급스러워보입니다. 설명서보고 연결했구요, 구글앱에서 해당 어플 다운받아 어렵지않게 바로 사용해봤습니다. 먼저 기스날까 두려워서 케이스 꼈어요. 사은품 투명케이스에 스티커 붙히는거 주신데서, 일부러 여기서 주문했어요. 전 스티커 붙히지않고 깔끔하게 커버만 사용해봤습니다. 주변소리 3단계가 저한텐 맞네요. 4단계는 마침 비올때 테스트 해봤는데, 보청기 낀것처럼 너무 잘들려요. 주변 잡음까지 끌어오는거 같다랄까, 해서 3단계 해놓고, 음악 들으며 혹시나 있을 불량 체크했습니다. 이제 받아서 더 사용해봐야 알겠네요. 케이스 너무 이쁘구요, 자석으로 뚜껑 닫히고, 이어폰 들어가는 느낌 좋네요. 소리도 착~.따로 이어팁이 있어요. 내 귓구멍에 맞춰 사용하셔야해요. 저는 장착된 이어팁은 크더라구요. 처음에 여유 이어팁있는거 모르고 장착했더니, 움직이니까 빠질까 불안해서 뭐지했는데, 다행히 이어팁이 있어요ㅎㅎ 하긴 유선도 여유분이 있는데, 버즈 프로가 없을리가 없겠죠^^ 전 모델 버즈 라이브는 디자인이 별로라 넘기고 버티고있다 이번에 프로샀어요. 디자인이며, 노캔도 만족합니다. 폰이 갤럭시라 버즈프로가 맞네요.여기서 하나 더 사려구요. 동생은 실버로 사줘야겠어요. 믿고 사셔도 되겠네요. 좋아요^^",5
6,"오픈하고 오전 9시좀 넘어서 구매했고 솔직히 후기들보고 포기하고있었는데 운좋게 스타워즈 다스베이더케이스 받았습니다.밑에는 화요일부터 지금까지 사용해본 후기입니다.1. 음질 음질은 갤럭시버즈라이브랑 비슷한것같다.듣기에 거슬리는부분 없이 괜찮음갤럭시 웨어러블 앱에 들어가면 이퀄라이저 선택해서 조절이 가능해서 좋다.2. 페어링버즈라이브와 마찬가지로 버즈케이스 열어서 귀에 끼면 이미 연결되어있어서 사용하기 좋다.개인적으로는 JBL 잠깐 썼을 때 충전안되는것도 짜증났는데 페어링하는게 체감 한 10초정도 걸리는게 불편했었음3. 노이즈캔슬링난 어차피 일할때랑 출퇴근할때만끼고 노이즈캔슬링 안써서 노이즈캔슬링은 리뷰하기가 좀 애매하다.갤럭시버즈프로 노이즈캔슬링은 사람마다 다른거같은데 구내식당에서 사용해봤을때 고요해지기는 하지만 껐을때랑 켰을때의 차이를 잘 모르겠다.팁 자체가 귓구멍을 막아서 어느정도 주변소리를 막아주긴하는데 그게 노캔기능인지 아닌지 잘 모르겠는 느낌?4. 통화품질마스크쓰고 통화했는데도 내쪽은 불편한거 따로 없고 상대쪽에서 못알아듣거나 하는게 없었다.버즈라이브쓸땐 상대쪽에서 몇번 못알아들은적이 있어서 빼고 통화했었는데 마이크는 더 개선된듯5. 착용감잘 빠짐생각보다 진짜 잘 빠짐귓구멍이 좀 작은편이라 처음엔 팁이 안맞는줄알고 팁도 바꿔봤는데 퇴근길에 몇번 떨궜다.오래 끼고있어도 불편하진 않은데 그만큼 좀 불안함...6. 총평갤럭시버즈라이브와 케이스가 호환되어 기존에 사용하던 케이스도 사용가능하다.노캔, 통화를 많이 사용하거나 이어폰을 계속끼고 얘기를하는 갤럭시 유저에게는 추천",5
7,"(사용 후기에 앞서 기존 제품 사용)*기존 사용 제품 소니 WH-1000XM3 _> 버즈 플러스(그것도 여기서 구매했네요^^) -> 버즈 프로*구매 금액 엠디텍에서 구매시 모든 할인 적용해서 약 19만원 후반인데, 당근이나 중고나라보다 저렴합니다.거기에다 덤으로~ 엠디텍의 선택 가능한 사은품!!! 빠빰!!*음질버즈 플러스 대비 저음도 엄청 좋아졌네요!! 깔끔하고 명료하게 잘 들리고 음질은 확실히 업그레이드 된것 같습니다.음악이 참 맛깔나는 음색인데~ 너무 맘에 듭니다. *ANC와!! 이거 진짜 대박입니다. 소X 노이즈캔슬링 헤드폰, 이어폰 다 써봤는데, 일단 이어폰은 압승인듯 합니다. 재택근무중이라 지하철을 타지 못했지만 집에서 유툽에 있는 지하철 소음으로 테스트 했는데 저음 부분은 확실하게 컷 해주는 느낌이 너무 좋습니다. *주변소리 듣기 대화 감지주변 소리듣기 모드 시 버즈플 처럼 기계음 쒸이이익 하는 소리는 거의 없고 이질감 없이 주변 소리를 들려줍니다.거기에 자동 대화감지 기능으로 제가 말하면 자동으로 주변 소리 듣기 모드로 변하니 일상적인 활동에는 그냥 기능 ON해놓고 써도 될 것 같습니다.!! 저한테는 업무중에 정말 좋을 것 같습니다.오늘도 하루 종일 귀에 꼽꼬 대화가 필요할 때 제가 말하면 자동으로 음량이 줄어들고 주변 소리 모드로 변동되고, 아주 좋습니다.그리고 유튜브 리뷰에서 이질감 있다고 했는데 이번 펌웨어 업그레이드 이후 좋아진 것 같습니다.*장단점 (버즈플러스와 비교하여 작성합니다.^^)단점- 버즈플러스에 있던 유닛 오른쪽, 왼쪽 툭툭 쳐서 볼륨 조절 기능이 없음.- 버즈플러스 대비 짧은 배터리.장점-확실한 ANC성능.-편안한 착용감 버즈플러스 보다 돌출부가 적어서 귀에 꼽고 베개를 사용하여도 귀에 무리가 없을 것 같습니다.(버즈플러스는 끝이 쫌 뽀족한 편이라 잘때는 귀가 아팠습니다.)-답답함이 없음전문적인 용어는 모르겠는데, 버즈플러스는 같은 커널형이지만 끼고있으면 뭔가 답답했는데, 이 녀석은 답답함이 없습니다.(L 사이즈 착용중)*총평# 참고로 본인은 이 쇼핑몰가 전혀 관계없고 꽂힌 제품은 가성비로 찾아서 최고 저렴하게 구매 하려고 하는 편입니다.1.판매 대리점 중 엠디텍!! 짱(버즈 플러스도 이 대리점에서 구매!!)-랜덤사은품이 아니라 선택 가능함!-배송 정보가 정확하며 딜레이가 거의 없음-카카오톡 해피콜도 주심!!2.삼성의 펌웨어로 고객의 불만 및 버그에 따라 후속 펌웨어 지원이 가능한 부분3.One UI 업그레이드에 따라 멀티페어링 기능과 비슷한 기능 구현 가능4. 이쁜 디자인5. 작은 케이스6. 짧은 충전시간 후 사용가능한 유닛!!이상입니다.",5
8,"갤럭시를 쓰는 입장에서 삼성의 새로운 무선 이어폰이 나올때마다 관심을 가졌고 아이콘X2018 버즈플러스 이렇게 이전까지 사용했었습니다.일딴 어제했고 당일배송으로 오늘 빠르게 받아 첫번째 만족. 케이스와 같이 버즈프로는 안전 포장으로 온걸 보고 두번째 만족했습니다.디자인 : 버즈 플러스와 달리 무광의 신규 색상 바이올렛은 남녀 구분없이 모두 끌릴만한 점이 매력적입니다. 화면보다 실제로 보니 더욱 예쁩니다.음질: 이번 시리즈의 가장 높은 평가를 내리는 부분입니다. 그냥 차원이 다른 소리를 보여줍니다. 시원한 고음 해상력과 버즈 시리즈 탑급의 공간감은  내가 음질 때문에 버즈프로를 산다고 해도 틀린 말이 아닙니다. 흔히 V자라 불리는 튀는 매력의 튜닝 또한 매력적입니다.노캔: 사실 버즈 프로를 산 이유인데. 결론적으로는 아쉬운 편입니다. A사 제품에 비해 고음역를 못잡는것과 윈드 노이즈의 개선이 필요한것 같습니다. 그렇다고 아쉽다는거지 충분히 노캔 성능자체는 준수합니다. 버즈 라이브의 반쪽짜리 노캔보다는 훨씬 뛰어납니다.휴대성 : 시리즈가 거듭할수록 컴팩트해지고 그에 비해 성능은 훨씬 올라갔습니다. 다만 너무 유닛이 작기에 귀에 꼽고 빼기가 불편하긴 합니다. 다음 버즈는 분명한 개선이 필요한것 같긴 합니다.통화품질 : 통화시 노이즈 커팅 능력과 통화 음질이 체감상  버즈 플러스 대비 50프로 이상 좋아진것 같습니다. 이제 A사 부럽지 않다. 이게 저의 결론입니다. 연결성 : 갤럭시 폰이라면 너무 편합니다. 탭과 휴대폰을 번갈아 쓸때 자동적으로 전환 되는 이 점은 너무 좋습니다.결론 : 가장 큰 만족은 역시 버즈 프로의 성능이였는데 이게 일년 만에 나온 제품이 맞나 싶을정도로 대단한 이어폰이 나왔다고 생각합니다. 이름에 걸맞게 드디어 ""프로""다운 버즈가 나온것 같습니다.",5
9,"에어팟 프로를 쓰다가 넘어왔는데, 단점도 있지만 전반적으로 만족합니다.에어팟프로 때 쓰던 것처럼 폼팁을 끼워봤는데 착용감도 별로고 케이스에 잘 안 들어가서 그냥 팁 쓰시는걸 추천드립니다.액티브 노이즈 캔슬링은 준수하나 지하철역에서 사람들 발 소리, 도로의 차 지나가는 소리는 들리는 편입니다. 적당히 소음을 캔슬해주지, 차음이 완벽한 것은 아닙니다.주변소리듣기 모드를 클 경우, 걸어다닐때 공기의 바람이 부자연스럽게 들어오는 편입니다만, 정도를 조절할 수 있다는 점이 마음에 듭니다.최고 메리트는 음질이 아닐까합니다. 디폴트 상태여서도 만족할만한 음질을 들려줍니다. 해상력이 좋아 디테일한 소리들을 놓치지 않고 살려주고, 전체적인 음의 밸런스가 좋습니다.기존 에어팟프로와 노트9을 조합해서 썼을 때 짜증을 돋군 끊김 문제는 전혀 없습니다. 갤럭시와의 조합이 훌륭합니다.바람 소리가 과장되어 들린다는 점을 제하면, 가격 대비 훌륭한 코드리스 이어폰입니다. 기존 에어팟프로는 팔아버리고 버즈프로로 정착할 생각입니다.",5
