,review,star
0,"전 아미가 아닙니다. 다만 영상편집쪽으로 희망하여 학원을 다녔고 남들은 자막이나 편집에 힘쓸때 저는 유니크하게 예전 엘지방탄폰광고를 일러로 작업후 모션영상(애프터이펙트)로 만들자해서 30초 광고를 개인포폴로 만들었죠(미대도 아니고 그림놓은지 9년이상이라 울며 40장을 일러로 만듦). 그외에 학원에서 만들라했던 영상들 포함 5개정도의 영상 개인 포트폴리오를 만들었고 지금 두 곳정도에 이력서를 넣었으나 저의 미흡한 편집실력과 학력때문인지 뭔지(코로나여파도 있겠죠..)연락은 감감무소식😇😇😇요새 백수마냥 주말에는 알바뛰고 평일엔 그간 쌌였던 피로도에 퍼질러있었는데 점점 기분전환이 필요하다느껴 모아둔 여윳돈으로 그래 인생 별거있나싶기에 질렀습니다. 또 돈이 좀 부족해져야 늘어지지 않을테니..아주 영롱한 보랏빛과 예쁘고 깔끔한 패키지,깜찍한 디자인 디테일이(방탄로고외에 모르시는분도 있을텐데 보라색과 하트는 뷔가 탄생시킨 보라해로 다 연관이 되는 디자인이죠) 첨봤을때도 사로잡았지만 보면 볼수록 유니크하게 잘뽑은거 같고(망과 쿠기중 누굴달까 고민)  계속 보니 제가 작업했던 영상이 떠오르며 저의 신세가 떠올라 영상에 쓰였던 일러 몇장 올립니다..새삼 왜 힘들게 그렸을까 싶군요..남들처럼 자막과 영상편집에 더 힘쓸걸 작은 후회가 스치는군요🤭🤭🤭",5
1,"우선 배송 칼배송입니다~~~!!!글서 기분좋게 받았구요ㅋ혹시나,전자제품상 복불복이라..불량이면 어쩌나 했는데, 다행히..초스피드연결ㅋㅋ기계치인 저도..휘리릭 모 한거없이그냥 떠버려서 눌렀더니..바로 노래가ㅋㅋ기존에 프리고3를 썼는데,와~~~ 왜.버즈버즈하는지 알겠네요~!!!음질이 딱 듣자마자..바로 대만족이었습니다디자인에서 쫌 떨어지나싶었는데실제로보니..이쁘네요..귀에 꼽으니더더예뻤구요~~^^터치도 넘 잘되서..오히려 머리넘기다가 터치가되네요ㅋ그정도로 살짝만 스쳐도반응한다는~~!!!역쉬 사길잘했네요제가 사고나서 바로 가격도 5천원오르고.포인트도 적게주고ㅋㅋ진짜 딱 운좋게 잘산거같아요~~^^소리음량 터치가 어딘지..아직도감으로 찾고있긴한데..익숙해지겠죠?ㅋ딸아이는 아이폰 사주느라..에어팟 2세대샀는데..버즈가 더 좋다는건..비교해보면 알겠죠ㅋㅋ유트브보면서 어떻게 쓰는지 더 자세히 보고있는데..암튼, 전 넘넘 만족스러웠고가성비 넘좋아요~~~!!!제껀 신랑줘야죠ㅋㅋ찌끄러기는 다  신랑몫ㅋ",5
2,"일단 제품은 어제 도착했고 어제, 오늘 사용해본 결과 만족스럽습니다.원래 다른색을 원했지만 리뷰들을 보며 화이트를 선택했습니다. 과방전 없이 왔고 잘 작동되며 실물은 생각보다 예쁘네요.크기는 기존에 사용하던 기기과 비교해보면 차이가 확연합니다. 작고 가벼워 휴대하기 좋네요. 유닛도 귀에 딱 맞고 오래 착용해도 무리가 없어서 좋습니다.음질은 해상도가 높은 느낌입니다.  개인 취향으로는 기존에 쓰던 이어폰이 좀 더 마음에 들지만 버즈플러스도 쓰기에 꽤 괜찮습니다. 기능적인 면에선 확실히 좋네요. 물리버튼만 쓰다가 터치로 넘어온지라 오동작이 좀 있었지만 금방 익숙해졌습니다. 주변소리듣기는 노이즈가 좀 많이 섞이지만 그래도 소리가 주변에 새지 않게 음악감상을 하며 주변 상황을 확실히 파악할 수 있는게 마음에 들어요.블루투스 이어폰을 갖고 있음에도 새로 산 이유가 장시간 착용감과 주변소리듣기 기능이었는데 충분히 만족스럽습니다. 기존 이어폰은 어머니께 드려야겠네요;)",5
3,"삼성 디지털 프라자에서 체험 해보고 구입 했어요.귓 구멍이 진짜 평생 살면서 저 보다 작은 사람을 본적이 없는데요.그래서 평소에 이어폰 오픈형, 커널형 여러 제품을 사용해봤는데매번 귀에서 빠지는 불편함이 있어서 이어폰을 편하게 사용해본 경험이 없습니다.그러다가 이번에 라이브 관심 있어서 무턱 구입 했다가 또 빠지는 불편함 있을까봐 삼성 디지털 프라자에서 라이브, 플러스 두가지 모델 체험 해봤는데 둘다 귀에서 이탈 현상 없이 귀에 꼭 맞더군요.어떤걸 선택할까 하다가 플러스는 아무래도 귀에 꽉차고 잡읍도 안들리지만음질에 대해 크게 신경 안쓰기도 하고 뭔가 착용 했을 때플러스는 투박한(?) 느낌이지만 라이브는 뭔가 세련 되보였어요그래서 결국 버즈 라이브로 구입.(안정감은 플러스가 더 좋습니다.)블로그 리뷰 등을 봤을 때 통화 품질이 좀 별로다 이야기 하시는데전 아직까지 느꼈을 때 상대방에게도 목소리 잘 전달 되고 있어서만족스럽게 사용 중입니다. 가장 만족스러운 점은 정말 저 처럼 귓 구멍이 작아서평소에 이어폰 착용이 불편하셨던분들이 사용하기에 딱 좋은 제품이라는거!비싼 돈 줬지만 만족스럽고 어지간하면 차기 모델 늦게 나왔으면 좋겠네요 오래 사용하게 ㅋㅋ아 컬러도 여러개 다 착용해봤는데 아무래도 화이트, 블랙 셔츠를 많이 착용하다보니까 블랙으로 선택했어요 화이트로 할까도 고민 했는데얼굴이 웜 톤이라 귀만 돋보이더라고요;;ㅎㅎ",5
4,"아이콘2018쓰다 자*라 65t액티브 쓰던 중 한 짝을 잃어버려 구매하게 됨.프로가 아니라 플러스로 온 가장 큰 이유는 윙팁.(윙팁이 없으니 잘 빠짐)아이콘 대비 장점은..1.작아진 크기덕에 귀에 부담이 덜함2.유광이라 영롱함3.사용 편의성(페어링 문제 라던지...)4.음질은...좋은거 같긴 하나 드라마틱한 변화는 없음5.향상된 배터리 타임단점 이라면..1.내장 메모리 삭제!!!2.유광이라 이쁘긴 한데 지문이...3.운동 중 착용이 주 목적인데 방수등급이IPX2(ㅠㅠ)종합해 보면 단점보단 장점이 많음.저처럼 윙팁이 있는게 좋다, 노이즈 캔슬링 필요없다 하다면 강추 입니다.빠른 배송도 좋구요~",5
5,"1.런닝 정도 운동에도 안 빠져요.2.막귀라서 음질 이 매우 만족해요.(다이소 아이리버 5천원 짜리 이어폰 사용했었어요)3.통화 잘되요. 상대방도 끊김없이 잘 들린대요.(물론 저도 깔끔하게 들려요)4.외부소리 듣기 유용해요. 길게 누르면 온오프 되는 것으로 모션 바꿔서 편하게 바꿔가며 쓰고 있어요.(차량과 폰 블루투스 연결되거나, 길을 건넌다거나)5.착용감 나쁘지 않아요. 4시간 이상 착용시 약간 통증 있는데 위치를 돌려가며 다시 잡아주면 괜찮아요.6.블루투스 연결범위가 약간 짧아요. 한 5~6미터 정도.7.사용시간은 정확하게 추산하기 어렵지만, 부족해서 못듣고 한 적은 없어요. 보관 자체를 충전케이스에 하다보니 그런 것 같아요. 배터리 잔여여부는 폰 배경에 위젯으로 빼서 볼수 있어요.8.버즈 라이브와 고민했는데 오픈형은 옆 사람도 들릴 수 있다기에 플러스로 했어요. 대만족중이에요!9.투명케이스 신청했는데 잘 딱 맞아요. 특이점은 없고 그냥 커버용도에 충실한 것 같아요.10.제품은 8월 생산품이에요. 11.페어링 매우 손쉽게 됐어요. 충전이 어느정도 되어있었어서 커버 젖혀서 열으니 폰에서 연결팝업이 바로 떴어요. 참고로 와치 쓰고 있어서 갤럭시 웨어러블 앱이 깔려있었어요.12.페어링 2개는 안되요. 폰만 되거나 노트북만 되거나. 폰 연결해제해야 노트북 장치표시가 떠서 연결할 수 있어요.13.실험실 들어가면 좌우 상측 부분 두드리는 거로 음량 조절 가능해요. 근데 명확하게 작동되진 않아요. 어느정도의 적당한 스피드와 세기가 필요하달까. 가끔 귀 간지러워 만지면 작동되기도 해요.14.벗으면 자동으로 꺼지는 것 같은데 가끔 벗을 때의 터치로 음악이 켜지기도 하는데 바로 꺼지진 않았어요.15.더 말씀드릴게 뭐가 있을려나.. 커널형이긴 하지만 낀 상태에서 옆으로 누우면 귀 아파요ㅠ 끝!",5
6,"제품 가성비에 놀라 다시 구매하러 왔습니다.이번 년도 1월달에 구매했다가 여친님께서 부러워 하기도 하고 같이 커플템으로 맞출겸 기념일 선물로다가 땨아아악 하고 줬더니 이렇게 사진까지 찍어서 보내주시니 을마나~좋게요/ ㅋㅋㅋ😆실제로 서로 물품을 받아서 확인해보니 블루의 부담스러운 색깔이 아닌 아쿠아색 같이 영롱한 바디 색에 터치부분은 오로라 같은 색이 나서 화이트인 제꺼보다 더 예쁘고 좋아보이더라구요👍🏻그뿐만이 아니라, 아이폰 유저보다도 갤럭시 유저인 여친 핸펀에서는 호환성이나 블루투스 속도, 업데이트 속도 등 같은 계열의 회사제품을 쓰면 무엇이 더 좋은지 확연히 알게됐습니다. 물론 핸드폰 성능차이도 있지만 역시 라인업 제품에 대한 민감도는 달라도 다릅니다.다들 좋은 물건 많이들 만지시고 올 한해 남은 기간 동안 즐겁고 알찬 하루 보내시길 바랍니다. 감사합니당🤗😉",5
7,남편이 쓰던 무선이어폰이 목걸이형이였는데 불편한지 검색해보다가 주문해달라해서 주문했어요 처음에 갤럭시버즈+와 갤럭시버즈라이브 둘중 고민했는데 라이브에 노이즈기능이 있긴하지만 소음이 들린다하여 공사장에서 쓰는 남편한테는 별로일거같고  버즈+엔 주변소리3단계지원이라고 되있어서 바로 구매했습니다. 남편이 출근한시간에 배송이와서 개봉해서 색이랑 생김새만 보고 아직 써보진않았어요. 내가 쓸게아니라서 남편오면 사용해볼려구요. 당일배송으로 선택해서인지 하루만에 배송온거 같아요. 박스에 뽁뽁이 감싸져서 잘왔구요. 색도 이쁘네요. 남편쓰는거보고 잘 들리고 좋다하면 저도 구매해볼까합니다.,5
8,너무좋아요 신랑이랑 커플로 구매했어요처음에 귀에끼는게 불편했는데 하다보니까 너무편하고 좋아요갤럭시 폰에 웨어러블로 작동하니 블루투스 안잡아도 되고 귀에 끼는 순간 바로 연결되고차에서도 차보다 이게 우선이더라구요 ㅎㅎ 그래서 편하고 워치랑도 잘 맞고 톡톡 두드리거나 버튼 누르는거 가끔 잘못하긴 하지만 외부소리듣는것도 너무 좋네요 ㅎㅎ자동으로 충전되는것도 폰이랑 배터리 공유하는것도 다 신세계예용 잘샀어요♥︎♥︎♥︎,5
9,"이틀만에 배송 ,,, 배송 속도 완전 ㅎㄷㄷ해요11월 제품으로 왔구요. 하자 하나도 없어요 ❌터치도 다 잘 되구요. 주변 소음듣기도 하울링 같은거 없어요. 이어팁에 먼지가 잘 붙긴하지만 이건 뭐 그냥 테이프로 정리하면 깔끔해지구요. 😎아이폰이랑도 호환 잘되네요. 앱 까니까 이퀄라이저 기능도 있고. 이거 2시쯤에 받고 8시간 가까이 착용하고 있었는데 제가 귓구멍이 진짜 작아서 이어팁 제일 작은거 껴도 원래 안 맞아요 그래서 장시간 착용하니까 귓구멍이 조금 아픈데 그냥 기분이 너무 좋아서 잘 모르겠어요 🤩저는 음질 딱히 중요하게 생각하지 않아서 노래도 너무 잘 들리고 그냥 너무 좋은걸요 😍전화도 상대방 소리 잘 들리고 상대방도 제 소리 잘 들린다네요. 너무 좋아요 😻",5
