,review,star
0,갤S8에서 유심만 옮겨서 꽂았어요50퍼정도 충전돼서 왔고 액정필름 붙어서 오고 포장도 좋았음S21로 바뀌면서 좋은점: 1. 용량부족에 시달리지 않게됨. sd카드꽂는 곳이 없는건 아숩지만..2. 새폰이라 배터리 아주 오래감 이틀동안 충전안함. 반응속도도 당연 훨씬 빨라짐3. 폰 크기는 조금 커졌는데 화면은 훨씬 커짐4. 카메라가 선명하고 특히 자연색감과 빛 색깔을 잘 잡음. 노을 불빛조명 등등 빛번짐없5. 화면터치해서 지문인식 이거 진짜편함아쉬운점은 외관이 S8이 이쁘긴함 엣지굴곡에  후면 미러글라스.. 가볍고 슬림한 S8보다가 이거보면 좀 아빠폰 같은 느낌이 들기도 하지만 기능이 훨씬 좋기 때문에 21로 넘어왔음만족!,5
1,"믿고 쓰는 회사 제품입니다. 티비 광고 보고 갖고 싶어서 구매 했어요.사은품 넘 맘에들어 샀어요.무엇보다 착한 가격 마음에 쏙 드네요.S9보다 약간 가볍고 약간 커요.여자 장지갑에 쏙 들어 갈 정도 얇고 가벼워서 좋아요.사진 보정AI지우기 넘 신기하고 유용한 기능이네요.나 같이 기맹을 위해서 삼성맴버스 앱에 사용 방법 쉽게 설명 되어 있고, 팁어플 보니까 사용 방법 쉬워요.폰 열나는 현상은 없어요.삼성 티비 컴퓨터 s9 냉장고랑 호환성 좋아요.삼성은 환경을 생각해선지 폰케이스랑 충전기 없다는게 아쉽네요. 이어폰 단자가 둥근게 아니라 긴 단자라네요.어플 다운 속도가 느려요. 내가 4G요금제 쓰는데 다운 속도가 아쉽네요.외장 메모리카드 없다는 살짝 아쉬워요.유심칩 교체하고 전원 부팅 두번하니까 개통 되네요. 대리점 가서 비싼 요금제 설명 안들도 되고, 가격 저렴해서 착한폰 같아요.3일째 사용중인데 터치감 좋고 화면 깨끗해서 눈이 피로하지 않네요. 유용한기능 많아요. 약정 끝나고. 할부금 안 남고 폰 구형이 분들께 추천해요.",5
2,"기존 사용하던 LG폰이 너무 버벅 거리고 배터리 닳아지는 속도도 너무 빨라 다른 스마트폰 구매를 고민하고 있었습니다. 그러다 여기에서 갤럭시S21을 할인 하길래 원래 계획에는 없었지만 바로 구매를 하였습니다. 발열 이슈가 있던데 어차피 게임도 안하고 동영상 오래 찍을 일도 없기 때문에 별 상관은 없었습니다. 그 사이 발열 관련 업데이트도 진행되었으니 별 문제는 없을 듯 합니다. 보내주신 구성품이 다양해서 좋았습니다. 충전기, 카메라 보호 필름, 젤리 케이스 아주 잘 사용하고 있습니다. 색은 화이트로 구매했는데 너무 마음에 듭니다. 전에 쓰던 폰이 남색이었는데 쓰면서 별로라는 생각이 많이 들었었는데 화이트로 바꾸고 나니 볼 수록 흐뭇하네요. 너무 영롱합니다. 디자인도 보면 볼수록 마음에 들고요. 성능은 전에 쓰던 폰의 버벅임에서 벗어나니 정말 신세계에 온 것 같습니다. 앱을 킬 때마다 즉각 반응하는 속도에 묘한 쾌감이 느껴지네요. 전에 쓰던 폰은 어떻게 사용 해 왔던 것인지... 계속 비교하면서 감탄하고 있습니다. 빠른 배송과 여러 가지 사은품 넣어주신거 감사하고요, 스타벅스 쿠폰도 받으면 잘 사용하겠습니다. 좋은 제품 할인 해 주셔서 감사합니다.",5
3,이전까진 검은색 폰만 쓰다가 변화를 주고 싶어서 바이올렛으로 샀는데 생각보다 너무 이쁘네요. 기존에 쓰던 안 좋은 폰으로 사진을 찍어서 그런지 갤럭시 S21 바이올렛 색깔이 좀 푸르게 나왔네요. 실물 색깔은 훨씬 이뻐요.핸펀 크기도 너무 크지 않고 한손에 착 감겨서 사용하기 좋아요.화질도 깔끔하고 여러모로 만족스럽게 사용하고 있습니다^^라이브 방송을 해주신 덕에 저렴한 가격으로 구매하게 되서 좋았습니다. 갤럭시 워치 등 다른 제품들도 구매할까 생각중인데 라이브 방송 또 해주시면 너무 좋을 것 같아요~발열 문제가 있다는 글들이 가끔 보이는데 저는 고사양 게임 같은건 안해서 그런지 잘 모르겠어요. 해당 문제 관련해서 이미 SW가 업데이트가 되서 그런진 모르겠네요.,5
4,"구매한 상품은 전체적으로 만족합니다만
보상을 담당하는 민팃이나 삼성 고객센터에는 불만이 많습니다.
기존 갤럭시 제품을 사용하였기에 트레이드인 보상을 통해 구매를 진행하였으나
민팃측의 시세측정이 어처구니없이 불합리하게 되어있네요.
자급제폰 구매이기에 오픈마켓의 쿠폰 및 카드할인을 사용하면 더 저렴하게 구매 할 수 있었으나
민팃사이트에서 사전 시세측정 기준을 보고 삼성공식홈페이지에서 트레이드인을 통해 구매 하는게 조금 나을거 같아 구매를 했습니다.
기존 사용하던 폰이 액정에 잔상이 없었으며 액정과 뒷판이 새것처럼 깨끗하고
오직 측면과 모서리에만 케이스를 탈착할때 일어날 수 있는 미세한 기스만 있었기에
민팃의 시세기준표 기준 당연히 A등급은 받을 줄 알았습니다.
그런데 B등급이 나왔고 ATM을 통한 반납이었기에 다음날 민팃 고객센터에 전화하니 
등급기준표의 하나의 조건만 해당해도 그 등급이 나온다는 것이었습니다.
A등급 기준이 액정에 미세한기스, 뒷판(측면)에 미세한 기스인데 측면에 미세한 기스만 있고 액정에 기스가 없던 저는 당연히 A등급을 받을 줄 알았습니다.
민팃측의 얘기로는 측면이 미세한 기스가 아닌 찍힘이라는데 미세한 기스와 찍힘에 대한 기준도 없으며
등급기준표 어디에도 해당 항목중 하나만 해당해도 저 등급을 받는다는 고지는 없습니다.
B등급 기준표를 보면 액정 : 기스, 잔상, 뒷판(측면) : 기스, 찍힘 인데 
액정과 뒷판이 깨끗한 제 폰이 저런 판정을 받을 것이라고는 몰랐습니다.
민팃측에 보상기준에 대해서 항의를 하며 그런 기준이면 B 이상 받는 폰이 있냐 물으니 가끔 A등급을 받는 폰도 있다고 하네요.
 그러고서는 보상 기준이 불만이면 폰을 다시 가져가라고 하는데
이미 새폰은 유심을 꽂아서 일주일 정도 사용하고 있고 새폰을 반품할 수 없는 상황이라 어처구니가 없네요.
명확하지 않은 보상 기준도 불만이지만 불만이면 폰을 다시 가져가고 소보원에 항의한다고 해도 할테면 하라고 하네요.
이 상황에 대해 민팃측과는 해결이 되지 않을 것 같아서 삼성고객센터에 접수를 하고 다음날 담당자와 통화를 했으나
삼성측은 해당 보상에 대해서 책임이 없어 민팃측에 해결 할 수 있는 방법이 없다고 하네요.
삼성은 새로운 폰의 판매에만 책임이 있고 보상은 민팃측의 관할이라고 하는데
삼성 공식홈페이지에 제품의 구매가 트레이드인 신청 후 구매로 묶여 있는데 삼성측은 책임이 없다는것도 이해가 안가고
위 내용에 대해서 영업 부서에 전달은 하겠지만 회사 정책상 답변은 할 수가 없다고 하네요.
결국 트레이드인 추가 보상과 민팃 보상금액을 합치니 개인간에 중고폰 거래랑 금액 차이가 없네요.
일부러 의도한것 같기도 하고 폰이 아주 상태가 좋지 않으면 혜택을 볼 것 같으나 상태가 좋은폰은 트레이드인을 안하고 판매하는게 좋을 것 같습니다.
여기 상품평을 봐도 민팃에 대해서 또 다른 피해를 보신분들도 있는 것 같구요.
삼성같은 대기업에서 이렇게 소비자를 우롱하는 책임감 없는 보상을 진행하는것도 어처구니 없으며
본인들 홈페이지에 걸고 진행하는 프로모션이라면 보다 책임감 있는 자세를 가졌으면 합니다.
보상 금액 따지면 몇만원 차이인데 이금액보다는 민팃이라는 회사의 소비자에 대한 대응이 너무 어이가 없어서 긴 글 씁니다.
삼성축 연락 주신 담당자분도 다음날 연락하셨던데 적어도 민팃홈페이지에 들어가셔서 보상기준 정도는 보고 연락주셨어야지
제가 전화로 민팃홈페이지부터 보상기준까지 상세히 설명해 드려야 하는 부분도 대기업 고객 C/S 담당이라고는 볼 수 없네요.
백만원 가까운 폰을 구매해놓고 보상때문에 며칠동안 불쾌한 경험을 했네요.
이런 프로모션이라면 다시 고려해 보시기 바랍니다.






",5
5,아이쓰던 핸드폰은 이상이  없는데 디바이스 용량이 작아서  사게됐네요. 대리점에서 비싼 요금제 6개월 쓰고난 후의  요금제도 싸지 않아서 자급제를 알게 되어 구매 했어요. lte로 지금 쓰는  요금제 쓰면서 가족 결합할인 그대로 받으면서  손해 날게  하나도 없네요. 다만 자급제이다 보니  통신사에서  보험 가입도 안해주고  본인이 해야 하더라구요. 전화로는 상담만  해주고 절차 문자보내주고  보험 가입서류까지  직접 보냈네요. 자급제라 남는게 없어서 그런가보다 했네요. 쓰던 유심 빼서 절차대로 하니 어플도 다 옮겨지고.. 용량도 커서 아이가 좋아하네요.  유선 이어폰 꽂는거  없구요..sd카드 넣는곳도 없어요. sd없는  것이 조금 아쉽네요. 바이올렛이 생각보다 어두웠어요. 밝은 색인줄 알았는데~~발열이 원래 좀 있는것 같기도 한데 아주 심하진 않은것 같고 밧데리가 금방 닳아진다고 하네요,5
6,"삼성 갤럭시 21
사진은 선명하고 동영상은 매끄럽다
가장 압권은 하만카돈의 최고급(high-end)
사운드가 아닐까싶다.
마치 스마트티비 사운드바에서 뿜어져나오는
돌비사운드같기도하고
홈시어터의 서라운드뮤직같기도하다
듣는 내내 귀가 호강했다
너무 만족했다 별점 5개도 부족하다.

<삼>라만상중에 무엇이 제일인가?
<성>님 누님 할것없이
<갤>러리(대중)들이 환호하는
<럭>셔리하고
<시>크(chic)한
<21>세기  must item.

삼성갤럭시 21.",5
7,폰이 너무 예쁘고 색감도 마음에 듭니다. 원래 아이폰만 사용하던 사람이라 ui나 외관이 예쁘지 않으면 어쩌지 걱정했는데 그럴 걱정할 필요도 없었네요알뜰폰 개통도 온지 한시간만에 끝나 너무 기분 좋습니다. 삼성폰이 아이폰에 비해 기능이 다양해서 20대인 제가 쓰기에도 약간 어렵지만 조금만 써보면 금방 익숙해질 것 같네요 :-)핑크도 정말 예쁜 은은한 딸기우윳빛 핑크라 더 마음에 듭니다,5
8,아버지 선물로 찾아보고 있었는데 다른곳보다 좀 더 저렴한 가격으로 구매했네요! 그레이 색 넘 예쁘고 깔끔한 디자인이라 아버지도 만족하십니다 케이스랑 필름 그리고 고속충전기도 있어서 따로 추가로 구매할 게 없어서 좋아요 그리고 빠른 배송으로 핸드폰도 넘 잘 받았습니다~~,5
9,처음엔 S21이 발열 이슈가 있다고 들어서 구매를 망설이긴 했는데 막상 써보니까 제조연월이 최근이어서 그런지 또는 메모리를 크게 잡아먹는 태스크를 안 해서 그런지 발열이 전혀 없네요. 자급제 LTE를 써서 5g망 검색을 하지 않아서 발열이 안 나는 것 같기도 합니다. 제조연월은 염두에 두지 않고 있었는데 판매자께서 최근에 제조된 제품을 보내주셔서 만족하며 쓰고 있는 중입니다. 끼워주시는 젤리케이스도 품질이 괜찮아서 더 좋네요. 전에 쓰던 기종이 S8이라 점점 무거워져가던 차에 폰을 바꾸게 되었는데 품질 우려와는 달리 선녀입니다. 다만 아직 카메라 구동은 해보지 않아서 동영상 촬영시 발열이 심해지는지는 테스트 해보지 않았습니다.하드웨어 스펙이 오히려 전작보다 낮아지긴 했어도 가성비 측면에서 보면 상당히 괜찮은 제품인 듯 하고 성능이 낮아졌더라도 고사양 게임 같은 것만 안 하면 발열 이슈는 크게 없을 것으로 보입니다. 기기덕후들 마냥 폰을 하이엔드 급으로 굴릴 거 아니면 무난히 좋은 제품인데 아무래도 전작에 비해 성능 너프는 마음 한 켠에 걸리는 측면이 좀 있긴 합니다. 다만 구형기종으로 오래 버텨왔고 게임도 너무 무거운 거 안 하시는 분들은 S21로 넘어가시면 충분히 만족하실 듯 합니다.,5
