,review,star
0,"노트20울트라 사양은 이미 알고 구매.1. 미개봉인지 전시상품인지 고민-미개봉 상품으로 보임(흔적 없이 깔끔)2. 제조일자 궁금-2021.1월(4월 받은 분도 있다는데 살짝 아쉬움)3. 구성품- 이어폰, 충전기 헤드, 양쪽이 5핀 연결선(자료 옮길때 씀), 핀, 투명 케이스4. 전면 필름 붙어있음5. 케이스와 필름 따로 구매했는데 ㅠ.ㅠ- 쇼핑몰 후기에 출고시 붙은 필름과 케이스 안좋다고 해서 구매했는데 좋음 - 낚인거 같음.6. 사은품- 복합기, sk알뜰폰 유심",5
1,제품 잘 받았습니다. 주문하고 다음날 받았어요. 동영상후기 올렸지만 박스포장도 완벽하네요. 박스안에 한번더 박스포장 되어있고 그 안에 대왕뾱뾱이로 본품 잘 포장되어있구요. 노트20 울트라 본품이야 삼성제품이고 사용해봐서 믿고 구입합니다. 가격대가 있는만큼 오래쓰게됩니다.,5
2,사은품도 잘왔고 7월 폰이네요.자급제라 안쪽 어플도 깔큼해요약정할인 받아서 요금깍기 딱입니다.다만 택배가 던저졌는지 찌그러져왔어요문앞이 아닌 엘베에서 대충 쓱 밀고 던져서집 근처로 두고간듯합니다ㅜㅜ배송은 하루만에와서 빨라요안에 젤리케이스가 생각보다 커버가 잘되요,5
3,"빅스마일 할인 받아서 구매 했어요.* 17일 주문 -> 18일 오후 배송 하루만에 왔어요.다음날이 휴일이라 유심때문에 바로 유심기변 안하고, 테스트겸 전원 켜서 미리 설정만 해 놨다가 23일 유심 착장 후 지금 사용 해 보고 있어요.기존 폰을 6년 정도 써서 그런가 새폰이 좋긴 좋네요. 화이트랑 브론즈 색상 고민 했는데..화이트 실물은 보지 못했지만, 브론즈색상 이쁘네요. 색상 맘에 들어요. 근데 구매 당시엔 몰랐는데 출시 초기에 불량으로 문제가 있었던.. 카메라 초광각 렌즈 유격과 베젤과 tsp 사이뜸이 제가 받은 제품에 있어요. 카메라는 작동만 잘 되면 뒤면이라 상관이 없는데..베젤 사이뜨는건 눈에 보이네요. 유튜브보니까 교품 받았던데..근데 오늘 처음으로 케이스 껴봤는데 케이스 끼면 가려서 안보이긴 하던데..사이뜸으로 먼지 엄청 낄것 같고, 방수나 시간 지나면 문제 있지 않을까 생각 드는데..뽑기운이 없네요ㅠ 그래서 지금 고민 중인데..시간 내서 센터 방문 해 볼려구요.",5
4,삼성 제품 구입하고 앞으로 모든일 이 잘 되길 바래봅니다. 줄 곳 삼성 갤럭시 제품과 인연을 맺고 있는데 이 번에는 3년 아니 그 이상을 사용하기를 기대해 봅니다. 외장메모리는 삼성 에보 플러스 512GB를 장착했습니다. 케이스도 정품 항균 LED  뷰 커버를 사용했으며 카툭튀로 인하여 후면 고성능 카메라에는 짐작하시다시피 강화유리를 부착했습니다. 전면은 원래 필름이 부착되어있다고 합니다. 충전은 기존 S9+에서 사은품으로 제공했던 고속무선충전기를  사용해서 충전을 시작했습니다. 100%  완충을 실현합니다. 기존 제품들 보다 실제인 체감은 막연한 무거움은 전혀 아니라고 봅니다. 오히려 가볍게 느껴집니다.  저도 유튜버들의 평가를 탐독하고 구입했기에 이질감은 없으니 삼성전자에겐 유튜버들이 일등공신이고 구매예정자에겐 상당한 길잡이가 되어서 무척이 좋았습니다. 50% 할인 혜택으로 주어지는 갤럭워치 와 갤럭시 버즈 라이브도 구매해야 할지 무척 고민됩니다. 이상입니다,5
5,쓰던폰이 상태가 안좋아지고 있던중 노트를 써보고 싶어서 알아보고 있었는데 때마침 라방이하여 구매하게 되었네요.노트20  울트라 전체 외관은 다들 광고부터 사진까지 다들 보셨을테니 패스~브론즈 색상은 빛에따라색이 변하더라구요.그래서 핑크같이 나온 사진으로 첨부해봤어요.기능들은 찾아보면 상세히 글 잘 쓰신분들 많으니 패스~개인적으로 아쉬운점  하나만 이야기하겠어요.처음 받아서 이리저리 보다보니 카메라가 조금 어긋나 있더군요.알아보니 꽤 많이 이런 제품이 나왔나보더라구요.가격이 저렴한것도 아닌데 맘이 상해서 A/S센터까지 가봤으나 이정도는 정상이라고 해줄게 없다는말만 반복...삼성폰 처음 사봤는데 실망..이렇게 어긋난게 많은건 기기디자인이 처음부터 잘못되어서임을 모르지 않을텐데도 사람이 조립해서 그럴수 있다며 정상범위라고 안내하는거보니 정말 실망되더라구요.노트 기대가 컸는데..아쉬움만 남는 만남이되어버렸어요.,5
6,"LG  V50 쓰다가  분위기  쇄신차원에서 바뀌봤네요.폰이 거기서거기라,  큰장점은 모르겠는데  고장없이  잘써야죠^^기본 실리콘케이스가 들어있네요.  버들이어폰 연결방식이  C타입 충전구에  연결방식이라 기존 이어폰을 못쓰는단점이 있네요.  요즘다 무선사용하나? ?S21울트라와 비교하다가  노트가 더 가볍고,확장sd도  가능하고,색상이 로즈골드가 가능하여  이걸루 선택했네요.    만족합니다^^",5
7,배송은 예상날짜보다 빨리 왔네요받자 마자 미리 준비한 카메라 보호필름과 보호커버를 씌웠습니다.출고전 충전이 66%라서 동봉되어 있는 급속 충전기에 물려 놓고 잠시 일 때문에 나왔습니다.집에 가서 스위치어플로 데이터 옮기고 유심과 외장메모리를 끼우면 됩니다.2년전 구입한 노트9울트라는 가족에게 줄 예정입니다.잘 쓰겠습니다.,5
8,S21울트라와 계속 고민하다 구매하였습니다.S21울트라는 무거운 감이 있었는데 노트20울트라는 상대적으로 괜찮은 것 같아서 잘 산 것 같습니다.배송상태는 꼼꼼하게 잘 포장되어 안전하게 되었습니다.사은품도 모두 들어 있었습니다.본품도 특별한 문제없이 양호합니다.잘 사용하겠습니다.,5
9,"아이폰 미니만 오매불망 기다리다가 고민끝에 결국 노트를 구입하게 되었습니다 ㅎㅎ(기존 아이폰 se사용) 
너무 마음에 들고 노트로 오길 잘했다는 생각이 가득 드네요^^ 스마트폰 갤럭시는 처음 써보는데 너무 괜찮고 특히 에스펜 굿입니다~~
이젠 큰폰만 찾게될 것 같아요 ㅋㅋ 작은거 보니 눈아파오네요 저걸 지금까지 어떻게 썼는지 ㅋㅋ
버즈라이브도 좋네요 귀 구멍이 작은편이라 좀 아프긴 한데 느슨하게 끼고 있어요 좀만 더 작았으면 진짜 100%만족이었을것 같아요 감사합니당 너무 맘에 들어서 상품평 작성하였습니다.",5
10,8.24 구매 8.28 수령했어요! 한 16시쯤 받았어요~ 우리 남편 폰 바꿔주려고 샀는데 너무 좋아해서 제가 다 행복하네요! 이럴 줄 알았음 사전예약 할 걸ㅜㅜ 사전예약을 못해서 저렴한데 찾다가 여기로 구매했어요~ 아직 남편 약정이 남아있어서 약정폰으로 하면 위약금도 있고해서 그냥 자급제로 샀어요! 5G요금제 비싸기도 하고ㅜㅜ아직까지 그렇게 상용화되지 않은 것 같아 일단 LTE요금제 쓰려구요 21년 1월 약정 끝인데 그 때 그냥 선약해서 지금 요금제에서 25%할인 받으려구요~ 하나카드 만들어서 구매했는데 얼마 몇개월 쓰는 조건 없어서 너무 좋아요! 할부만 끝나면 바로 해지하려구요~ 습기에디션은 일단 좀 지켜봐야겠어요! ㅎㅎㅎ 감사합니다~~~아 그리고 기본으로 오는 건 사진에 있는 거랑 케이스(카메라 보호 없음) 유심 바꾸는거? 왔어요~! ,5
11,cj택배대란으로 걱정했는데 택배 이틀만에 왔구요ㅎㅎ 택배수취 확인하자마자 회사에서 택시타고 가져왔네요ㅎㅎ 분실될까봐 걱정했는데 물품 이름 까맣게 지워주셔서 분실 안됐던 것 같아요ㅎㅎ 가개통제품 올까봐 결제를 계속 고민했었는데 확실하게 미개봉으로 왔습니다ㅎㅎㅎ 젤 재고가 많지만 그래도 시그니처 색상을 구매했는데 로즈골드빛이 짱 예쁘구 고급지구 혼자 다하네여! 전 이만 케이스 사러 가야겠습니다ㅎㅎ 빠른 배송 감사합니당？？,5
12,배송은 확인하고주문했었고 예상날짜대로 도착!월요일이른아침주문 다음날 택배아저씩저녁에도착^^이정도면지방치곤빠른편^^ 쿠폰.카드청구받았음에도 타사에비해 좀비싸나 버즈라이브득템이라는^^하이마트직배송이라 제품갖고장난칠거같지않아서 더더믿음.일전에 타사이트자급제샀다가 재포장판매한걸받은적있으서 불신이 마구솟은상태라ㅎ결국환불받긴했지만.만족만족만족,5
13,자급제폰 구매하려고 여기저기 비교하다 쿠폰도 있고 카드할인도 받아서 다른곳보다 저렴하게 구입했어요비싸긴하지만 다른곳보다 저렴하게 사서 좋았구요사이즈가 약간 크긴한데 얇아서 그런지 그립감이 정말 좋아요만족합니다,5
14,부모님 폰인데 네이버에서 8월 12일에 갤놋20 이벤트해서 주문했는데 물량이 밀려서 27일에 받았고 사정이 있어서 방금전에 개통했네요. 놋20 울트라 진짜 보는거와는 달리 너무 예쁘고 잘 작동되어서 너무 좋네요. 모처럼 휴대폰 덕분에 자식 된 노릇해서 기분 좋습니다. 빨리 개통해드릴렸고 했는데 2주넘게 기다려야해서 중간에 취소해야하나 고민했었는데 물건 받아서 셋팅하고 좋아하시는 부모님 뵈니 걍 괜한 걱정했나 싶었네요ㅋ 코잇 덕분입니다. 많이 많이 파시고 앞으로 휴대폰 살때 다시 찾아오겠습니당~,5
