,review,star
0,"우연히 삼성 매장에 들어가서 본 제품인데 너무 끌려서 인터넷에서 찾아보고 사은품까지주는 이곳에 들어와서 갤럭시 북S 머큐리 그레이 색상으로 구입한 사람입니다! 파우치, 무선마우스, 마우스패드도 주시고 배송도 빨리 해주셔서 얼른 받아볼 수 있었네요~ ㅎㅎ 아래 사진과 같이 노트북이 삼성 박스에 잘 보관되어져 온답니다! 매장에서 원래 얼씨골드 색상을 보고 반했었는데 이전에도 비슷한 색상의 노트북을 썼던지라 머큐리 그레이로 결정하여 사게되었습니다~ 뜯자마자 이 색상을 구입한 저에게 후회란 없었습니다~ 엄청나게 고급진 그레이로 잘빠졌더라구요~ 만족합니다! 게다가 크기가 13.3인치여서 딱 괜찮았고 무게는 완전 가벼워요! 1kg도 안되는 무게의 노트북이 있다니...신세계! ㅎㅎ 휴대하기 아주 좋겠어요 :) 북S 사기전에 많은 후기들을 봤는데 화질이 엄청 좋다고 해서 한번 감상해보았는데요! 소리크기도 별로 안키웠는데 엄청 잘 들리고 화면도 선명하더라구요! 음질과 화질이 후기처럼 확실히 좋습니다! 평소 음악을 들으면서 노트북 작업을 하시는 분들에게 아주 탁월할 것 같습니다!  게다가 제일 놀란 건 지문을 이용한 잠금 해지가 가능하다는 것이었습니다! 매일 노트북 계정 비밀번호를 잊는 저에게는 아주 좋은 기능인 것 같습니다! 핸드폰에서랑 똑같이 잠금을 풀 수있다니... 너무 좋네요!  받자마자 노트북 자체도 너무 이쁘고 사은품도 마음에 쏙들어서 만족스러웟는데 하루 사용해보니 가볍고 자판도 늘리는 느낌이 너무 좋고 아무튼 사용감이 너무 좋은 노트북이라는 걸 느껴 정말 만족합니다! 추천합니다!!",5
1,제가쓸건 아니고 남자친구 인강용으로 선물해줬어요~같이 받아서 뜯어보니 일단 실물이 훨신 이뻤어요그레이보다 로즈골드가 훨신 눈에 밞혀서 남자지만 이색으로 선물했어요 ㅋㅋ 근데 색도 세련된 로즈메탈?골드? 색이여서 남자친구도 너무 만족했어요 그리고 배송은 쿠팡 로켓배송보다 빨리왔어요..ㅋㅋ 전날 오후인가..주문했는데 다음날 낮에 바로 도착 했답니다 ㅋㅋㅋ👍🏻👍🏻👏🏻👏🏻배송도 안전하게 잘 포장되어오고 사은품도 누락된거 하나없이 배송왔어요일단 남성분들도 충분히 쓸만한 예쁘고 매력적인 색상이구요 ~ 여성분들은 정말 좋아하실듯 윈도우도 설치되어서 오니 바로 인터넷 사용 가능했구요화질 너무 깨끗하고 음질도 생각보다 너무너무 좋아요스크린이 터치가 되니 이게 은근 편리하더라구요 ~ 문서볼때 정말 좋을것같아요 그래서 필름도 하나 구매해서 붙혔어요^^ 남자친구가 항상 책이 너무 무거워서 노트북이라도 가장 가벼운걸로 선물해주자 하고 고른건데 대성공이에요 여자인 제가 한손으로 들기에도 전혀 부담이 없고 책한권보다 훨씬 가볍네요테스트 할겸 서든어택을 한번 깔아봤는데요 충분히 돌아가네요.. ㅋㅋ 딴짓하지말라고 이거로 구매했는데 게임까지 돌아가서 큰일이에요 ㅋㅋㅋ😂😂아참 그리고 아무래도 무게가 가볍다 보니 노트북이 많이 얇아서 타자 치는게 불편하고 손목이 아프단 후기를 봐서 걱정했는데 전혀 불편하지 않았어욥~아무튼 색상.디자인.휴대성.화질.음질.속도 뭐하나 빠지는거없이 100점이에요~~ 👍🏻 저렴한 가격으로 받는 사람도 주는 사람도 기분 최고였어요~ 제가 이제껏 본 노트북중 가장이뻐요!,5
2,"노특북이 아무리 다양한 가격대로 구성되었다고는 해도 한 번 쓰고 교체하는 상품은 아니기에 조금은 시간을 갖고 이런저런 모델을 후보로 두고 고민하게 되네요. 이번에 제가 구입 목적으로 가장 우선시 둔것은 “휴대성”이었습니다. 무조건 가볍지 않으면 리스트에서 제외했더니 선택할 항목은 많지않더라고요. 그 다음으로 가벼운 문서나 웹사이트가 주요 사용 목적이기에 너무 무겁고 최신의 높은 성능은 필요하지 않았어요. 성능에 대해 램이나 메모리에 대해 구체적으로는 알지못해서 100만원 이하대의 가격대 기준으로 적당한 선을 잡았습니다. A/S문제 때문에 애초에 국내 브랜드제품으로 한정했고 비교되는 상품중 가장 많이 거론되는게 LG그램이었는데, 비슷한 사양에 제가 찾는 성능에 가장 가까웠습니다. 아마 많은 분들이 갤럭시북과 함께 저울질을 많이 하지않을까하네요. 이번삼성 제품을 고른이유는 팬티엄이 아니라 “인텔코어”인점, “화면 터치스크린”이 특징이었습니다. 다만 무게 때문에 화면이 작은 제품을 선택하게 되는 단점이 있지만 휴대성을 위해서는 과감하게 포기했습니다. 데스크톱용 으로 사용하는 노트북은 이미 있기에 휴대가능한 노트북의 절실함을 뼈져리게 느꼈거든요. 저처럼 서브로 사용할수있는 제품을 찾으신다면 본 제품이 마침 찾고계신 상품은 아닐런지 조심스럽게 추천드립니다. 여러분 모두 원하시는 좋은 상품 구매하시길!",5
3,"가성비와 콤팩트한 디자인 가벼운 무게를 우선으로 보고, 문서작성, 영상 시청용으로 구매했습니다. 일단 색상을 눈으로 보지 못해서 걱정했는데, 너무 튀지 않는 핑크빛이라서 무난하게 사용 가능할 것 같습니다. 그리고 무엇보다도 빨리 발송해주셔서 주문 하루만에 받아보아 만족스러웠습니다!할인이 많이 돼서 저렴하게 구매하고, 기기 사용해보니 문제 없이 작동되어 아주 만족스럽습니다. 전원 버튼이 조금 비뚤어져서 아쉽지만.. 감수할 만큼 괜찮은 제품인 것 같아요. 여자인 제가 한 손으로 들 수 있으만큼 가볍고 크기가 너무 크지 않아 좋습니다. 예전에 그램 13인치를 사용했어서 크게 문제 없이 자판 사용 가능한데 손이 큰 분들은 조금 힘들게 느껴질 수도 있을 것 같아요.어찌 됐든 좋은 노트북 저렴하게 판매해주셔서 감사합니다 잘쓸게요! 강추합니당👍🏻",5
4,"가볍고 가성비좋은 노트북!! 제가 딱 원하는 제품을 찾은것같아요 ~여러 삼성 노트북을 둘러보다가 딱 눈에 띄었네요 ㅎㅎ시험때문에 인강을 들어야했고 간단한 문서작업이 필요해서 노트북을 사려했는데 제 목적성에 알맞은 노트북인것같습니다 ! 기존에 있던 노트북이 옛날거라 들고다닐때 너무 무거워서 어깨가 너무 아팠고, 무겁다는 이유로 자유롭게 나가서 사용하지 못해 너무 아쉬웠었중에 이번에 노트북 살땐 무조건 가벼운걸로 구매해야겠다고 마음에 마음을 먹으며 벼르고있었거든요 !! 노트북이 도착하자마자 들어봤더니 책수준으로 가볍네요 ^^화면 크기도 적당하고  우선 무게에서 대대대만족입니다 ~이제 어디서든 들고 나가서 사용할수있다는 생각에 정말 만족감을 느끼고 저처럼 가벼운 무게의 제품을 원하시는 분이 있다면 이 제품 선택하시면 반드시 만족하실거란 생각이 드네요 ~~ 전 그레이색상으로 선택했는데 색상,디자인 모두 심플해서 제맘에 들어요 !또한가지 가성비가 정말 좋은제품인것같아요 ~ 이가격대에 노트북을 사리라고는 생각못햇는데 가성비도 좋고 실용성있고 가벼운무게에 디자인도 맘에들어서 기분 좋은 구매를 한것같고 , 앞으로 노트북 실용성있게 잘 사용할수있을것같아요 !^^!",5
5,"대학생때부터 지금까지 총 6년간 동거동락한 삼성 너트북을 보내주고 새로운 노트북을 찾아야했어요! 6년,7년 노트북을 쓰면서 사양이나 그런건 저에게 중요하지 않았고 그냥 무게감이 제일 중요했던 것 같아요. 그전엔 1.3kg이어서 양쪽 어깨에 승모근이 생길수밖에넚었던 것 같아요!! 전보다 훨씬 가벼워져서 저는 일단 1순위가 무게감이엇기 때문에 너무 만족스러워요. 속도감도 빠르고 아이패드를 자주 쓰다보니 예전 노트북을 쓰다보면 저도 모르게 화면을 터치햇엇는데 (당연 터치 호환안되는 모델)  이번엔 그렇게 할 수 있어서 너무 좋고 마우스 패드도 부드러운 것 같아요! 적당한 가격대에 문서 작업 위주로 할 노트북으로 이만한게 없는 것 같아요. 가격도 적당하고 무게감도 가볍고 얇아서 휴대용으로도 괜찮은걱 같습니다! 학생분들 또 요새 재택하는 직장인들 많으시던데 저는 강력 추천 꾸욱입니다. 색상도 그전엔 흰색이라 때타서 보기싫엇는데 너무 세련되고 예쁜거같아요💙",5
6,아직은 사용전이지만 메탈 핑크색깔이 예뻤고 간편하게 손가방에 들어가는 사이즈라 이용하기 편할것 같습니다. 최초 구입시 키보드 보호 패드와 화면 보호 코팅지 정도는 추가 옵션으로 구입하는게 좋을 것 같아요.최초 윈도우 설정 시 개인 이메일 입력하고 인증코드 넣고 윈도우 암호대신에 PIN번호 입력하는 일련의 설정 과정을 거칩니다.전원버튼위에 손가락 지문 인식되도록 설정하는데 다음번엔 다른 사람 손가락으로 켰을때 인식이 안되는지 궁금합니다.인터넷 검색 프로그램은 익스프로어가 아니라 Edge입니다.왼쪽에 충전잭 구멍과 동그란 이어폰잭이 있습니다.오른쪽에도 충전잭 구멍이 있구요무선 블루투스 이어폰으로 동영상 강의 들으려 구매하였습니다 상세한 설명서는 삼성 대표사이트에 방문해야한다고 합니다. 터치스크린 기능도 새로워 사용해볼 예정입니다. 컴팩트한 사이즈가 가장 마음에 듭니다.,5
7,"얼마전에 노트북을 샀는데 무게가 1.8kg이나 되서 휴대성이 너무 떨어지더라구요.가벼운 노트북에 초점을 두고 고르다가 선택한 노트북입니다. 색깔과 디자인이 너무 예쁘구요. 휴대하기 편한 사이즈와 무게입니다. 전에 샀던 노트북보다 화질도 선명하구요.저는 주로 수업용, 문서 작업용, 웹서핑 용으로 사용하는데 큰 무리없이 사용할 수 있는 모델이에요.크기는 처음에는 많이 작다고 느껴졌는데 화질이 선명하다보니 화면이 작은게 큰 문제가 되지는 않을듯 합니다. 자판이 얇다는 후기가 있었는데 다른 노트북과 큰 차이를 느끼지는 못하겠어요. 터치가 되는 점은 아주 큰 메리트입니다.",5
8,"가벼운 점이 가장 큰 장점이라고 생각합니다. 그만큼 크기도 작고 얇습니다. 하지만 비율이 좋은 편이고 화면을 크게 뽑아서 13인치로 느껴지지 않을 만큼의 크기를 자랑하는군요.사양 자체는 좋지 못하나, 애초에 인강용 노트북으로 나온 것이니 만족합니다. 멀티작업을 많이 하지 않는 이상(유튜브가 가장 큰 듯) 발열도 없으며, 팬이 없어 소음도 적으니 아주 좋습니다.특히 화면 터치가 되는 점은 스마트폰 필수시대에  정말 편한 기능이라고 할 수 있겠습니다. 없어도 되는 기능이지만 있으니 정말 편합니다. 동영상에도 그림판에 글씨를 쓰는 장면을 넣었습니다. 은근히 스무스하게 됩니다. 펜을 사서 써볼까 하는데 아직 어떤 펜을 사야할지는 모르겠군요.",5
9,"쓰고 있던 노트북이 무거워서 가벼운 노트북으로 찾고 있었는데 가벼우면 가격이 비싸서 무게를 포기해야하나 했는데, 이 노트북을 발견하고 이거다!하고 구매했습니다. 무게를 제외하고서라도 스펙을 따졌을 때 가성비도 좋더라구요. 저는 간단한 문서 작업이나 인터넷, 영화감상용으로 산 거라서 딱이었습니다.기존 노트북이 15인치라서 13인치는 작지 않을까 살짝 걱정했는데, 받아보니 전혀 작다는 느낌이 들지 않았습니다. 작은 크기에 화면이 꽉 들어차 있어서 답답한 느낌이 없어요. 보라색이랑 핑크색이 섞인 고급스런 색감으로 사진으로 봤을 때보다 은은한게 더 예뻐요.  새끼 손톱만한 두께로 엄청 얇고 한손으로 잠깐 들고 있어도 무리없을 정도로 가벼워요! 가방에 넣고 다니기 딱 좋은 무게와 크기입니다. 아직 장시간 사용은 하지 않았지만 발열감 없고요, 소음이 없어서 언제 어디서든 사용해도 좋을 것 같아요. 무엇보다 터치가 된다는 게 좋아요. 스마트폰이나 패드에 익숙해서 손이 먼저 가곤하는데, 급할 때 터치로 슥슥-할 수 있어서 무척 편해요. 가볍게 터치해도 부드럽게 잘 먹혀요! 사은품으로 파우치랑 마우스, 마우스 패드 받았는데 괜찮아서 유용하게 쓸 것 같아요.",5
