,review,star
0,"기대를 많이 하고 구매한 삼성 갤럭시북 프로 360역시 고급스럽고 성능 너무 좋네요윈도우를 설치하고 운영을 한 순간 너무 좋다는 말밖에 나오지 않네요LG그램, 애플의 맥북과 비교해서 월등히 뛰어난거 같네요그동안의 고민을 한번에 날려버릴만큼 만족도가 높네요마감, 색상, 성능 그 어느것 하나도 부족함이 없습니다. 스벅 등 커피숍에서 사용시 남들이 다 쳐다볼거 같아 더 기대되네요 ^^",5
1,"타사 노트북을 무려 7년이나 사용해오다가 고장나서 새 노트북을 알아보다가..... 큰맘먹고 삼성노트북을 살려고 알아봤어요~그런데.... 역시나... 가격이...ㅠㅜ 그만큼 스펙이 좋다는 의미겠죠?ㅎㄷㄷ감사하게도 엔씨디지텍이 운영하는 사이트 알게 되었고, 여러혜택들을 받을뿐만 아니라 가격도 확!! 낮춰주셔서 참 좋았어요!특히!!! 브론즈 색상의 노트북에 더블업!!! 그것만 해도 충분한데 다른 스펙들을 업그레이드시켜놨더라구요~(정말... 장사 괜찮으시겠어요?)기대가 가득한 마음으로 주문했고! 바로 그다음날에 택배 받았어요~(단, 주문은 꼭 3시전에!!) 와우!! 포장도 철저하게 해주셔서 안심 100000%!!!개봉하고 바로 켜놨는데 역시 부팅이 정말 빨랐고, 무엇보다도!!!!! 저에게는 디스플레이가 정말.... 아몰레이드여서 그런지 색깔이 너무 예뻐요~ 포토샵을 자주 사용하는 저에게는 딱!!!!텐트모드로 한번 구부려봤는데 오우!!!! 완전 좋은데요?! 영화나 드라마 볼때 정말 편하게 볼 수 있는 것같아요^^!!아직은 여러기능들을 안써봤지만 하나하나 배우면서 잘 사용해볼려고요^^오우....역시 삼성은.... 애국기업!!!(음?! 전 알바 절대 아니에요~~~)그리고 엔씨디지텍도 정말 감사합니다(자주 문의했는데 친절하게 답변해주셔서 정말 감사했어요~) 정말 번창하시기를 바래요^^ 화이팅!!!",5
2,"(뛰어난 휴대성과 내구성)15인치임에도 불구하고 1.39kg의 가벼운 무게로 휴대성이 뛰어납니다. Pro360과 Pro를 비교했을 때, Pro360이 조금 더 무겁지만,Pro는 무게를 줄이기 위해 하판이 얇습니다. 휴대하는 제품의 내구성을 고려했을 때, Pro보다는 Pro360이 더 나은 선택으로 보여집니다.(아쉬운 USB 포트)USB 포트는 총 3개로 모두 C-type이며, 모두 PD지원입니다. 3개 중 아무 곳에나 전원어댑터를 연결해도 충전이 가능합니다.안타깝게도 표준 A-type은 없으며, C-to-A 젠더를 사용해야 일반적인 USB 장치를 연결할 수 있습니다.윈도우 설치시, USB-A 마우스 연결을 반드시 해야 하고, 윈도우설치 USB가 C type이 아니라면 연결이 어려우므로미리 C-to-A 젠더를 준비하거나, C type USB 허브를 준비해야 합니다. (C-to-A 젠더 1개만 제공)또는 요령껏 마우스와 USB 메모리를 번갈아 끼우는 방법도 있을 듯 합니다.(저렴한 가격과 간소화된 구성품)삼성 공식홈페이지나 대형마트에서는 윈도우10을 포함된 모델만 판매하며 수십만원의 가격 차이가 있습니다.구입한 제품의 경우, 윈도우10이 제외되었으며, 추가적인 구성품(마우스, 파우치) 또한 제외됩니다.노트북 가방이 없는 분들은 기스나 찍힘을 막기 위해, 노트북 가방 또는 파우치를 미리 구입해 두시는게 좋을 듯 합니다.Galaxy Book Members 앱에서 발급가능한 한글2020 시리얼도 더 이상 제공을 하지 않네요. ('21년 5월 8일 기준, 추후 다시 제공할지도)(탭용 표준 S-pen)전작인 갤럭시북 플렉스2 대비해서 S-pen이 커졌습니다. 이 또한 장단점이 있는데,플렉스2의 경우 S-Pen을 본체에 거치할 수 있으나, Pro360은 S펜이 커쳐서 본체 거치가 불가합니다.대신 파우치에 거치할 수 있는데, 구매한 패키지는 파우치가 제외되는지라 S펜을 적당히 보관해야 합니다.(13.3인치 vs. 15인치)기존 쓰던 제품이 갤럭시북 Flex2 13.3인치였는데, 이번에 Pro360의 가격이 너무 매력적인지라.Flex2를 구입한지 일주일만에 중고로 정리를 하고, Pro360을 구매했습니다. 고민을 하다가 15인치로 구매하였는데, 13.3인치 대비해서 너무 커서 책상에 두지 않고 들고 쓰기는 어렵다는 단점이 있습니다.15인치가 재택근무하기에는 시원시원한 화면 사이즈이지만, 집에 노트북이 1대가 아니다보니...사용 목적에 따라 13.3인치 또는 15인치를 선택해야 할 듯 합니다.",5
3,"기존에 삼성 오디세이라는 게이밍 노트북을 사용했었는데 게임을 하기에는 좋았으나, 가지고 다니면서 문서작업을 하기에는 너무 무거워서 많이 힘들었습니다. 그래서 문서작업용 노트북을 따로 사야 할지 고민을 많이 했었는데 이번에 무게가 크게 감소된 삼성 갤럭시 프로 시리즈가 나왔다는 것을 보고 구매 결정을 했습니다. 그중에서도 뛰어나 디자인을 가진 2 in 1 모델에 더 끌렸고 pro 360 model을 결정했습니다. 받았을 때 포장이 상당하게 잘 되어있더라고요 확실히 삼성에서 pro 시리즈를 밀거 같다는 생각을 가졌습니다. 상자를 개봉하고 들어봤는데 15.6인치 화면크기를 가짐에도 불구하고 약 1.4 kg 밖에 되지 않는 무게가 상당히 마음에 들었습니다. 그리고 매우 얇은 특징이 보다 더 노트북을 디자인의 장점을 더 살리는 거 같았습니다. 이틀 정도 사용후 간단하게 장단점을 얘기해보자면장점:1) 노트북과 Tab을 동시에 활용할 수 있다는 2 in 1제품 자체만으로도 큰 이점이 있었습니다.2) OLED를 장착3) 노트북과 Tab을 동시에 활용할 수 있음에도 불구하고 약 1.4 kg 밖에 하지 않는 매우 가벼운 무게 덕분에 가지고 다니면서 사용하기 매우편함4) 후기에 보면은 상단 힌지 부분이 약하다고 했는데 그렇게 약한거 같지도 않고 오히려 딱 적당했습니다.5) 화면 터치가 가능해서 문서작업할 때 편리했습니다.6) galaxy 탭 또는 galaxy S series 같은 삼성전자기기를 사용했을 때의 연동성이 매우 뛰어남단점:1) 문서작업만을 목적으로 한다면 매우 좋으나 고사양 게임이 목적이라면 차라리 외장이 달린 갤럭시 북 프로 or 다른 게이밍 노트북을 추천함2) 충전 포트부터 시작하여 전부 C-type로 바뀌어 있는게 조금 아쉬웠음3) 손자국이 비교적 잘 남음비록 단점은 없진 않으나 장점이 훨씬 많았습니다. 게임 보다 문서작업 그리고 galaxy 탭과 노트북을 같이 활용하고 싶은 분께 적극적으로 추천드립니다.",5
4,"이번에 구입한 갤럭시북 프로 360 NT950QDY-A51A 모델은 노트북을 고르는데 있어 전혀 후회없는 선택이었음. 이 노트북은 2IN1 노트북으로 일반적인 노트북으로의 사용뿐만 아니라 태블릿모드, 텐트모드 등 다양하게 쓰임새에 따라 활용할 수 있는 부분에서 큰 메리트를 느껴 구입하게 되었음. 일반적인 2IN1 노트북들은 특성상 무게가 더 무거운 법인데도 프로 360 모델은 한손으로 들어도 전혀 무겁다는 느낌이 없었음. 13인치와 15인치에서 많은 고민을 했는데 나같은 경우 항상 자차로 이동하기에 그냥 15인치를 골랐는데 내가 차가없는 뚜벅이였어도 크게 문제가 되지 않았겠다고 생각될만큼 가벼웠음. 디스플레이 부분은 fhd(1920x1080) 해상도는 크게 불편함이 없으나 16대9 비율이 약간의 아쉬움으로 남았음. 그러나 슈퍼 AMOLED를 지원해 더 밝고 선명한 영상으로 노트북 화면을 감상할 수 있으니 충분히 만족스러웠음.마지막으로 삼성 스마트폰, 태블릿 등 갤럭시 기기간에 간편한 연동을 통해 갤럭시 생태계를 만들었다는점은 무조건 갤럭시 폰 만을 지금까지 써왔고 앞으로도 그럴 예정인 저에게는 충분히 매력적으로 다가온 부분이었음.",5
5,사실 구매 시 AMOLED라는 점때문에 망설였었다 예전 갤럭시 휴대폰에서 번인 현상을 종종 보아 왔기에 걱정이 안되는것은 아니지만 무게와 성능 디자인 등 장점이 뛰어나기때문에 구매를 결정하게 되었다.버즈 프로와 중고 노트북 보상 케어플러스와 체험단 등 제품이외의 프로모션도 마음에 들었다. 구매가격을 절약하기 위해 윈도우 운영체재를 제외하고 free dos 상품으로 구매 하였다.요즘 윈도우는 정말 설치 하기가 편리하다.노트북 드라이버도 삼성 업데이트만 설치하면 거의 자동으로 설치되어 사용하기에 아무런 불편함이 없게 된다 이전에 사용하던 노트북은 삼성 노트북 pen 9인데 확실히 무게와 성능 디자인 면에서 만족 스럽다.번인을 방지하기 위해서 블랙 배경으로 사용을 해 보려고 한다,5
6,"주문할때  결재를  잘못하는 바람에  여러번  문의드렸는데  빠르게  잘 처리해주시구요 배송도 빠르구요 깔끔하게  잘  도착 했습니다.  포장상태 아주 좋구요. 배터리가 제로로 왔네요. 기존 노트북도 타사껄로 화명 터치기능, 펜도 있고, 반대로 접히는 기능도 있는 거였는데 사용한지 5년 정도 되니 너무 너무 느리고, 펜은 사실 잘 안쓰고, 접히는 것도 반 접어서 돌리는 형태여서 불편했는데 갤럭시북은 무게도 가볍고, 특히 터치패드가 넓어서 마우스 필요 없을 듯 하구요, 반대로 돌리는 것도 거부감 없이 쓱 하고 잘 돌려지니 너무 좋더라구요.  남편은 구지 이걸 돌리는게 필요하냐 하였지만 대학원 강의도 듣는 지라 마켓에서 필기하는 어플이랑 마인드맵 어플 깔아서 펜으로 수업때 쓰는것 처럼 사용해 보니 너무 편리했어요. 사과모양 태블릿도 있는데 펜을 못 사서 앞으론 갤북만 쓸듯 합니다. 그리고 키패드가 검정패드에 무광이여서 너무 너무 만족 합니다. 브론즈 색상이 다른 노트북엔 없는색이여서 너무 독특하고 예뻐서 들고 다닐 맛 나겠어요. 제가 주로 동영상강의를 많이 들어서 저작권땜에 그건 못 찍고, 제가 요즘 좋아하는 영화를 한번 촬영해 봤는데 정말 속도 너무 좋아요 ^^  잘 사용 하겠습니당.",5
7,"<삼성 갤럭시 북 프로 360>휴대용으로 사용할 노트북으로 선택한 프로360가볍고 충전이 빨라서 이동식으로 좋은 제품임장점>1. 고성능 노트북 중에서 최고의 휴대성 - 가볍다, 얇다2. 아몰레드 패널의 최고화질 - FHD라 아쉽지만 색구현력이 뛰어남3. 2in1의 활용성 - 노트북 + 태블릿4. S펜 활용성 - 필기의 용이함단점>1. 인텔 CPU - 기본 성능은 좋으나 발열이 문제, 최고의 단점2. S펜 수납의 단점 - 플렉스2 의 내부 수납이 없음3. 전작 플렉스의 기능이 빠짐 - 무선충전공유, 썬더볼트 단자 갯수 감소4. 지문이 많이 생기는 재질기타>게임을 염두하고 있다면 비추. 벤치와 실게임을 돌렸을시 발열과 쿨러소리가 많이 거슬림.노트북 유저친화적 소프트웨어가 많아서 장점. 하지만 추후 이전 모델에도 지원예정이라 참고할 사항임.총평>게임을 제외한 학생이나 직장인일 경우 휴대성과 성능을 갖춘 신형 노트북.다만 플렉스2와의 차별성은 크지 않은 점은 아쉬움.(성능)가볍고 화질좋은 노트북을 원하는 사람을 위해 추천",5
8,"노트북이 필요해서 알아보던중 네이버페이,신한카드를 사용하면 할인이되서 구매하게되었습니다. 미스틱브론즈 색상 실물로보니이쁘네요. 갤럭시 버즈프로도 잘받았구요 ㅎ후일단 노트북 자체가 매우얇고 360도 접은다음 세로로 패드처럼 사용해도 되겠더라구요. 하나 아쉬운점은 s펜을 따로보관할수있는 공간이아쉽네요. 자석으로 잘 붙어있긴한데 조금신경쓰이긴하네요. 그외에는 다 만족합니다. 저는 배송이쪼금걸렸는데 토요일날이라도 받아서 다행입니다.",5
9,"2in1을 1.38kg으로 경량화함으로 인해 내구성에 많은 걱정이 있었지만, 굉장히 얇고 종잇장처럼 생긴 것에 비해 겉보기 모습은 마그네슘 경량 노트북들에 비해 견고해보인다는 인상이 있습니다. 많은 리뷰를 볼 수 있듯 하판에 힘을 주면 금방 휘어버릴 것 같긴 하지만, 사용자가 부주의하지 않는 이상 노트북이 국소적인 부분에 힘을 강하게 받을 일은 없다고 생각하여 내구성문제는 크게 걱정되지 않습니다.OLED 번인도 이야기가 많은데, 아직 OLED노트북이 시장에 나온지 오래되지 않아 3~4년 뒤까지 무리없이 사용할 수 있을지 수명이 걱정되긴 하지만 작업표시줄을 평상시 숨김 설정하고 필요하지 않을 시 밝기를 낮추어 사용하는 등의 노력은 해볼 수 있을 것 같습니다. 필기감의 경우 지금까지 태블릿을 한 번도 사용해본 적이 없는데, 생각보다 선이 금방금방 따라오고 정말 펜으로 글씨를 쓰는 것처럼 필압도 세심하게 컨트롤되는 것이 체감되어 놀랐습니다. 태블릿을 사용해본 것이 없어 대조해볼 만한 것은 없지만, 처음 2in1을 사용하는 저같은 사용자에게도 무리없이 태블릿 노트필기를 할 수 있을 것 같습니다.",5
