,review,star
0,구매후기도 많아서 믿고 구매하였는데역시나 고민해서 주문한만큼 대만족입니다이온 제품과 고민하다가 플렉스로 넘어왔는데성능도 최신 기능들 다 활용해볼수 있어서 고급 유저가 되는 기분이네요ㅎㅎ테블릿처럼 완전히 접혀져서 활용해볼수 있는 만큼 다양한 스킬을 활용한 PT 설명에도 활용도가 매우 높습니다아직 S펜 활용이 서툴러서 쪼매 힘들긴 하지만고급 기능은 천천히 스킬업하는걸로하고간단한 기능부터 능숙히 쓰는 연습을 해야할것같어요필기감도 매우 만족스러워서그림 그리는데도 도전해봐야할듯하구요나름 지포스 그래픽 카드가 따로 장착된 버젼인 만큼포토샵이나 영상편집 프로그램도 설치후 활용해보려고 합니다ㅎQLED 화면 퀄리티도 아주 좋습니다기술력이 점점 좋아지는 만큼그 수많은 기능들을어떻게 활용하느냐가 관건이겠네요 ^^동봉해주신 핑크파우치도 맘에들고블루투스 마우스도 사용감이 좋아요추가로 구매한 힐링쉴드 보호필름도 붙이기가 꽤 힘들긴 했지만 고가 노트북 보호엔 필수인듯하네요 ^^,5
1,"일단 저는 이런걸 잘 안적는데... 이 제품이 휴대폰 보다도 비싼 고가의 제품이기에 포인트를 받고 애기 과자라도 하나 더 사줘야 겠다는 아빠의 의지로 성의있게 팩트만 적어보도록 하겠습니다. 저의 리뷰를 보고 구매하시는 분에게 조금이나마 도움이 되었으면 합니다.1. 갤럭시북 플렉스 VS 갤럭시북 플렉스 알파 ???-. 저는 핸드폰도 그렇고 삼성 제품이 많기에 일단 호환의 편리성으로 접근을 하였습니다.최신 제품인 플렉스 알파를 처음에 구매하려고 했지만 너튜브영상도 보고 사양들도 꼼꼼하게 보니 아무래도 비싼 플렉스가 조금 더 고사양(?) 이더군요. 플렉스알파보다... 그래서 플렉스를 결국 선택하였고 받아보고 이것저것 만져보고있는데... 엄지척~~~!!입니다. 너튜브영상들도 많이 나오는데 실물보고 깜짝 놀랐네요. 특히 옆테두리는 무슨 텅스텐 금속(?)같은 느낌?? 암튼 마감은 최고인것 같아요. 그리고 제품 받아보니 2020년 05월 제조라 그 부분도 만족합니다.2. 자판 타건감?? 쉬프트 겁나 작아?? 개불편??-. 타건감이 안좋다고 하길래 이마트 같은 곳에서 한번 눌러봤는데... 첫느낌은 정말 안좋더라구요...음...그 자판의 쫀득쫀득하게 누르는 느낌이 아닌 자판을 눌렀는데 한 반만 눌려지다 만 느낌?? 이라고 해야하나...그리고 쉬프트도 처음엔 옆에 지문인식을 눌렀는데 그부분이 다행이 모가 눌려지는 부분이라니라서 ....결국엔 지금은 적응하니 못 쓸정도는 아닙니다.  이 부분은 모 너무 주관적이기에...  제 결론은 적응하면 노 프라블럼~3. 부팅 속도 로케트??-. 정확하게 12~13초 걸리는것 같네요... 암튼 전 이런  PC를 써본적이 없어서. . 빠릅니다...그리고 뚜껑(?)을 열면 저절로 켜져요~~~화면이~ㅎㅎ4. 화면이 쨍쨍합니다~ 영화나 강의 볼땐 그만이겠어요~5. 화면 터치, S펜은 신의 한 수6. 윈도우즈도 깔려있고 처음 받아서 셋팅하는데 20분도 안걸린것 같네요... 마우스 패드가 없네요.. 가만보니 나중에 사은품에 끼워주시면 좋을 것 같네요.7. 화면보호필름 부착 시 정말 잘 붙여야 겠어요....저도  살짝 꺽여서 뜬부분이 있는데.... 볼때마다 맘 아프지만 저렴하지않아 일단 그냥 쓰려고요~~~ 8. 가격이 좀 깡패이긴 한데... 실물보고 조금 사용해 보면 그만큼의 값어치는 뽑을 수 있을 것 같더라구요~9. 결론적으론 만족합니다. 실물이 깡패네요...잘 사용할께요~ 건강 유의하시고~번창하세요~",5
2,"제품 색상 고민했었는데 받아보니 딥블루 색상 너무 예뻐요~ 흔하지 않은 블루인데 색상도 너무 이뻐서 디자인에 놀라고 제품을 켜는순간 화질에 정말 놀랐네요.노트북 최초 QLED 사용해서 화질 진짜 최고인것 같아요. 화면이 360도 회전하니 다양한 각도에서 사용할수 있고 특히 영상 감상할때 텐트모드해서 보니 공간도 절약되고  몰입감이 살아나네요.S펜을 처음 써봤는데 필기감은 애플펜슬이 뒤지지 않지만 크기가 작아 그립감이 조금 불편하네요. 그치만 가볍게 사용하기에 좋고 마우스 대용으로 사용하기에도 편하고 air action 기능이 있어 원거리 제어도 되니 다방면으로 활용도가 높을 것 같아요.s펜 수납도 노트북 옆면에 할수 있어 잃어버릴 염려도 없고 꽂아놓으면 충천도 되어서 좋아요^^오프라인에서는 여기서 구매한것보다 턱없이 비싸더라구요. 비싼 상품이지만 오프라인보다 저렴하게 구매해서 좋았고, 행사로 네이버페이 포인트를 많이 받을 수 있어서 만족합니다^^",5
3,"한달 리뷰 또 쓰니까 일단 첫인상에 대해 먼저 이야기하겠습니다.먼저, 포장부터 노트북 디자인이 이쁩니다. 그냥 들고 다녀도 패션아이템이네요.튼튼합니다. 내구성이 좋구나라는 생각이 먼저 듭니다,QLED 노트북은 타 노트북과 화질이 어떻게 다르는건지 실감이 나지 않습니다. 한 달 후 되면, 알 것 같습니다.제가 원한 대로 자유자재로 360도까지 회전할 수 있는 점이 신기했습니다. 영상, 사진 감상할 때 유용할 것 같습니다.화면에 손으로 터치도 되고요!키보드 터치감은.. 사람마다 다르는데, 가볍게 터치하는 듯한 느낌이 들어서 좋습니다만, 숫자키보드, 지문 옆 shift 버튼이 작아서 빠르게 칠 수 없더라군요.무게는.. 최고 사양을 담은 노트북 무게는 가볍습니다. 한 팔로 안아 들고 갈 수 있습니다. 주의할 점은 한 손으로 들면 무거우니, 두 손으로 옮기고 들어야 할 것 같습니다.(화면이 커서 한손으로 들고 다니다가 실수로 떨어질까봐 두렵..)노트북을 열고 닫을 때 가운데를 이용해야 합니다. 가운데가 아닌 양쪽 부분을 열기가 힘듭니다~ 가운데 부분을 이용해 쉽게 열 수 있습니다. 오래 사용할 수 있게 가운데부분을 여는 습관을 만들어 줄 수 있는 점이 좋네요.필기감은 굿굿입니다. 말이 필요없습니다. 삼성 펜은 훌륭합니다. 종이필름 사서 붙어야 할 것 같습니다.한달 후 또 쓰겠습니다! 사용하다가 가격이 비싼 만큼 장점이 많아졌으면 좋겠네요!번창하세요.",5
4,"주문한지 하루만에 왔네요 정말 빠른배송 , 삼성답게 역시 패키지 박스는 정말 튼튼하게 잘 만들어져서 파손걱정은 하지 않아도 될듯합니다나이가 있어서 노트북으로 작업을 하는건 평상시에 영 불편해서 장기간 출장다닐땐 일체형 데스크탑 컴퓨터를 들고 다녔는데, 언제까지 그럴수는 없다해서 진짜 오래간만에 구입한 노트북입니다구매전에 유투브등에서 그램과 비교를 많이했는데 사는김에 투자하자 생각해서 용량 추가하고 해서 구매했습니다일단 버튼 감이 별로 좋지 않다고 했는데 리뷰들중에 정말 오랜만에 사용하는 노트북이라서 그런지 기능이나 리뷰에서 보았던 단점들중 정말 하나도 흠잡을 곳이없다라는게 제 결론이였습니다. 테블릿 기능도 정말 신기했지만 가볍고 얇은 요즘 노트북을 보고 정말 놀라워했네요.스크린 터치 도 편하고 예전 노트북에서 마우스 없이 노트북 쓰는게 정말 불편했었는데 지금은 많이 개선이 되서 큰 불편을 느끼지는 못했습니다. 조금만 더 사용하다 손에 익으면 좀더 효율적 사용이 될듯합니다.컬러도 별로일까 생각했는데 기대이상으로 블루 컬러가 예쁘네요.노트북을 사용하지 않았던 사람이라 정말 기능적인 건 나무랄 바가 없습니다.휴대폰 충전기능도 신세계네요.제품 언박싱 하는 리뷰나 영상들보면 정말 세심한 리뷰들이 많은데,지금에서는 굳이 저 같은 사람들에겐 그런것들이 전부 필요가 없었다는 생각도 들고요. 넷플릭스나 영화볼때 정말 좋겠어요.. 블루투스 이어폰만 있음 딱 일듯.^^빠른배송 감사드리고 잘 열심히 써보겠습니다",5
5,"상품 배송은 하루만에 왔는데 프로그램 설치하고 필압테스트 하느라 구매확정이 늦었습니다.대세는 블루인 것 같지만 대기 타야 하고 지문 왕왕 찍는 타입이라 실버로 선택..그래픽 작업을 주로 하는데 레이어도 많이 쓰고 포샵 켜두고 다른 것도 많이 돌려서 램도 CPU도 사양 높은 걸로 구매했습니다.동사양대 노트북에 비해 가격이 좀 높은 편이나 AS나 다른 기기 호환 등을 고려했을때 역시 최종 선택지는 삼성..당초 목적은 펜S였으나 그래픽 카드, QLED 등 메리트가 많아서 플렉스로 결정..꽤 오래 검색했는데 할인율, 사은품 등 고려했을 때 매크로네트웍이 가장 나은 것 같아 여기서 구매했습니다.Q&A 답변도 가장 빨랐고요..다른 건 다 만족스러운데 자판은 정말 꽝이네요;;문서 작업 많이 하시는 분은 구매 전 반드시 삼성 디지털 플라자 등에서 테스트 해보시고 구매하시길 추천합니다..택배박스가 찢어서 있어서 마음이 좀 아팠는데 지인 말로는 택배기사들이 들기 편하려고 일부러 뚫기도 한다네요..판매처 문제는 아닌데 발송시 그 부분 주의 좀 부탁드려주심 더 훈훈하겠습니다..",5
6,좋아요 서울지역이라 퀵 서비스 신청했더니2시간도 안돼서 도착해버리니 정말 깜짝 놀랬어요 ㅋ하는 일 특성상 노트북과 기타 장비가 절실히 필요해진 상황에 오래된 노트북을 뒤로 하고 새로 구입했어요 태블릿도 갖고 싶고 이왕 사는거 노트북도 바꾸자해서 알아봤는데 매장에서 옴팡 비싼 가격에 후덜덜 거렸고 ㅋㅋㅋ 다행히 할인 행사? 덕분에 비교적 저렴하게 사용하게 됐네요 일단 제원상 성능은 저에겐 충분하죠 처음 실행하고 나서 느낌점은 전에 쓰던 노트북과의 속도 비교에서 확연한 차이를 못느껴서 이상하다 싶은게 사실 첫 이미지입니다 보통 오른쪽 클릭해서 속성보면 CPU 이름에 1.30 to 3.9가  써있는게 맞다고 생각했는데 1.30 1.50 써있길래 뭔가 해서 문의 드렸더니 설명하기 어렵지만 이상없는 제품이라고 하시네요써보면 진가를 알게될지 기대됩니다.예뻐요 블루색상이 아주 10년 지나도 질리지 않을거같아요 ㅎ 펜 기능이야 능숙해져야 할 부분이고 활용도를 높일 수 있는 날이 오겠지요 주변에서 큰돈 써서 샀다고 우와~ 해주네요 소중하게 잘 사용하겠습니다!!,5
7,몇년을 고민하다 결국 일하려고 질렀습니다..소문데로 역시나 칼라 무지 이쁘고 좋네요..무난하고 자연스러운 노트북 원하시면 그레이칼라도 이쁘긴 할것 같습니다..키보드 문제있다는 사람 가끔 보았는데..저는 20년 넘게 한사람으로서 전혀 지장이 없습니다..품질 아주좋습니다..구매하고 쓸때없는 삼성 소프트웨어들이 많이 깔려있어 용도에 맞게 청소는 좀 해야할 것 같습니다..윈도우홈이 깔려있어 왠만하면 윈프로고 바꿔쓰시는게 좋을 것 같습니다..은근히 홈이 불편한점 부족한점 많이 숨어있어요..노트북책상..어울리는 마우스...등이것저것 알아보고 있습니다..붙여주시는 필름은 예술적으로 잘 붙여주셨는데요..터치시 삐삑거리며 부드럽지 않을때가 있네요..좀더 비싼옵션으로 두꺼운것 이었으면 좋겠습니다..전체적으로 왕만족입니다..이것저것 이벤트 있던데 찾아봐야겠네요..한방에 자동으로 되었으면...이것도 일이더라구요...암튼 소중한 노트북 하나 생겨 바쁘고 있습니다..빠른 배송 감사합니다..바로 다음날 받았습니다..이상 이것저것 솔직후기였습니다..수고하세요!,5
8,8월초에 시켰는데 블루 색상이 품절로 2주넘게 기다린후에야 받을수 있었습니다. 고1 아들이  너무도 기다리던 노트북을 드디어 개봉~~~ 여기부터는 아들의 사용후기 들어갑니데이~일단 힐링쉴드를 붙이는데 붙이기 어려워서 진땀빼기;; 처음엔 잘못 붙여서 붙였다 뗐다 했지만 갈수록 잘 붙여져서 나도 놀램^^그다음 전원을 켜서 몇가지 설치하고 유튜브에서 영상을 보았는데 배경화면부터 화질과 속도가 아주 좋았기에 유튜브를 보는건 두말하면 잔소리인듯^^태블릿 모드로도 써봤는데 진짜 태블릿같아서 신기방기~ 휴대폰을 노트9를 쓰다보니 펜을 사용하는데 휴대폰은 요즘하는 온라인클래스에서 영어과제를 할 때 모의고사 문제를 휴대폰으로 찍어서 펜으로 들은 내용을 적는데 휴대폰으로 쓰는게 좀 불편했는데 북플렉스 태블릿 모드로 한방에 클리어!!!다른 노트북에 비해 좀 비싼 편이지만 그래도 성능은 좋으니 강추!마지막으로 노트북 사주신 엄마께 감사감사♡♡,5
9,"몇개월을 주시하다가, 이번에 구매하게되었습니다.기존에 노트북 쓰던 건 6년 가량썼는데 전혀 불편한 부분은 없었지만, 이번에 하나 여분으로 사용하려고 구매했습니다.360도 힌지회전, 오래가는 배터리용량, 화면 터치, 가벼움, AKG스피커, 기기무선충전 텐트모드 및 책처럼 이북을 읽는 것도 염두에 두고 장점들을 생각하며 구매했습니다. 가격이 비싸서 가성비는 좋다고는 할 수는 없지만 성능은 좋습니다. 이왕 한 번 구매하는거 돈 조금 더 추가해서 2TB로 교체해서 주문했구요. 용량은 크네요. 256GB UFS카드도 추매해서 장착했습니다. 화면봐도 눈부심이나 그런건 없는 것 같고 종이필름 힐링쉴드를 구매해서 모니터, 상판, 하한, 측면을 다 붙였구요.모니터 부분만 필름 붙이는거 깐깐하고, 나머지 상판하판측면 쉽게 붙였습니다. 노래도 스피커가 양쪽에 있어서 클리어하게 나오는 것 같습니다.위의 내용들은 모두 장점이고,짧은 기간 개봉 후 사용하며 단점을 적자면,USB 3.0 슬롯이 없기에 허브를 따로 구매하거나 장착하셔야함.키보드 사용감은 초기에는 조금 적응이 안되서 어색하지만, 지금 적응해가는 것처럼, 더 사용하다보면 자연스러울것 같고, 불편한건 이전 노트북은 Fn기 를 켜던 끄던 ESC키는 단독으로 사용가능했는데, 플렉시블 노트북은 Fn을 켜둔 상태로 ESC키를 누르면 온라인채팅상담으로 넘어갑니다. 키보드 설정에서 바꿀 수 없는지 찾아보니 그런 건 없는 것 같군요..이게 엄청 불만이구요, 온라인 채팅상담 전혀 쓰지도 않을 건데 Fn키를 켜둔상태에서 ESC를 누르면 채팅상담키로만 쓰여지는 수정하는 쪽으로 개선되었으면 좋겠습니다. 채팅상담프로그램을 삭제하니  ESC키는 Fn이 켜진상태에서는 먹통..덕분에 Fn키를 켜둔상태로 안 쓰고 매번 화면 밝기, 음량조절 할 때 왼쪽 구석에 눈으로 스캔하며 Fn키를 찾아 누르고 위에 f1~f12버튼을 누르는 매우 불편함을 감수하고 있습니다. 저라는 사람은 이 부분이 매우 불만이네요.아무튼 이왕 고가 하이엔드 노트북 샀는데 유용하게 잘 쓰도록 하겠습니다. 물건 팔아주셔서 감사합니다.",5
10,1. 주문하자마자 퀵으로 2시간 만에 직접 받아서 배송에서 만족도가 높았어요~! 2. 1TB 주문과정에서 노트북 새제품을 개봉한다고 하셔서 찝찝하긴 했는데 받아보니 괜찮네요~! 근데 다른 곳에서는 1TB 미개봉 제품도 파는데 그 점은 아쉬웠어요~!3. 원래 노트북에 관심 없어서 기존에 사양 안 좋은 거 대충 쓰다가 신랑이 생일 선물로 고르라고 해서 열심히 알아보다 상품평이 제일 많고 좋아서 믿고 샀는데 정말 디자인 성능. 노트 펜의 터치감 등등 너무 신기할 정도로 좋네요~! 기존 쓰던 노트북이 너무 안 좋아서 다 좋아 보이지만.... 차차 써가면서 더 자세한 기능 성능 알아보려고요~!  아직 받은 지 일주일이 안 돼서 잘은 모르겠지만 많이 이용해보고 한 달 후에 자세한 평 다시 남길게요~!  그 외 부가적으로 주신 마우스도 좋네요~! 따로 구매한 액정필름 붙이느라 고생하긴 했지만 붙이고 나니 깔끔하고 좋아요~!  더 써봐야 알겠지만 만족합니다~! 저희 신랑도 잘 샀다고 하네요~!  참고로 색상은 실버로 구매했는데 은은하니 이뻐요~!,5
11,"이번에 사전예약으로 받게 된 갤럭시 북 플렉스 입니다갤럭시 북 플렉스는 2IN1 노트북으로써의 입지를 다지고 있는 삼성전자의 야심작이라고 할 수 있습니다.저같은 경우는 노트북과 태블릿을 잘 쓰고 있는데요 업무상에서 나만의 여가시간을 활용하기 좋기 때문입니다.업무상으로 프리젠테이션 협력사와의 미팅시 S펜으로 말로써는 힘든 부분들을 그림을 그리거나 도형들을 이용해서 함께 설명하면 이해도 확실히 빠르고 상대방도 확실히 잘 이해하시곤 합니다.업무를 마치고 집으로 돌아오면 영화를 본다거나 음악을 듣고 게임도 하곤 하는데요 티비로 보는 것 보다 스마트기기나 노트북으로 보는게 훨씬 집중도가 다른 느낌이어서 플렉스가 더 도움이 되곤 합니다​기존 노트북을 5년째 쓰고 있어서 북 플렉스의 변화가 실로 놀라움 이네요일단 os 가 윈도우 7을 쓰다 10으로 오니 많은 부분이 달라지긴 했지만 유용한 기능 많은 것 같아요​일단 외관 디자인 실물로 보시면 ㅎㄷㄷ 합니다 ^^개인적으로 파란색을 좋아하지만 메탈의 오션블루 느낌나는 파란색이 너무나 맘에 드네요기존 노트북들은 까맣거나 하얗거나 은색이거나 한데 이런 유색의 노트북도 신선합니다​디스플레이는 쨍한 느낌을 좋아하시거나 진한 색상을 좋아하시면 최고의 선택이지 싶어요전 부드러운 느낌보다 눈이 좀 시리다 싶을 정도의 색감을 좋아하는데 이번 QLED 색감 아주아주 칭찬합니다 그렇다고 실제로 눈이 아프거나 그러진 않습니다 ^^거기다 HDR 까지 켜보시면 한번 더 탁 ~~~!! ​부가적인 재미의 무선 배터리 공유도 재미납니다​북 플렉스를 선택하게 된 큰 동기는 저는 바로 마법같은 S펜입니다갤럭시 노트를 초기부터 써서 지금까지 쭉 매년 노트만 써 오는데 너무너무 만족감도 좋고 활용성이 좋아서 예전에  태블릿으로 나온 갤럭시 노트 프로도 사서 지금까지 쓰고 있죠 플렉스에 내장된 펜은 기존과는 달리 가속도 센서와 자이로 센서가 탑재되어 있어 플렉스를 원격제어 할 수 있습니다  학교나 회사에서 프리젠테이션을 할때 강의를 들을시 녹음을 하거나 영상을 시청할 시 머어어얼리 떨어져서도 자유롭게 메뉴를 사용할 수 있다는 큰 메리트가 있습니다. 그 외에도 기존의 갤럭시 노트를 써보신 분들이라면 아시겠지만 필기감, 자료수집, 등등 사용자의 라이프스타일에 따라 변화무쌍한 S펜의 능력이 있으니 잘 활용해 보시기 바랍니다.​저는 업무상으로 유용하게 잘 쓰고 있지만 대학생들에게도 이만한 노트북이 없을 것 같습니다",5
12,"1. 배송 : 매우만족2. 판매자 : 매우만족3. 제품 : 매우만족4. 사은품 : 보통직전에 두개의 노트북이 그램이었고 이번에도 그램을 사려다가, 다양한 경험이 제공되는 (펜, 태블릿모드, 무선충전 등) 장점에 혹해 구매를 하게 되었다. 그램도 터치가 되는 모델을 썼던 터라 터치 자체는 새롭지 않았지만 OLED는 확실히 차원이 다른 느낌이다. 쨍한 화면을 볼 때마다 영화라도 한편 봐야하나 하는 유혹에 빠진다. 윈10 이후 태블릿 모드가 지원되었지만 하드웨어가 못 따라가는 느낌이었는데 이모델은 정말 완벽하게 지원하는 느낌.펜의 필기감은 정말 기대 이상이다.지문 인식도 속도와 인식률이 뛰어나다. 그램에 비해서는 확실히 고급진 디자인에 재질이 확 티가 난다. 다만 묵직한 느낌은 확 온다.무선충전기능은 재미있고 의외로 쓸모가 있을 것 같음. 영구라이선스인 한컴 오피스 2020 사은품은 매우만족. 파우치는 너무 커서 어떻게 써야할지 방법을 좀 고민이 필요.옵션으로 선택한 멀티포트 어댑터도 얇은 디자인에 다양한 포트로 매우 만족. 처음 배송에 누락 되어서 판매자 문의했는데 다음날 바로 다시 보내줘서 빠른 대응에 좀 놀람과 동시에 만족. 번창하시길...",5
13,역시 삼성 플렉스 !!!!! 현명하고 좋은 선택이였어요!!!여자친구 선물로 노트북을 생각하고 고르다가 한달동안 고민하고 고민하고 고민하다가 !!!!!!🤔드디어 결정 !!!!터치되고 !!!!!! 화질좋은 QLED 직접 켜놓고 영화감상을 해보니 직접 내가 눈으로 쳐다보는 사물 색갈이 그대로 나오는것 같아 찐짜 찐찐찐이라 생각햇름!!!!!!👍여자친구가 강사여서 문서 작업할 일이 많은데 눈에 피로도 적고 한번 충전해서 3일동안 작업하고 하는데도 배터리 걱정이햇다고합니다 (들어보며는 하루 작업량 2~3시간인것인듯)빠르게 충전도 되고 오랫동안 유지 할 수 있는 삼성 기술력 !!!!!! 하지만그래도 역시 무엇보다도  터치 !! 360도 회전 !!!!!😍이거 탄복 할만함 노트북 성능이이게 개꿀로 작업 할 수 있게 도와주는것 같은 !!!!! 장난아님 !!!!!여자친구 선물로 줘서 아직 제가 개인적으로 몇시간동안 못만져봣지만은 팬소리는 그렇게 크게 않나는듯 게임을 하면 달라지겟지만은 문서작업하면서 인터넷 쇼핑이나 동영상 노래 틀어놓고 동시 작업할때는 팬소리 그닥 없었습니다 !!!좀더 만져보고 써보고 후기 다시 올리겠습니다 그때는 좀더 체계적로 !!!!!!!!!!🤔,5
14,노트북이 하루만에 안전배송이 오는 세상이라는게 너무나도행복하네요게다가 포장도 튼튼히 해주셔서 받고난다음에 저의 노트북이 안전하다는 느낌을 받아서 다음에 또 노트북을 산다면 여기서 사고싶어지네요 그램과 플렉스중에 뭘사야할지 고민하다가 플렉스로 선택하고 난뒤로만족해서 쓰고있습니다.제가 리뷰용으로 올려놓은 사진 한번보세요 ! 이거 180도 가능 거꾸로세워서 영화도 볼수있구요 화면도 밝고 화질도 좋아서 뭘해도 만족하실겁니다. 지문 인식도 1초만에 가능한대 계정이 들어나버려서 못올리는게 너무나도 아쉽네요 ㅠㅠ 다들 이곳에서 플렉스 구매하시고 즐거운 플렉스생활하세요 !!,5
15,"처음에 보내주신 그린커버랑 마우스 잘 쓰고 있어요. 추가구매한 UFS256도 왼쪽 옆면 열고 잘 넣고 넉넉히 사용하고 있습니다. 표면에 깔끔하게 필름 부착도 잘되어서 있지 미끄럽지않고, 잘 잡아서 세웠다 눕혔다 터치 편하게 하면서 온라인 수업도 잘 듣고 있습니다. 종종 캐드 프로그램 용량 큰거 돌릴때 힘겨워하기도 하지만, 대체적으로 빠르고 펜 쓱쓱 잘써지고 사용감 좋아요. 멋진건 뭐 따로 말안해도 그냥 보면 알죠. ㅎㅎ친구들도 세련되고 이쁘다고 한번씩 만져보네요. 디자인 플렉스~~!!!!!충전 빨리되고 오래가서 그 부분도 좋습니다. 그리고 슬림해서 가지고 다니기 괜찮아요. 노트북도 충전기도 부피감 적어서 굿~~ 구매 만족감 높습니다. 번창하세요~~",5
16,"5년만의 노트북 구매라 엄청 신중하게 골랐는데 정말 정말 만족합니다. :^) 1. 제일 먼저 본품박스를 비롯해 사은품까지 꼼꼼하게 엄청난 뽁뽁이로 싸서 안전하고 빠르게 배송받았습니다.감사합니다. :)2.평소 영상 시청이나 펜을 사용한 툴이 필요해 태블릿과 노트북 중에 많이 고민했는데 갤럭시 북 플렉스는 둘 다 충족하는 제품이더라구요. 태블릿 모드에서도 각도조절이나 펜 필기감이 괜찮아서 정말 만족합니다. 평소 삼성에서 나오는 AKG 이어폰이나 버즈 너무 잘 사용하고있는데 역시나 노트북 스피커도 정말 좋습니다. 무엇보다 TV화면만큼이나 색이 선명하고 깔끔해서 너무 좋아요. 전에는 약간 밝기가 최대치여도 좀 답답한 느낌이있었는데 아주 만족합니다. 3. 전에 사용하던 제품이 13인치에 비교적 가벼운 제품이었어서 상대적으로 많이 무겁게 느껴질까봐 걱정했는데 충전선이 제일 무겁게 느껴질정도로(ㅋㅋ) 생각보다 가벼워서 놀랐어요. 4. 키보드는 터치감이 엄청 좋은편은 아니지만 소리가 많이 나지않아서 밤에 작업하기에도 매우 좋습니다. 원래 이런부분에 둔감해서 그런지몰라도 전 괜찮습니다.5. 힐링쉴드나 액정보호필름은 붙여야 할 것 같습니다. 모니터에 지문 자국이 잘 나고, 안지워져서 미리 붙이시길 바랍니다^_ㅠ(모니터 사용에있어 불편하진 않습니다.)처음 받아서 충전하며 3시간 정도 사용해보니 발열이 좀 있어서 쿨링팬이 있는 받침대 구매예정입니다. 그래도 전에 쓰던 노트북에 비하면 너무 양반입니다.^^전체적으로 너무 만족스럽네요. 앞으로 한 5년이상 사용할 생각으로 구매했는데 잘 산 것 같습니다. :^)",5
17,"성능을 가장 우선해서 봤고, 터치도 써야하기 때문에 여러모로 고민 많이 했습니다. 디자인도 너무 이쁘구요. 말그대로 풀렉스입니당~ 펜이 삽입되어있으니 언제든 활용 가능해서 너무 편하네요. 최대한 성능을 다 뽑아 쓸 수 있을꺼 같다는 생각에 넘 뿌듯합니다. 특히 외부작업도 많은지라 널찍한 모니터 너무 편하구요., 켄키가 있는 자판 배열은 호불호가 있을꺼 같지민, 저는 개인적으로 극호네요. 계산할 일도 많다보니... 기존 노트북 숫자 누를때 넘 힘들었던 경험이 스쳐가네요. 물론 브랜드를 낮춘다면 삼성외의 대안도 있고, 또 더 저렴한 가격에 더 좋은 스펙을 구성하는 건 어렵진 않으나, 디자인과 펜 등 그 외 요소들까지 본다면 플렉스가 훌륭한 대안이구요. 특히 이것저것 할인 다받고, 포인트까지 쏠쏠히 받으면 정말 훌륭한 섬택이 될 듯합니다~~",5
