,review,star
0,"운동을 제대로 해보려고 맘먹고 운동 기록을 어떻게 관리해서 의욕을 높일까 고민하던 중 워치가 눈에 들어왔어요  핑크가 너무 예뻣지만 줄질할거라서 너무 어둡지 않고 무난한 실버가 좋을거 같아 실버로 최종 결정 구매!판매자마다 가격도 행사도 달라서 돌아다니면서 한참 고민한거 같은데 일단 배송이 빨라서 만족합니다! 일요일 저녁에 결제 월요일 발송, 어제 오후 좀 늦게 받았지만 완젼 기다린만큼 두근거리며 언박싱했어요 실버라고는 하는데 약간 하늘색이 많이 들어간 실버네요 어두운 블랙 싫어하시는 분들한테는 남성 여성 모두에게 무난할 색상입니다.  손목이 가는 편이라 워치 사이즈때문에 고민했는데 생각만큼 커서 불편하지는 않네요 알루미늄이라 가볍기도 하고 스트랩 교환 방법도 쉬워서 교체도 간단합니다   중간 중간 일어나서 스트레칭 해달라는 알림도 오고 나머지 기능은 좀 만져보면서 익히려구요 스마트워치 쓰면 삶의 질이 달라진다는데? 기대하면서 사용하려구요   사은품 선풍기 준다는 말이 없어서 다른 리뷰에서는 봤지만 기대안했는데 선풍기도 꽤 크고 핑크로 보내주셔서 정말 좋았어요  제조일자 21년 6월이라 최신이고 켰을때 배터리도 80프로 정도로 여유있네요 색상도, 배송도, 제품도 맘에 들어 흡족합니다",5
1,"주문할 때 뜨는 예상배송일에 맞춰 정확히 도착했구요~ 힐링실드 액정보호필름 2개 들어있다지만, 혼자 잘 붙일수있을지 괜히 걱정했었는데 설명서대로 따라 붙였더니 실패없이 원큐에 예뿌게 붙였슴다 제품 받아서 쓴지 벌써 10일째 되어가는데 진짜 너무 편하고 좋습다ㅜㅜ 매일 꾸준히 홈트를 하는편인데 그때 갤워치로 심박이랑 운동측정량 측정이 되고 주기적으로 1분씩 지날때마다 알람이 울려서 자세 바꾸는 타이밍도 따로 타이머 안써도 되고 음악도 같이 재생시킬 수 있어서 너무 편리합니당 하루 목표치 운동량 채우면 삼성헬스 달력에 하트모양으로 표시되는거 이거 은근 칭찬스티커 받는 기분임 오늘도 하트 찍으려고 움직이게 돼요 ㅎ 밤에 잘때 시계 차고자면 불편하지않을까 싶었는데 수면깊이 측정해주고 수면점수 내려주는기능이 은근 유용하고 매일 자고일어나서 점수가 궁금해서 계속 차고 자게되고 딱히 ㅂ불편하지도 않음 너무 신기한게 새벽에 두어번 깬 날은 수면 깊이도 기준 이하고 수묜점수도 낮고 잘잔날은 점수 막 80점넘고 깊이도 높고 ; 너무 신기합니다 알람은 폰이랑 시계랑 둘다 맞춰놓고 폰 멀리에 두면 쌍콤보로 울려서 최대한 일어나게 돼여유튜브 어플 없는건아쉽지만 인터넷브라우저로 들어가지긴해서 북마크 해놓고 한번씩 폰 대신으로 소리 들으면서 라디오처럼 잠깐잠깐 쓰기도하는데 너무 불편하고 배터리 달아서 길게는 못씀 ㅎ무튼 서마트폰이랑 멀어지기위해서 산거였는데 소기 목적을 어느정도 달성해서 아주 좋구요 뭔가 좀더 규칙적이고 체계적인 사람이 된 느낌입니다 외적으로도 괜히 얼리어답터 같음 ㅎㅎ",5
2,"너무 좋아요!로즈골드 색상 정말 맘에 들어요.팔목이 얇은 편인데 40mm는 무겁거나 두꺼워보이지 않아서 좋습니다.워치는 아는바가 전혀 없었는데 사용법은 금방 익히더라구요.스토어에 위젯이 생각보다 종류가 진짜 많았어요.그리고 드디어 해보고싶었던 심박수측정, 수면측정 해봤습니다ㅎㅎ같이 주시는 화면보호필름도 잘 받았어요!사이드부분이 붕 떠있는게 원래 그런건가 싶은데요, 이것때문에 기포가 계속 생기는데 그냥 저렴한 사은품이니까..^^;;당장 필름 살 생각은 없었는데 제대로된 필름 살때까진 무난히 쓸 것 같아요.그리고 랜덤사은품은 혹시나 건전지나 호피스트랩같은 있어봤자 쓰레기만 될 것들이 올까봐 엄청 걱정했는데 다행히 안왔어요!ㅋㅋ아마 편의점이나 커피 쿠폰으로 보내주시려나보죠..?사은품 쓸데없는것 올까봐 걱정되시면 안심번호 해지하세요ㅎㅎㅎ합리적인 가격에 너무 잘 사서 완전 행복해요!!",5
3,제가 먼저 44mm를 구매해서 사용중에 와이프도 40mm 로즈골드로이번에 구매 했습니다.4mm차이지만 확실히 여성분들이 착용하기에는 괜찮은듯 합니다.회사동료 여직원분이 아주 잘 사용하고 있다고 해서같은 색상인 로즈골드로 구매했습니다.와이프직업상 스마트폰을 자주 볼수 없기때문에 워치와연동하여 문자와 카톡 간단한 통화에 최적화 되어 있어서많은 도움이 될 듯 합니다.액티브의 단점은 배터리가 오래가지 않는다는 것인데요.이부분이 좀 불편할 수 있습니다. 참고하시구요.사은품으로 같이 동봉된 액정보호필름은... 붙이기는어렵지 않으나 아무리 잘 시도해봐도 기포가 없어지질 않네요.액보가 2개라서 남은 하나로 다시 잘 시도해 봐야겠어요.배송은 아주 빠르구요. 21년도 5월 생산품으로 도착해서 판매자분께 감사 드립니다.,5
4,정말 많은 리뷰를 보고 또보고워치3로 할까 고민도하고하반기에 엑티브4가 나온다는데 기다릴까 또1백번 고민하고이게 뭐라고 이렇게 고민하나 싶어서 혼자 웃기도 했네요이번에 s21로 바꾸면서 50프로 쿠폰있을땐 필요없어서 지나쳤는데 그후 운동시작하니 필요하더라구요폭풍검색 하고 또 검색에 리뷰에 목빠지는줄 알았네요이제품으로 구매 결정한건 지금 내가 필요한게  진짜 뭔지 다시 생각했어요운동할때 걸음.심박수가 주 이기때문에  이걸로 선택 하고 신제품색깔로 구매 완료 했어요.줄은 다른걸로 추가 구매해서 사용해도 좋을것 같아요커피쿠폰도 빨리 받고 싶어요,5
5,처음에 갤럭시워치 액티브2 핑크골드를 주문했는데일하면서 쓰려고 하다보니 2월달까지 기다릴수가없어서 다시 재주문하는과정에서직원분이 친절하고 빠르게 일처리 해주셔서좋네요~(ू•ᴗ•ू❁)신상 로즈골드 주문했는데 어제주문한게 오늘 4시에 도착! 색상도 너무 이쁘고 가볍고 편해요다른곳은 229000원정도 하는곳도 많은데힐링쉴드 액정필름 따로 구매해야하거든요힐링쉴드 사용한지 오래됐는데기포도 금방 날라가고 진짜 좋아요이벤트 구매로 갤워치도 최저가에 액정필름까지 받고 네이버페이 포인트 적립까지 되서 완전 혜자네요상품 전혀 이상없고 고민하시는분들 여기서 구매 강추드립니다제가 인터넷 다뒤져서 찾아보니 여기가 제일빠르고필름까지 보내줘서 진짜 좋아요 ㅠㅠㅠ평소에 일할때 폰을 들고있을수가 없어서급한 연락와도 못받는 경우가 많았는데갤워치 덕분에 그럴일 없어진거같아요사진 동영상 첨부 합니다감사합니다^^,5
6,"전부터 사고싶어서 고민하고 고민하다가 이곳이 제일 혜택이 많은것 같아서 이곳에서 주문했습니다. 스마트밴드만 차다가 워치를 차니까 충전은 더 자주하긴 하지만 확실히 좋네요 화면이 커서ㅋ 충전은 한 2,3일에 한번씩 하는것 같아요 저는 대부분의 기능을 다 사용하고 있어서... 암튼 밴드보다 기능도 더 다양하고 워치페이스 바꾸는 맛도 있구요ㅋ 차는맛이 더 있네요ㅋ클라우드실버라 시계색상은 하늘빛나는 실버에요~ 그냥 실버가 있었으면 좋았을텐데 그래도 만족합니다ㅋ",5
7,"우선..... 너무 이뻐요....ㅜㅠ진짜 영롱 그 자체....일단 제조년월이 9월이라서 너무 맘에 들었고,어디 흠나거나 기스난데 없이 깨끗한 아이가 왔어요!엄청 고민하다 산건데 1시간 사용해보고 진짜 지금까지 워치없이 어떻게 살았나 싶을정도로 좋았어요ㅜㅠ손목이 얇은편인데 제일 안에 구멍사용하니 진짜 맞춘것처럼 딱 좋았고, 시계줄도 안으로 넣을 수 있어서 깔끔해서 더 좋았어요ㅜㅠ케이스는 미리 주문해둬서 로즈골드 씌웠는데 진짜 존예..... 친구꺼 봤을땐 시계줄도 다르고 시계도 취향이 달라서 별로였는데(그래서 솔직히 마지막까지 갤럭시워치랑 고민함 그런데...) 진짜 이렇게 해놓으니 존예보스....!!!케이스끼워놓으니 더 커보이는데 전 큰 시계 좋아해서 이게 더 좋았어요ㅜㅠ 사실 생으로 껴도 그 고급진맛이 있지만 기스가 무서운 워린이는 케이스와 함께합니다....ㅎㅎ며칠전에 주문한 핑크 파일이랑 같이 찍어봤는데 진짜 찰떡....ㅜㅠ 너무 이쁘네요.여러분 진짜 두번사세요ㅋㅋㅋ 여기가 제일 저렴해서도 좋았고 일단 배송에 대한 (순차발송)고지가 없어서 기다릴필요가 없어서 주문했어요.그런데.... 사실 이것도 입고 후 순차발송이긴했지만....ㅜㅠ 판매자님이 답도 빨리해주시고 무엇보다 결국 문의하고 담날 발송됨ㅋㅋ좋은상품 감사해요 잘 쓸게요!!!",5
8,아래 3줄요약도 있습니다.제가 이걸 8월에 시켰는데 무려 7월달 상품을 보내주셨습니다 덕분에 삼성케어플러스도 가입하고 이런 상품을 주신다니 감사할 따름입니다. 여기는 믿고 사셔도 좋을 것 같습니다.일단 제품 리뷰를 해보겠습니다.제품을 받고나서 개봉한 후 제품 초기불량이 있는가를 테스트를 해보았습니다. 다행히 불량은 보이질 않았으며 작동이 잘되고 있습니다.저 같은 경우는 남자이며 운동을 좋아하지만 손목이 얇아 40mm 알루미늄 제품으로 구매하였습니다. 실제 착용을해보니 통뼈가 아니신 분들은 40mm 로 충분하다고 사료됩니다.좋은 상품을 보내주신 판매자 분들 감사합니다. 원래 다른데에서 시켰으나 가격이 올랐다고 취소를 시키는 바람에 여기에서 주문하게 되었습니다. 할인쿠폰도 주고 상품도 좋는 상품을 주시니 다행입니다. 취소시킨 판매자는 천벌을 받아 마땅합니다. 이상 tmi 는 마치고3줄요약1. 상품 제조년월을 가장 최신껄로 보낸다. 덕분에 삼성케어플러스를 가입했다(제조년월7월 구입당시 8월초)2. 손목이 얇으면 40mm 통뼈면 44mm 추천 본인은 남자고 40mm 구입3. 스토어 찜 할시 할인쿠폰을 받으면 원가보다 싸게 살수 있다 참고하십쇼,5
9,"액티브2랑 워치3이랑 고민하다가 매장 가서 직접 착용해봣는데 여자가 쓰시기에는 액티브2가 딱인것 같아서 바로 주문했어요.​40mm는 크기도 부담스럽지 않아고 무게도 굉장히 가벼워서 일반 시계 차는 거랑 비슷한 것 같아요!핑크톤 컬러도 되게 여리여리해서 여기저기 무난하게 잘어울려서 좋아요.​아직 기능을 온전히 다 사용하고 있지는 못하는 것 같지만 평소에 폰을잘 못봐서 알람을 너무 많이 놓쳐서 워치 구입한건데 덕분이 이제 알람 전혀 놓치지 않고있어서 만족해요!​부가적으로 스트레스나 심박수. 걸음수, 수면패턴까지 편하게 체크할 수 있고, 회사에서 한시간 넘게 앉아있으면 움직일 시간이라고 진동울려서 그럴 때마다 한번씩 일어나서 화장실도 가고 물도 마시고 하면서 건강을 더 챙기게 된 느낌이에요~​행사 때 저렴하게 구입했는데 서비스로 액정필름까지 챙겨주셔서 잘 쓰고있어요!!",5
