,review,star
0,"화면 크고, 속도도 빠르고 사전예약 할인 22% 받고 구매하여 만족합니다. 게다가 케이스 이벤트까지 있어 정픔커버 5천원에 구입하였습니다. 정가에 모두 구매하였으면  일부 평가자들 이야기처럼 팬에디션이 매력 없다고 판단할수 있으나, 제품 사전예약 할인과 커버 행사  포함하여 구매하면 충분히 만족할 수 있는 상품입니다.",5
1,"몇일 사용해봤습니다.그린색으로 했는데 언뜻보면 실버색상으로 보이는색감이예요.s5e쓰고 있었는데, 화면이 가로로 약4cm 커지니영상물 보기 시원하고 눈도 더 멀리 편안히 볼 수 있네요. 몰입감도 더 좋구요.집에 두고 넷플릭스나 유튜브 보고 인강듣기용이라면 딱 좋은것 같아요. 구지 돈 더주고 프리미엄라인 살 필요는 없겠어요.s펜도 사실 저는 쓸일이 거의 없는데 학생 아이가 한번씩 그림그릴때 너무 좋아하고 터치나 펜압도 정밀하고 세밀하게 표현되네요.전면 카메라위치가 가로 정중앙에 있고스피커 위치도 두손으로 탭을 잡을때(보통 아랫부분을잡으니) 손에 막히지 않게 윗부분 양쪽으로 나 있어요.사실 큰 기대 없이 사전프로모션 한다길래 샀는데생각보다 좋아서 만족합니다.",5
2,"갤럭시탭s7 fe 너무 기대하고있어요!! 대학생활하면서 두꺼운 전공책들, 거의 매일 나오는 수업자료들 너무 무겁고 항상 프린트로 뽑기 번거롭고 경제적으로도 부담스러웠는데 큰 화면에 가성비까지 갖춘 갤럭시탭s7 fe!! 진짜 디자인도 마음에 들고 펜슬 구성까지 너무 알차요. 펜슬 충전, 탭 충전, 핸드폰 충전, 노트북 충전 이거 언제 다 신경쓰고 언제 다해요 충전할 곳 도 없을건데 근데 갤럭시탭은 펜슬을 따로 충전하지 않아도되서 너무 편리하고 가격면에서도 짱짱？？？？ 작은 핸드폰 화면에 유튜브, 넷플릭스보는거 너무 눈도 아프고 불편했는데 큰 화면으로 보면 영화관 안부러울 것 같아요! 제가 취미로 그림도 그리는데 언제 어디서나 무거운 짐 필요없이 탭 하나로제가 원하는 색감 느낌 다 구현할 수 있어서 너무 좋을 것 같아요 이거 말 다했다고 봅니다. 근데 여기서 끝이 아니고 삼성 기술력도 믿고 사는거지만 서비스도 다들 아시잖아요?? 제가 덜렁거리는 스타일이라 자주 떨어뜨리는데 다른 제품들보다 삼성은 빠르고 저렴하게 수리나 서비스가 가능해서 항상 삼성이용해요! 근데 이번에 갤럭시탭s7 fe 까지ㅠㅠ 정말 적게 일하고 많이 버세요ㅠㅠ 대학생에게 희망을 주셨어요 제가 필력이 없어서 두서없는 글이지만 정말 진심을 담아서 썼습니다!! 긴 글 읽어주셔서 감사합니다ㅎㅎ 갤럭시탭s7 fe로 열심히 공부해서 성적 장학금까지 노려볼게요!! 갤럭시탭s7 fe 이정도면 필수템 아닐까요?",5
3,"삼성폰을 구매했는데 굳이 아이폰이 아니어도 여태껏 잔고장 없이 잘 쓰고 있어요. 그래서 최근에 삼성노트북을 샀는데 삼성하면 디스플레이라 폰에서 보던 화면을 노트북에서 볼 수 있어 좋았고, 단지 와이파이가 있는 장소의 제약 빼곤 잘 쓰고 있습니다. 아이패드 2세대를 끝으로 태블릿은 사용하지 않고 있는데, 만약 다시 태블릿이 필요하다면 lte가 되는 모델을 골라야 할 것 같아요. 어떤 장소에 가더라도 다양한 작업을 할 수 있으니까요. 삼성의 호환성에 긍정적이고, 어떤 기기나 믿고 사용할 수 있어서 이왕이면 다홍치마라고 삼성제품을 살 거예요. 삼성 갤럭시 탭 s7 fe lte 당연히 믿고 쓰는 삼성제품이라 기대돼요!",5
4,갤탭s6라이트와 갤탭 s7중고민이라면 딱인제품을 출시했다. 삼성은 역시 소잘알. 소비자를 잘안다. 특히 나처럼 멀티태스킹 기능에 길들여진 갤러 라면 꼭 사야할 잇템이아닐까싶다. 가격은갤탭 s7+에서 낮추고 성능은 s6라이트에서 업그레드됨 일단..디자인을 보니 이쁘다. 캬캬  사전예약해야 정품커버나 파우치도 저렴하게 살수있고 상품권이나  왓챠이용권도 주니 빨리서두르는게 좋겠당,5
5,낮에 다담아이엔씨에서 갤럭시탭 S7+ 구매했어요^^ 제가 30대 중반 공시생이라... 좋은 태블릿으로 열공해서 꼭 합격하고싶어요! 갤럭시탭을 구매했는데도 100원딜에 응모한 이유는 작은 휴대폰으로 트로트 노래 따라부르시는 아버지께 선물해드리고 싶어서입니다. 요즘 눈이 더 안좋아지셔서 약드시는데 저만 좋은거 가져도되나 얼른 합격해서 효도해야하는데ㅠㅠ 마음 한켠이 무거웠거든요 마침 100원딜을 해서 응모했습니다 제발 천운이 따라주면 좋겠습니다^ㅡ^,5
6,"재택근무로 인해 태블릿을 서치중이었습니다. 23일부터 국내 출시를 임박하고 있어 기대가 큰 태블릿이었는데, 이번에 새롭게 팬에디션 모델의 롱텀에벌루션을 이벤트로 응모할수 있게되어 기대감이 흥분되네요.일단 스펙으로는 삼성 덱스와 클립 스튜디오 페인트를 지원한다기에 관련부서 재택근무자들에겐 요긴하게 잘쓸수 있을거 같습니다. 당첨이 된다면 블로그 언박싱 리뷰도 할 생각입니다. 당첨되었으면 참 좋겠습니다. 재택근무 하고 계시는 직장인 여러분 코로나 이겨내어 일상적인 생활을 할 수 있도록 화이팅합시다!",5
7,"지난 s6부터 이번 s7까지 태블릿시장의 점유율을 지속적으로 올려온 삼성이, 가성비라인을 통해 자리매김하려는 모습이 좋습니다. 뭐든 시장에서의 양기업이 경쟁하는 것은 좋으니까요ㅎㅎ FE 모델은 딱 필요한 요소들만 넣고 더욱 큰 액정과 좋은 필기감으로 라이트하게 사용하기 좋은 모델이라고 생각합니다! 당첨됐으면 좋겠어요!",5
8,"？？  요번에 삼성에서 태블릿 신제품이 출시된다고 알려져서 자칭 전자기기 덕후인 저는 여러 사이트에 해당 제품의 이름을 검색해 사전예약알람을 해놓았어요:)  ？？？？ 그러던 중 삼성파트너 '다담'에서 파격적인 100원 이벤트를 진행해 제 눈을 사로잡아 자연스럽게 응모버튼을 누르게 되었네요 ㅎㅎ  ？？？？ 사실 유사 이벤트에 당첨돼 본 적이 없어 비슷한 이벤트들을 넘기곤 했는데 '신제품은 못참지!'라는 생각으로 살짝 기대감을 품어 신청해봅니다.  ？？ 만약에 당첨이 된다면, 해당 제품으로 유튜브 시청도 하고 그림도 그리고 동생 온라인수업도 들으면 삶의 질이 상승할 것 같아요!! 되게 재밌겠네요？？  ？？ 삼성에서 새로 나올 갤럭시탭S7 FE는 와이파이 모델은 없고 LTE모델만 나올 예정이라고 하던데 궁금하네요!? 그렇게 된다면 태블릿을 개통하여 핸드폰과의 자유로운 데이터 이동과 와이파이 없이도 전화 수신 메세지 공유 등 사용자의 편리성은 더욱 넓어 질 것 같습니다.  ？？ 마지막으로, 앞으로도 요런 이벤트 많이 진행되었으면 좋겠습니당",5
9,"태블릿계의 명품 삼성 갤럭시탭의 신작 S7 FE! 명불허전, 자타공인!! 비대면 온라인 수업의 최강자 S7 FE 얼마나 좋아졌을지 기대가 큽니다! 아이들이 학교를 가지 못하고 집에서 온라인 학습을 합니다. 삼성 태블릿만한게 없는 것 같아요. 100원딜에 당첨이 꼭 되어서 아이들이 집에서 즐겁게 온라인 학습 할 수 있도록 기회를 허락해 주세요! 너무 좋아할 아이들의 모습이 눈에 선합니다. 아이가 둘이라 하나 당첨되면 당장 하나 더 살 예정이에요.^^ 삼행시로 마무리할게요~ 삼! 삼세번을 고민해도~ 성! 성공적인 온라인학습의 비결은~ 에스칠 에프이!!! 그것이 답이다!!!!",5
