title,review,keyword,date
홍미노트 시리즈의 고질병 2,  홍미노트 프로 프로 프로 프로까지 쭉 써오고 있는데사용 중에 가장 불편하고 짜증나게 하는 고질병이 개가 있습니다첫번째는 한글 키보드 오타프로까진 괜찮았는데 프로부터 눈에띄게 심해졌습니다 프로도 개선되긴 했지만 여전히 존재하구요 웃기게도 키보드 입력만큼은 한참 구형기기인 프로가 제일 잘 됩니다오타는 특히 한글 키보드에서만 눈에띄게 발생합니다 비밀이 ㅣㅂ밀 이런 식으로 입력되는 등 제가 플레이스토어에서만 개 넘는 키보드로 바꿔봤지만 해결 안되는 문제입니다게임최적화 민감도 배터리 절전 권한 옆밑 사이즈 조절  롬 커널 등 모든 수단을 동원해도 절대 완벽한 해결은 안됩니다참고로 키보드 빠르게 안 치는 분은 체감 안됩니다 빠르게 칠 때만 나오는 현상이라서그리고 같은 모델이더라도 터치패널에 따라 체감이 다른 경우도 있을 겁니다 같은 모델인데 들어가는 패널은 랜덤 ㅡㅡ두번째는 앱을 너무 죽인다는 겁니다 이건 정말 의 전통이라고 해도 될 정도의 고질병이죠 그래도 카톡같은 메신저까지 죽이는 심각한 문제는 대부분 해결되었지만 여전히 문제가 많습니다 보안 앱도 죽이고 원모어 블루투스 앱도 죽여서 이어폰 연결해도 팝업창 안뜰때도 많고 갤워치 플러그인도 죽여서 에러창 뜨고당연히 권한이나 배터리관리 자물쇠 설정 등의 방법으로도 해결 안됩니다 애초에 캐시나 메모리 정리는 일부러 안하는 타입인데도이건  계열 롬에서 발생하는 문제이기 때문에 다른 커롬을 쓰면 해결되지만  자체의 기능도 많이 활용하는 입장에선 그 기능을 전부 포기해야 된다는 점에서 그렇게 단순한 문제는 아닙니다저 두개의 문제를 해결하기 위해서 사실상 카페와 등에 알려진 대부분의 팁은 다 써봤다고 해도 무방할 정도이며 제가 내린 결론은 해결이 불가능하다는 겁니다다음에 기변할 때 쯤에도 개선된 모습을 발견하지 못한다면 다음 스마트폰은 삼성 쪽을 찾게될 지도 모르겠네요,스마트폰,2021.08.11. 03:56
홍미노트 틴 츠로(10 프로) 터치후기,  내손이 똥손인거 이 폰이 똥 폰인가내 손이 똥손일까요 이 폰이 똥폰일까요아무리써도 오타거 줄어들지를 않메아무리 써도 오타가 줄지를 않습니다한 문장 쓰겠다고 몇번을 왔다갔다 하믄지한 문장 쓰려면 몇번을 썼다 지웠다 하는지쿼티 자판을 쓴게ㅜ하루이틀도ㅠ어니고 쿼티 자판을 쓴게 하루이틀도 아니고구글 쥐보드를 슨건도 닐이년도ㅠ아니고 구글 보드를 쓴것도 일이년도 아닙니다한줄 쓸라면 빽스페이쓰는 오륙십번은 더 두드리는 듯 한줄 쓰려면 빽스페이스키를 오륙십번도 더 두드리는 것 같아요뭐야 막줄은 오ㅑ케 잘 썼는지 감칸이 나오기는 커년 제길 갑자기 막줄이 잘써져 놀랐다가 이 문장 쓰면서 한숨이 나옵니다가볍게 봐 주세요  숨정 카메라러 찍넜습니다순정 카메라로 찍었습니다,스마트폰,2021.08.11. 01:33
미10라에서 미10라줌 롬으로 교체 사용기,  안녕하세요미라 단말기에 미라줌 롬 교체기 입니다교체 이유는 주간롬 사용 및 베터리 드레인 해결 입니다해당 설명은 롬 설치 및 등 커스텀 리커버리 사용 가능자를 위한 내용입니다준비물미라줌 주간롬미라 호환 구글 카메라미라 롬에 있는 권한관리자 먼저 롬 압축을 풀고 해당경로에 업데이트 스크립트를 엽니다 모델명 불일치 문제 해결을 위해 해당 블럭만큼 삭제하고 저장합니다수정이 완료되면 다시 재압축을 합니다커스텀 리커버리에서 해당 롬을 플래슁 합니다 그럼 미라줌 주간롬이 사용 가능합니다그런데 권한 관리자와 카메라 오류가 발생합니다권한 관리자는 미라에서 추출하여 교체하고 카메라는 기본카메라를 삭제하고 구글카메라 설치하면 됩니다해당작업은 명령어 또는 앱컨트롤 사용 하세요 카메라 정상작동 스샷 입니다그럼 즐거운 하루되세요,스마트폰,2021.08.11. 00:44
아이폰에서 홍미노트 10 바꾼 후 간단한 일주일 후기입니다.,  안녕하세요 기존에 아이폰 미니를 쓰다가안드로이드도 써보고 싶고 샤오미도 궁금하고해서 홍미노트 으로 찍어먹어보고 있습니다일주일간 아이폰은 집에 두고 홍미노트 만 들고 다니며 사용했습니다아이폰 미니에 비해장점 화면이 크고  좋지는 않지만 스테레오 스피커가 있어서 폰으로 영상 보기엔 훨 좋습니다배터리도 오래갑니다현재 픽셀롬에  을 다운받아 사용중인데 일상적 사용시엔 성능상으로 전혀 불편함을 느끼지 못합니다 이어폰 단자가 있습니다아이폰에 비해서는 아니지만 이 가격대에서 조도 센서가 있는것도 장점인것 같습니다단점통화시 스피커 위치가 조금 애매하긴 합니다 적응하면 괜찮습니다쇼핑 앱 같이 사진이 많이 로드되는 서핑이나 게임을 할 경우 성능의 부족함이 느껴집니다 조금 버벅입니다 의 부재가 조도가 낮아지거나 동영상을 찍으면 느껴집니다자이로 센서가 너무 민감하게 세팅된건지 화면을 돌리려 의도한게 아닌데 돌아갈때가 자주 있습니다단점들도 가격이 에서 인것을 생각해보면 단점이라고 볼 수 없는 사항들입니ㄷㅏ언락하고 롬올리는 과정에서 카페의 여러 글들로 도움을 받았습니다 감사합니다 앞으로도 홍미노트 관련 정보 많이 부탁드립니다 ,스마트폰,2021.08.07. 20:37
poco m3 pro 5g 일주일 사용기 (수정),  어느덧 포코  프로 를 받고 사용한지 일주일이 다되가네요이전에 간단하게 짧은 후기로 세컨 폰으로 정말 좋은 폰이라고만 글을 남겼었는데 실사용 일차가 넘어가면서 더 좋다고 느끼고 있습니다스펙 출처  일단 고사양 게임을 안하고 카메라에 큰 신경을 안쓴다는 가정하에 만원의 가격은 정말 메리트가 넘치네요요즘 폰들이 스펙 한계효용성 때문인지 일정정도의 퍼포먼스 이상이라면 아무리 성능이 좋아도 크게 느껴지지 않네요그만큼 중저가 폰들도 이제 예전에 전화 문자만 잘 되는 폰의 인식에서 많이 바뀐 거 같습니다 저는 통화녹음 때문에 대만롬 쓰고 있습니다 미디어텍은 롬 설치가 아예 안되는 게 아니라 안되는 수준만큼 어렵다고 들어서아무튼 대만롬에서     다 잘됩니다는 심이 없어서 모르겠으나 안될 거 같습니다케이스 씌워 놓은 모습만 보면 사람들이 갤럭시  일반 버전이냐고 물어보는 사람도 있더라고요 무게도 그램 인가 그래서 기존 미프로 보다 가볍게 느껴집니다 카메라 성능을 보기 위해서 백만 화소로 촬영했습니다그냥 카메라가 기록 용도 로만 사용하면 될 거 같습니다동영상은  프레임까지만 가능합니다 안투투와 긱벤치 성능입니다안투투 기준으로 보면 레드미노트프로 보다 좋네요 제 기억으로 제가 레드미 노트 프로 가지고 있을 때 안투투 점수가 만점 정도 나왔던 거 같은데 물론 안투투는 믿을만한 점수가 못 되지만요긱벤치도 나름 나쁘지 않습니다미디어패드 와 비교해보면 가격으로 용서가 됩니다 화웨이 미디어패드 안투투 돌리는 김에 미 프로도 오랜만에 돌려봤습니다 솔직히 포코  살거면 만원 더 주고 램 기가인 포코  프로 를 사는 게 나은 거 같습니다레드미노트 를 사실 분들은 얼마 안계실 거 같지만 혹시 이 제품 사실거면 포코 프로 로 구매하시는 걸 추천드립니다모바일 게임하는 영상을 찍어보고 싶지만 재미 붙일만한 게임을 못 찾았습니다 하루 넘게 붙잡고 있을 수 있는 모바일 게임 추천 부탁드립니다                도움말라이센스            동영상 인코딩 중입니다분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다  마우스를 드래그 하세요 도움말  멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거   화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 초 후 재생광고 후 계속됩니다 공유소스 코드     주소복사 소스        복사 미지원으로  코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어  복사 레이어 닫기접기펴기어플 설치 속도    일주일 사용기 플레이 스토어에서 어플 다운받고 설치하는 속도입니다느려서 답답해할 정도는 아니네요                도움말라이센스            동영상 인코딩 중입니다분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다  마우스를 드래그 하세요 도움말  멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거   화질 선택 옵션 화질  전체화면   광고정보 더보기초 후 초 후 재생광고 후 계속됩니다 공유소스 코드     주소복사 소스        복사 미지원으로  코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어  복사 레이어 닫기 속도 테스트 추가로  속도 테스트도 해봤습니다이상으로 간단한 일 후기 마치겠습니다궁금하신 점 댓글로 남겨주시면 가능한 것들은 테스트 해보고 알려드릴게요,스마트폰,2021.08.07. 11:57
노트10프로,  어제 급 구매해서 하루 써봤는데액정이 누런끼가 있네요프로 쓰다 넘어 왔는데 하얀 바탕만 보다 보니 살짝 적응이 안되는카메라도 프로가 더 좋은 느낌이예요스피커는 아래 위로 있어서 노래 들을땐 더 좋은거 같아요개월 쓴거 기스도 없는거 에 가져 왔는데 가격 정당히 잘 가져 왔나 몰라요 ㅎㅎㅎ,스마트폰,2021.08.07. 11:04
Poco x3 nfc 최근 사용기. 콜드랍. 통신사이동,  다른 사람은 잘된다던   모바일 이지만 나에게는 콜드랍으로 빡쳐 있던 차에이번 알뜰폰 기간에 에서 현재쓰는 요금제 비슷한 기가 기가 무제한 요금제 짜리 이동 가즈아 어제 유심와서 이동 했는데처음에   안되서통신사 연락하니외산폰이라서 현재 통화 하는 폰  으로 안되니 유심을 향 쓰고 있는 공기계에 유심 넣고 로 전화 다시 해달라고 함 ㄷㄷㄷ혹시 몰라서 예비 아이폰  같이 들고 있는데유심 인식안됨 ㅠㅠ옆자리 쓰고 있는직장동료에게 사정 설명 하고 유심 넣어서부팅해봐도 유심 인식안됨 ㅠㅠ어떻게 할까 생각중에지금카드 들어 있는 번 슬롯에 넣고하니 인식후 전화 아침에 몇번 통화 했던 통화 품질팀에 전화후번 째 원래 사용하려던  값을 불러주고  활성화 및  전송 여부 확인이틀째인 지금에 아직 까지 콜드랍 및 데이터 끊김 현상 없음특이점 원래 유심이던  정보가 잠금 화면에서나옴  등록 정보 혹시모르니 주말까지 조금더 지켜봐야 할 상황읽어주셔서 감사하고 나같은 문제가 있는 분은정안되면은 통신사 이동을 추천 합니다스트레스 받지 마시고 이동 하세요 읽어주셔서 감사합니다날 더운데 더위 조심 하세요,스마트폰,2021.08.06. 14:45
미 10 라이트 miui 12.1.1 사용기....,  우선  이  보다 많이 좋아졌습니다기본음악앱 재생중일때 잠금화면에 플로팅바도 나옵니다급조한 퀄리티지만 없다가 생겨서 편합니다로 올리자마자 새로 생긴 움직이는 배경화면 신기합니다 하지만 잘 안쓰네요그 외 뭐가 바꿨는지는 모르지만  여전히 빠릿하고 좋습니다진짜 중고로 개통의무사용 폰으로 만에 구입했지만 가성비 넘치는 아주 만족스러운 폰입니다미라 이놈 좀 쓰다가 미라의 앞태뒷태가 넘 이뻐서 이놈도 써볼생각입니다 ,스마트폰,2021.08.06. 13:26
1TB를 무료로 제공하는 '테라박스' 클라우드 소개,  를 저장할 수 있는 무료 클라우드 서비스 테라박스를 소개합니다 본 소개 포스팅 작성을 통해 소정의 수고비를 받았구요 이것으로 조만간 이벤트 진행할 예정입니다많은 기대 부탁드리며 테라박스 서비스도 많은 관심 부탁드립니다  스마트폰으로 사진 찍는 것을 좋아하는 분이시라면 항상 저장 공간에 대한 고민이 많을 것입니다 그것은 아마도 사진들이 계속 쌓여 저장할 공간이 부족하지만 한 장 한장 모두 소중한 추억들이라 지워버릴 수도 없으니 간편하게 백업하고자 하는 고민일 것입니다 또한 로컬에 저장한 데이터는 스마트폰을 분실하면 모두 사라져버리니 안전한 곳에 옮겨놓아야 안심이 되죠 게다가 최근  포토의 무제한 저장 용량이 사라져 버렸으니 그 대안이 필요한 상황입니다 그러한 고민을 하고 계시는 분들께 유용하게 활용될 수 있는 테라박스 클라우드 서비스를 소개해보고자 합니다 테라박스 로고테라박스는 이름 그대로 의 저장 공간을 제공하는 클라우드 스토리지입니다 게다가 회원가입 만으로 의 대용량 저장소를 무료로 영구적으로 제공하고 있어  포토의 대체품으로도 손색없습니다    테라박스 앱 설치 모습 테라박스는   앱 뿐만 아니라 웹으로도 지원하고 있어 다양한 디바이스에서 활용하기에 편리하게 구성되어 있습니다 이 포스팅에서는 를 기준으로 진행합니다앱을 설치하면 로그인 화면이 표출되는데 개인용 데이터를 저장하는 것이 주 목적인 서비스이므로 당연한 구성이라고 생각됩니다 로그인은  카카오  로그인이 가능하며 이외에 이메일이나 전화번호로도 가입할 수 있습니다로그인 후 사진 자동 백업을 진행할 것인지를 물어보는 화면이 나오는데 덕분에  포토처럼 사진 백업 용도로도 편리하게 사용할 수 있습니다 테라박스 앱 실행 모습 앱을 실행하면 홈페이지 파일 앨범 동영상의 개의 카테고리를 확인할 수 있는데 특히나 사진과 동영상과 같은 멀티미디어 저장 기능에 특화시킨 것이 눈에 띄는 구성입니다 전체적인 도 어렵지 않고 간단하게 구성되어 있어 처음 사용하는 분도 쉽게 적응할 수 있을 것 같습니다우측 상단의 햄버거 메뉴를 열어보면 전체 저장용량 현재 저장된 용량을 확인할 수 있는데 하단에  저장공간 평생 무료라고 써있는 것이 인상적입니다 문구가 강렬한걸 보니 앱 운영사에서 자신있는 모양입니다 자동 백업 기능도 눈에 띄는 곳에 있어 설정하기에 편리합니다 무료 버전에서는 사진만 자동백업이 가능하지만 프리미엄 구독시 동영상도 자동백업이 제공됩니다 게다가 저장 공간까지 더 늘어나니 용량이 큰 동영상을 많이 저장해도 좋겠습니다  이제 기본적인 소개는 마쳤고 기능 사용법에 대해 알려드리겠습니다 업로드 기능 시작하기 클라우드 스토리지의 유일무이한 기능은 바로 클라우드 저장이죠 앱에서 버튼을 터치하면 다양한 파일을 업로드할 수 있는 메뉴가 표출됩니다 여기에서 업로드를 원하는 항목을 선택하기만 하면 로컬에 저장된 해당 항목들만 모아서 보여주게 됩니다 업로드 하기 저는 사진을 선택해봤습니다 로컬에 저장된 사진들이 모두 보여지며 테라박스 클라우드에 백업된 사진과 백업되지 않은 사진을 구분해서 보여주니 중복 업로드를 피할 수 있어 참 편리합니다 업로드 속도는 나쁘지 않았습니다  인터넷에서 로 연결된 상황에서 평균 약 의 속도를 보여주고 있습니다 이미지 약 장 업로드는 초 정도 소요되었습니다 혹시라도 아주 큰 용량을 업로드할 경우 업로드 중에 앱을 빠져나오면 백그라운드로 업로드할 수도 있으니 업로드 걸어두고 다른 앱을 사용할 수 있습니다 업로드된 모습 업로드된 사진은 위 사진처럼 앨범 탭애 모여있게 됩니다 아마 눈치채셨을텐데 일반 파일은 파일 카테고리에 사진은 앨범 카테고리에 동영상은 동영상 카테고리에 구분되어 업로드됩니다 테라박스가 특히  포토의 대체제로서 활용될 수 있는 구성을 갖춘 것이죠앨범에 들어가면 이렇게 클라우드에 업로드된 사진들이 보이는데 기본적으로 업로드한 시간 순으로 정렬되어 있습니다 그리고  분류 기능이 있어 성격이 비슷한 사진끼리 모아서 보여주기도 합니다                도움말라이센스            동영상 인코딩 중입니다분 이상 소요될 수 있으며 영상의 길이에 따라 소요 시간은 달라집니다    테라박스 앱으로 스트리밍 하기    재생 수     마우스를 드래그 하세요 도움말  멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다선거광고 안내       음소거   화질 선택 옵션자동     자동                                 화질  전체화면           광고정보 더보기초 후 초 후 재생광고 후 계속됩니다 공유소스 코드     주소복사 소스        복사 미지원으로  코드 퍼가기 기능은 더 이상 지원되지않습니다도움말 플레이어  복사 레이어 닫기접기펴기테라박스 클라우드 서비스 스트리밍 기능 소개테라박스 앱으로 스트리밍 하기스트리밍테라 클라우드에 저장된 사진과 동영상은 다운로드 받지 않아도 자체적으로 스트리밍 기능을 지원하니까 여기에 꼭 사진같은게 아니더라도 각종 영상들을 다운받아 넣어 보는 쪽으로 활용해도 좋을 것 같습니다  마지막으로 일종의 보안폴더라고 볼 수 있는 코퍼 기능이 탑재되어 있는데 여기에는 남들이 보면 안되는 정보나 그렇고 그런것ㅎ들을 넣어서 비밀로 간직할 수 있어요 코퍼 메뉴에 들어오려면 패턴이나 비밀번호 지문으로 잠금을 해제해야만 들어올 수 있으니 누가 보아도 안심이라고 할 수 있죠 특히 분 이상 조작이 없으면 다시 자동으로 잠기는 기능도 좋았어요코퍼 저장소 기본적으로 를 제공합니다 테라박스 공유하기 기능 클라우드에 저장된 파일은 링크를 통해 공유할 수 있는데 암호를 지정할 수 있는 기능도 있고 게다가 링크의 유효기간이 영구적이기 때문에 다양한 부분에서 활용도가 높습니다   지금까지 테라박스 클라우드 서비스의 소개와 주요 기능을 살펴보았습니다 의 저장소를 무료로 제공하고 사진 자동 백업 기능도 있어 다양한 분야에서 활용도가 높을 것으로 예상됩니다 혹시 무료 클라우드 스토리지를 찾고 계시다면 테라박스를 이용해 보시는 것도 좋을 것 같습니다감사합니다다운로드 바로가기  본 게시물은  의 요청으로 작성되었으며 게시물 작성을 위해 소정의 비용을 영수하였습니다게시기간  년 월 일부터 일까지,스마트폰,2021.08.05. 22:35
홍미9t 사용기,  만원 초반에 엄청 저렴한 가격해외몰에서 직구했음에도 일만에 도착한 총알 배송저렴하지만 왠만한 좋은 기능들은 다 보유하고 있는그야말로 핵 가성비 폰가 안되는게 단점이지만 세컨폰이라 큰 의미도 없습니다무게 그립감 등 사용에 편리함도 기본은 하고 디자인도 생각보다 고급스러워서 마음에 쏙 드네요   카본 그레이 트와 일 라잇 블루 총 두 개를 주문배송된 것은      카본 그레이   트와 일 라잇 블루 응하지만 단 하나의 단점이 있으니 모바일에서 볼트가 안된다는 것볼트가 되지만 내가 못하는 것일까요별 방법을 다 써봤지만 결국엔 실패뭐 통화량이 많은 것도 아니라 그냥 쓰기로 했습니다통화나 문자나 모두 잘 되긴 하니까요솔직히 보이스랑 음질이 얼마나 차이나는지도 모르겠어요  등록   두가지 다해봄 전화패드로    만들기 설정에서  여하튼 결론은 안됩니다그래도 긍정의 마인도로 잘 쓸랍니다 ,스마트폰,2021.08.05. 16:14
