,type,category,review,star
0,아이패드,별점,"제품 받자마자 전원이 들어오지 않아서 반품하고 교환을 요구했더니 충전이 제대로 안되어 있어서 그런 것 같다며 제품에는 아무런 문제가 없다고 하더군요.... 찜찜하지만 그 제품 다시 받았음.... 사용한지 한달정도 지나고 부터 애플로고 무한반복.... 참다참다 애플고객센터 갔더니 제품불량이라며 교환처리 해주겠데요... 데이터 복구불가, 액정보호필름은 다시 사야 한다고 함.... 그 때 환불받았어야 했는데... 판매자 말만 믿었다가 이렇게 됐네요....",1
1,아이패드,별점,상자 뜯었는데 기기 전원이 켜져있었고 밧데리도 90퍼센트였네요. 쓰던 제품이 온건가 해서 프리스비에 문의해보니 as센터 쪽에 문의하라고 해서 문의했더니 그쪽에선 또 본인들 책임 아니다.. 프리스비에 다시 문의하라고 하네요. 게다가 기기 휨 현상까지 있어서 불량 체크하니 에이포 용지 7장 넘게까지 들어갑니다. 교환 요청하려다가 프리스비에서 바로 교환 해주는게 아니고 as센터까지 직접 가서 요청해야한다는 얘기 듣고 그냥 쓰려구요~ 배송은 빨랐습니다.,1
2,아이패드,별점,"기쁜 마음으로 개봉했는데 액정은 아니지만 뒷면에 기스가 3군데 있었습니다. 교환이나 환불을 원했지만 애플본사측에서는 문제 없는 제품으로 본다며 안된다고 하셨네요...규정을 보면 이런 문제로 개봉하면 교환/환불은 불가라고 써 있어서 그냥 사용은 하지만..(우리나라에서만 인정하는...애플은 인정을 안한답니다.)개봉해야지만 상태를 알수 있는데...ㅜㅜ 복불복 일 수 밖에 없는....(귀사측에 7~8건? 정도 접수 되었는데 교환/환불 해준적 없답니다....ㅎㅎ)
어쩔수 없이 저희 아이 그냥 사용을 하지만...
많이 아쉽긴 합니다.
*사진은 저희 아이한테 보내라고 했더니...요 사진만 딸랑 보내네요..",1
3,아이패드,별점,"일단 사용해 보지 않아서 성능 기능 모릅니다.4시 이전 당일배송에 12월 23일(수)도착 예정 이라는거보고 21일 오전 9시쯤 결제 했는데 ~왠걸요..4시 이전 당일 배송인데 선물 할거라 꼼꼼히 보내달라고남겼더니 너무 당당히 다음날 출고 할거라는 판매자의 답변.어이없었습니다.그래서 주소지 변경 까지 하고 출고를 기다렸죠.다음날 22일 출고가 됐고, 그때까지도 23일 수요일 도착이라는 문구를 보며 안심 했습니다.크리스마스 선물로 구매한거라 배송때문에 걱정 했거든요..출고만 했을 뿐, 움직이지 않는 택배.그 다음날 23일 택배사. 11번가. 판매자측을로전화하기를 수차례.. 결국 목요일 오후에 판매자가 했던 말은 반품수거하고 환불해줄테니 오프라인으로 구매하세요;;-.-어이가 없었습니다.시간약속 배송약속 상담원이 기본적으로 갖춰야할언행등등 .. 너무 불쾌하고 기분 나쁩니다..당연 크리스마스 선물은 물건너 갔구요.이거 때문에 주소지변경 해서 다른지역을 두번이나 왔다갔다..구매하시는 분 신중히 구매하세요배송 늦어지면 구매한 구매자만 초조해 질뿐판매자측은 상당히 여유롭습니다.",1
4,아이패드,별점,"물건은 잘왔습니다.. 그런데 택배회사가 엉망이네요.
고가의 제품이라 배송전에 연락달라고 남겨놓았음에도 불구하고 배송완료라는 연락도없고, 빌라라서 무시하는지, 우편함위에 있더라구요... 집앞도 아니고.. 누가 훔쳐가면 이건 택배사에서 보상해주나요 ?",1
5,아이패드,별점,"크리스마스 선물로 21일 오전 결제했는데
26일날 도착해서 다 망쳤고요
똑같은 택배사로 이것보다 더 늦게 주문한 물건들 전부 더 빨리왔음. 택배 핑계대지말고 발송이 늦을거면 늦는다고 미리 고지를 했으면 여기서 안시켰을거 아닙니까",1
6,아이패드,별점,패드는 아직 개봉전이나 문제없을거구문제는 배송.. 월욜 점심쯤 주문한게 목욜 점심때 왔어요..알리서 배송오는것두 아니고.. 늦게와도 되는분은 여기서 주문하시고 아니면 우체국택배로 보내주는 쇼핑몰서 구입하시길 추천합니다!!,1
7,아이패드,별점,화요일 결제하고 목요일도착이라 했는데 토요일 저녁에 도착햇네요 대단한 배송입니다 젤 느려터진 cj를 쓰는 이유가 잇나요? 다시는 안사고 싶네요 cj전화해도 불친절함에 더 열받고...펜슬이나 케이스 필름등은 예정된날에 다왓는데 유독 본체아이패드만 토요일 도착합니까 ㅅㅂ 다신 안사고 싶네요,1
8,아이패드,별점,분명히 실버옵션골랐는데 스페이스그레이 왔어요. 그냥 쓸랍니다,1
9,아이패드,별점,색상이 다른게 왔어요 그리고 판매를 내려버렸네요.,1
10,아이패드,별점,"화면에 기스나서 와서 서비스센터에서 교환
받았어요",1
11,아이패드,별점,"상품은 마음에 드는데...저번에도 그랬지만 포장을.. 너무 성의 없이 하네요
가격이 저렴한 제품도 아니고 그냥 뽁뽁이 몇번 감아서 고정도 안되게 보낸다는게 참 어이가 없습니다",1
12,아이패드,별점,"제품은 마음에 들지만 서비스는 0점 드리고 싶네요
서비스가 이마0몰과 너무 비교 되네요
아무리 전달만하는 매장이라지만 픽업갔다가 웬 잡상인취급이라니요
다른판매점은 제품설명도 해주려한다는데...",1
13,아이패드,별점,파손된 물건 옴,1
14,아이패드,별점,"디스플레이 불량받음
이제 아이패드 안사야지. 교환도 서비스센터 직접 방문해야 하고 확인도 오래걸리고 시간낭비 오졌다",1
15,아이패드,별점,긁힌 부분 있었는데 교환도 안되고 해서 일단 그냥 씁니다.,1
16,아이패드,별점,추가상품 질이 너무 안좋아요못쓰겠어요 환불해주세요,1
17,아이패드,별점,주말에다 물량 부족으로 배송 늦는 건 이해하는데 받지도 않은 애플케어 기간이 시작된지 2일 다 지나서 밤늦게 받았어요 기간 연기 요청하려다 참았은데다시는 같이 신청 안할 것 같습니다,1
18,아이패드,별점,좋아요 제품은 좋은데 여기 직원친절도나 응대점수는 낮네요,1
19,아이패드,별점,"아이패드를구매하면 필름정도는 같이주셔야되는것아닌가요..?
배송왔는데 없어서 따로주문하고있네여 왕짜증!",1
20,아이패드,별점,"1. 재고 확보가 안됨
2. 애플코리아에 판매자가 직접 주문
3. 배송지 오입력으로 우체국에서 딜레이
4. 휴대폰번호도 제대로 입력안해둠
5. 여기서 사지마세요",1
21,아이패드,별점,배송너무 늦어요어어,1
22,아이패드,별점,다좋은데 그린으로 주문했는데 그레이가 왔네요 하아,1
23,아이패드,별점,배송이느려요,1
24,아이패드,별점,"배송은 무지 빨라요~!
6월 1일에 도착해서 뜯어보는 중 모서리부분에
기스발견.. 바로 사진찍고 QnA 남겼으나 상담원이 여기서 교환안되고 근처 애플스토어나 서비스센터 가야한다고 하심. 근데 이게 초기불량이라도 상황에 따라 교환이 안되는 경우도 있다고함..
오늘 전화로 센터 예약하고 퇴근하자마자 방문했더니 운좋게도 교환해주신다고함 몇일 기다려야하지만..ㅜㅜ 교환안됐으면.. 솔직히 화날뻔했음. 규정은 잘 모르지만 원래 구매한데서 교환해줘야하는거 아닌가요..? 그리고 여기 이름만 애플공식브랜드스토어고 리셀러샵임.. 여기꺼 위X프에서 선물용으로 에어팟 샀었는데 그땐 하자없어서 다행이었지 하자있었음 선물받은사람이 나처럼 고생했을 듯. 그리고 패드 사면서 애플펜슬이랑 종이필름+펜슬팁 세트 추가구매했는데 애플펜슬은 하자없이 잘 도착했음. 근데 종이필름 펜슬팁 세트는 팁이아니라 팁커버가 왔음. 상품명은 분명 펜슬팁인데 왜 팁커버를 보내주시는지...? 이름가지고 속은거 같아서 기분이 썩 좋진않고요. 저처럼 오해하는 구매자가 더이상은 없도록 상품명은 수정해야할 필요가 있어보이네요.",2
25,아이패드,별점,아니 어트케 사자마자 가격을 내립니까 기분나쁘게,2
26,아이패드,별점,그냥 그랬어요. 조금 까진 부분 교환이 안 된다는 사실을 처음 알었네요.,2
27,아이패드,별점,끝부분 데미지 있네요..걍 귀찮으니까 쓸게요,2
28,아이패드,별점,불량이 와서 교환했지만 만족이요,2
29,아이패드,별점,"아이패드는 예쁜데 카메라 옆 부분에 조금 찍힘? 흠집이 있네요 지워지진않네요 좀 별로지만
반품하고 새로 받기 귀찮아서 그냥써요",2
30,아이패드,별점,받은첫날 자꾸 꺼져서 본사에 전화했더니 배터리불량이라고 함 결국 교환신청하고 이틀만에 다시 받았음,2
31,아이패드,별점,여기서 받은 제품 디스플레이 문제로 교환받았어요.,2
32,아이패드,별점,충격방지되도록 포장이 더 꼼꼼했으면 합니다,2
33,아이패드,별점,케이블 불량이라 ....하...신사역까지 다녀왔네요....아..물건좀 확인좀 잘해주세요...,2
34,아이패드,별점,구매한지 한달도 안됐는데 충전기어뎁터가 고장나서 못쓰게됐네요..몇십만원대인데 충전기가 벌써 고장나서 실망이네요 품질에 조금더 신경써주셔야할거같아요,2
35,아이패드,별점,배송이 너무 너무 느렸습니다.,2
