,type,category,review,star
1,애플 에어팟 프로,별점,"택배가 이렇게 엉망인건 처음 받아봐요.. 찌그러진것도 그렇지만 젖어서 에어팟 포장지 감싼 뽁뽁이까지 습기가 찼더라고요. 택배 상태보고 너무 기분 나빴어요 배송도 대한통운 며칠전에 받은 다른 택배들은 하루만에 오고, 심지어 금욜에 시킨게 토욜도 오는데 이건 이틀 걸렸어요. 이틀도 늦은건 아니지만 저 포장상태를 보니 어디서 굴러다니다 온건가 해서 매우 찝찝하네요. 한두푼도 아니고 전자제품인데..폭우가 내리는 장마통도 아니고 이게 뭐죠?... 찝찝하지 않으려고 돈 더주고 공식 판매처에서 사는건데 이렇게 실망하게 될줄은 상상도 못했어요.",1
2,애플 에어팟 프로,별점,"저와같이 피해 보지 않으시길 바라면서 생에 처음 오픈마켓에서 사기당한 후기 적습니다

아래 후기글 보니 다른 구매자분도 저하고 피해본 내용이 동일하네요


저도 동일하게 2월초 구매당시 상세설명에
[21년 1월이후 최신 제조된 제품으로 발송됩니다] 라고적혀 있어서 그거만 보고 구매했는데 작년제품이
왔네요
선물용으로 구매한거라 선물받은사람이 당연히 개봉해 버려서 판매자에게
제품 오발송으로 인해 교환요청했더니 개봉상태에서는 교환,환불 불가라고 하네요.

판매자가 물건을 확인안하고 보내고 소비자가 확인해서 반품요청 하라는건 장사치나 할 행동 이잖아요
제가 구입하려고 했던 최근에 생산된 제품을 원해서
참 편하게 장사하십니다
저도 마음 편하게 이어폰이나 팔까 잠깐 생각했습니다

금전적 보상을 논하기전에 그돈으로 직원을 늘리던
하세요 돈30만원에 감정소비 하기싫어서 구매확정 눌렀습니다
사람들 현혹시키려고 자신없으면 허위문구 내리고
이해할수 있는 배송료로 책정해두고 장사하세요


선물용으로 구매하실때 제조일자 확인후에 커버 개봉하라고 선물을 받는분께 전달 하셔야 할껍니다
뜯으면 판매자 소관이 아니니까요
포장뜯으면 소비자 책임이라 환불 교환안됩니다

판매한다는 제품은 안오고 잘못된 물건을팔고 소비자책임으로 돌리는데 별하나를 왜줘야되는지",1
3,애플 에어팟 프로,별점,"잘쓰고 있어요~ 제품이야 만족인데.. 저번에 리뷰에 알림이 떠서 들어온 김에 쭉 훑어 봤는데 저랑 비슷한 시기에 산 분들 중 일부가 2020년 11월 제조 상품을 받으셨더라고요? 근데 저도...^^... 사실 타사이트보다 비싸긴 해도 여기서 산 이유가 상품 페이지에 2021년 1월 이후 제품 발송한다고 떡하니 써놔서 믿고 산 건데 받고 포장 뜯으면서 제조년월 보니 2020년 11월.. 다시 페이지 들어가보니 리콜이슈 제조 제품으로 보낸다고 문구를 써놓으셨길래 제가 착각했나, 이런 거 딱히 예민하지도 않고 포장도 뜯은 거 그냥 쓰고 있는데 다른 리뷰 보니까 말을 바꿔 써놓으신 거더라고요...ㅎㅎ... 솔직히 속은 것 같아서 기분이 썩 좋진 않아요 그냥 솔직하게 교환해준다고 해놨으면 이렇게까지 빡치진 않을텐데 쩝.. 어차피 다시 여기서 살 일 없을 것 같아요 많이 파세요~

말을 왜 안 했냐니요... 써놨지않나요 이미 개봉한 상태였고 그때당시 페이지 문구가 바뀌어있어서 제가 착각했구나 넘긴 후 다른 분 리뷰 보고 알았다니까요.. 그럼 이제와서 교환해달라고 하면 해주실 건가요 홧김에 이상한 리뷰 쓰는 사람 취급하시네ㅜㅜ 확인 안 한 제 잘못도 있지만 시뻘건 글씨로 대문짝만하게 2021년 1월 이후 제조상품 보낸다고 써놓은 거 믿고 샀으니 당연히 그렇겠거니 포장부터 뜯지요.. 뭐 이제는 포장 실수 없다 하니 다른 분들은 안심하고 구매하세요..~",1
4,애플 에어팟 프로,별점,"솔직히 귀차니즘 아니면 반품하고 다른곳에서 살까도 생각했지만, 추석을 앞두고 반품도 쉽지않을거 같아 그냥 뜯어서 쓰기로 맘 먹었습니다.
저와 비슷한 고민(케이스를 따로사는것이 번거롭거나 귀찮다고)을 하실 분들을 위해서 이렇게 여러개의 사진을 올려 설명드리니 참고하세요!
색깔도 고르지 못하는데 오는 제품의 상태가 너무 엉망입니다.

만약 제가 구매전이라면 다른곳에서 에어팟프로사고 케이스도 제 마음에드는걸로 사겠습니다.",1
5,애플 에어팟 프로,별점,"제품자체는 아직오래써본건 아니지만
노이즈캔슬링 기능이 기대이상이라 만족합니다
다만 기기특성상 as 가능여부를 가장 중요시 여겨
이곳에서 구매한것인데
저는 정품 등록에 어려움을 겪었습니다
Q&A 에서도 자주 보이는 애플 정품등록 루트대로 진행을 하려했으나
애플측에서는 판매처(발리안트) 명칭이 표시된 거래내역서를 요구하고
롯데온측은 본인들이 발급 가능한 서류에는 판매처가 롯데온으로 표시될 수밖에 없다고 하고
발리안트측은 롯데온 통해서만 발급이 가능하여 본인들은 해줄수 있는게 없다고 합니다
다른분들은 다들 쉽게 정품 등록을 하셨는지 모르겠지만 저의경우는 이럴줄 알았으면 여기서 구매하지 않았을거라 후회가 남네요",1
6,애플 에어팟 프로,별점,박스가 왜이렇게 온건지 잘못하면 상품이 누락되서 올뻔했네요 ㅡㅡ 아직 써보지않았는데 박스상태때문에 만약 상품에 문제있으면 다시 반품하거나 교환해야할것같아요 .. 아니 이게 뭐예요.... 진짜 받는데 너무기분이 별로네요,1
7,애플 에어팟 프로,별점,"새상품받아서 열어봤는데 리퍼제품도 아니고 안에 상품이 먼지가 묻어있고 제조년월일 스티커도 2021년 7월인데도 바래져서 왔길래 찜찜했어요 고객센터에 전화해보니 확인해보겠다 미안하다고 하는것도 아니고 아주 당당하게 반품하면 되지않냐고 자기네도 모른다 그러더라구요?^^ 반품처리만 하면 편한거 누가 몰라서 전화했나요? 진짜 다시 보내고 받고 하는거 귀찮아서 그냥 쓰는데 전화하시는분 응대하는 방법 바꾸셔야 할거같네요 한두푼주고 산것도 아니고 사놓고도 기분나쁘고 , 무슨 중고제품 받은거마냥 기분 안좋았는데 왠만하면 몇천원 더주고 다른데에서 사세요 비추천합니다",1
8,애플 에어팟 프로,별점,"절대 사지 마세요. 쿠팡 가서 사시길 바랍니다. 1점 리뷰들 보시면, 뽑기 운 없을 확률 굉장히 높은데, 애플 정책상 찍힘, 스크레치, 침수 등이 발생해도 교환 및 반품 안 된다 적혀 있습니다. 그런데요, 쿠팡은 쿠팡 정책상 애플 정책 무시하고도 이러한 불량들 모두 교환 및 반품 해줍니다(판매자 전화통화를 통한 피셜).공식리셀러X, 7월 구매인데 제조일자 3월 or 4월제품, 7월19일 기준 이 판매자 최저가 234,900원.공식리셀러O, 뽑기 실패시 말없이(어찌보면 우리나라 정서상 당연한) 교환 및 반품 가능한 로켓배송, 7월 구매에 제조일자 5월 or 6월 쿠팡 최저가 231,000원.저처럼 복지포인트로 사려는 분 아니고서야 ‘돈을 더 주고 사는데도’ 뽑기 잘못하면 ‘그대로 써야하는’ ‘배송도 비교적 느린’ 이곳에서 사는 바보는 없겠죠? 이 리뷰를 읽은 당신은 제가 구한겁니다. 당장 쿠팡으로 가세요^^여기까지 읽고도 복포가 아니고서야 여기서 사시는 분 없으시겠죠? 아, 복포가 남아돌아도 쿠팡가서 현금으로 사세요. 이 리뷰를 통해 단 한 분이라도 여기서 덜 샀으면 하는 바람에 길게 리뷰 남깁니다.",1
9,애플 에어팟 프로,별점,"구매자(소비자)님들 이 글 꼭 한번 읽어 주시길 바랍니다!

이 회사 진짜 재밌네요. 2월5일 구매당시 상품설명에는 '2021년 1월 이후 최신 제조된 제품으로 발송됩니다.' 라고 해서 그것만 믿고 구매했는데 받고 나서 왼쪽에어팟이 문제가 있어 애플기기지원센터에까지 전화까지 했습니다.
2020년 10월전까지의 기기문제가 많아 혹시나해서 제조일을 보니 2020년11월 제품이더라구요?
11월이후 기기들은 문제없는줄알지만 상품광고에는 1월이후 제조 제품발송이라해서 구매했는데 어떻게 된건지 기기문제상황과 제조일 설명을 요청하니 오배송이 나가 죄송하다면서 미개봉 상태면 교환처리해주겠다면서 그외 원하는 부분이 있다면 담당자에게 협조요청 전달하겠다고 답변받았습니다.
기기문제가 생겼다고 얘기했는데 미개봉 상태면 교환해주겠다구요? 더 한번더 문의했습니다. 교환/환불 문제는 판매자정책 참고해야하고! 상품광고보고 구매한 소비자보호에대해서는 무시하냐고요! 그러니 답변이 뭐라구요?
안내해드린데로 금전적이든 다른 여타 부분을 원하시는 부분이 있으면 담당자에게 협조요청하겠다고 했던거라구요? 언제 그랬습니까?!!!
그외 원하시는 부분이라고하지 않았습니까? !)

보상을 원했습니까? 안내한 물건을 잘못 팔았으면 판매자가 보상제안을 하는것이지 소비자가 제안합니까!! 그리고 그 외 보상이 뭔데요! 금전이요? 장난하세요?! 제가 돈이나 뜯어내자고 그랬겠습니까?!
더 웃긴건 제가 마지막으로 저같은 상황 나오지 않도록 리뷰에 미개봉 상태에서 꼭 제조년부터 확인하라고 하겠다고 하니까 바로 '2020년11월 이후 최신 제조된 제품' 설명으로 바꿨네요! 이 상황을 보니 다른 사람들한테 판매한 제품중 2021년 1월 이후 제품은 있는지 의심스럽네요!! 이 글에 변명하답시고 댓글 달지마십시오. 소비자도 알 권리가 있기에 리뷰라는게 있는겁니다!",1
10,애플 에어팟 프로,별점,거래 사이트건 판매자건 의심부터 했어야 했는데 제가 순진했네요. 저는 2021년 2월 구매자입니다. 이미 11월에 리콜발표했는데 2020/05 생산 리콜대상 제품을 교묘하게 팔아놓고 직접 써보고 리콜 받아라 하는 판매자네요. sk스토어측도 특가하라 로 눈속임해 중개해놓고 본인들은 중개상이라 유감이지만 어쩔 수 없다는 대응 수준이하이구요. 판매자 정보도 오픈할 수 없다고 하니 이 페이지 버리고 다른 상품 페이지에 올려서 또 장사하시겠죠. 제 평생 모든 온라인 모바일 구매 중 가장 기분 나쁜 경험입니다.,1
