,context
0,카페선일토요일 열려 있습니다무더위에도 찾아 주심에 감사합니다우유 도넛  과 짭쪼롭라떼로 시작합니다아 맞아요 제가 하나 먹어서 하나 더 못 팔아욥오늘은 정말 더우니 특히 더위에 유의하세요  나도 저렇게먹으러 가야겠네  이거 진짜 졸맛탱이에요 사쟝님 당장 달려가고 싶은 비주얼 사진이 이뿌네요ㅎㅎ 선팔하고 갑니당
1,좋은아침  예쁘네요 가짜인것처럼 진짜같은 꽃사진이네요 예뻐요  굿모닝입니다  토요일아침에 보니깐 너무 설레는사진이에용 당쟝 코꾸몽에 바람쐬러 가야할것만같아요   졸린 아침
2,예술의전당 가면 꼭 가야하는 곳노을 지기전이 그렇게 이쁘더라구요요즘은 시 분 쯤인 것 같아요ㅎㅎ모짜르트서울 서초구 남부순환로  예술의전당 내아이폰사진    청량감있는 멋진 사진입니다    와 좋은 정보감사합니다 동화 속 한 장면 같아요 여기 너무 맛있죠 분위기도 좋구 마음이 싱그러워지는것 같습니다
3,집앞 마트 가는데 땀범벅  밖으로 나가려고 엘리베이터 기다리는데 이미 땀이 송글 송글 하더라구요 작가님 더위 조심하세요 차안에 시동끄고 잠시 있는데도 더워서 다시 시동켜고더위 쪼금만 더 참아야겠죠
4,불금저녁 즐겁게 보내세요  행복한 밤 되세요       좋은 사진 그것을 유지  좋은저녁 보내세요          힐링 스냅사진 포토 행복 갬성 중국 베이징      노을 즐건 주말 보내시길요
5,카페선일금요일 열려 있습니다오늘은 어제보다 여유롭게 찾아 주셔도 좋습니다 매일 폭염주의보에 습도도 높고 국지성 소나기 동남아가 되어가는 듯한 날씨지만 덕분에 선명한 무지개 구경은 잘 했네요잘 담아 왔으니 다 같이 구경해요오늘도 가능한 최고로 시원한 하루 보내세요  괜찬은가요 백신 어머 이쁜  오늘도 좋은하루보내세요 사장님과 직원들 다 몸상태가  괜찮은가봐요
6,요즘 날이 흐려서 하늘 찍을 일이 별로 없네요  찌그러진 하트가 보여요
7,아이폰아이폰아이폰아이폰아이폰아이폰아이폰아이폰아이폰아이폰플러스아이폰아이폰플러스 구매 가능한 기종입니다                                                 아이폰미니
8,오늘도 전장에서 승리하였당
9,아이폰아이폰아이폰아이폰아이폰플러스플러스
10,펜션 강제 취소 당하고ㅎ ㅎ제발 좀 코로나 꺼져ㅠ  머리바꾼게훨뻥 예쁜 협업을 준비중입니다 우리가 당신에게 무료 보석 조각을 보내드립니다 우리 브랜드에 딱 맞는 분이신 것 같아요 관심 있으신 분들은 주저하지 마시고 주세요그리고 진행해 봅시다
11,딥퍼플다홍연그린
12,지난 영화 다시보기장혁이 장혁했다의뢰인장혁박희순하정우 사진감성스냅일상데일리여행풍경아이폰아이폰프로리코리코제주도제주여행자
13,자연    지하철
14,행복은 멀리있는게 아니다나와 함께라면 해헤헤헤헤헿헤  잘어울리네
15,청사포 밤바다
