,context
0,미우미우임메시와 리오넬메시 같이 있는 사진편집 올려요 ㅎ ㅎ 우리 웅님이 제일 좋아하는 축구선수라 저도 메시님 팬됨 인별업뎃후 영상이로 올라가고 올라갔을 때 팔로우 하지 않은 계정의 피드에 해시태그 팔로우를 통한 노출이 전혀 안되는거 같더라구요  뿌앵 아이폰유저 울어요 사진은 괜찮겠죵임영웅별빛같은나의사랑아임영웅유투브임영웅영웅시대뽕숭아학당임영웅 사랑의콜센타임영웅  청호나이스정수기  덴티스 인스타 업뎃 좀 그만해여름 더위보다 더 날 덥게하는인스타아이폰 유저좀 살려줘 리오넬메시  편집 ㅡ미우미우영웅시대사진출처ㅡ임영웅 메시 몰랐는데 울아들도 메시 팬이더라구요ㅎㅎ 기쁘더라구요 이기분이 뭔지ㅎㅎ 님이 미우님의 사진을 좋아합니다ㅋㅋㅋㅋ보면 좋아하실꺼 같아요제발 열심히 덕질하는 아이폰유저 한테 그르지마요 멋진데요 웅님 메시랑 저런날 오면 진짜 생각만해도 너무 행복해 눈물나요 미우미우님 피드에 행복하고 웅님 생존신고에  행복한 주말
1,카페선일토요일 열려 있습니다무더위에도 찾아 주심에 감사합니다우유 도넛  과 짭쪼롭라떼로 시작합니다아 맞아요 제가 하나 먹어서 하나 더 못 팔아욥오늘은 정말 더우니 특히 더위에 유의하세요  나도 저렇게먹으러 가야겠네  이거 진짜 졸맛탱이에요 사쟝님 당장 달려가고 싶은 비주얼 사진이 이뿌네요ㅎㅎ 선팔하고 갑니당
2,좋은아침  예쁘네요 가짜인것처럼 진짜같은 꽃사진이네요 예뻐요  굿모닝입니다  토요일아침에 보니깐 너무 설레는사진이에용 당쟝 코꾸몽에 바람쐬러 가야할것만같아요   졸린 아침
3,예술의전당 가면 꼭 가야하는 곳노을 지기전이 그렇게 이쁘더라구요요즘은 시 분 쯤인 것 같아요ㅎㅎ모짜르트서울 서초구 남부순환로  예술의전당 내아이폰사진    청량감있는 멋진 사진입니다    와 좋은 정보감사합니다 동화 속 한 장면 같아요 여기 너무 맛있죠 분위기도 좋구 마음이 싱그러워지는것 같습니다
4,집앞 마트 가는데 땀범벅  밖으로 나가려고 엘리베이터 기다리는데 이미 땀이 송글 송글 하더라구요 작가님 더위 조심하세요 차안에 시동끄고 잠시 있는데도 더워서 다시 시동켜고더위 쪼금만 더 참아야겠죠
5,불금저녁 즐겁게 보내세요  행복한 밤 되세요       좋은 사진 그것을 유지  좋은저녁 보내세요          힐링 스냅사진 포토 행복 갬성 중국 베이징      노을 즐건 주말 보내시길요
6,머큐리유니크  파스텔  물빛  바다  커스텀케이스 바다의 잔잔한 물결을 표현했습니다 은은하게 보이는 잔물결이 포인트입니다세가지 컬러로 준비되어있으며 커스텀이 가능한 케이스로 원하는 문구을 새겨드려요  핸드폰 케이스도 준비되어 있어요    맞팔해요
7,카페선일금요일 열려 있습니다오늘은 어제보다 여유롭게 찾아 주셔도 좋습니다 매일 폭염주의보에 습도도 높고 국지성 소나기 동남아가 되어가는 듯한 날씨지만 덕분에 선명한 무지개 구경은 잘 했네요잘 담아 왔으니 다 같이 구경해요오늘도 가능한 최고로 시원한 하루 보내세요  괜찬은가요 백신 어머 이쁜  오늘도 좋은하루보내세요 사장님과 직원들 다 몸상태가  괜찮은가봐요
8,요즘 날이 흐려서 하늘 찍을 일이 별로 없네요  찌그러진 하트가 보여요
10,아이폰아이폰아이폰아이폰아이폰아이폰아이폰아이폰아이폰아이폰플러스아이폰아이폰플러스 구매 가능한 기종입니다                                                 아이폰미니
11,오늘도 전장에서 승리하였당
13,아이폰아이폰아이폰아이폰아이폰플러스플러스
14,펜션 강제 취소 당하고ㅎ ㅎ제발 좀 코로나 꺼져ㅠ  머리바꾼게훨뻥 예쁜 협업을 준비중입니다 우리가 당신에게 무료 보석 조각을 보내드립니다 우리 브랜드에 딱 맞는 분이신 것 같아요 관심 있으신 분들은 주저하지 마시고 주세요그리고 진행해 봅시다
15,딥퍼플다홍연그린
16,지난 영화 다시보기장혁이 장혁했다의뢰인장혁박희순하정우 사진감성스냅일상데일리여행풍경아이폰아이폰프로리코리코제주도제주여행자
17,자연    지하철
18,행복은 멀리있는게 아니다나와 함께라면 해헤헤헤헤헿헤  잘어울리네
19,맛있게 운동했네 소통 셀카 맞팔 선팔 팔로우 좋아요 셀스타그램 좋아요반사 선팔하면맞팔 데일리코디 맛집 댓글 패션 뷰티스타그램 옷스타그램 얼스타그램 헬스타그램 서울 창원 부산 강남 여행스타그램 커피 소통해요 아이폰 인테리어 승무원 항공과 등에서 화투쳐도 되겠다 나중에 등좀 빌려줘
20,청사포 밤바다
21,보영쌤 시술  프리마베라 남천본점 염색시술후 클리닉서비스 서비스라고 대충하지않습니다 정성가득 수분팡팡 채워드립니다  이벤트 미용실이벤트 클리닉 머리윤기실화 월 여름이벤트중 자세한건 프로필상단이벤트 눌러서 확인프리마베라 남천본점 보영디자이너 남천동로  금호어울림비치 상가 층남천동 남천동미용실 수영미용실 해운대미용실 광안리미용실 부산미용실 해운대미용실보영쌤 프리마베라 광안리 수영 해운대 센텀시티 기장 미용실 미용인 팔로우 맞팔 선팔 데일리 좋아요 일상 아이폰 오오티디 예약  매주금요일 주 목요일 예약 상담은 전화
22,자연    지하철
23,투버튼 핀탁 와이드 데님 핏이 너무이쁜 데님 와이드팬츠 신상이에용 하이웨스트루 올라와 투버튼으로 허리라인은 쏙 잡아주고허리선에 잡힌 핀탁라인이 귀엽구 핏을 잡아줘용 밑단도 핀탁잡혀있어 내려갈수록 슬림해져서 와이드핏이지만 핏이며 컬러며 너무 맘에들었던 팬츠에용  부산 서면 남포동 창원 해운대 광안리 홍대 서울 패션 옷스타그램 핑크 셀카 헬스 운동 아이폰 커피 여행스타그램 카페 맛집 술집 여자옷집 서면옷집 뷰티 얼스타그램 신상 선팔 맞팔 좋아요 댓글
24,입추라는뎅 ㅎ  뻥치지마 더워죽겟어
25,여름옷 진짜 끝 진쫘 엄마 취향 확고 해서 눈 편안하구 넘 좋구
26,그냥 살자고   그게맞다
27,너랑 나
28,사랑훼 짜릿해 천사한테 받는 뽀뽀  선팔해요 게시물 잘보고 갑니다 답방 부탁해용   보고시퍼용 소통 좋아요
29,애플워치 블링블링하구먼 좋아요 좋아요반사 애플워치스트랩 애플워치 애플워치 맞팔 맞팔해요 맞팔환영 선팔하면맞팔 선팔하면맞팔가요 소통해요   앱등이 아이폰 좋아요그램 헬스타그램 운동
30,겁나 더워 머야 이 버러지는  일상 소통해요 데일리 소통 선팔하면맞팔 팔로우 팔로우미 좋반 좋아요반사 좋아요테러 좋아요테러환영 맞팔 맟팔해요 오늘의코디 첫줄반사 아이폰 얼스타그램셀카 셀피그램 셀스타그램
31,나 이제 백수 백숙  백슉 먹짜했짜냐 시발 닭다리 두개 뜯어서 진상들 대가리에 북치듯이 두들겨패고 싶다
32,아주 핫 썸머야 난 가을이 좋단말이댕굴  배경 댑악 맞팔해요 나도 가을이 조하 예뿌당
